idx,matchtype,partid,ppartid
0,0,n31,24
1,0,n26,14
2,0,n7,7
3,0,n1,0
4,0,n4,2
5,0,n6,6
6,0,n8,8
7,0,n13,12
8,0,n3,1
9,0,n5,5
10,0,n12,11
11,0,n11,10
12,0,n10,9
13,0,n17,17
14,0,n16,16
15,0,n15,15
16,0,n14,13
17,0,n27,19
18,0,n28,18
19,0,n21,23
20,0,n20,22
21,0,n19,21
22,0,n18,20
23,0,n30,25
24,0,n25,30
25,0,n24,29
26,0,n23,28
27,0,n22,27
28,0,n48,32
29,0,n49,31
30,0,n32,33
31,0,n33,34
32,0,n34,35
33,0,n35,36
34,0,n51,43
35,0,n50,40
36,0,n36,37
37,0,n37,38
38,0,n38,39
39,0,n39,41
40,0,n52,42
41,0,n40,44
42,0,n41,45
43,0,n42,46
44,0,n43,47
45,0,n54,52
46,0,n53,48
47,0,n44,49
48,0,n45,50
49,0,n47,53
50,0,n46,51
51,0,n76,69
52,0,n71,60
53,0,n58,57
54,0,n57,56
55,0,n56,55
56,0,n55,54
57,0,n62,62
58,0,n61,61
59,0,n60,59
60,0,n59,58
61,0,n72,64
62,0,n73,65
63,0,n75,72
64,1,n68,undefined
65,0,n66,68
66,0,n65,67
67,0,n64,66
68,0,n63,63
69,0,n67,70
70,0,n69,73
71,0,n70,74
72,0,n93,76
73,0,n94,77
74,0,n78,78
75,0,n77,75
76,0,n79,79
77,0,n80,80
78,0,n96,86
79,0,n95,83
80,0,n81,81
81,0,n82,82
82,0,n83,84
83,0,n84,87
84,0,n97,88
85,0,n85,89
86,0,n86,90
87,0,n87,92
88,0,n88,93
89,0,n98,95
90,0,n89,96
91,0,n90,97
92,0,n91,99
93,0,n92,101
94,0,n115,98
95,0,n116,100
96,0,n118,102
97,0,n102,106
98,0,n101,105
99,0,n100,104
100,0,n99,103
101,0,n106,110
102,0,n105,109
103,0,n104,108
104,0,n103,107
105,0,n120,111
106,0,n121,112
107,0,n110,116
108,0,n109,115
109,0,n108,114
110,0,n107,113
111,0,n123,117
112,0,n114,121
113,0,n113,120
114,0,n112,119
115,0,n111,118
116,0,n140,124
117,0,n141,122
118,0,n124,123
119,0,n125,125
120,0,n126,126
121,0,n127,127
122,0,n143,136
123,0,n142,131
124,0,n128,128
125,0,n129,129
126,0,n130,130
127,0,n131,132
128,0,n144,134
129,0,n132,133
130,0,n133,135
131,0,n134,137
132,0,n135,138
133,0,n146,142
134,0,n145,139
135,0,n136,140
136,0,n137,141
137,0,n139,144
138,0,n138,143
139,0,n168,158
140,0,n163,151
141,0,n150,148
142,0,n149,147
143,0,n148,146
144,0,n147,145
145,0,n154,153
146,0,n153,152
147,0,n152,150
148,0,n151,149
149,0,n164,154
150,0,n165,156
151,0,n158,160
152,0,n157,159
153,0,n156,157
154,0,n155,155
155,0,n167,163
156,1,n160,undefined
157,0,n159,162
158,0,n161,164
159,0,n162,165
160,0,n185,168
161,0,n186,167
162,0,n170,169
163,0,n171,170
164,0,n172,171
165,0,n169,166
166,0,n188,177
167,0,n187,174
168,0,n173,172
169,0,n174,173
170,0,n175,175
171,0,n176,176
172,0,n189,179
173,0,n177,178
174,0,n178,180
175,0,n179,181
176,0,n180,182
177,0,n190,184
178,0,n181,183
179,0,n182,185
180,0,n183,186
181,0,n184,187
182,0,n207,189
183,0,n208,192
184,0,n209,190
185,0,n210,188
186,0,n194,195
187,0,n193,194
188,0,n192,193
189,0,n191,191
190,0,n198,199
191,0,n197,198
192,0,n196,197
193,0,n195,196
194,0,n211,204
195,0,n212,203
196,0,n213,202
197,0,n214,201
198,0,n199,200
199,0,n200,205
200,0,n201,206
201,0,n202,207
202,0,n215,212
203,0,n216,211
204,0,n217,209
205,0,n218,208
206,0,n203,210
207,0,n204,213
208,0,n205,214
209,0,n206,215
210,0,n235,218
211,0,n236,219
212,0,n237,217
213,0,n238,216
214,0,n222,223
215,0,n221,222
216,0,n220,221
217,0,n219,220
218,0,n226,227
219,0,n225,226
220,0,n224,225
221,0,n223,224
222,0,n239,231
223,0,n240,232
224,0,n241,230
225,0,n242,228
226,0,n227,229
227,0,n228,233
228,0,n229,234
229,0,n230,235
230,0,n243,238
231,0,n244,240
232,0,n245,237
233,0,n246,236
234,0,n231,239
235,0,n232,241
236,0,n233,242
237,0,n234,243
238,0,n266,264
239,0,n263,263
240,0,n267,253
241,0,n250,247
242,0,n247,244
243,0,n249,246
244,0,n248,245
245,0,n254,251
246,0,n252,249
247,0,n253,250
248,0,n251,248
249,0,n264,259
250,0,n258,256
251,0,n255,252
252,0,n257,255
253,0,n256,254
254,0,n262,261
255,0,n260,258
256,0,n261,260
257,0,n259,257
258,0,n271,267
259,0,n268,262
260,0,n270,266
261,0,n269,265
262,0,n275,271
263,0,n273,269
264,0,n274,270
265,0,n272,268
266,0,n279,275
267,0,n276,272
268,0,n278,274
269,0,n277,273
270,0,n285,276
271,0,n280,277
272,0,n283,280
273,0,n282,279
274,0,n281,278
275,0,n302,287
276,0,n303,289
277,0,n286,281
278,0,n288,283
279,0,n287,282
280,0,n289,284
281,0,n290,285
282,0,n292,288
283,0,n291,286
284,0,n293,290
285,0,n294,291
286,0,n296,293
287,0,n295,292
288,0,n297,294
289,0,n298,295
290,0,n300,297
291,0,n299,296
292,0,n301,299
293,0,n320,298
294,0,n321,301
295,0,n322,300
296,1,n306,undefined
297,0,n309,303
298,1,n305,undefined
299,0,n304,302
300,1,n308,undefined
301,1,n307,undefined
302,0,n310,304
303,0,n311,305
304,0,n314,308
305,0,n313,307
306,2,undefined,312
307,0,n312,306
308,0,n315,309
309,2,undefined,317
310,0,n324,310
311,0,n325,313
312,0,n326,316
313,0,n327,315
