xml_id	midi_id	track	channel	pitch	onset
n31	22	0	0	41	2.07398296875
n26	11	0	0	48	2.06597015625
n7	5	0	0	83	1.8522951562500003
n1	0	0	0	84	1.5050732812500003
n4	2	0	0	84	1.6452975000000003
n6	4	0	0	84	1.7534704687500002
n8	6	0	0	84	1.9017075
n13	10	0	0	84	2.3143673437500003
n3	1	0	0	86	1.5691757812500002
n5	3	0	0	86	1.6920389062500003
n12	9	0	0	89	2.2435875000000003
n11	8	0	0	91	2.1728076562500003
n10	7	0	0	93	2.0592928125000003
n17	15	0	0	72	2.6762793749999996
n16	14	0	0	77	2.5908093749999996
n15	13	0	0	79	2.516023125
n14	12	0	0	81	2.419869375
n27	16	0	0	47	2.7029887499999994
n28	17	0	0	48	2.768426718749999
n21	21	0	0	60	2.999462812499999
n20	20	0	0	65	2.912657343749999
n19	19	0	0	67	2.8498903124999986
n18	18	0	0	69	2.768426718749999
n30	23	0	0	48	3.092945624999999
n25	27	0	0	48	3.3453492187499987
n24	26	0	0	53	3.255872812499999
n23	25	0	0	55	3.203789531249999
n22	24	0	0	57	3.110306718749999
n48	28	0	0	29	3.4348256249999984
n49	29	0	0	41	3.4361610937499982
n32	30	0	0	53	3.4521867187499984
n33	31	0	0	55	3.530979374999999
n34	32	0	0	57	3.600423749999999
n35	33	0	0	60	3.713938593749999
n51	44	0	0	48	4.1079018750000005
n50	37	0	0	50	3.812763281249999
n36	34	0	0	65	3.835466249999999
n37	35	0	0	67	3.923607187499999
n38	36	0	0	69	4.022431875
n39	38	0	0	72	4.123927500000001
n52	40	0	0	57	4.217410312499999
n40	39	0	0	77	4.240113281249999
n41	41	0	0	79	4.326918750000001
n42	42	0	0	81	4.405711406250002
n43	43	0	0	84	4.512548906250002
n54	50	0	0	45	4.8717900000000025
n53	48	0	0	53	4.591341562500002
n44	45	0	0	89	4.600689843750002
n45	46	0	0	91	4.676811562500002
n47	49	0	0	91	4.867783593750002
n46	47	0	0	93	4.764952500000002
n76	67	0	0	41	4.947911718750002
n71	57	0	0	48	4.951918125000002
n58	54	0	0	79	5.247056718750004
n57	53	0	0	81	5.149567500000003
n56	52	0	0	84	5.044065468750003
n55	51	0	0	89	4.955924531250003
n62	59	0	0	67	5.584930312500005
n61	58	0	0	69	5.496789375000005
n60	56	0	0	72	5.401971093750006
n59	55	0	0	77	5.317836562500005
n72	60	0	0	47	5.604962343750006
n73	62	0	0	48	5.661052031250004
n66	65	0	0	55	5.910784687500004
n65	64	0	0	57	5.826650156250004
n64	63	0	0	60	5.7558703125000035
n63	61	0	0	65	5.649032812500005
n75	66	0	0	48	5.994919218750004
n68	69	0	0	48	6.101756718750005
n67	68	0	0	53	5.985570937500004
n69	70	0	0	53	6.195239531250006
n70	71	0	0	57	6.282045000000005
n93	72	0	0	28	6.3381346875000055
n94	73	0	0	40	6.343476562500006
n78	75	0	0	48	6.436959375000004
n77	74	0	0	55	6.3554957812500055
n79	76	0	0	55	6.527771250000005
n80	77	0	0	57	6.630602343750006
n96	82	0	0	48	6.957792187500009
n95	80	0	0	50	6.710730468750006
n81	78	0	0	58	6.709395000000006
n82	79	0	0	60	6.802877812500007
