xml_id	midi_id	track	channel	pitch	onset
n31	25	0	0	41	2.7168776250000004
n26	9	0	0	48	2.7126041250000004
n7	7	0	0	83	2.503202625
n1	0	0	0	84	2.0491432499999997
n4	4	0	0	84	2.3012797499999995
n6	6	0	0	84	2.432689875
n8	8	0	0	84	2.597219625
n13	13	0	0	84	2.9722192500000024
n3	1	0	0	86	2.1217927499999996
n5	5	0	0	86	2.3611087499999996
n12	12	0	0	89	2.894227875000002
n11	11	0	0	91	2.8269202500000015
n10	10	0	0	93	2.7222195000000005
n17	17	0	0	72	3.3183727500000026
n16	16	0	0	77	3.2211506250000026
n15	15	0	0	79	3.1463643750000023
n14	14	0	0	81	3.0630311250000024
n27	18	0	0	47	3.4059795000000026
n28	19	0	0	48	3.4305521250000024
n21	23	0	0	60	3.6666630000000024
n20	22	0	0	65	3.5833297500000025
n19	21	0	0	67	3.5074751250000027
n18	20	0	0	69	3.4390991250000025
n30	24	0	0	48	3.7735005000000026
n25	29	0	0	48	4.022431875000003
n24	28	0	0	53	3.9380302500000033
n23	27	0	0	55	3.8557653750000034
n22	26	0	0	57	3.7831158750000027
n48	30	0	0	29	4.116448875000003
n49	31	0	0	41	4.121790750000003
n32	32	0	0	53	4.134611250000003
n33	33	0	0	55	4.2542692500000046
n34	34	0	0	57	4.311961500000005
n35	35	0	0	60	4.431619500000005
n51	41	0	0	48	4.780978125000008
n50	39	0	0	50	4.5363202500000055
n36	36	0	0	65	4.545935625000006
n37	37	0	0	67	4.628200500000006
n38	38	0	0	69	4.712602125000007
n39	40	0	0	72	4.795935375000008
n52	43	0	0	57	4.891020750000009
n40	42	0	0	77	4.900636125000009
n41	44	0	0	79	4.99572150000001
n42	45	0	0	81	5.0608923750000105
n43	46	0	0	84	5.154909375000011
n54	52	0	0	45	5.534182500000011
n53	49	0	0	53	5.258541750000011
n44	47	0	0	89	5.249994750000011
n45	48	0	0	91	5.358969000000011
n47	51	0	0	91	5.530977375000011
n46	50	0	0	93	5.4273450000000105
n76	69	0	0	41	5.633541375000012
n71	55	0	0	48	5.637814875000012
n58	57	0	0	79	5.9081137500000125
n57	56	0	0	81	5.8173018750000125
n56	54	0	0	84	5.724353250000012
n55	53	0	0	89	5.6217892500000115
n62	61	0	0	67	6.244651875000013
n61	60	0	0	69	6.152771625000013
n60	59	0	0	72	6.061959750000013
n59	58	0	0	77	5.976489750000013
n72	62	0	0	47	6.292728750000013
n73	63	0	0	48	6.325848375000013
n66	67	0	0	55	6.595078875000014
n65	66	0	0	57	6.518155875000014
n64	65	0	0	60	6.405976500000014
n63	64	0	0	65	6.321574875000013
n75	68	0	0	48	6.668796750000014
n68	71	0	0	48	6.773497500000015
n67	70	0	0	53	6.677343750000014
n69	72	0	0	53	6.870719625000015
n70	73	0	0	57	6.9519161250000145
n93	74	0	0	28	7.032044250000014
n94	75	0	0	40	7.0373861250000145
n78	77	0	0	48	7.162386000000016
n77	76	0	0	55	7.033112625000014
n79	78	0	0	55	7.2414457500000164
n80	79	0	0	57	7.339736250000016
n96	84	0	0	48	7.677342750000017
n95	82	0	0	50	7.413454125000016
n81	80	0	0	58	7.4358900000000165
n82	81	0	0	60	7.5309753750000175
n83	83	0	0	67	7.637812875000017
n84	85	0	0	69	7.728624750000018
n97	86	0	0	55	7.767086250000018
n85	87	0	0	70	7.801274250000018
n86	88	0	0	72	7.896359625000018
n87	89	0	0	79	7.989308250000018
n88	91	0	0	81	8.069436375000018
n98	90	0	0	62	8.122855125000017
n89	92	0	0	82	8.141017500000016
n90	93	0	0	84	8.239308000000014
n91	96	0	0	91	8.36217112500001
n92	97	0	0	93	8.45618812500001
n115	deletion
n116	95	0	0	48	8.42627362500001
n118	98	0	0	60	8.573709375000007
n102	102	0	0	84	8.852555250000005
n101	101	0	0	91	8.761743375000005
n100	100	0	0	93	8.666658000000007
n99	99	0	0	94	8.574777750000006
n106	108	0	0	72	9.174136125000004
n105	107	0	0	79	9.076914000000004
n104	106	0	0	81	8.998922625000006
n103	104	0	0	82	8.930546625000005
n120	109	0	0	47	9.236101875000005
n121	110	0	0	48	9.268153125000005
n110	114	0	0	60	9.530973375000002
n109	113	0	0	67	9.441229875000001
n108	112	0	0	69	9.382469250000002
n107	111	0	0	70	9.271358250000004
n123	115	0	0	48	9.621785250000002
n114	119	0	0	48	9.879263625
n113	118	0	0	55	9.7734945
n112	117	0	0	57	9.716870625
n111	116	0	0	58	9.633537375000001
n140	120	0	0	28	9.964733625000001
n141	121	0	0	40	10.008537
n124	122	0	0	55	9.98930625
n125	123	0	0	57	10.073707874999998
n126	124	0	0	58	10.161314624999996
n127	125	0	0	60	10.258536749999996
n143	132	0	0	48	10.60682699999999
n142	128	0	0	50	10.460459624999991
n128	127	0	0	67	10.384604999999993
