idx,matchtype,partid,ppartid
0,0,n31,25
1,0,n26,9
2,0,n7,7
3,0,n1,0
4,0,n4,4
5,0,n6,6
6,0,n8,8
7,0,n13,13
8,0,n3,1
9,0,n5,5
10,0,n12,12
11,0,n11,11
12,0,n10,10
13,0,n17,17
14,0,n16,16
15,0,n15,15
16,0,n14,14
17,0,n27,18
18,0,n28,19
19,0,n21,23
20,0,n20,22
21,0,n19,21
22,0,n18,20
23,0,n30,24
24,0,n25,29
25,0,n24,28
26,0,n23,27
27,0,n22,26
28,0,n48,30
29,0,n49,31
30,0,n32,32
31,0,n33,33
32,0,n34,34
33,0,n35,35
34,0,n51,41
35,0,n50,39
36,0,n36,36
37,0,n37,37
38,0,n38,38
39,0,n39,40
40,0,n52,43
41,0,n40,42
42,0,n41,44
43,0,n42,45
44,0,n43,46
45,0,n54,52
46,0,n53,49
47,0,n44,47
48,0,n45,48
49,0,n47,51
50,0,n46,50
51,0,n76,69
52,0,n71,55
53,0,n58,57
54,0,n57,56
55,0,n56,54
56,0,n55,53
57,0,n62,61
58,0,n61,60
59,0,n60,59
60,0,n59,58
61,0,n72,62
62,0,n73,63
63,0,n66,67
64,0,n65,66
65,0,n64,65
66,0,n63,64
67,0,n75,68
68,0,n68,71
69,0,n67,70
70,0,n69,72
71,0,n70,73
72,0,n93,74
73,0,n94,75
74,0,n78,77
75,0,n77,76
76,0,n79,78
77,0,n80,79
78,0,n96,84
79,0,n95,82
80,0,n81,80
81,0,n82,81
82,0,n83,83
83,0,n84,85
84,0,n97,86
85,0,n85,87
86,0,n86,88
87,0,n87,89
88,0,n88,91
89,0,n98,90
90,0,n89,92
91,0,n90,93
92,0,n91,96
93,0,n92,97
94,1,n115,undefined
95,0,n116,95
96,0,n118,98
97,0,n102,102
98,0,n101,101
99,0,n100,100
100,0,n99,99
101,0,n106,108
102,0,n105,107
103,0,n104,106
104,0,n103,104
105,0,n120,109
106,0,n121,110
107,0,n110,114
108,0,n109,113
109,0,n108,112
110,0,n107,111
111,0,n123,115
112,0,n114,119
113,0,n113,118
114,0,n112,117
115,0,n111,116
116,0,n140,120
117,0,n141,121
118,0,n124,122
119,0,n125,123
120,0,n126,124
121,0,n127,125
122,0,n143,132
123,0,n142,128
124,0,n128,127
125,0,n129,129
126,0,n130,130
127,0,n131,131
128,0,n144,134
129,0,n132,133
130,0,n133,135
131,0,n134,136
132,0,n135,137
133,0,n146,142
134,0,n145,138
