xml_id	midi_id	track	channel	pitch	onset
n27	1	1	0	32	1.0145833333333334
n28	2	1	0	51	1.4562500000000003
n32	11	1	0	51	2.0312500000000004
n29	4	1	0	56	1.6343750000000004
n31	9	1	0	56	1.9614583333333337
n30	6	1	0	60	1.769791666666667
n6	8	1	0	63	1.8145833333333337
n4	3	1	0	68	1.482291666666667
n7	10	1	0	68	1.941666666666667
n5	5	1	0	72	1.6531250000000004
n8	12	1	0	72	2.0656250000000007
n1	0	1	0	75	0.0
n3	7	1	0	75	1.0604166666666668
n33	13	1	0	44	2.189583333333334
n34	14	1	0	51	2.3072916666666674
n38	22	1	0	51	2.693750000000001
n40	25	1	0	51	2.9260416666666678
n35	16	1	0	56	2.4291666666666676
n41	30	1	0	56	3.034375000000001
n37	deletion
n36	19	1	0	60	2.4885416666666678
n12	20	1	0	63	2.5322916666666675
n10	15	1	0	68	2.3406250000000006
n13	21	1	0	68	2.628125000000001
n16	26	1	0	68	2.9645833333333345
n11	17	1	0	72	2.415625000000001
n14	23	1	0	72	2.720833333333334
n17	27	1	0	72	3.0177083333333345
n9	18	1	0	75	2.1750000000000007
n39	24	1	0	44	2.818750000000001
n44	33	1	0	51	3.2760416666666683
n43	deletion
n42	29	1	0	60	3.1010416666666676
n18	31	1	0	63	3.125000000000001
n19	32	1	0	68	3.2281250000000017
n20	34	1	0	72	3.2968750000000018
n15	28	1	0	75	2.8135416666666675
n45	35	1	0	44	3.403125000000001
n46	36	1	0	51	3.503125000000001
n50	44	1	0	51	3.8500000000000005
n47	40	1	0	56	3.6250000000000013
n49	deletion
n48	39	1	0	60	3.6812500000000012
n24	41	1	0	63	3.704166666666668
n22	37	1	0	68	3.528125000000001
n25	43	1	0	68	3.805208333333334
n23	38	1	0	72	3.600000000000001
n26	45	1	0	72	3.880208333333334
n21	42	1	0	75	3.391666666666668
n75	46	1	0	44	4.0635416666666675
n76	49	1	0	51	4.251041666666667
n80	55	1	0	51	4.617708333333334
n77	52	1	0	56	4.3875
n79	deletion
n78	51	1	0	60	4.444791666666667
n54	53	1	0	63	4.436458333333333
n52	48	1	0	68	4.24375
n55	54	1	0	68	4.5322916666666675
n53	50	1	0	72	4.3625
n56	56	1	0	72	4.596875000000001
n51	47	1	0	77	4.067708333333334
n81	57	1	0	44	4.738541666666666
n82	59	1	0	51	4.855208333333333
n86	66	1	0	51	5.179166666666665
n83	63	1	0	56	5.010416666666666
n85	deletion
n84	62	1	0	60	5.072916666666666
n60	64	1	0	63	5.010416666666666
n58	58	1	0	68	4.835416666666665
n61	65	1	0	68	5.102083333333333
n59	60	1	0	72	4.9125
n62	67	1	0	72	5.186458333333332
n57	61	1	0	75	4.70625
n87	68	1	0	44	5.320833333333332
n88	70	1	0	51	5.439583333333332
n92	77	1	0	51	5.771875
n89	74	1	0	56	5.579166666666666
n91	deletion
n90	73	1	0	60	5.633333333333333
n66	75	1	0	63	5.609374999999999
n64	69	1	0	68	5.415624999999999
n67	76	1	0	68	5.714583333333334
n65	71	1	0	72	5.501041666666666
n68	78	1	0	72	5.804166666666666
n63	72	1	0	75	5.290624999999999
n93	79	1	0	44	5.920833333333333
n94	81	1	0	51	6.039583333333333
n98	88	1	0	51	6.416666666666666
n95	85	1	0	56	6.194791666666666
n97	deletion
n96	84	1	0	60	6.257291666666666
n72	86	1	0	63	6.2437499999999995
n70	80	1	0	68	6.046874999999999
n73	87	1	0	68	6.374999999999999
n71	82	1	0	72	6.117708333333333
n74	89	1	0	72	6.428124999999999
n69	83	1	0	75	5.915625
n123	90	1	0	44	6.590624999999999
n124	92	1	0	51	6.774999999999999
n128	99	1	0	51	7.088541666666664
n127	96	1	0	55	6.911458333333332
n125	deletion
n126	95	1	0	61	6.978124999999999
n102	97	1	0	63	6.962499999999999
n100	91	1	0	70	6.765624999999998
n103	98	1	0	70	7.062499999999997
n101	93	1	0	73	6.8791666666666655
n104	100	1	0	73	7.109374999999997
n99	94	1	0	75	6.604166666666666
n129	101	1	0	44	7.2104166666666645
n130	102	1	0	51	7.32708333333333
n134	109	1	0	51	7.609374999999997
n136	115	1	0	51	7.870833333333331
n131	105	1	0	55	7.44583333333333
n133	deletion
n132	107	1	0	61	7.488541666666664
n108	108	1	0	63	7.499999999999997
n106	103	1	0	70	7.34583333333333
n109	110	1	0	70	7.586458333333331
n112	114	1	0	70	7.870833333333331
n107	104	1	0	73	7.404166666666663
n110	111	1	0	73	7.634374999999998
n113	116	1	0	73	7.940624999999997
n105	106	1	0	75	7.201041666666664
n135	112	1	0	44	7.743749999999998
n140	120	1	0	51	8.169791666666661
n137	117	1	0	55	7.991666666666664
n139	deletion
n138	118	1	0	61	8.02708333333333
n114	119	1	0	63	8.057291666666663
n115	121	1	0	70	8.138541666666661
n116	122	1	0	73	8.206249999999995
n111	113	1	0	77	7.727083333333331
n141	123	1	0	44	8.313541666666662
n142	125	1	0	51	8.44895833333333
n146	133	1	0	51	8.803125
n143	127	1	0	55	8.590624999999998
n145	deletion
n144	130	1	0	61	8.654166666666665
n120	129	1	0	63	8.621874999999998
n118	124	1	0	70	8.43333333333333
n121	131	1	0	70	8.720833333333333
n119	126	1	0	73	8.532291666666664
n122	132	1	0	73	8.826041666666667
n117	128	1	0	75	8.30520833333333
n171	134	1	0	44	9.020833333333334
n172	137	1	0	51	9.414583333333335
n176	142	1	0	51	9.867708333333338
n175	139	1	0	56	9.567708333333336
n173	deletion
n174	140	1	0	60	9.648958333333336
n150	141	1	0	63	9.690625000000004
n148	136	1	0	72	9.436458333333334
n151	143	1	0	72	9.781250000000004
n149	138	1	0	75	9.519791666666668
n152	144	1	0	75	9.860416666666671
n147	135	1	0	82	9.136458333333334
n177	145	1	0	44	9.961458333333338
n178	148	1	0	51	10.058333333333339
n182	153	1	0	51	10.38854166666667
n179	152	1	0	56	10.198958333333339
n181	deletion
n180	151	1	0	60	10.269791666666672
n156	150	1	0	63	10.250000000000005
n154	147	1	0	72	10.079166666666673
n157	154	1	0	72	10.342708333333338
n160	158	1	0	72	10.629166666666674
n155	149	1	0	75	10.129166666666672
n158	155	1	0	75	10.411458333333337
n153	146	1	0	80	9.956250000000004
n183	156	1	0	44	10.534375000000006
n184	159	1	0	52	10.701041666666674
n188	164	1	0	52	11.02395833333334
n187	162	1	0	56	10.863541666666674
n185	deletion
n186	deletion
n162	161	1	0	64	10.84583333333334
n163	163	1	0	72	10.951041666666672
n161	160	1	0	76	10.738541666666674
n164	165	1	0	76	11.028125000000006
n159	157	1	0	80	10.513541666666672
n189	166	1	0	44	11.179166666666672
n190	169	1	0	52	11.305208333333338
n194	173	1	0	52	11.616666666666669
n191	172	1	0	56	11.475000000000003
n193	deletion
n192	deletion
n168	171	1	0	64	11.49479166666667
n166	168	1	0	72	11.27083333333334
n169	174	1	0	72	11.625000000000002
n167	170	1	0	76	11.362500000000004
n170	175	1	0	76	11.737500000000002
n165	167	1	0	80	11.16145833333334
n219	176	1	0	37	11.914583333333336
n220	180	1	0	56	12.264583333333336
n224	184	1	0	56	12.445833333333336
n223	182	1	0	61	12.345833333333337
n221	deletion
n222	deletion
n198	181	1	0	68	12.30729166666667
n196	177	1	0	73	12.106250000000005
n199	183	1	0	73	12.392708333333337
n197	178	1	0	77	12.203125000000004
n200	185	1	0	77	12.468750000000004
n195	179	1	0	80	11.928125000000003
n225	186	1	0	49	12.575000000000005
n226	188	1	0	56	12.707291666666672
n230	194	1	0	56	13.003125000000008
n232	198	1	0	56	13.235416666666673
n227	deletion
n229	deletion
n228	191	1	0	65	12.859375000000007
n204	192	1	0	68	12.854166666666673
n202	187	1	0	73	12.682291666666671
n205	193	1	0	73	12.93333333333334
n203	189	1	0	77	12.778125000000006
n206	195	1	0	77	13.007291666666674
n201	190	1	0	80	12.558333333333337
n231	196	1	0	49	13.113541666666674
n236	205	1	0	56	13.518750000000008
n233	203	1	0	61	13.341666666666674
n235	deletion
n234	201	1	0	65	13.384375000000007
n210	202	1	0	68	13.396875000000007
n208	197	1	0	73	13.221875000000006
n211	204	1	0	73	13.475000000000009
n209	199	1	0	77	13.307291666666673
n212	206	1	0	77	13.532291666666675
n207	200	1	0	80	13.103125000000007
n237	207	1	0	49	13.642708333333342
n238	208	1	0	55	13.75312500000001
n242	217	1	0	55	14.159375000000013
n239	214	1	0	61	13.880208333333345
n241	deletion
n240	212	1	0	65	13.950000000000012
n216	213	1	0	67	13.938541666666678
n214	210	1	0	73	13.76875000000001
n217	215	1	0	73	14.027083333333344
n215	211	1	0	77	13.836458333333344
n218	216	1	0	77	14.130208333333346
n213	209	1	0	82	13.646875000000009
n267	219	1	0	48	14.303125000000014
n268	221	1	0	55	14.59270833333335
n272	225	1	0	55	14.886458333333351
n271	223	1	0	60	14.729166666666684
n269	deletion
n270	deletion
n246	224	1	0	67	14.796875000000018
n244	220	1	0	72	14.644791666666684
n247	227	1	0	72	14.879166666666684
n245	222	1	0	77	14.69583333333335
n248	226	1	0	77	14.893750000000018
n243	218	1	0	84	14.387500000000014
n273	228	1	0	48	15.002083333333351
n274	231	1	0	55	15.139583333333352
n278	237	1	0	55	15.447916666666687
n275	233	1	0	60	15.246875000000019
n277	deletion
n276	236	1	0	64	15.329166666666687
n252	235	1	0	67	15.298958333333353
n250	230	1	0	72	15.137500000000019
n253	238	1	0	72	15.39062500000002
n251	232	1	0	76	15.212500000000018
n254	239	1	0	76	15.43437500000002
n249	229	1	0	82	15.00833333333335
n279	240	1	0	53	15.547916666666687
n280	241	1	0	56	15.678125000000023
n284	248	1	0	56	15.963541666666691
n281	246	1	0	60	15.765625000000023
n283	deletion
n282	245	1	0	65	15.85104166666669
n258	247	1	0	68	15.843750000000023
n256	242	1	0	72	15.683333333333357
n259	249	1	0	72	15.972916666666691
n257	244	1	0	77	15.765625000000023
