idx,matchtype,partid,ppartid
0,0,n27,5
1,0,n25,0
2,0,n29,6
3,0,n31,8
4,0,n37,17
5,1,n33,undefined
6,0,n35,12
7,1,n28,undefined
8,0,n26,1
9,1,n30,undefined
10,1,n32,undefined
11,0,n34,10
12,0,n44,26
13,1,n36,undefined
14,1,n3,undefined
15,0,n1,3
16,1,n5,undefined
17,1,n7,undefined
18,0,n13,15
19,1,n9,undefined
20,0,n19,24
21,1,n11,undefined
22,0,n4,4
23,0,n2,2
24,0,n6,7
25,0,n8,9
26,0,n10,11
27,0,n12,13
28,0,n39,18
29,0,n41,22
30,1,n40,undefined
31,0,n38,14
32,0,n42,20
33,1,n15,undefined
34,0,n17,21
35,0,n16,19
36,0,n14,16
37,0,n18,23
38,0,n43,25
39,0,n45,30
40,0,n47,34
41,0,n46,28
42,0,n48,33
43,0,n21,29
44,0,n23,32
45,0,n20,27
46,0,n22,31
47,0,n24,35
48,0,n75,40
49,0,n73,42
50,0,n77,45
51,1,n76,undefined
52,0,n74,36
53,0,n78,44
54,0,n51,39
55,0,n49,37
56,0,n53,43
57,0,n52,41
58,0,n50,38
59,0,n54,46
60,0,n79,48
61,0,n81,53
62,0,n83,58
63,0,n80,50
64,0,n82,52
65,0,n84,55
66,0,n55,47
67,0,n57,51
68,0,n59,56
69,0,n56,49
70,0,n58,54
71,0,n60,57
72,0,n87,64
73,0,n85,62
74,0,n89,69
75,0,n88,66
76,0,n86,60
77,0,n90,67
78,0,n63,63
79,0,n61,59
80,0,n65,68
81,0,n64,65
82,0,n62,61
83,0,n66,71
84,0,n91,72
85,0,n93,79
86,0,n95,84
87,0,n92,73
88,0,n94,78
89,0,n96,81
90,0,n67,74
91,0,n69,76
92,0,n71,82
93,0,n68,75
94,0,n70,80
95,0,n72,83
96,0,n121,85
97,0,n123,92
98,0,n125,96
99,0,n122,87
100,0,n124,89
101,0,n126,94
102,0,n97,86
103,0,n99,90
104,0,n101,95
105,0,n98,88
106,0,n100,91
107,0,n102,93
108,0,n127,100
109,0,n129,104
110,0,n131,109
111,0,n128,97
112,0,n130,101
113,0,n132,105
114,0,n103,98
115,0,n105,102
116,0,n107,106
117,0,n104,99
118,0,n106,103
119,0,n108,107
120,0,n133,112
121,0,n135,116
122,0,n137,121
123,0,n134,111
124,0,n136,117
125,0,n138,119
126,0,n109,113
127,0,n111,115
128,0,n113,122
129,0,n110,114
130,0,n112,118
131,0,n114,120
132,0,n139,123
133,0,n141,128
134,0,n143,134
135,0,n140,124
136,0,n142,127
137,0,n144,131
138,0,n115,125
139,0,n117,130
140,0,n119,132
141,0,n116,126
142,0,n118,129
143,0,n120,133
144,0,n169,138
145,0,n171,139
146,0,n173,146
147,0,n170,135
148,0,n172,140
149,0,n174,144
150,0,n145,136
151,0,n147,141
152,0,n149,145
153,0,n146,137
154,0,n148,142
155,0,n150,143
156,0,n175,147
157,0,n177,154
158,0,n179,155
159,0,n176,149
160,0,n178,151
161,0,n180,157
162,0,n151,148
163,0,n153,153
164,0,n155,156
165,0,n152,150
166,0,n154,152
167,0,n156,158
168,0,n181,159
169,0,n183,166
170,0,n185,169
171,0,n182,160
172,0,n184,164
173,0,n186,167
174,0,n157,161
175,0,n159,163
176,0,n161,168
177,0,n158,162
178,0,n160,165
179,0,n162,170
180,0,n187,171
181,0,n189,175
182,0,n191,182
183,0,n188,172
184,0,n190,176
185,0,n192,181
186,0,n163,173
187,0,n165,177
188,2,undefined,183
189,0,n167,184
190,0,n164,174
191,0,n166,178
192,0,n168,180
193,0,n221,193
194,0,n219,187
195,0,n223,198
196,0,n243,195
197,0,n222,190
198,0,n220,189
199,0,n224,197
200,0,n195,194
201,0,n193,188
202,0,n197,199
203,0,n217,191
204,0,n196,192
205,0,n194,186
206,0,n198,196
207,0,n229,216
208,0,n233,228
209,0,n227,207
210,0,n225,205
211,0,n230,213
212,0,n234,225
213,0,n228,209
214,0,n226,203
215,0,n203,215
216,0,n207,224
217,0,n201,208
218,0,n199,201
219,0,n204,217
220,0,n208,226
221,2,undefined,223
222,0,n202,210
223,0,n200,204
224,0,n231,219
225,0,n235,234
226,0,n244,229
227,0,n232,222
228,0,n236,232
229,0,n205,221
230,0,n209,233
231,0,n218,227
232,0,n206,220
233,0,n210,231
234,0,n241,246
235,0,n239,241
236,0,n237,237
237,0,n242,244
238,0,n240,240
239,0,n238,236
240,0,n215,245
241,0,n213,239
242,0,n211,235
243,0,n216,247
244,0,n214,242
245,0,n212,238
246,0,n271,257
247,0,n269,248
248,0,n273,264
249,0,n290,254
250,0,n272,255
251,0,n270,251
252,0,n274,263
253,0,n247,256
254,0,n245,250
255,0,n249,261
256,0,n266,253
257,0,n248,258
258,0,n246,249
259,0,n250,262
260,0,n279,281
261,0,n277,277
262,0,n275,271
263,0,n291,272
264,0,n280,280
265,0,n278,275
266,0,n276,267
267,0,n255,278
268,0,n253,273
269,0,n251,268
270,0,n267,270
271,0,n256,279
272,0,n254,276
273,0,n252,269
274,0,n285,295
275,0,n283,291
276,0,n281,283
277,0,n292,287
278,0,n286,294
279,0,n284,289
280,0,n282,284
281,0,n261,292
282,0,n259,288
283,0,n257,282
284,0,n268,286
285,0,n262,293
286,0,n260,290
287,0,n258,285
288,0,n287,298
289,0,n288,303
290,0,n289,302
291,0,n263,299
292,0,n264,304
293,0,n265,300
294,0,n321,312
295,0,n319,306
296,1,n323,undefined
297,0,n343,314
298,0,n322,310
299,0,n320,308
300,0,n324,316
301,0,n295,309
302,0,n293,307
303,0,n297,315
304,0,n317,313
305,0,n296,311
306,0,n294,305
307,0,n298,317
308,0,n325,322
309,0,n327,326
310,0,n329,330
311,0,n326,319
312,0,n328,323
313,0,n330,329
314,0,n299,321
315,0,n301,325
316,0,n303,328
317,0,n300,320
318,0,n302,324
319,0,n304,327
320,0,n335,344
