idx,matchtype,partid,ppartid
0,0,n27,5
1,0,n25,3
2,0,n29,8
3,0,n31,12
4,0,n33,17
5,0,n35,21
6,0,n28,6
7,0,n26,1
8,0,n30,10
9,0,n32,14
10,0,n34,16
11,0,n36,19
12,1,n3,undefined
13,0,n1,0
14,0,n5,9
15,0,n7,13
16,0,n9,15
17,0,n11,20
18,0,n4,4
19,0,n2,2
20,0,n6,7
21,0,n8,11
22,0,n10,18
23,0,n12,22
24,0,n39,27
25,0,n37,24
26,0,n41,33
27,0,n40,28
28,0,n38,23
29,0,n42,31
30,0,n15,29
31,0,n13,25
32,0,n17,32
33,0,n16,30
34,0,n14,26
35,0,n18,34
36,0,n43,35
37,0,n45,42
38,0,n47,45
39,0,n44,36
40,0,n46,39
41,0,n48,43
42,0,n19,37
43,0,n21,41
44,0,n23,44
45,0,n20,38
46,0,n22,40
47,0,n24,46
48,0,n75,52
49,0,n73,49
50,0,n77,58
51,0,n76,54
52,0,n74,48
53,0,n78,55
54,0,n51,51
55,0,n49,47
56,0,n53,56
57,0,n52,53
58,0,n50,50
59,0,n54,57
60,0,n79,61
61,0,n81,66
62,0,n83,69
63,0,n80,62
64,0,n82,65
65,0,n84,70
66,0,n55,60
67,0,n57,64
68,0,n59,67
69,0,n56,59
70,0,n58,63
71,0,n60,68
72,0,n87,77
73,0,n85,74
74,0,n89,83
75,0,n88,75
76,0,n86,72
77,0,n90,80
78,0,n63,78
79,0,n61,71
80,0,n65,81
81,0,n64,76
82,0,n62,73
83,0,n66,82
84,0,n91,87
85,0,n93,89
86,0,n95,96
87,0,n92,84
88,0,n94,91
89,0,n96,95
90,0,n67,86
91,0,n69,92
92,0,n71,94
93,0,n68,85
94,0,n70,90
95,0,n72,93
96,0,n121,99
97,0,n123,104
98,0,n125,106
99,0,n122,98
100,0,n124,103
101,0,n126,105
102,0,n97,97
103,0,n99,102
104,0,n101,107
105,0,n98,100
106,0,n100,101
107,0,n102,109
108,0,n127,112
109,1,n129,undefined
110,0,n131,119
111,0,n128,110
112,0,n130,116
113,0,n132,117
114,0,n103,111
115,0,n105,113
116,0,n107,118
117,0,n104,115
118,0,n106,114
119,0,n108,120
120,0,n133,126
121,0,n135,129
122,0,n137,134
123,0,n134,125
124,0,n136,130
125,0,n138,135
126,0,n109,123
127,0,n111,127
128,0,n113,133
129,0,n110,124
130,0,n112,128
131,0,n114,131
132,0,n139,139
133,0,n141,142
134,0,n143,145
135,0,n140,138
136,0,n142,141
137,0,n144,147
138,0,n115,136
139,0,n117,140
140,0,n119,146
141,0,n116,137
142,0,n118,143
143,0,n120,148
144,0,n169,151
145,0,n171,154
146,0,n173,160
147,0,n170,149
148,0,n172,153
149,0,n174,159
150,0,n145,150
151,0,n147,152
152,0,n149,158
153,0,n146,156
154,0,n148,155
155,0,n150,157
156,0,n175,165
157,0,n177,169
158,0,n179,172
159,0,n176,163
160,0,n178,167
161,0,n180,173
162,0,n151,162
163,0,n153,166
164,0,n155,171
165,0,n152,164
166,0,n154,168
167,0,n156,175
168,0,n181,176
169,0,n183,182
170,0,n185,184
171,0,n182,177
172,0,n184,181
173,0,n186,186
174,0,n157,178
175,0,n159,180
176,0,n161,187
177,0,n158,179
178,0,n160,183
179,0,n162,188
180,0,n187,191
181,0,n189,193
182,0,n191,200
183,0,n188,190
184,0,n190,195
185,0,n192,199
186,0,n163,189
