idx,matchtype,partid,ppartid
0,0,n27,6
1,0,n25,2
2,0,n29,7
3,0,n31,11
4,0,n33,12
5,0,n35,15
6,0,n28,4
7,0,n26,1
8,1,n30,undefined
9,0,n32,9
10,1,n34,undefined
11,0,n36,14
12,1,n3,undefined
13,0,n1,0
14,1,n5,undefined
15,0,n15,20
16,1,n7,undefined
17,0,n13,18
18,1,n9,undefined
19,1,n11,undefined
20,0,n4,5
21,0,n2,3
22,0,n6,8
23,0,n8,10
24,0,n10,13
25,0,n12,16
26,0,n39,22
27,0,n37,17
28,0,n41,25
29,0,n40,21
30,0,n42,26
31,1,n38,undefined
32,0,n17,24
33,0,n16,23
34,0,n14,19
35,0,n18,27
36,0,n43,30
37,0,n45,32
38,0,n47,37
39,0,n44,28
40,0,n46,33
41,0,n48,35
42,1,n19,undefined
43,0,n21,31
44,1,n23,undefined
45,0,n20,29
46,0,n22,34
47,0,n24,36
48,0,n75,44
49,0,n73,38
50,0,n77,46
51,0,n76,42
52,0,n74,39
53,0,n78,47
54,0,n51,43
55,0,n49,41
56,1,n53,undefined
57,0,n52,45
58,0,n50,40
59,0,n54,48
60,0,n79,51
61,0,n81,54
62,0,n83,55
63,0,n80,52
64,0,n86,61
65,1,n82,undefined
66,0,n84,57
67,0,n55,50
68,0,n61,60
69,1,n57,undefined
70,0,n59,58
71,0,n56,49
72,0,n58,53
73,0,n60,56
74,0,n87,65
75,0,n85,62
76,0,n89,69
77,0,n88,66
78,0,n90,70
79,0,n63,63
80,0,n65,67
81,0,n64,64
82,0,n62,59
83,0,n66,68
84,0,n91,73
85,0,n93,77
86,0,n95,81
87,0,n92,72
88,0,n94,78
89,0,n96,80
90,0,n67,71
91,0,n69,75
92,0,n71,79
93,0,n68,74
94,0,n70,76
95,0,n72,82
96,0,n121,86
97,0,n123,88
98,0,n125,94
99,0,n122,85
100,0,n124,89
101,0,n126,93
102,0,n97,84
103,0,n99,87
104,0,n101,91
105,0,n98,83
106,0,n100,90
107,0,n102,92
108,0,n127,95
109,0,n129,101
110,0,n131,106
111,0,n128,96
112,0,n130,102
113,0,n132,104
114,0,n103,98
115,0,n105,99
116,0,n107,105
117,0,n104,97
118,0,n106,100
119,0,n108,103
120,0,n133,110
121,0,n135,113
122,0,n137,117
123,0,n134,109
124,0,n136,114
125,0,n138,118
126,0,n109,107
127,0,n111,112
128,0,n113,115
129,0,n110,108
130,0,n112,111
131,0,n114,116
132,0,n139,122
133,0,n141,124
134,0,n143,129
135,0,n140,121
136,0,n142,123
137,0,n144,128
138,0,n115,119
139,0,n117,125
140,0,n119,127
141,0,n116,120
142,0,n118,126
143,0,n120,130
144,0,n169,133
145,0,n171,138
146,0,n173,142
147,0,n170,131
148,0,n172,136
149,0,n174,140
150,0,n145,132
151,0,n147,135
152,0,n149,139
153,0,n146,134
154,0,n148,137
155,0,n150,141
156,0,n175,146
157,0,n177,150
158,0,n179,154
159,0,n176,145
160,0,n178,149
161,0,n180,153
162,0,n151,143
163,0,n153,147
164,0,n155,151
165,0,n152,144
166,0,n154,148
167,0,n156,152
168,0,n181,158
169,0,n183,162
170,0,n185,166
171,0,n182,155
172,0,n184,160
173,0,n186,165
174,0,n157,156
175,0,n159,159
176,0,n161,163
177,0,n158,157
178,0,n160,161
179,0,n162,164
180,0,n187,170
181,0,n189,173
182,0,n191,178
183,0,n188,168
184,0,n190,174
185,0,n192,176
186,0,n163,167
187,0,n165,171
188,0,n167,177
189,0,n164,169
190,0,n166,172
191,0,n168,175
192,0,n221,187
193,0,n219,183
194,0,n223,191
195,0,n243,184
196,0,n222,185
197,0,n220,179
198,0,n224,190
199,0,n195,186
200,0,n193,181
201,0,n197,189
202,0,n217,197
203,0,n196,188
204,0,n194,182
205,0,n198,193
206,0,n229,211
207,0,n227,202
208,0,n225,198
209,0,n230,208
210,0,n228,200
211,0,n226,194
212,0,n203,209
213,0,n201,201
214,0,n199,196
215,0,n204,210
216,0,n202,203
217,0,n200,195
218,0,n233,223
219,0,n231,217
220,0,n235,228
221,0,n244,219
222,0,n234,221
223,0,n232,214
224,0,n236,226
225,0,n207,220
226,0,n205,213
227,0,n209,227
228,0,n218,231
229,0,n208,225
230,0,n206,218
231,0,n210,230
232,0,n241,244
233,0,n239,240
234,0,n237,235
235,0,n242,242
236,0,n240,238
237,0,n238,233
238,0,n215,241
239,0,n213,237
240,0,n211,232
241,0,n216,243
242,0,n214,239
243,0,n212,234
244,0,n271,252
245,0,n269,248
246,0,n273,258
247,0,n290,253
248,0,n272,251
249,0,n270,245
250,0,n274,257
251,0,n247,250
252,0,n245,246
253,0,n249,255
254,0,n266,249
255,0,n248,254
256,0,n246,247
257,0,n250,256
258,0,n279,275
259,0,n277,270
260,0,n275,265
261,0,n291,263
262,0,n280,274
263,0,n278,269
264,0,n276,264
265,0,n255,273
266,0,n253,267
267,0,n251,261
268,0,n267,262
269,0,n256,272
270,0,n254,266
271,0,n252,260
272,0,n285,291
273,0,n283,286
274,2,undefined,280
275,0,n281,279
276,0,n292,281
277,0,n286,290
278,0,n284,284
279,0,n282,276
280,0,n261,289
281,0,n259,282
282,0,n257,278
283,0,n268,285
284,0,n262,288
285,0,n260,283
286,0,n258,277
287,0,n287,296
288,0,n288,298
289,0,n289,294
290,0,n263,297
291,0,n264,299
292,0,n265,295
293,0,n321,305
294,0,n319,301
295,0,n323,313
296,0,n343,309
297,0,n322,304
298,0,n320,303
299,0,n324,312
300,0,n295,308
301,0,n293,300
302,0,n297,310
303,0,n317,306
304,0,n296,307
305,0,n294,302
306,0,n298,311
307,0,n325,319
308,0,n327,324
309,0,n329,329
310,0,n326,318
311,0,n328,322
312,0,n330,328
313,0,n299,316
314,0,n301,321
315,0,n303,326
316,0,n300,320
317,0,n302,323
318,0,n304,327
319,0,n335,341
320,0,n333,338
321,1,n331,undefined
322,0,n344,333
323,0,n336,339
324,0,n334,335
325,0,n332,332
326,0,n309,340
