onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
1.5157571,2.4719527,64,41,0,0,0,1.515757,0.0
2.7537365,1.2339731,64,50,0,0,1,1.515757,0.0
3.564366,0.4233436,64,58,0,0,2,2.753737,1.0
3.848821,1.4569964,64,61,0,0,3,3.848821,2.0
5.108168,1.3915584,65,58,0,0,4,5.108168,3.0
6.3528247,1.4382999,64,52,0,0,5,5.108168,3.0
7.6108365,1.7174128,60,49,0,0,6,7.610836,5.0
9.023763,3.5002637,64,53,0,0,7,9.023762,6.0
12.375789,1.3648491,64,38,0,0,8,12.374454,8.0
12.359763,1.3808746,48,34,0,0,9,10.699108,7.0
12.373118,1.36752,60,33,0,0,10,10.699108,7.0
12.39315,1.3474879,55,28,0,0,11,12.374454,8.0
13.653832,1.1071036,48,23,0,0,12,13.635136,9.0
13.635136,1.1258001,60,27,0,0,13,13.635136,9.0
13.631129,1.1298065,64,31,0,0,14,12.374454,8.0
14.460456,0.30048046,60,29,0,0,15,13.635136,9.0
14.440424,0.3205125,64,36,0,0,16,13.635136,9.0
14.465797,0.2951386,48,33,0,0,17,13.635136,9.0
14.739569,1.2499988,60,24,0,0,18,14.739569,10.0
14.751588,1.2379795,48,25,0,0,19,14.739569,10.0
14.732891,1.2566761,64,45,0,0,20,13.635136,9.0
15.961522,1.3020821,57,22,0,0,21,15.9475,11.0
15.954845,1.3087593,60,25,0,0,22,15.9475,11.0
15.940155,1.3234495,41,25,0,0,23,14.739569,10.0
15.922794,1.473022,65,38,0,0,24,14.739569,10.0
17.224876,1.2967402,60,25,0,0,25,17.221537,12.0
17.228882,1.2927338,55,22,0,0,26,17.221537,12.0
17.218199,1.3034174,36,27,0,0,27,15.9475,11.0
17.20885,1.473022,64,36,0,0,28,15.9475,11.0
18.445494,1.6212591,60,39,0,0,29,17.221537,12.0
18.478882,1.5878724,57,32,0,0,30,18.478882,13.0
18.480217,1.5865369,41,25,0,0,31,18.478882,13.0
20.052063,2.2329037,55,17,0,0,32,20.040712,14.0
20.042715,2.242252,60,25,0,0,33,20.040712,14.0
20.038708,2.2462585,36,26,0,0,34,18.478882,13.0
22.15142,2.4692817,56,32,0,0,35,22.144743,15.0
22.11937,2.501333,62,35,0,0,36,20.040712,14.0
20.01467,4.606032,64,37,0,0,37,18.478882,13.0
22.144743,2.475959,35,26,0,0,38,22.144743,15.0
24.660767,1.0202981,33,90,0,0,39,24.658764,16.0
24.65676,1.0243045,101,106,0,0,40,22.144743,15.0
24.740894,0.94017,96,86,0,0,41,24.658764,16.0
