idx,matchtype,partid,ppartid
0,0,n1,0
1,0,n2,1
2,0,n3,2
3,0,n4,3
4,0,n5,4
5,0,n7,5
6,0,n8,6
7,0,n9,7
8,0,n26,9
9,0,n11,11
10,0,n12,8
11,0,n13,10
12,0,n27,13
13,0,n28,19
14,0,n14,15
15,0,n17,18
16,0,n15,12
17,0,n18,17
18,0,n16,14
19,0,n19,16
20,0,n29,23
21,0,n20,21
22,0,n21,20
23,0,n22,22
24,0,n30,26
25,0,n23,25
26,0,n24,24
27,0,n25,27
28,0,n41,30
29,0,n31,29
30,0,n32,28
31,0,n33,31
32,0,n42,34
33,0,n34,33
34,0,n35,32
35,0,n43,36
36,0,n37,37
37,0,n38,35
38,0,n36,39
39,0,n44,40
40,0,n39,38
41,0,n40,41
42,0,n69,42
43,0,n48,45
44,0,n61,68
45,0,n46,43
46,0,n50,48
47,0,n55,56
48,0,n49,47
49,0,n47,46
50,0,n45,44
51,0,n70,50
52,0,n73,60
53,0,n71,53
54,0,n74,58
55,0,n72,52
56,0,n75,57
57,0,n56,59
58,0,n52,49
59,0,n54,55
60,0,n53,54
61,0,n51,51
62,0,n76,63
63,0,n77,65
64,0,n78,69
65,0,n60,66
66,0,n58,62
67,0,n62,67
68,0,n59,64
69,0,n57,61
70,0,n79,72
71,0,n80,73
72,0,n81,78
73,0,n68,77
74,0,n64,71
75,0,n66,74
76,0,n67,76
77,0,n65,75
78,0,n63,70
79,0,n106,83
80,0,n107,82
81,0,n108,81
82,0,n85,84
83,0,n83,79
84,0,n87,87
85,0,n86,86
86,0,n84,85
87,0,n82,80
88,0,n109,90
89,0,n110,88
90,0,n111,93
91,0,n93,96
92,0,n89,89
93,0,n91,94
94,0,n92,95
95,0,n90,92
96,0,n88,91
97,0,n112,103
98,0,n113,102
99,0,n114,100
100,0,n97,104
101,0,n95,99
102,0,n99,105
103,0,n98,106
104,0,n96,101
105,0,n94,98
106,0,n105,112
107,0,n101,108
108,0,n103,110
109,0,n104,111
110,0,n102,109
111,0,n100,107
112,0,n139,115
113,0,n118,116
114,0,n116,113
115,0,n120,119
116,0,n119,118
117,0,n117,117
118,0,n115,114
119,0,n140,121
120,0,n142,128
121,0,n141,120
122,0,n143,127
123,0,n126,129
124,0,n122,122
125,0,n124,125
126,0,n125,126
127,0,n123,124
128,0,n121,123
129,0,n144,133
130,0,n145,136
131,0,n130,134
132,0,n128,130
133,0,n132,135
134,0,n131,137
135,0,n129,132
136,0,n127,131
137,0,n146,140
138,0,n147,144
139,0,n138,145
140,0,n134,139
141,0,n136,142
142,0,n137,143
143,0,n135,141
144,0,n133,138
145,0,n172,148
146,0,n173,149
147,0,n151,150
148,0,n149,146
149,0,n153,153
150,0,n152,152
151,0,n150,151
152,0,n148,147
153,0,n174,167
154,1,n176,undefined
155,0,n159,159
156,0,n155,155
157,0,n157,157
158,0,n158,158
159,0,n156,156
160,0,n154,154
161,0,n175,173
162,0,n163,163
163,0,n161,161
164,0,n165,165
165,0,n164,164
166,0,n162,162
167,0,n160,160
168,0,n167,166
169,0,n169,169
170,0,n171,172
171,0,n166,168
172,0,n168,170
173,0,n170,171
174,0,n201,174
175,0,n178,175
176,0,n179,176
177,0,n177,177
178,0,n180,178
179,0,n182,179
180,0,n181,180
181,0,n202,183
182,0,n204,189
183,0,n203,182
184,0,n205,188
185,0,n183,181
186,0,n184,184
187,0,n188,190
188,0,n186,186
189,0,n187,187
190,0,n185,185
191,0,n206,194
192,0,n207,192
193,0,n194,199
194,0,n193,198
195,0,n192,196
196,0,n190,193
197,0,n191,195
198,0,n189,191
199,0,n208,202
200,0,n209,203
201,0,n200,207
202,0,n198,204
203,0,n199,206
204,0,n197,205
205,0,n196,201
206,0,n195,200
207,0,n234,210
208,0,n235,212
209,0,n211,209
210,0,n212,211
211,0,n210,208
212,0,n213,213
213,0,n215,214
214,0,n214,215
215,0,n240,224
216,0,n242,232
217,0,n238,221
218,0,n236,218
219,0,n237,217
220,0,n239,220
221,0,n241,226
222,0,n216,216
223,0,n217,219
224,1,n221,undefined
225,0,n219,223
226,0,n220,225
227,0,n222,229
228,0,n218,222
229,0,n243,230
230,0,n227,236
231,0,n226,235
232,0,n225,254
233,0,n223,231
234,0,n224,233
235,0,n244,240
236,0,n245,239
237,0,n231,242
238,0,n233,244
239,0,n232,243
240,0,n230,241
241,1,n229,undefined
242,0,n228,237
243,0,n270,245
244,0,n271,246
245,0,n247,247
246,0,n248,249
247,0,n246,248
248,0,n249,250
249,0,n251,253
250,0,n250,252
251,0,n281,256
252,0,n282,257
253,0,n272,258
254,0,n273,260
255,0,n274,263
256,0,n252,255
257,0,n253,259
258,0,n257,265
259,0,n255,261
260,0,n256,264
261,0,n254,262
262,0,n275,270
263,0,n276,272
264,0,n277,269
265,0,n278,268
266,0,n263,276
267,0,n262,275
268,0,n261,274
269,0,n259,271
270,0,n260,273
271,0,n258,267
272,0,n279,279
273,0,n280,278
274,0,n269,284
275,0,n267,282
276,0,n268,283
277,0,n266,281
278,0,n265,280
279,0,n264,277
280,0,n297,285
281,0,n298,286
282,0,n284,287
283,0,n285,289
284,0,n283,288
285,0,n286,290
286,0,n288,293
287,0,n287,292
288,0,n301,302
289,0,n299,296
290,0,n303,303
291,0,n302,299
292,0,n300,295
293,0,n304,304
294,0,n289,294
295,0,n290,298
296,0,n294,306
297,0,n292,301
298,0,n293,305
299,0,n291,300
300,0,n305,311
301,0,n306,310
302,0,n307,309
303,0,n295,308
304,0,n333,313
305,0,n312,316
306,0,n310,314
307,0,n314,319
308,0,n313,318
309,0,n311,317
310,0,n309,315
311,0,n334,320
312,0,n337,329
313,0,n335,323
314,0,n338,328
315,0,n336,324
316,0,n339,327
317,0,n320,331
318,0,n316,321
319,0,n318,326
320,0,n319,330
321,1,n317,undefined
322,0,n315,322
323,0,n340,334
324,0,n341,335
325,0,n342,339
326,0,n324,337
327,0,n322,333
328,0,n326,338
329,0,n325,340
330,0,n323,336
331,0,n321,332
332,0,n343,343
333,0,n344,344
334,0,n345,349
335,0,n332,348
336,0,n328,342
337,0,n330,345
338,0,n331,347
339,0,n329,346
340,0,n327,341
341,0,n370,353
342,0,n371,351
343,0,n372,352
344,0,n349,355
345,0,n347,350
346,0,n351,358
347,0,n350,357
348,0,n348,356
349,0,n346,354
350,0,n373,361
351,0,n374,359
352,0,n375,364
353,0,n357,367
354,0,n353,360
355,0,n355,365
356,0,n356,366
357,0,n354,363
358,0,n352,362
359,0,n376,372
360,0,n377,371
361,0,n378,368
362,0,n361,374
363,0,n359,370
364,0,n363,375
365,0,n362,376
366,0,n360,373
367,0,n358,369
368,0,n369,382
369,0,n365,378
370,0,n367,379
371,0,n368,381
372,0,n366,380
373,0,n364,377
374,0,n403,384
375,0,n404,386
376,0,n382,388
377,0,n380,385
378,0,n384,390
379,0,n383,389
380,0,n381,387
381,0,n379,383
382,0,n405,392
383,0,n407,398
384,1,n409,undefined
385,0,n406,393
386,0,n408,397
387,0,n410,406
388,0,n386,394
389,0,n390,399
390,0,n388,396
391,0,n389,400
392,0,n387,395
393,0,n385,391
394,0,n396,405
395,0,n394,404
396,0,n392,402
397,0,n395,407
398,0,n393,403
399,0,n391,401
400,0,n411,410
401,0,n412,414
402,0,n398,409
403,0,n402,415
404,0,n400,412
405,0,n401,413
406,0,n399,411
407,0,n397,408
408,0,n437,419
409,0,n438,417
410,0,n416,421
411,0,n414,418
412,0,n418,423
413,0,n417,422
414,0,n415,420
415,0,n413,416
416,0,n442,426
417,0,n439,428
418,0,n420,425
419,0,n424,431
420,0,n422,429
421,0,n423,430
422,0,n421,427
423,0,n419,424
424,0,n440,444
425,0,n441,436
426,0,n426,433
427,0,n430,438
428,0,n428,435
429,0,n425,432
430,0,n427,434
431,0,n429,437
432,0,n434,441
433,0,n432,440
434,0,n436,445
435,1,n431,undefined
436,0,n433,442
437,0,n435,443
438,0,n467,446
439,0,n444,447
440,0,n445,449
441,0,n443,448
442,0,n446,450
443,0,n448,451
444,0,n447,452
445,0,n471,458
446,0,n472,459
447,0,n468,456
448,0,n469,455
449,0,n470,454
450,0,n449,453
451,0,n450,457
452,0,n454,464
453,0,n452,461
454,0,n453,462
455,0,n451,460
456,1,n473,undefined
457,0,n474,468
458,0,n475,467
459,0,n476,466
460,0,n460,475
461,0,n459,474
462,0,n458,472
463,0,n456,470
464,0,n457,471
465,0,n455,469
466,0,n477,478
467,0,n478,479
468,0,n466,482
469,0,n464,480
470,0,n465,483
471,0,n463,481
472,0,n462,477
473,0,n461,476
474,0,n503,484
475,0,n504,487
476,1,n480,undefined
477,0,n481,488
478,0,n479,486
479,0,n482,489
480,1,n484,undefined
481,0,n483,491
482,0,n508,497
483,0,n509,498
484,0,n505,495
485,0,n506,494
486,0,n507,492
487,0,n485,493
488,0,n486,496
489,0,n490,503
490,1,n488,undefined
491,0,n489,501
492,0,n487,499
493,0,n510,502
494,0,n511,508
495,0,n512,506
496,0,n513,504
497,1,n496,undefined
498,0,n495,513
499,0,n494,510
500,1,n492,undefined
501,0,n493,509
502,0,n491,505
503,0,n514,517
504,0,n515,516
505,0,n502,521
506,1,n500,undefined
507,0,n501,520
508,0,n499,519
509,0,n498,515
510,0,n497,512
511,0,n540,524
512,0,n541,526
513,0,n519,527
514,0,n517,523
515,0,n518,525
516,0,n516,522
517,0,n521,529
518,0,n520,528
519,0,n542,531
520,0,n543,536
521,0,n523,532
522,0,n522,530
523,0,n527,537
524,0,n525,534
525,0,n526,535
526,0,n524,533
527,0,n544,538
528,0,n531,543
529,0,n529,541
530,0,n530,542
531,0,n528,540
532,0,n533,544
533,0,n532,545
534,0,n545,547
535,0,n546,549
536,0,n535,548
537,0,n534,546
538,0,n539,552
539,1,n537,undefined
540,0,n538,551
541,0,n536,550
542,0,n571,555
543,0,n572,557
544,0,n550,558
545,0,n552,560
546,0,n551,559
547,0,n548,553
548,0,n549,556
549,0,n547,554
550,0,n574,579
551,0,n573,563
552,0,n558,567
553,0,n554,562
554,0,n556,565
555,0,n555,564
556,0,n557,566
557,0,n553,561
558,0,n575,580
559,0,n577,572
560,0,n578,574
561,0,n562,571
562,0,n564,575
563,0,n563,573
564,0,n560,569
565,1,n561,undefined
566,1,n559,undefined
567,0,n579,578
568,0,n570,584
569,1,n566,undefined
570,1,n568,undefined
571,0,n567,581
572,0,n569,583
573,0,n565,576
574,0,n604,585
575,0,n605,586
576,0,n581,587
577,0,n582,589
578,0,n580,588
579,0,n583,590
580,0,n585,591
581,0,n584,592
582,0,n613,594
583,0,n606,603
584,0,n607,598
585,0,n608,599
586,0,n586,593
587,0,n587,595
588,0,n591,601
589,0,n589,597
590,0,n590,600
591,0,n588,596
592,0,n609,604
593,0,n597,609
594,0,n596,608
595,0,n595,607
596,0,n593,605
597,0,n594,606
598,0,n592,602
599,0,n610,614
600,0,n611,612
601,0,n612,611
602,0,n599,613
603,0,n603,618
604,0,n598,610
605,0,n601,616
606,0,n602,617
607,0,n600,615
608,0,n638,619
609,0,n639,621
610,0,n617,624
611,0,n615,622
612,0,n614,620
613,0,n616,623
614,0,n619,626
615,0,n618,625
616,1,n640,undefined
617,0,n641,627
618,0,n642,629
619,0,n621,630
620,0,n625,634
621,0,n620,628
622,0,n623,632
623,0,n622,631
624,0,n624,633
625,0,n629,638
626,0,n627,636
627,0,n631,640
628,0,n626,635
629,0,n628,637
630,0,n630,639
631,0,n633,642
632,0,n637,651
633,0,n635,647
634,0,n632,641
635,0,n634,645
636,0,n636,649
637,0,n668,653
638,0,n669,655
639,0,n647,658
640,0,n645,656
641,0,n649,659
642,0,n648,660
643,0,n646,657
644,0,n644,654
645,0,n670,663
646,0,n673,671
647,0,n671,665
648,0,n674,670
649,0,n677,677
650,0,n672,664
651,0,n675,669
652,0,n678,681
653,0,n655,672
654,0,n651,666
655,0,n653,667
656,0,n654,673
657,0,n652,668
658,0,n650,662
659,0,n676,675
660,0,n659,678
661,0,n661,682
662,0,n657,676
663,0,n660,680
664,0,n658,679
665,0,n656,674
666,0,n679,683
667,0,n680,686
668,0,n681,690
669,0,n667,691
670,0,n663,685
671,0,n665,688
672,0,n666,689
673,0,n664,687
674,0,n662,684
675,0,n706,696
676,0,n707,695
677,0,n708,692
678,0,n685,698
679,0,n683,693
680,0,n687,699
681,0,n686,700
682,0,n684,697
683,0,n682,694
684,0,n709,704
685,0,n710,702
686,0,n711,705
687,0,n693,708
688,0,n689,703
689,0,n691,706
690,0,n692,709
691,0,n690,707
692,0,n688,701
693,0,n712,714
694,0,n713,713
695,0,n714,712
696,0,n697,715
697,0,n699,718
698,0,n695,711
699,0,n698,717
700,0,n696,716
701,0,n694,710
702,0,n705,724
703,1,n701,undefined
704,1,n703,undefined
705,0,n704,723
706,0,n702,721
707,0,n700,719
708,0,n739,728
709,0,n718,729
710,0,n716,725
711,0,n720,731
712,0,n719,730
713,0,n717,727
714,0,n715,726
715,0,n740,735
716,0,n742,739
717,0,n741,734
718,0,n743,738
719,0,n745,749
720,0,n726,740
721,0,n722,733
722,0,n724,736
723,0,n725,741
724,0,n723,737
725,0,n721,732
726,0,n744,744
727,0,n730,745
728,0,n732,748
729,0,n728,743
730,0,n731,747
731,0,n729,746
732,0,n727,742
733,0,n746,752
734,0,n747,756
735,0,n738,757
736,0,n734,750
737,0,n736,754
738,0,n737,755
739,0,n735,753
740,0,n733,751
741,0,n772,761
742,0,n773,760
743,0,n751,763
744,0,n749,759
745,0,n753,765
746,0,n752,764
747,0,n750,762
748,0,n748,758
749,0,n774,779
750,1,n776,undefined
751,0,n759,770
752,0,n755,767
753,0,n757,769
754,0,n758,771
755,0,n756,768
756,0,n754,766
757,0,n775,785
758,0,n763,775
759,0,n765,777
760,0,n761,773
761,0,n764,776
762,0,n762,774
763,0,n760,772
764,0,n767,780
765,0,n771,784
766,0,n769,782
767,0,n768,781
768,0,n766,778
769,0,n770,783
770,0,n801,786
771,0,n778,787
772,0,n779,789
773,0,n777,788
774,0,n780,790
775,0,n782,791
776,0,n781,793
777,0,n802,795
778,0,n804,800
779,0,n803,794
780,0,n805,799
