idx,matchtype,partid,ppartid
0,0,n17,0
1,0,n18,2
2,0,n19,4
3,0,n20,6
4,0,n1,1
5,0,n2,3
6,0,n21,8
7,0,n22,10
8,0,n23,13
9,0,n3,5
10,0,n4,7
11,0,n24,14
12,0,n26,19
13,1,n5,undefined
14,1,n13,undefined
15,0,n6,11
16,0,n7,12
17,0,n8,15
18,0,n10,18
19,0,n27,21
20,0,n28,22
21,0,n25,16
22,0,n11,20
23,1,n12,undefined
24,0,n9,17
25,0,n32,30
26,0,n30,26
27,0,n31,27
28,0,n29,24
29,0,n16,29
30,0,n14,25
31,0,n15,28
32,0,n49,31
33,0,n50,33
34,0,n51,35
35,0,n52,37
36,0,n33,32
37,0,n34,34
38,0,n35,36
39,0,n36,39
40,0,n53,40
41,0,n54,38
42,0,n55,43
43,0,n59,45
44,0,n56,46
45,0,n37,41
46,0,n38,42
47,0,n39,44
48,0,n42,49
49,1,n40,undefined
50,0,n60,52
51,0,n58,50
52,0,n57,47
53,0,n43,51
54,0,n44,53
55,0,n41,48
56,0,n64,60
57,0,n62,56
58,0,n63,58
59,0,n61,54
60,0,n48,61
61,0,n46,57
62,0,n47,59
63,0,n45,55
64,0,n81,62
65,0,n82,64
66,0,n83,65
67,0,n84,68
68,0,n65,63
69,0,n66,66
70,0,n67,67
71,0,n68,69
72,0,n85,70
73,0,n86,72
74,0,n87,75
75,0,n88,76
76,0,n90,80
77,0,n69,71
78,0,n70,73
79,0,n71,74
80,0,n72,77
81,0,n74,81
82,0,n91,82
83,0,n92,85
84,0,n89,78
85,0,n75,83
86,0,n76,84
87,0,n73,79
88,0,n96,93
89,0,n94,89
90,0,n95,91
91,1,n93,undefined
92,0,n80,92
93,0,n78,88
94,0,n79,90
95,0,n77,86
96,0,n113,94
97,0,n114,96
98,0,n115,98
99,0,n116,100
100,0,n97,95
101,0,n98,97
102,0,n99,99
103,0,n100,101
104,0,n117,102
105,0,n118,104
106,0,n119,106
107,0,n101,103
108,0,n120,108
109,0,n122,113
110,0,n102,105
111,0,n103,107
112,0,n104,109
113,0,n106,112
114,0,n123,115
115,0,n124,116
116,0,n121,110
117,0,n107,114
