xml_id	midi_id	track	channel	pitch	onset
n19	1	1	0	45	2.4551209624999997
n25	11	1	0	47	3.072640508333332
n22	5	1	0	48	2.762812362499999
n2	0	1	0	52	2.049139254166666
n28	17	1	0	52	3.385673772916666
n20	deletion
n26	13	1	0	53	3.2051187499999987
n23	10	1	0	57	2.924136672916666
n29	19	1	0	59	3.5395194729166657
n21	3	1	0	60	2.631402493749999
n27	16	1	0	62	3.237169937499999
n4	4	1	0	64	2.641017849999999
n24	9	1	0	64	2.920931554166666
n30	22	1	0	64	3.5566134395833324
n16	20	1	0	68	3.5427245916666656
n8	6	1	0	69	2.9230682999999993
n12	15	1	0	69	3.2318280729166657
n5	deletion
n13	14	1	0	74	3.2296913270833323
n6	2	1	0	76	2.6260606291666657
n9	7	1	0	76	2.9284101645833323
n17	21	1	0	76	3.544861337499999
n18	18	1	0	80	3.529904116666666
n10	8	1	0	81	2.9155896895833324
n14	12	1	0	81	3.2158024791666655
n49	27	1	0	45	3.9636635208333324
n46	23	1	0	48	3.6762712062499987
n47	26	1	0	57	3.831185279166666
n50	31	1	0	57	4.132466441666665
n51	32	1	0	64	4.136739933333332
n48	deletion
n32	24	1	0	69	3.823706668749999
n35	28	1	0	72	4.119645966666665
n33	25	1	0	76	3.831185279166666
n36	29	1	0	76	4.112167356249999
n37	30	1	0	84	4.113235729166665
n52	34	1	0	50	4.280970277083333
n55	44	1	0	50	4.8792591104166645
n56	43	1	0	56	4.744644122916665
n53	deletion
n54	37	1	0	65	4.444431333333333
n57	40	1	0	65	4.7382338854166655
n43	39	1	0	71	4.745712495833332
n39	36	1	0	72	4.434815977083333
n40	38	1	0	77	4.4316108583333325
n44	42	1	0	77	4.7360971395833324
n45	41	1	0	83	4.733960393749999
n41	35	1	0	84	4.417722010416666
n77	51	1	0	48	5.19442912083333
n74	deletion
n75	48	1	0	57	5.036309929166665
n78	53	1	0	57	5.356821804166664
n79	52	1	0	64	5.33545434583333
n76	46	1	0	65	5.036309929166665
n59	45	1	0	69	5.044856912499998
n63	54	1	0	76	5.365368787499997
n60	49	1	0	77	5.068361116666664
n61	47	1	0	81	5.038446674999998
n64	deletion
n65	55	1	0	88	5.345069702083331
n83	deletion
n80	deletion
n84	65	1	0	52	5.942290162499995
n81	60	1	0	53	5.652761102083329
n85	63	1	0	59	5.929469687499995
n82	57	1	0	62	5.628188524999996
n86	64	1	0	62	5.928401314583328
n67	58	1	0	74	5.661308085416662
n71	68	1	0	76	5.949768772916661
n72	67	1	0	80	5.944426908333328
n68	59	1	0	81	5.661308085416662
n69	61	1	0	86	5.648487610416662
n73	66	1	0	88	5.938016670833328
n103	69	1	0	45	6.08438376041666
