xml_id	midi_id	track	channel	pitch	onset
n25	0	0	0	32	2.0491432499999997
n26	4	0	0	48	2.4957240000000023
n34	17	0	0	48	3.0726465000000047
n28	7	0	0	51	2.694441750000002
n32	16	0	0	51	2.9337577500000034
n27	6	0	0	56	2.480766750000002
n30	12	0	0	56	2.807689500000002
n35	19	0	0	56	3.103629375000005
n33	14	0	0	60	2.9390996250000034
n29	deletion
n31	10	0	0	63	2.805552750000002
n1	1	0	0	66	2.190168750000001
n5	8	0	0	66	2.648501625000002
n9	15	0	0	66	2.9465782500000035
n3	3	0	0	68	2.520296625000002
n7	11	0	0	68	2.8418775000000025
n11	deletion
n2	2	0	0	75	2.179485000000001
n6	9	0	0	75	2.660253750000002
n10	18	0	0	75	2.9679457500000037
n4	5	0	0	77	2.4903821250000022
n8	13	0	0	77	2.8173048750000023
n12	21	0	0	77	3.111108000000005
n36	20	0	0	37	3.2991420000000056
n37	deletion
n39	30	0	0	53	3.674141625000007
n38	26	0	0	56	3.541663125000007
n40	28	0	0	61	3.690167250000007
n13	22	0	0	65	3.3579026250000057
n15	23	0	0	66	3.538458000000007
n17	27	0	0	67	3.692304000000007
n14	24	0	0	73	3.3376035000000055
n16	29	0	0	75	3.525637500000007
n18	31	0	0	76	3.662389500000007
n41	25	0	0	49	3.537389625000007
n45	34	0	0	49	3.8226457500000075
n43	39	0	0	53	3.965808000000008
n42	35	0	0	56	3.8269192500000075
n72	47	0	0	56	4.44550837500001
n75	55	0	0	56	4.7083286250000125
n80	62	0	0	56	4.964738625000015
n83	70	0	0	56	5.307687000000017
n87	78	0	0	56	5.59935337500002
n46	deletion
n91	deletion
n44	37	0	0	61	3.9401670000000077
n23	40	0	0	65	4.082260875000008
n21	36	0	0	68	3.9433721250000078
n19	32	0	0	70	3.8194406250000075
n24	41	0	0	73	4.074782250000008
n22	38	0	0	77	3.9380302500000077
n20	33	0	0	78	3.8044833750000073
n70	42	0	0	44	4.241448750000009
n71	45	0	0	48	4.43909812500001
n73	51	0	0	51	4.598286000000011
n74	49	0	0	60	4.577986875000011
n49	46	0	0	66	4.43375625000001
n47	43	0	0	68	4.283115375000009
n51	50	0	0	68	4.595080875000011
n50	48	0	0	75	4.44123487500001
n48	44	0	0	77	4.278841875000009
n52	52	0	0	77	4.583328750000011
n79	60	0	0	48	4.941234375000015
n77	59	0	0	51	4.829055000000014
n78	57	0	0	60	4.831191750000014
n76	53	0	0	63	4.7061918750000125
n53	54	0	0	66	4.7083286250000125
n57	63	0	0	66	4.997858250000015
n55	58	0	0	68	4.854696000000014
n54	56	0	0	75	4.7061918750000125
n58	64	0	0	75	4.979695875000015
n56	61	0	0	77	4.840807125000014
n81	65	0	0	37	5.128200000000016
n82	69	0	0	49	5.306618625000017
n84	74	0	0	53	5.455122750000019
n85	71	0	0	61	5.444439000000019
n59	66	0	0	65	5.137815375000016
n92	87	0	0	67	6.120720375000023
n122	98	0	0	67	6.599352375000025
n62	deletion
n60	67	0	0	73	5.144225625000016
n61	73	0	0	75	5.285251125000017
n63	72	0	0	76	5.435892000000019
n86	77	0	0	49	5.60576362500002
n90	84	0	0	49	5.866447125000022
n88	82	0	0	53	5.744652375000022
n89	80	0	0	61	5.701917375000021
n68	83	0	0	65	5.872857375000022
n66	79	0	0	68	5.727558375000021
n64	76	0	0	70	5.58760125000002
n69	85	0	0	73	5.862173625000022
n67	81	0	0	77	5.721148125000021
n65	75	0	0	78	5.57050725000002
n116	86	0	0	39	6.043797375000024
n117	deletion
n119	97	0	0	58	6.463668750000025
n118	90	0	0	61	6.319438125000024
n120	93	0	0	63	6.434822625000025
n94	89	0	0	68	6.303412500000024
n96	94	0	0	69	6.433754250000025
n93	deletion
n95	92	0	0	77	6.295933875000024
n97	96	0	0	78	6.428412375000025
n125	106	0	0	51	6.872856375000027
n123	103	0	0	58	6.760677000000027
n121	100	0	0	61	6.607899375000025
n126	deletion
n124	102	0	0	63	6.751061625000027
n98	95	0	0	70	6.585463500000025
n100	101	0	0	72	6.7158052500000265
n102	104	0	0	73	6.866446125000027
n99	99	0	0	79	6.570506250000025
n101	105	0	0	80	6.7147368750000265
n103	107	0	0	82	6.856830750000027
n127	108	0	0	44	7.0213605000000285
n128	115	0	0	56	7.19443725000003
n130	118	0	0	60	7.316232000000031
n129	114	0	0	63	7.2232833750000305
n131	117	0	0	68	7.288454250000031
n104	109	0	0	74	7.042728000000029
n108	119	0	0	76	7.315163625000031
n106	deletion
n105	110	0	0	83	7.035249375000029
n107	113	0	0	84	7.17520650000003
n109	120	0	0	84	7.311958500000031
n132	121	0	0	49	7.472214750000033
n133	126	0	0	53	7.6292658750000335
n135	129	0	0	56	7.761744375000035
n134	127	0	0	61	7.6271291250000335
n136	128	0	0	65	7.742513625000035
n114	130	0	0	72	7.748923875000035
n112	125	0	0	77	7.611103500000033
n110	122	0	0	79	7.466872875000033
n115	131	0	0	80	7.751060625000035
n113	124	0	0	85	7.601488125000033
n111	123	0	0	87	7.458325875000033
n161	132	0	0	51	7.900633125000036
n162	135	0	0	55	8.065162875000034
n164	141	0	0	58	8.205120000000031
n163	137	0	0	63	8.069436375000034
n165	138	0	0	67	8.18375250000003
n139	136	0	0	73	8.060889375000036
n137	133	0	0	75	7.922000625000036
n141	140	0	0	75	8.18588925000003
n140	139	0	0	82	8.054479125000036
n138	134	0	0	84	7.905975000000036
n142	142	0	0	84	8.180547375000032
