idx,matchtype,partid,ppartid
0,0,n25,0
1,0,n26,3
2,0,n34,16
3,0,n28,7
4,0,n32,13
5,0,n27,4
6,0,n30,10
7,0,n38,23
8,0,n42,31
9,1,n35,undefined
10,0,n33,14
11,1,n29,undefined
12,1,n31,undefined
13,0,n1,1
14,0,n5,8
15,0,n9,15
16,0,n3,5
17,0,n7,11
18,0,n11,17
19,0,n2,2
20,0,n6,9
21,0,n10,18
22,0,n4,6
23,0,n8,12
24,0,n12,19
25,0,n36,20
26,1,n37,undefined
27,0,n39,27
28,0,n40,26
29,0,n13,21
30,0,n49,43
31,0,n53,50
32,1,n15,undefined
33,0,n17,25
34,0,n14,22
35,0,n16,24
36,0,n18,28
37,0,n41,29
38,0,n45,37
39,0,n43,36
40,1,n46,undefined
41,0,n44,34
42,0,n23,38
43,0,n21,33
44,0,n19,30
45,0,n24,39
46,0,n22,35
47,0,n20,32
48,0,n70,40
49,0,n71,45
50,0,n73,47
51,0,n72,44
52,1,n74,undefined
53,0,n47,41
54,0,n51,48
55,0,n50,46
56,0,n48,42
57,0,n52,52
58,0,n79,59
59,0,n77,54
60,0,n75,51
61,0,n80,57
62,0,n78,56
63,0,n76,49
64,0,n57,58
65,0,n55,55
66,0,n54,53
67,0,n58,61
68,0,n56,60
69,0,n81,62
70,0,n86,70
71,1,n82,undefined
72,0,n84,68
73,0,n87,72
74,1,n83,undefined
75,0,n89,75
76,0,n118,86
77,0,n121,94
78,1,n85,undefined
79,0,n59,63
80,0,n62,67
81,0,n60,64
82,0,n61,66
83,0,n63,69
84,0,n90,78
85,0,n88,77
86,1,n91,undefined
87,0,n68,79
88,0,n66,73
89,0,n64,71
90,0,n69,80
91,0,n67,76
92,0,n65,74
93,0,n116,81
94,0,n117,87
95,0,n119,89
96,1,n120,undefined
97,0,n92,82
98,0,n94,84
99,0,n96,88
100,1,n93,undefined
101,0,n95,85
102,0,n97,91
103,0,n125,97
104,0,n123,95
105,1,n126,undefined
106,1,n124,undefined
107,0,n122,90
108,0,n98,92
109,0,n100,98
110,0,n102,99
111,0,n99,93
112,1,n101,undefined
113,0,n103,100
114,0,n127,101
115,1,n128,undefined
116,0,n130,107
117,0,n129,106
118,1,n131,undefined
119,0,n104,102
120,0,n108,109
121,1,n106,undefined
122,0,n105,103
123,0,n107,105
124,0,n109,108
125,0,n132,110
126,1,n133,undefined
127,0,n135,116
128,0,n134,114
129,0,n136,118
130,0,n114,117
131,0,n112,112
132,0,n110,111
133,0,n115,119
134,0,n113,115
135,0,n111,113
136,0,n161,120
137,0,n162,123
138,0,n164,127
139,0,n163,124
140,1,n165,undefined
141,0,n139,125
142,0,n137,121
143,0,n141,128
144,0,n140,126
145,0,n138,122
146,0,n142,130
147,1,n170,undefined
148,0,n168,135
149,0,n166,133
150,0,n171,140
151,0,n169,136
152,0,n167,129
153,0,n143,131
154,0,n147,138
155,0,n145,134
156,0,n144,132
157,0,n148,139
158,0,n146,137
159,0,n174,145
160,0,n176,152
161,0,n172,143
162,1,n212,undefined
163,0,n175,147
164,0,n177,149
165,0,n173,141
166,0,n153,151
167,0,n149,142
168,0,n151,148
169,0,n154,150
170,0,n150,144
171,0,n152,146
172,0,n182,161
173,0,n178,153
174,0,n180,159
175,0,n179,155
176,0,n181,157
177,0,n196,188
178,1,n183,undefined
179,0,n157,158
180,0,n159,164
181,0,n155,156
182,0,n158,160
183,0,n160,163
184,0,n156,154
185,1,n208,undefined
186,0,n209,170
187,0,n211,172
188,0,n210,168
189,0,n184,166
190,0,n188,173
191,0,n186,171
192,0,n185,167
193,0,n189,174
194,0,n187,169
195,0,n217,181
196,0,n215,178
197,0,n213,175
198,0,n218,185
199,0,n216,180
200,1,n214,undefined
201,0,n192,179
202,0,n190,176
203,0,n194,184
204,0,n193,183
205,0,n191,177
206,0,n195,186
207,0,n219,187
208,1,n220,undefined
209,0,n222,195
210,0,n221,191
211,0,n223,193
212,0,n198,182
213,0,n232,212
214,0,n236,219
215,0,n200,194
216,0,n197,190
217,0,n199,192
218,0,n201,196
219,0,n224,200
220,0,n228,204
221,0,n226,203
222,0,n225,198
223,0,n255,211
224,0,n258,220
225,1,n229,undefined
226,0,n227,202
227,0,n206,206
228,0,n204,201
229,0,n202,197
230,0,n207,207
231,0,n205,205
232,0,n203,199
233,0,n253,208
234,0,n254,213
235,0,n256,215
236,1,n257,undefined
237,0,n230,209
238,0,n234,216
239,0,n233,214
240,0,n231,210
241,0,n235,217
242,0,n262,228
243,0,n260,222
244,0,n263,225
245,0,n261,224
246,0,n259,218
247,0,n240,226
248,0,n238,223
249,0,n237,221
250,0,n241,227
251,0,n239,229
252,0,n264,230
253,1,n265,undefined
254,0,n267,238
255,0,n266,235
256,0,n268,237
257,0,n242,231
258,0,n245,236
259,0,n243,232
260,0,n244,233
261,0,n246,239
262,0,n269,242
263,0,n273,248
264,0,n271,247
265,0,n270,241
266,1,n274,undefined
267,0,n272,245
268,0,n251,249
269,0,n249,244
270,0,n247,240
271,0,n252,250
272,0,n250,246
273,0,n248,243
274,0,n299,251
275,1,n300,undefined
276,0,n302,259
277,0,n301,256
278,0,n303,260
279,0,n275,252
280,0,n277,254
281,0,n279,257
282,0,n276,253
283,0,n278,255
284,0,n280,258
285,0,n308,270
286,0,n306,269
287,0,n304,264
288,0,n309,271
289,0,n307,267
290,0,n305,263
291,1,n314,undefined
292,0,n281,261
293,0,n283,265
294,0,n285,273
295,0,n282,262
296,0,n284,266
297,0,n286,272
298,0,n310,274
299,1,n311,undefined
300,0,n313,283
301,0,n312,280
302,0,n287,275
303,0,n289,278
304,0,n291,281
305,0,n288,276
306,0,n290,279
307,0,n292,282
308,0,n319,290
309,0,n317,289
310,0,n315,285
311,1,n320,undefined
312,1,n318,undefined
313,0,n316,268
314,0,n293,284
315,0,n295,287
316,0,n297,291
317,0,n294,286
318,0,n296,288
319,0,n298,293
320,0,n345,292
321,0,n346,296
322,0,n348,302
323,0,n347,298
324,0,n349,300
325,0,n321,294
326,0,n325,304
327,0,n323,297
328,0,n322,295
329,0,n326,301
330,0,n324,299
331,0,n354,311
332,0,n352,310
333,0,n350,305
334,1,n355,undefined
335,0,n353,308
336,0,n351,303
337,0,n329,312
338,0,n331,314
339,0,n327,306
340,0,n330,309
341,0,n332,313
342,0,n328,307
343,0,n356,315
344,1,n357,undefined
345,0,n359,322
346,0,n358,319
347,1,n360,undefined
348,0,n337,323
349,0,n333,316
350,0,n335,320
351,0,n338,321
352,0,n334,317
353,0,n336,318
354,0,n365,330
355,0,n363,328
356,0,n361,325
357,1,n366,undefined
358,1,n364,undefined
359,1,n362,undefined
360,0,n341,327
361,0,n343,331
362,0,n339,324
363,0,n342,329
364,0,n344,332
365,0,n340,326
366,0,n391,333
367,0,n392,338
368,0,n394,341
369,0,n393,339
370,1,n395,undefined
371,0,n367,334
372,0,n371,340
373,0,n369,337
374,0,n368,335
375,0,n372,342
376,0,n370,336
377,0,n400,351
378,0,n398,348
379,0,n396,344
380,1,n401,undefined
381,0,n399,347
382,0,n397,343
383,0,n375,349
384,0,n373,345
385,0,n377,352
386,0,n376,350
387,0,n374,346
388,0,n378,353
389,0,n402,354
390,1,n403,undefined
391,0,n405,361
392,0,n404,357
393,1,n406,undefined
394,0,n379,355
395,0,n383,360
396,0,n381,358
397,0,n380,356
398,0,n384,359
399,0,n382,362
400,0,n411,370
401,0,n409,367
402,0,n407,365
403,1,n412,undefined
404,1,n410,undefined
405,0,n408,363
406,0,n387,368
407,0,n385,366
408,0,n389,371
409,0,n388,369
410,0,n386,364
411,0,n390,373
412,0,n437,372
413,0,n438,376
414,0,n440,382
415,0,n439,379
416,1,n441,undefined
417,0,n413,374
418,0,n417,381
419,0,n415,378
420,0,n414,375
421,0,n418,380
422,0,n416,377
423,0,n446,391
424,0,n444,389
425,0,n442,385
426,1,n447,undefined
427,0,n445,387
428,0,n443,383
429,0,n421,388
430,0,n419,384
431,0,n423,393
432,0,n422,390
433,0,n420,386
434,0,n424,392
435,0,n448,394
436,1,n449,undefined
437,0,n451,402
438,0,n450,398
439,1,n452,undefined
440,0,n429,401
441,0,n425,395
442,0,n427,397
443,0,n430,400
444,0,n426,396
445,0,n428,399
446,0,n457,411
447,0,n455,408
448,0,n453,404
449,1,n458,undefined
450,0,n456,409
451,0,n454,403
452,0,n433,407
453,0,n431,405
454,0,n435,413
455,0,n434,410
456,0,n432,406
457,0,n436,412
458,0,n483,414
459,1,n484,undefined
460,0,n486,418
461,0,n485,417
462,1,n487,undefined
463,0,n459,415
464,0,n463,422
465,0,n461,419
466,0,n460,416
467,0,n464,421
468,0,n462,420
469,0,n488,423
470,1,n489,undefined
471,0,n491,429
472,0,n490,427
473,1,n492,undefined
474,0,n467,428
475,0,n465,425
476,0,n469,430
477,0,n468,426
478,0,n466,424
479,0,n470,431
480,0,n493,432
481,1,n494,undefined
482,0,n496,438
483,0,n495,435
484,1,n497,undefined
485,0,n471,433
486,0,n475,440
487,0,n473,436
488,0,n472,434
489,0,n476,439
490,0,n474,437
491,0,n498,441
492,1,n499,undefined
493,0,n501,447
494,0,n500,445
495,1,n502,undefined
496,0,n479,444
497,0,n477,442
498,0,n481,448
499,0,n480,446
500,0,n478,443
501,0,n482,449
502,0,n527,450
503,0,n528,455
504,0,n530,457
505,0,n529,453
506,1,n531,undefined
507,0,n503,451
508,0,n507,458
509,0,n505,456
510,0,n504,452
511,0,n508,459
512,0,n506,454
513,1,n536,undefined
514,0,n534,465
515,0,n532,460
516,1,n537,undefined
517,0,n535,463
518,1,n533,undefined
519,0,n511,464
520,0,n513,468
521,0,n509,461
522,0,n512,466
523,0,n514,467
524,0,n510,462
525,0,n538,469
526,0,n540,476
527,0,n541,474
528,0,n515,470
529,0,n519,475
530,0,n517,472
531,0,n516,471
532,0,n520,477
533,0,n518,473
534,0,n544,483
535,0,n542,479
536,0,n546,487
537,0,n543,478
538,0,n547,486
539,0,n545,482
540,0,n523,485
541,0,n521,480
542,1,n525,undefined
543,0,n524,484
544,0,n522,481
545,1,n526,undefined
546,0,n572,492
547,0,n576,500
548,0,n574,494
549,0,n575,495
550,0,n573,491
551,0,n577,499
552,0,n548,490
553,0,n552,498
554,0,n550,496
555,0,n549,493
556,0,n553,501
557,0,n551,497
558,0,n580,508
559,0,n578,504
560,0,n582,512
561,0,n579,502
562,0,n583,513
563,0,n581,506
564,0,n556,507
565,0,n554,503
566,0,n558,510
567,0,n557,509
568,0,n555,505
569,0,n559,511
570,0,n584,517
571,0,n588,524
572,0,n586,521
573,0,n587,520
574,0,n585,516
575,0,n589,523
576,0,n560,514
577,0,n562,518
578,0,n564,522
579,0,n561,515
580,0,n563,519
581,0,n565,525
582,0,n592,533
583,0,n590,528
584,0,n594,535
585,0,n591,527
586,0,n595,536
587,0,n593,531
588,0,n570,534
589,0,n568,530
590,0,n566,526
591,0,n571,537
592,0,n569,532
593,0,n567,529
594,0,n620,540
595,0,n624,548
596,0,n622,543
597,0,n623,542
598,0,n621,538
599,0,n625,546
600,0,n598,544
601,0,n596,539
602,0,n600,547
603,0,n599,545
604,0,n597,541
605,0,n601,549
606,0,n628,556
607,0,n626,552
608,0,n630,560
609,0,n627,550
610,0,n631,561
611,0,n629,554
612,0,n602,551
613,0,n606,558
614,0,n604,557
615,0,n603,553
616,0,n607,559
617,0,n605,555
618,0,n632,565
619,0,n636,572
620,0,n634,569
621,0,n635,568
622,0,n633,564
623,0,n637,570
624,0,n608,562
625,0,n610,566
626,0,n612,571
627,0,n609,563
628,0,n611,567
629,0,n613,573
630,0,n640,580
631,0,n638,576
632,0,n642,584
633,0,n639,575
634,0,n643,585
635,0,n641,579
636,0,n618,583
637,0,n616,578
638,0,n614,574
639,0,n619,582
640,0,n617,581
641,0,n615,577
642,0,n668,588
643,0,n672,596
644,0,n670,592
645,0,n671,590
646,0,n669,587
647,0,n673,594
648,0,n644,586
649,0,n648,595
650,0,n646,593
651,0,n645,589
652,0,n649,597
653,0,n647,591
654,0,n676,603
655,0,n674,600
656,0,n678,609
657,0,n675,598
658,0,n679,608
659,0,n677,602
660,0,n652,605
661,0,n650,601
662,0,n654,606
663,0,n653,604
664,0,n651,599
665,0,n655,607
666,0,n680,613
667,0,n684,620
668,0,n682,617
669,0,n683,616
670,0,n681,612
671,0,n685,619
672,0,n656,610
673,0,n658,614
674,0,n660,621
675,0,n657,611
676,0,n659,615
677,0,n661,618
678,0,n688,628
679,0,n686,624
680,0,n690,633
681,0,n687,623
682,0,n691,632
683,0,n689,629
684,0,n666,630
685,0,n664,625
686,0,n662,622
687,0,n667,631
688,0,n665,626
689,0,n663,627
690,0,n716,636
691,0,n720,644
692,0,n718,640
693,0,n719,638
694,0,n717,634
695,0,n721,642
696,0,n694,639
697,0,n692,635
698,0,n696,645
699,0,n695,641
700,0,n693,637
701,0,n697,643
702,0,n724,653
703,0,n722,648
704,0,n726,656
705,0,n723,647
706,0,n727,657
707,0,n725,651
708,0,n698,646
709,0,n702,654
710,0,n700,650
711,0,n699,649
712,0,n703,655
713,0,n701,652
714,0,n728,661
715,0,n732,669
716,0,n730,665
717,0,n731,664
718,0,n729,660
719,0,n733,668
720,0,n704,658
721,0,n706,662
722,0,n708,667
723,0,n705,659
724,0,n707,663
725,0,n709,666
726,0,n736,678
727,0,n734,672
728,0,n738,682
729,0,n735,673
730,0,n739,681
731,0,n737,677
732,0,n714,679
733,0,n712,674
734,0,n710,671
735,0,n715,680
736,0,n713,676
737,0,n711,675
738,0,n764,686
739,0,n768,694
740,0,n766,689
741,0,n767,690
742,0,n765,685
743,0,n769,693
744,0,n742,688
745,0,n740,683
746,0,n744,691
747,0,n743,687
748,0,n741,684
749,0,n745,692
750,0,n772,702
751,0,n770,698
752,0,n774,705
753,0,n771,697
754,0,n775,704
755,0,n773,701
756,0,n746,695
757,0,n750,703
758,0,n748,699
759,0,n747,696
760,0,n751,706
761,0,n749,700
762,0,n776,710
763,0,n780,718
764,0,n778,714
765,0,n779,713
766,0,n777,709
767,0,n781,717
768,0,n754,712
769,0,n752,707
770,0,n756,715
771,0,n755,711
772,0,n753,708
773,0,n757,716
774,0,n784,726
775,0,n782,721
776,0,n786,728
777,0,n783,720
778,0,n787,729
779,0,n785,725
780,0,n758,719
781,0,n762,727
782,0,n760,723
783,0,n759,722
784,0,n763,730
785,0,n761,724
786,0,n812,734
787,0,n816,742
788,0,n814,737
789,0,n815,736
790,0,n813,732
791,0,n817,740
792,0,n790,735
793,0,n788,731
794,0,n792,739
795,0,n791,738
796,0,n789,733
797,0,n793,741
798,0,n820,750
799,0,n818,745
800,0,n822,753
801,0,n819,746
802,0,n823,754
803,0,n821,749
804,0,n794,744
805,0,n798,751
806,0,n796,747
807,0,n795,743
808,0,n799,752
809,0,n797,748
