idx,matchtype,partid,ppartid
0,0,n16,0
1,0,n17,1
2,0,n19,9
3,0,n20,8
4,0,n1,2
5,0,n4,4
6,0,n6,6
7,0,n5,5
8,0,n7,7
9,0,n2,3
10,0,n21,10
11,0,n22,14
12,0,n23,18
13,0,n8,12
14,0,n24,21
15,0,n10,13
16,0,n12,17
17,0,n14,19
18,0,n9,11
19,0,n11,15
20,0,n13,16
21,0,n15,20
22,0,n34,22
23,0,n25,23
24,0,n26,24
25,0,n36,28
26,0,n37,27
27,0,n28,25
28,0,n29,26
29,0,n39,29
30,0,n31,30
31,0,n40,32
32,0,n32,33
33,0,n33,31
34,0,n53,35
35,0,n41,38
36,0,n54,34
37,0,n42,37
38,0,n43,36
39,0,n58,43
40,0,n59,46
41,0,n57,41
42,0,n56,40
43,0,n48,45
44,0,n47,44
45,0,n46,42
46,0,n45,39
47,0,n62,51
48,0,n63,53
49,0,n61,50
50,0,n60,47
51,0,n52,54
52,0,n51,52
53,0,n50,49
54,0,n49,48
55,0,n78,59
56,0,n79,61
57,0,n77,58
58,0,n76,55
59,0,n67,62
60,0,n66,60
61,0,n65,57
62,0,n64,56
63,0,n82,67
64,0,n83,70
65,0,n81,66
66,0,n80,64
67,0,n71,69
68,0,n70,68
69,0,n69,65
70,0,n68,63
71,0,n86,76
72,0,n87,78
73,0,n85,74
74,0,n84,72
75,0,n75,77
76,0,n74,75
77,0,n73,73
78,0,n72,71
79,0,n105,79
80,0,n106,80
81,0,n107,85
82,0,n88,82
83,0,n89,84
84,0,n90,81
85,0,n91,83
86,0,n109,87
87,0,n110,90
88,0,n93,86
89,0,n95,88
90,1,n94,undefined
91,0,n96,89
92,0,n111,91
93,0,n112,94
94,0,n113,99
95,0,n97,92
96,0,n114,100
97,0,n99,95
98,0,n101,97
99,0,n103,101
100,0,n98,93
101,0,n100,96
102,0,n102,98
103,0,n104,102
104,0,n125,103
105,0,n115,105
106,0,n116,104
107,0,n127,110
108,0,n128,109
109,0,n118,106
110,0,n119,107
111,0,n120,108
112,0,n130,111
113,0,n131,114
114,0,n122,115
115,0,n132,113
116,0,n123,112
117,0,n124,116
118,0,n145,120
119,0,n146,118
120,0,n133,117
121,0,n134,121
122,0,n135,119
123,0,n150,127
124,0,n149,124
125,0,n151,128
126,0,n153,132
127,0,n148,122
128,0,n140,131
129,0,n139,126
130,0,n138,125
131,0,n137,123
132,0,n154,134
133,0,n155,136
134,0,n152,130
135,0,n144,139
136,0,n143,135
137,0,n142,133
138,0,n141,129
139,0,n170,143
140,0,n169,140
141,0,n171,144
142,0,n168,137
143,0,n159,146
144,0,n158,142
145,0,n157,141
146,0,n156,138
147,0,n174,150
148,0,n173,148
149,0,n175,152
150,0,n172,145
151,0,n163,154
152,0,n162,151
153,0,n161,149
154,0,n160,147
155,0,n178,159
156,0,n177,156
157,0,n179,160
158,0,n176,153
159,0,n167,161
160,0,n166,158
161,0,n165,157
162,0,n164,155
163,0,n197,162
164,0,n198,163
165,0,n199,166
166,0,n180,164
167,0,n181,165
168,0,n182,167
169,0,n183,168
170,0,n201,171
171,0,n202,174
172,0,n185,169
173,0,n187,173
174,0,n186,170
175,0,n188,172
176,0,n203,175
177,0,n204,179
178,0,n205,182
179,0,n189,177
180,0,n206,184
181,0,n218,188
182,1,n191,undefined
183,0,n193,180
184,0,n195,183
185,0,n190,176
186,0,n192,178
187,0,n194,181
188,0,n196,185
189,0,n207,186
190,0,n208,187
191,0,n220,190
192,0,n221,191
193,0,n210,189
194,0,n211,193
195,0,n212,192
196,0,n213,194
197,0,n223,200
198,0,n224,199
199,0,n215,195
200,0,n225,197
201,0,n216,198
202,0,n217,196
203,0,n244,202
204,0,n245,203
205,0,n226,201
206,0,n227,207
207,0,n228,206
208,0,n229,205
209,0,n230,204
210,0,n247,212
211,0,n248,213
212,0,n232,209
213,0,n234,210
214,0,n233,208
215,0,n235,211
216,0,n249,214
217,0,n250,218
218,0,n251,222
219,0,n236,216
220,0,n252,225
221,0,n238,217
222,0,n240,221
223,0,n242,224
224,0,n237,215
225,0,n239,219
226,0,n241,220
227,0,n243,223
228,0,n264,227
229,0,n253,226
230,0,n254,228
