xml_id	midi_id	track	channel	pitch	onset
n6	1	1	0	46	1.0
n1	0	1	0	58	1.0
n7	3	1	0	45	1.3822916666666667
n8	4	1	0	46	1.4447916666666667
n9	6	1	0	49	1.5052083333333333
n2	2	1	0	57	1.3666666666666667
n3	5	1	0	58	1.421875
n4	7	1	0	61	1.5
n16	8	1	0	53	1.56875
n10	9	1	0	65	1.5572916666666667
n18	10	1	0	45	1.9239583333333337
n19	13	1	0	46	2.0218750000000005
n20	14	1	0	49	2.067708333333334
n12	11	1	0	57	1.938541666666667
n13	12	1	0	58	2.010416666666667
n14	15	1	0	61	2.0750000000000006
n25	17	1	0	53	2.163541666666668
n21	16	1	0	65	2.151041666666668
n35	18	1	0	34	3.2239583333333353
n36	20	1	0	46	3.2239583333333353
n31	19	1	0	58	3.2239583333333353
n43	22	1	0	58	3.834375000000002
n44	25	1	0	60	3.8437500000000018
n45	27	1	0	63	3.8437500000000018
n46	28	1	0	66	3.834375000000002
n47	26	1	0	70	3.8208333333333355
n39	24	1	0	82	3.8114583333333356
n40	23	1	0	90	3.8229166666666687
n41	21	1	0	94	3.813541666666669
n67	35	1	0	58	4.934375000000001
n68	33	1	0	60	4.946875
n73	deletion
n69	32	1	0	63	4.941666666666667
n74	39	1	0	63	5.2124999999999995
n79	deletion
n70	34	1	0	66	4.930208333333335
n71	31	1	0	70	4.922916666666668
n57	30	1	0	75	4.922916666666668
n58	29	1	0	84	4.930208333333335
n59	36	1	0	87	4.913541666666668
n72	41	1	0	58	5.187499999999999
n75	40	1	0	66	5.180208333333333
n76	42	1	0	70	5.171875
n60	37	1	0	77	5.176041666666666
n61	38	1	0	84	5.163541666666666
n62	deletion
n77	deletion
n78	deletion
n80	deletion
n81	deletion
n63	43	1	0	78	5.263541666666666
n64	45	1	0	84	5.263541666666666
n65	44	1	0	90	5.263541666666666
n90	50	1	0	58	5.506249999999999
n91	51	1	0	61	5.529166666666665
n92	47	1	0	65	5.511458333333332
n93	46	1	0	70	5.4885416666666655
n82	48	1	0	77	5.506249999999999
n83	52	1	0	85	5.511458333333332
n84	49	1	0	89	5.506249999999999
n95	53	1	0	45	5.923958333333329
n96	55	1	0	46	6.001041666666662
n97	57	1	0	49	6.063541666666661
n86	54	1	0	57	5.943749999999995
n87	56	1	0	58	6.005208333333329
n88	58	1	0	61	6.067708333333328
n104	59	1	0	53	6.124999999999995
n98	60	1	0	65	6.1281249999999945
n106	62	1	0	45	6.524999999999995
n107	63	1	0	46	6.590624999999994
n108	65	1	0	49	6.653124999999994
n100	61	1	0	57	6.507291666666662
n101	64	1	0	58	6.585416666666661
n102	66	1	0	61	6.666666666666661
n113	67	1	0	53	6.729166666666662
n109	68	1	0	65	6.715624999999995
n123	69	1	0	32	8.076041666666658
n124	71	1	0	44	8.076041666666658
n119	70	1	0	56	8.071874999999991
n131	72	1	0	56	8.60624999999999
n132	73	1	0	65	8.69687499999999
n133	74	1	0	73	8.80312499999999
n127	77	1	0	80	8.79374999999999
n128	76	1	0	89	8.80312499999999
n129	75	1	0	92	8.795833333333324
n151	82	1	0	56	9.95416666666666
n152	84	1	0	63	9.959374999999994
n156	87	1	0	63	10.198958333333328
n160	deletion
n153	83	1	0	66	9.959374999999994
n157	88	1	0	66	10.192708333333329
n161	deletion
n154	80	1	0	68	9.936458333333325
n141	79	1	0	75	9.943749999999993
n142	78	1	0	84	9.948958333333326
n143	81	1	0	87	9.943749999999993
n155	92	1	0	56	10.204166666666662
n158	89	1	0	68	10.187499999999995
n144	85	1	0	77	10.183333333333328
n145	86	1	0	84	10.172916666666662
n146	deletion
n159	deletion
n162	deletion
n147	91	1	0	78	10.272916666666664
n148	94	1	0	84	10.263541666666663
n149	93	1	0	90	10.26770833333333
n169	100	1	0	61	10.54375
n170	99	1	0	65	10.507291666666665
n171	97	1	0	68	10.514583333333333
n163	96	1	0	77	10.499999999999998
n164	98	1	0	85	10.511458333333332
n165	95	1	0	89	10.505208333333332
n178	105	1	0	53	10.990625
n179	104	1	0	60	10.972916666666666
n180	101	1	0	65	10.96875
n174	103	1	0	69	10.96875
n175	102	1	0	77	10.963541666666666
n186	108	1	0	41	11.444791666666669
n187	107	1	0	48	11.435416666666669
n188	106	1	0	53	11.430208333333335
n182	110	1	0	57	11.426041666666668
n183	109	1	0	65	11.421875000000002
n192	112	1	0	29	11.945833333333335
n193	111	1	0	41	11.936458333333334
n202	113	1	0	30	13.743750000000002
n203	114	1	0	42	13.739583333333336
n219	116	1	0	45	15.815625
n220	117	1	0	46	15.873958333333333
n221	119	1	0	49	15.919791666666665
n213	115	1	0	57	15.795833333333334
n214	118	1	0	58	15.859375
n215	120	1	0	61	15.913541666666665
n228	121	1	0	53	15.990625
n222	122	1	0	65	15.964583333333332
n230	123	1	0	45	16.351041666666667
n231	125	1	0	46	16.438541666666666
n232	127	1	0	49	16.491666666666667
n224	124	1	0	57	16.360416666666666
n225	126	1	0	58	16.440625
n226	128	1	0	61	16.502083333333335
n237	130	1	0	53	16.56354166666667
n233	129	1	0	65	16.570833333333336
n247	131	1	0	34	18.01354166666667
n248	133	1	0	46	18.009375000000002
n243	132	1	0	58	18.009375000000002
n255	137	1	0	58	18.702083333333338
n256	138	1	0	60	18.71354166666667
n257	141	1	0	63	18.71354166666667
n258	140	1	0	66	18.702083333333338
n259	139	1	0	70	18.690625000000004
n251	136	1	0	82	18.685416666666672
n252	135	1	0	90	18.69479166666667
n253	134	1	0	94	18.690625000000004
n275	148	1	0	58	19.57395833333334
n276	149	1	0	60	19.590625000000006
n281	deletion
n277	150	1	0	63	19.57395833333334
n278	145	1	0	66	19.554166666666674
n279	144	1	0	70	19.54270833333334
n263	142	1	0	75	19.53645833333334
n264	deletion
n265	143	1	0	87	19.530208333333338
n280	deletion
n282	deletion
n283	151	1	0	66	19.66458333333334
n284	146	1	0	70	19.64270833333334
n266	147	1	0	75	19.64270833333334
n267	deletion
n268	152	1	0	87	19.64270833333334
n295	160	1	0	58	19.86145833333334
n296	156	1	0	60	19.89479166666667
n301	deletion
n297	159	1	0	63	19.870833333333337
n307	163	1	0	63	20.15833333333334
n302	deletion
n298	158	1	0	66	19.856250000000006
n299	157	1	0	70	19.85208333333334
n285	153	1	0	75	19.844791666666673
n286	154	1	0	84	19.856250000000006
n287	155	1	0	87	19.840625000000006
n300	167	1	0	58	20.129166666666674
n305	deletion
n303	164	1	0	66	20.115625000000005
n304	165	1	0	70	20.11145833333334
n288	162	1	0	77	20.12708333333334
n289	161	1	0	84	20.103125000000006
n290	deletion
n306	deletion
n308	deletion
n309	deletion
n291	169	1	0	78	20.19166666666667
n292	168	1	0	84	20.193750000000005
n293	166	1	0	90	20.187500000000004
n318	176	1	0	58	20.437500000000004
n319	177	1	0	61	20.45729166666667
n320	171	1	0	65	20.44479166666667
n321	170	1	0	70	20.433333333333337
n310	175	1	0	77	20.433333333333337
n311	173	1	0	85	20.43958333333334
n312	172	1	0	89	20.437500000000004
n323	178	1	0	45	20.880208333333332
n324	180	1	0	46	20.93854166666667
n325	182	1	0	49	20.98229166666667
n314	179	1	0	57	20.880208333333332
n315	181	1	0	58	20.947916666666668
n316	184	1	0	61	21.011458333333337
n332	183	1	0	53	21.053125
n326	185	1	0	65	21.075000000000003
n334	deletion
n335	187	1	0	46	21.55
n336	189	1	0	49	21.609375
n328	186	1	0	57	21.475
n329	188	1	0	58	21.545833333333334
n330	190	1	0	61	21.613541666666666
n341	191	1	0	53	21.676041666666666
n337	192	1	0	65	21.676041666666666
n351	193	1	0	24	23.165624999999995
n352	195	1	0	36	23.165624999999995
n347	194	1	0	48	23.159374999999994
n359	198	1	0	60	23.930208333333326
n360	197	1	0	65	23.930208333333326
n361	201	1	0	68	23.924999999999994
n362	202	1	0	72	23.91666666666666
n355	199	1	0	84	23.920833333333327
n356	200	1	0	92	23.920833333333327
n357	196	1	0	96	23.920833333333327
n381	207	1	0	60	25.042708333333323
n385	216	1	0	60	25.289583333333322
n389	deletion
