idx,matchtype,partid,ppartid
0,0,n6,1
1,0,n1,0
2,0,n7,3
3,0,n8,4
4,0,n9,6
5,0,n2,2
6,0,n3,5
7,0,n4,7
8,0,n16,8
9,0,n10,9
10,0,n18,10
11,0,n19,13
12,0,n20,14
13,0,n12,11
14,0,n13,12
15,0,n14,15
16,0,n25,17
17,0,n21,16
18,0,n35,18
19,0,n36,20
20,0,n31,19
21,0,n43,22
22,0,n44,25
23,0,n45,27
24,0,n46,28
25,0,n47,26
26,0,n39,24
27,0,n40,23
28,0,n41,21
29,0,n67,35
30,0,n68,33
31,1,n73,undefined
32,0,n69,32
33,0,n74,39
34,1,n79,undefined
35,0,n70,34
36,0,n71,31
37,0,n57,30
38,0,n58,29
39,0,n59,36
40,0,n72,41
41,0,n75,40
42,0,n76,42
43,0,n60,37
44,0,n61,38
45,1,n62,undefined
46,1,n77,undefined
47,1,n78,undefined
48,1,n80,undefined
49,1,n81,undefined
50,0,n63,43
51,0,n64,45
52,0,n65,44
53,0,n90,50
54,0,n91,51
55,0,n92,47
56,0,n93,46
57,0,n82,48
58,0,n83,52
59,0,n84,49
60,0,n95,53
61,0,n96,55
62,0,n97,57
63,0,n86,54
64,0,n87,56
65,0,n88,58
66,0,n104,59
67,0,n98,60
68,0,n106,62
69,0,n107,63
70,0,n108,65
71,0,n100,61
72,0,n101,64
73,0,n102,66
74,0,n113,67
75,0,n109,68
76,0,n123,69
77,0,n124,71
78,0,n119,70
79,0,n131,72
80,0,n132,73
81,0,n133,74
82,0,n127,77
83,0,n128,76
84,0,n129,75
85,0,n151,82
86,0,n152,84
87,0,n156,87
88,1,n160,undefined
89,0,n153,83
90,0,n157,88
91,1,n161,undefined
92,0,n154,80
93,0,n141,79
94,0,n142,78
95,0,n143,81
96,0,n155,92
97,0,n158,89
98,0,n144,85
99,0,n145,86
100,1,n146,undefined
101,1,n159,undefined
102,1,n162,undefined
103,0,n147,91
104,0,n148,94
105,0,n149,93
106,0,n169,100
107,0,n170,99
108,0,n171,97
109,0,n163,96
110,0,n164,98
111,0,n165,95
112,0,n178,105
113,0,n179,104
114,0,n180,101
115,0,n174,103
116,0,n175,102
117,0,n186,108
118,0,n187,107
119,0,n188,106
120,0,n182,110
121,0,n183,109
122,0,n192,112
123,0,n193,111
124,0,n202,113
125,0,n203,114
126,0,n219,116
127,0,n220,117
128,0,n221,119
129,0,n213,115
130,0,n214,118
131,0,n215,120
132,0,n228,121
133,0,n222,122
134,0,n230,123
135,0,n231,125
136,0,n232,127
137,0,n224,124
138,0,n225,126
139,0,n226,128
140,0,n237,130
141,0,n233,129
142,0,n247,131
143,0,n248,133
144,0,n243,132
145,0,n255,137
146,0,n256,138
147,0,n257,141
148,0,n258,140
149,0,n259,139
150,0,n251,136
151,0,n252,135
152,0,n253,134
153,0,n275,148
154,0,n276,149
155,1,n281,undefined
156,0,n277,150
157,0,n278,145
158,0,n279,144
159,0,n263,142
160,1,n264,undefined
161,0,n265,143
162,1,n280,undefined
163,1,n282,undefined
164,0,n283,151
165,0,n284,146
166,0,n266,147
167,1,n267,undefined
168,0,n268,152
169,0,n295,160
170,0,n296,156
171,1,n301,undefined
172,0,n297,159
173,0,n307,163
174,1,n302,undefined
175,0,n298,158
176,0,n299,157
177,0,n285,153
178,0,n286,154
179,0,n287,155
180,0,n300,167
181,1,n305,undefined
182,0,n303,164
183,0,n304,165
184,0,n288,162
185,0,n289,161
186,1,n290,undefined
187,1,n306,undefined
188,1,n308,undefined
189,1,n309,undefined
190,0,n291,169
191,0,n292,168
192,0,n293,166
193,0,n318,176
194,0,n319,177
195,0,n320,171
196,0,n321,170
197,0,n310,175
198,0,n311,173
199,0,n312,172
200,0,n323,178
201,0,n324,180
202,0,n325,182
203,0,n314,179
204,0,n315,181
205,0,n316,184
206,0,n332,183
207,0,n326,185
208,1,n334,undefined
209,0,n335,187
210,0,n336,189
211,0,n328,186
212,0,n329,188
213,0,n330,190
214,0,n341,191
215,0,n337,192
216,0,n351,193
217,0,n352,195
218,0,n347,194
219,0,n359,198
220,0,n360,197
221,0,n361,201
222,0,n362,202
223,0,n355,199
224,0,n356,200
225,0,n357,196
226,0,n381,207
227,0,n385,216
228,1,n389,undefined
229,0,n382,209
230,0,n386,217
231,1,n390,undefined
232,0,n383,208
233,0,n384,206
234,0,n371,203
235,0,n372,204
236,0,n373,205
237,0,n387,211
238,0,n388,212
239,0,n374,210
240,1,n375,undefined
241,1,n376,undefined
242,1,n391,undefined
243,1,n392,undefined
244,0,n377,214
245,1,n378,undefined
246,0,n379,215
247,0,n399,221
248,0,n400,222
