idx,matchtype,partid,ppartid
0,0,n6,1
1,0,n1,0
2,0,n7,3
3,0,n8,4
4,0,n9,6
5,0,n2,2
6,0,n3,5
7,0,n4,7
8,0,n16,8
9,0,n10,9
10,0,n18,11
11,0,n19,13
12,0,n20,15
13,0,n12,10
14,0,n13,12
15,0,n14,14
16,0,n25,17
17,0,n21,16
18,0,n35,19
19,0,n36,20
20,0,n31,18
21,0,n43,21
22,0,n44,25
23,0,n45,27
24,0,n46,28
25,0,n47,24
26,0,n39,23
27,0,n40,26
28,0,n41,22
29,0,n67,31
30,0,n68,32
31,1,n73,undefined
32,0,n69,36
33,0,n70,35
34,0,n71,29
35,0,n57,30
36,0,n58,34
37,0,n59,33
38,0,n77,45
39,1,n72,undefined
40,0,n74,40
41,1,n79,undefined
42,0,n75,44
43,1,n80,undefined
44,0,n76,39
45,1,n81,undefined
46,0,n60,37
47,0,n61,38
48,1,n62,undefined
49,1,n78,undefined
50,0,n63,42
51,0,n64,43
52,0,n65,41
53,0,n90,49
54,0,n91,52
55,0,n92,48
56,0,n93,46
57,0,n82,50
58,0,n83,51
59,0,n84,47
60,0,n95,54
61,0,n96,56
62,0,n97,58
63,0,n86,53
64,0,n87,55
65,0,n88,57
66,0,n104,59
67,0,n98,60
68,0,n106,62
69,0,n107,63
70,0,n108,65
71,0,n100,61
72,0,n101,64
73,0,n102,66
74,0,n113,68
75,0,n109,67
76,0,n123,70
77,0,n124,71
78,0,n119,69
79,0,n131,72
80,0,n132,75
81,0,n133,73
82,0,n127,77
83,0,n128,76
84,0,n129,74
85,0,n151,79
86,0,n152,82
87,0,n153,81
88,0,n154,78
89,0,n141,80
90,0,n142,83
91,0,n143,84
92,0,n155,88
93,0,n156,86
94,0,n157,94
95,0,n158,87
96,0,n144,85
97,0,n145,90
98,1,n146,undefined
99,1,n159,undefined
100,0,n160,89
101,1,n161,undefined
102,0,n162,91
103,0,n147,93
104,1,n148,undefined
105,0,n149,92
106,0,n169,98
107,0,n170,97
108,0,n171,95
109,0,n163,99
110,0,n164,100
111,0,n165,96
112,0,n178,105
113,0,n179,104
114,0,n180,101
115,0,n174,102
116,0,n175,103
117,0,n186,110
118,0,n187,109
119,0,n188,106
120,0,n182,107
121,0,n183,108
122,0,n192,112
123,0,n193,111
124,0,n202,113
125,0,n203,114
126,0,n219,116
127,0,n220,118
128,0,n221,120
129,0,n213,115
130,0,n214,117
131,0,n215,119
132,0,n228,122
133,0,n222,121
134,0,n230,124
135,0,n231,126
136,0,n232,128
137,0,n224,123
138,0,n225,125
139,0,n226,127
140,0,n237,130
141,0,n233,129
142,0,n247,132
143,0,n248,133
144,0,n243,131
145,0,n255,136
146,0,n256,138
147,0,n257,140
148,0,n258,141
149,0,n259,139
150,0,n251,135
151,0,n252,137
152,0,n253,134
153,0,n275,149
154,0,n276,150
155,0,n277,146
156,0,n278,147
157,0,n279,145
158,0,n263,142
159,0,n264,144
160,0,n265,143
161,1,n280,undefined
162,1,n281,undefined
163,1,n282,undefined
164,1,n283,undefined
165,0,n284,148
166,0,n266,151
167,0,n267,153
168,0,n268,152
169,0,n295,154
170,0,n296,157
171,1,n301,undefined
172,0,n297,160
173,0,n298,158
174,0,n299,155
175,0,n285,156
176,0,n286,161
177,0,n287,159
178,1,n300,undefined
179,0,n302,166
180,0,n303,165
181,0,n304,164
182,0,n288,162
183,0,n289,163
184,1,n290,undefined
185,1,n305,undefined
186,1,n306,undefined
187,1,n307,undefined
188,1,n308,undefined
189,1,n309,undefined
190,0,n291,167
191,0,n292,169
192,0,n293,168
193,0,n318,172
194,0,n319,176
195,0,n320,173
196,0,n321,170
197,0,n310,175
198,0,n311,174
199,0,n312,171
200,0,n323,178
201,0,n324,180
202,0,n325,181
203,0,n314,177
204,0,n315,179
205,0,n316,182
206,0,n332,183
207,0,n326,184
208,0,n334,185
209,0,n335,188
210,0,n336,189
211,0,n328,186
212,0,n329,187
213,0,n330,190
214,0,n341,191
215,0,n337,192
216,0,n351,193
217,0,n352,195
218,0,n347,194
219,0,n359,196
220,0,n360,199
221,0,n361,202
222,0,n362,200
223,0,n355,198
224,0,n356,201
225,0,n357,197
226,0,n381,206
227,0,n382,210
228,0,n386,213
229,1,n390,undefined
230,0,n383,208
231,0,n384,205
232,0,n371,204
233,0,n372,209
234,0,n373,207
235,0,n385,214
236,0,n387,219
237,0,n388,217
238,0,n374,211
239,0,n375,212
240,1,n376,undefined
241,1,n389,undefined
242,1,n391,undefined
243,1,n392,undefined
244,0,n377,218
245,1,n378,undefined
246,0,n379,216
247,0,n399,223
248,0,n400,226
249,0,n401,221
