xml_id	midi_id	track	channel	pitch	onset
n17	13	0	0	40	3.4874999999999994
n23	23	0	0	40	4.069791666666666
n13	2	0	0	41	0.0
n14	6	0	0	43	3.0187499999999994
n18	14	0	0	43	3.535416666666666
n43	39	0	0	43	4.88125
n15	8	0	0	46	3.2145833333333327
n16	12	0	0	49	3.303124999999999
n5	11	0	0	52	3.4687499999999996
n11	24	0	0	52	4.089583333333333
n1	7	0	0	53	2.6468749999999996
n2	5	0	0	55	3.0249999999999995
n6	15	0	0	55	3.5874999999999995
n31	40	0	0	55	4.8687499999999995
n3	9	0	0	58	3.2124999999999995
n4	10	0	0	61	3.3354166666666663
n19	16	0	0	41	3.693749999999999
n20	17	0	0	43	3.847916666666665
n21	20	0	0	46	3.9427083333333317
n7	18	0	0	53	3.7156249999999993
n8	19	0	0	55	3.866666666666665
n9	deletion
n24	25	0	0	43	4.131249999999999
n37	27	0	0	43	4.294791666666667
n22	21	0	0	49	4.015624999999999
n12	26	0	0	55	4.1812499999999995
n10	22	0	0	61	4.026041666666666
n38	29	0	0	45	4.479166666666666
n39	32	0	0	48	4.568749999999999
n25	28	0	0	55	4.335416666666667
n26	30	0	0	57	4.463541666666666
n27	31	0	0	60	4.558333333333332
n41	38	0	0	42	4.714583333333333
n42	36	0	0	45	4.769791666666666
n40	34	0	0	51	4.667708333333333
n29	35	0	0	54	4.6968749999999995
n30	37	0	0	57	4.791666666666666
n32	42	0	0	57	4.973958333333333
n28	33	0	0	63	4.645833333333332
n44	41	0	0	45	4.9875
n45	43	0	0	48	5.041666666666666
n33	44	0	0	60	5.088541666666665
n47	48	0	0	42	5.149999999999998
n48	50	0	0	45	5.231249999999998
n46	45	0	0	51	5.127083333333331
n35	47	0	0	54	5.173958333333331
n36	49	0	0	57	5.255208333333331
n34	46	0	0	63	5.119791666666665
n61	51	0	0	46	5.2937499999999975
n62	52	0	0	48	5.415624999999998
n63	54	0	0	51	5.53645833333333
n49	55	0	0	58	5.383333333333331
n50	53	0	0	60	5.478124999999998
n51	56	0	0	63	5.55208333333333
n65	60	0	0	45	5.707291666666663
n66	61	0	0	48	5.813541666666663
n64	57	0	0	54	5.632291666666664
n53	59	0	0	57	5.706249999999996
n54	62	0	0	60	5.7968749999999964
n52	58	0	0	66	5.623958333333331
n67	65	0	0	49	5.915624999999996
n68	66	0	0	51	6.031249999999996
n69	68	0	0	54	6.088541666666662
n55	63	0	0	61	5.887499999999996
n56	64	0	0	63	5.988541666666662
n57	67	0	0	66	6.065624999999995
n71	73	0	0	48	6.285416666666662
n72	74	0	0	51	6.308333333333328
n70	70	0	0	57	6.164583333333328
n59	71	0	0	60	6.211458333333328
n60	72	0	0	63	6.287499999999995
n58	69	0	0	69	6.098958333333329
n85	75	0	0	49	6.4145833333333275
n86	78	0	0	51	6.517708333333328
n87	79	0	0	54	6.5291666666666615
n73	76	0	0	61	6.3781249999999945
n74	77	0	0	63	6.458333333333328
n75	80	0	0	66	6.527083333333328
n89	84	0	0	48	6.684374999999995
n90	86	0	0	51	6.723958333333328
n88	81	0	0	57	6.588541666666661
n77	83	0	0	60	6.648958333333328
n78	85	0	0	63	6.724999999999994
n76	82	0	0	69	6.5708333333333275
n91	87	0	0	54	6.820833333333327
n92	88	0	0	58	6.920833333333326
n93	90	0	0	60	7.020833333333327
n79	91	0	0	66	6.82916666666666
n80	89	0	0	70	6.93541666666666
n81	92	0	0	72	7.03541666666666
n95	96	0	0	53	7.184374999999994
n96	98	0	0	57	7.318749999999993
n94	93	0	0	63	7.123958333333327
n83	95	0	0	65	7.197916666666661
n84	97	0	0	69	7.302083333333327
n82	94	0	0	75	7.119791666666661
