idx,matchtype,partid,ppartid
0,0,n1,0
1,0,n2,1
2,0,n4,2
3,0,n5,3
4,0,n6,4
5,0,n7,5
6,0,n13,11
7,0,n12,6
8,0,n8,7
9,0,n9,8
10,0,n20,9
11,0,n15,10
12,1,n14,undefined
13,0,n21,13
14,0,n16,12
15,0,n17,14
16,0,n18,15
17,0,n19,16
18,0,n24,17
19,0,n25,18
20,0,n26,19
21,0,n27,20
22,0,n33,27
23,0,n32,21
24,0,n28,22
25,0,n29,24
26,0,n40,23
27,0,n35,26
28,0,n34,25
29,0,n41,29
30,0,n36,28
31,0,n37,30
32,0,n38,31
33,0,n39,32
34,0,n44,33
35,0,n45,34
36,0,n46,35
37,0,n47,36
38,0,n52,42
39,0,n53,37
40,0,n48,38
41,0,n49,39
42,0,n60,41
43,0,n61,40
44,0,n55,44
45,0,n54,43
46,0,n57,46
47,0,n56,45
48,0,n59,48
49,0,n58,47
50,0,n70,55
51,0,n65,50
52,0,n64,49
53,0,n66,51
54,0,n67,52
55,0,n69,54
56,0,n68,53
57,0,n77,59
58,0,n72,57
59,0,n71,56
60,0,n74,60
61,0,n73,58
62,0,n78,62
63,0,n76,63
64,0,n75,61
65,0,n80,64
66,0,n81,65
67,0,n82,66
68,0,n83,67
69,0,n89,73
70,0,n88,68
71,0,n84,69
72,0,n85,71
73,0,n96,70
74,0,n91,74
75,0,n90,72
76,0,n97,76
77,0,n92,75
78,0,n93,77
79,0,n94,78
80,0,n95,79
81,0,n100,80
82,0,n101,81
83,0,n102,82
84,0,n103,83
85,0,n109,90
86,0,n108,84
87,0,n104,85
88,0,n105,86
89,0,n116,87
90,0,n111,89
91,0,n110,88
92,0,n117,93
93,0,n112,91
94,0,n113,92
95,0,n114,94
96,0,n115,95
97,0,n120,96
98,0,n121,97
99,0,n122,98
100,0,n123,99
101,0,n128,105
102,0,n129,100
103,0,n125,102
104,0,n124,101
105,0,n136,104
106,0,n137,103
107,0,n131,107
108,0,n130,106
109,0,n133,109
110,0,n132,108
111,0,n135,111
112,0,n134,110
113,0,n141,113
114,0,n140,112
115,0,n143,115
116,0,n142,114
117,0,n149,117
118,0,n148,118
119,0,n144,116
120,0,n145,119
121,0,n159,122
122,0,n151,121
123,0,n150,120
124,0,n157,124
125,0,n152,123
126,0,n153,125
127,0,n154,126
128,0,n155,127
129,0,n161,128
130,0,n162,129
131,0,n163,130
132,0,n164,131
133,0,n170,136
134,0,n169,132
135,1,n165,undefined
136,0,n166,133
137,0,n177,134
138,0,n172,137
139,0,n171,135
140,0,n178,139
141,0,n173,138
142,0,n174,140
143,0,n175,141
144,0,n176,142
145,0,n181,143
146,0,n182,144
147,0,n183,145
148,0,n184,146
149,0,n190,153
150,0,n189,147
151,0,n185,148
152,0,n186,149
153,0,n197,151
154,0,n192,152
155,0,n191,150
156,0,n198,155
157,0,n193,154
158,0,n194,156
159,0,n195,157
160,0,n196,158
161,0,n201,159
162,0,n202,160
163,0,n204,162
164,0,n203,161
165,0,n209,166
166,0,n210,163
167,0,n206,165
168,0,n205,164
169,0,n217,170
170,0,n218,168
171,0,n212,169
172,0,n211,167
173,0,n214,172
174,0,n213,171
175,0,n216,174
176,0,n215,173
177,0,n222,176
178,0,n221,175
179,0,n224,179
180,0,n223,177
181,0,n230,185
182,0,n229,178
183,0,n225,180
184,0,n226,181
185,0,n237,182
186,0,n232,184
187,0,n231,183
188,0,n238,186
189,0,n234,188
190,0,n233,187
191,0,n235,189
192,0,n236,190
193,0,n241,191
194,0,n242,192
195,0,n243,193
196,0,n244,194
197,0,n250,201
198,0,n249,195
199,0,n245,196
200,0,n246,197
201,0,n257,199
202,0,n252,200
203,0,n251,198
204,0,n258,203
205,0,n253,202
206,0,n254,204
207,0,n255,205
208,0,n256,206
209,0,n261,207
210,0,n262,208
211,0,n263,209
212,0,n264,210
213,0,n270,218
214,0,n269,212
215,0,n265,211
216,0,n266,213
217,0,n277,215
218,0,n272,216
219,0,n271,214
220,0,n278,219
221,0,n273,217
222,0,n274,220
223,0,n275,221
224,0,n276,222
225,0,n281,223
226,0,n282,224
227,0,n284,226
228,0,n283,225
229,0,n286,229
230,0,n285,227
231,0,n294,231
232,0,n295,232
233,0,n296,228
234,0,n289,233
235,0,n288,230
236,0,n291,235
237,0,n290,234
238,0,n293,237
239,0,n292,236
240,0,n299,239
241,0,n298,238
242,0,n301,241
243,0,n300,240
244,0,n303,243
245,0,n302,242
246,0,n314,249
247,0,n315,250
248,0,n306,245
249,0,n305,244
250,0,n308,248
251,0,n307,246
252,1,n311,undefined
253,0,n317,253
254,1,n313,undefined
255,0,n312,247
256,0,n319,255
257,0,n310,252
258,0,n309,251
259,0,n318,254
260,0,n320,256
261,0,n326,262
262,0,n325,257
263,0,n321,258
264,0,n322,260
265,0,n333,259
266,0,n328,263
267,0,n327,261
268,0,n334,265
269,0,n329,264
270,0,n330,266
271,0,n331,267
272,0,n332,268
273,0,n337,269
274,0,n338,270
275,0,n339,271
276,0,n340,272
277,0,n346,279
278,0,n345,274
279,0,n341,273
280,0,n342,275
281,0,n353,276
282,0,n348,278
283,0,n347,277
284,0,n354,282
285,0,n349,280
286,0,n350,281
287,0,n351,283
288,0,n352,284
289,0,n357,285
290,0,n358,286
291,0,n359,287
292,0,n360,288
293,0,n365,295
294,0,n366,290
295,0,n361,289
296,0,n362,291
297,0,n373,293
298,0,n374,292
299,0,n368,296
300,0,n367,294
301,0,n370,298
302,0,n369,297
303,0,n372,300
304,0,n371,299
305,0,n383,308
306,0,n378,302
307,0,n377,301
308,0,n379,303
309,0,n380,304
310,0,n382,306
311,0,n381,305
312,0,n390,311
313,0,n385,309
314,0,n384,307
315,0,n387,312
316,0,n386,310
317,0,n391,314
318,0,n389,315
319,0,n388,313
320,0,n393,316
321,1,n401,undefined
322,0,n394,317
323,0,n395,318
324,0,n396,319
325,0,n402,325
326,0,n397,320
327,0,n398,321
328,0,n409,322
329,0,n404,324
330,0,n403,323
331,0,n410,328
332,0,n405,326
333,0,n406,327
334,0,n407,329
335,0,n408,330
336,0,n413,331
337,0,n414,332
338,0,n415,333
339,0,n416,334
340,0,n422,341
341,0,n421,336
342,0,n417,335
343,0,n418,337
344,0,n429,339
345,1,n424,undefined
346,0,n423,338
347,0,n430,343
348,0,n425,340
349,0,n426,342
350,0,n427,344
351,0,n428,345
352,0,n433,346
353,0,n434,347
354,0,n435,348
355,0,n436,349
356,0,n441,356
357,0,n442,350
358,0,n438,352
359,0,n437,351
360,0,n449,353
361,0,n450,354
362,0,n444,357
363,0,n443,355
364,0,n446,360
365,0,n445,358
366,0,n448,362
367,0,n447,361
368,0,n454,364
369,0,n453,363
370,0,n456,366
371,0,n455,365
372,0,n461,369
373,0,n462,367
374,0,n458,370
375,0,n457,368
376,0,n469,371
377,0,n470,372
378,0,n464,374
379,0,n463,373
380,0,n466,376
381,0,n465,375
382,0,n468,378
383,0,n467,377
384,0,n474,380
385,0,n473,379
386,0,n476,382
387,0,n475,381
388,0,n482,385
389,0,n481,383
390,0,n478,386
391,0,n477,384
392,0,n490,389
393,0,n489,387
394,0,n484,390
395,0,n483,388
396,0,n492,392
397,0,n491,391
398,0,n486,393
399,0,n485,394
400,0,n494,397
401,0,n493,395
402,0,n488,398
403,0,n487,396
404,0,n502,401
405,0,n501,399
406,0,n496,400
407,0,n495,404
408,0,n503,403
409,0,n497,402
410,0,n504,405
411,0,n498,406
412,0,n506,410
413,0,n505,407
414,0,n500,411
415,0,n499,409
416,0,n514,412
417,0,n513,413
418,0,n508,415
419,0,n507,414
420,0,n516,418
421,0,n515,416
422,0,n510,420
423,0,n509,417
424,0,n518,423
425,0,n517,419
426,0,n512,422
427,0,n511,421
428,0,n526,426
429,0,n525,425
430,0,n520,427
431,0,n519,424
432,0,n528,431
433,0,n527,429
434,0,n522,430
435,0,n521,428
436,0,n529,433
437,0,n530,435
438,0,n523,432
439,0,n524,434
440,0,n538,439
441,0,n537,437
442,0,n532,438
443,0,n531,436
444,0,n540,443
445,0,n539,440
446,0,n534,442
447,0,n533,441
448,0,n541,445
449,0,n542,446
450,0,n535,444
451,0,n536,447
452,1,n550,undefined
453,0,n549,449
454,0,n544,450
455,0,n543,448
456,0,n552,454
457,0,n551,452
458,0,n546,455
459,0,n545,453
460,0,n553,456
461,0,n554,458
462,0,n547,457
463,0,n548,463
464,0,n562,461
465,0,n561,459
466,0,n556,462
467,0,n555,460
468,0,n564,466
469,0,n563,464
470,1,n566,undefined
471,0,n558,465
472,1,n557,undefined
473,0,n565,467
474,0,n559,468
475,1,n560,undefined
476,0,n570,471
477,0,n567,472
478,0,n580,473
479,0,n581,474
480,0,n582,479
481,0,n583,475
482,0,n573,478
483,0,n574,476
484,0,n585,481
485,0,n586,485
486,0,n589,488
487,0,n578,482
488,0,n579,484
489,0,n588,487
490,0,n576,483
491,0,n577,486
492,0,n587,489
493,0,n595,497
494,0,n596,498
495,0,n594,490
496,1,n593,undefined
497,0,n597,491
498,0,n598,495
499,0,n599,494
500,0,n603,492
501,0,n604,493
502,0,n611,496
503,0,n612,500
504,0,n607,501
505,0,n608,499
506,0,n614,504
507,0,n618,502
508,0,n619,503
509,0,n625,513
510,0,n624,512
511,0,n620,505
512,0,n627,508
513,0,n623,509
514,0,n621,506
515,0,n628,510
516,0,n631,507
517,1,n635,undefined
518,0,n632,511
519,1,n638,undefined
520,0,n636,514
521,0,n637,516
522,0,n639,515
523,0,n641,517
524,1,n645,undefined
525,0,n643,520
526,0,n646,518
527,0,n647,519
528,0,n651,525
529,0,n654,522
530,1,n653,undefined
531,1,n650,undefined
532,0,n649,526
533,0,n652,524
534,1,n657,undefined
535,1,n658,undefined
536,0,n656,528
537,0,n655,523
538,0,n659,529
539,0,n660,530
540,0,n665,540
541,0,n663,531
542,0,n661,532
543,0,n662,533
544,0,n666,535
545,0,n664,534
546,1,n669,undefined
547,0,n667,539
548,0,n668,536
549,0,n670,537
550,0,n671,538
551,0,n676,550
552,0,n677,548
553,0,n674,541
554,0,n673,542
555,0,n675,543
556,0,n678,547
557,0,n680,545
558,0,n681,544
559,0,n685,546
560,0,n686,551
561,0,n689,549
562,0,n691,553
563,0,n692,552
564,0,n700,570
565,0,n696,555
566,0,n695,556
567,0,n698,557
568,0,n699,560
569,0,n707,562
570,1,n702,undefined
571,1,n703,undefined
572,0,n701,559
573,0,n704,558
574,0,n705,561
575,0,n706,563
576,0,n710,564
577,0,n711,565
578,0,n709,568
579,0,n712,566
580,0,n713,567
581,0,n716,571
582,0,n717,572
583,0,n725,586
584,0,n726,588
585,0,n720,573
586,0,n723,574
587,0,n724,578
588,0,n733,579
589,1,n728,undefined
590,1,n729,undefined
591,0,n727,576
592,0,n730,575
593,0,n731,577
594,0,n732,580
595,0,n737,581
596,0,n738,582
597,0,n736,585
598,0,n739,583
599,0,n740,584
600,0,n744,587
601,0,n745,589
602,0,n753,607
603,0,n754,605
604,0,n748,590
605,0,n751,592
606,0,n752,591
607,0,n755,594
608,0,n758,593
609,0,n759,595
610,0,n760,597
611,0,n761,596
612,1,n769,undefined
613,1,n770,undefined
614,0,n765,598
615,0,n766,602
616,0,n764,601
617,0,n767,600
618,0,n768,599
619,0,n772,606
620,0,n773,608
621,0,n777,604
622,0,n774,603
623,0,n780,611
624,0,n778,612
625,0,n781,609
626,0,n779,610
627,0,n784,615
628,0,n782,613
629,0,n785,614
630,0,n783,616
631,0,n788,617
632,0,n786,620
633,0,n789,618
634,0,n787,619
635,0,n792,621
636,0,n790,622
637,0,n793,623
638,0,n791,624
639,1,n803,undefined
640,0,n800,625
641,0,n801,631
642,0,n802,626
643,0,n796,628
644,0,n798,630
645,0,n797,627
646,0,n799,629
647,0,n804,632
648,0,n805,638
649,0,n808,633
650,0,n809,634
651,0,n810,635
652,0,n811,636
653,0,n813,641
654,0,n814,637
655,1,n815,undefined
656,0,n812,640
657,0,n816,642
658,1,n821,undefined
659,0,n818,643
660,0,n819,646
661,0,n820,645
662,0,n817,644
663,0,n822,647
664,0,n823,649
665,0,n826,661
666,0,n827,652
667,0,n828,650
668,0,n824,668
669,0,n829,651
670,0,n830,653
671,0,n834,654
672,0,n835,657
673,0,n836,656
674,0,n837,655
675,0,n838,659
676,0,n839,658
677,0,n842,662
678,1,n843,undefined
679,0,n844,663
680,0,n841,671
681,0,n845,669
682,0,n847,664
683,0,n848,665
684,0,n849,666
685,0,n850,667
686,0,n851,672
687,0,n852,670
688,0,n859,674
689,0,n860,673
690,0,n861,681
691,0,n862,677
692,0,n855,676
693,0,n857,679
694,0,n856,675
695,0,n858,678
696,0,n863,687
697,0,n864,680
698,0,n867,682
699,0,n868,683
700,0,n869,685
701,0,n870,684
702,0,n875,686
703,0,n876,694
704,0,n874,688
705,1,n872,undefined
706,0,n871,711
707,0,n877,689
708,0,n873,690
709,0,n884,691
710,0,n879,692
711,0,n885,695
712,1,n880,undefined
713,0,n886,696
714,0,n881,714
715,0,n891,705
716,0,n892,700
717,0,n888,697
718,0,n893,698
719,0,n889,699
720,0,n899,701
721,0,n895,702
722,0,n900,703
723,0,n896,704
724,1,n905,undefined
725,0,n907,710
726,0,n902,706
727,0,n906,707
728,0,n903,708
729,0,n913,709
730,1,n915,undefined
731,1,n912,undefined
732,0,n909,712
733,1,n908,undefined
734,1,n910,undefined
735,0,n914,729
736,0,n911,715
737,1,n921,undefined
738,0,n922,730
739,0,n916,716
740,0,n918,717
741,0,n919,721
742,0,n929,722
743,1,n924,undefined
744,1,n925,undefined
745,0,n923,719
746,0,n926,718
747,0,n927,720
748,0,n928,723
749,0,n934,724
750,0,n935,727
751,0,n933,728
752,0,n936,725
753,0,n937,726
754,0,n942,731
755,0,n943,732
756,0,n950,746
757,0,n951,747
758,0,n947,733
759,0,n948,734
760,0,n949,738
761,0,n958,739
762,1,n953,undefined
763,1,n954,undefined
764,0,n952,736
765,0,n955,735
766,0,n956,737
767,0,n957,740
768,0,n962,741
769,0,n963,742
770,0,n961,745
771,0,n964,743
772,0,n965,744
773,0,n969,748
774,0,n970,749
775,0,n978,781
