onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
2.000521,0.075,55,28,0,0,0,2.000521,-1.0
2.1171875,0.045833334,56,46,0,0,1,2.000521,-1.0
2.2213542,0.038541667,57,49,0,0,2,2.221354,0.0
2.2869792,0.051041666,60,52,0,0,3,2.221354,0.0
2.3703125,0.032291666,58,52,0,0,4,2.370312,1.0
2.4484375,0.0875,67,56,0,0,5,2.370312,1.0
2.547396,0.046875,62,53,0,0,6,2.370312,1.0
2.6234374,0.067708336,65,55,0,0,7,2.552083,2.0
2.6640625,0.039583333,55,46,0,0,8,2.552083,2.0
2.7098958,0.08645833,63,57,0,0,9,2.686979,3.0
2.7942708,0.052083332,55,63,0,0,10,2.686979,3.0
2.5567708,0.29895833,46,35,0,0,11,2.552083,2.0
2.8734374,0.042708334,58,65,0,0,12,2.686979,3.0
2.8776042,0.065625,39,39,0,0,13,2.875521,4.0
2.9473958,0.034375,63,57,0,0,14,2.875521,4.0
3.0380208,0.034375,67,64,0,0,15,2.875521,4.0
3.121354,0.029166667,68,59,0,0,16,3.038021,5.0
3.1973958,0.042708334,69,56,0,0,17,3.038021,5.0
3.2515626,0.052083332,72,59,0,0,18,3.197396,6.0
3.3411458,0.03125,70,51,0,0,19,3.197396,6.0
3.4109375,0.067708336,79,59,0,0,20,3.341146,7.0
3.4744792,0.057291668,68,38,0,0,21,3.474479,8.0
3.4713542,0.061458334,74,66,0,0,22,3.341146,7.0
3.563021,0.077083334,77,61,0,0,23,3.474479,8.0
3.624479,0.035416666,67,48,0,0,24,3.474479,8.0
3.6463542,0.090625,75,61,0,0,25,3.635417,9.0
3.7234375,0.04375,67,59,0,0,26,3.635417,9.0
3.4859376,0.328125,58,39,0,0,27,3.474479,8.0
3.8057292,0.029166667,70,64,0,0,28,3.805729,10.0
3.8057292,0.045833334,51,48,0,0,29,3.805729,10.0
3.8838542,0.035416666,75,40,0,0,30,3.805729,10.0
3.9598958,0.027083334,79,58,0,0,31,3.805729,10.0
4.0473957,0.022916667,80,54,0,0,32,3.959896,11.0
4.1203127,0.041666668,81,59,0,0,33,4.120312,12.0
4.1765623,0.05,84,60,0,0,34,4.120312,12.0
4.2703123,0.03125,82,48,0,0,35,4.120312,12.0
4.340104,0.825,91,62,0,0,36,4.270313,13.0
4.4046874,0.7604167,86,64,0,0,37,4.404687,14.0
4.4046874,0.7604167,79,37,0,0,38,4.404687,14.0
4.418229,0.746875,70,33,0,0,39,4.404687,14.0
4.5151043,0.65,89,53,0,0,40,4.404687,14.0
4.583854,0.58125,87,59,0,0,41,4.404687,14.0
4.5984373,0.56666666,75,40,0,0,42,4.404687,14.0
4.619271,0.54583335,67,40,0,0,43,4.598438,15.0
4.6578126,0.5072917,82,53,0,0,44,4.598438,15.0
4.7171874,0.44791666,79,63,0,0,45,4.717187,16.0
4.802604,0.3625,75,61,0,0,46,4.717187,16.0
4.9078126,0.25729167,70,36,0,0,47,4.717187,16.0
4.990104,0.175,67,35,0,0,48,4.907813,17.0
5.0859375,0.114583336,63,54,0,0,49,4.907813,17.0
5.193229,0.072916664,55,56,0,0,50,5.101563,18.0
5.2671876,0.08541667,60,60,0,0,51,5.101563,18.0
5.346354,0.053125,63,63,0,0,52,5.267188,19.0
5.416146,0.075,67,61,0,0,53,5.416146,20.0
5.5005207,0.075,65,56,0,0,54,5.416146,20.0
5.1171875,0.5125,48,47,0,0,55,5.101563,18.0
5.583854,0.045833334,63,60,0,0,56,5.416146,20.0
5.661979,0.027083334,56,55,0,0,57,5.58802,21.0
5.7453127,0.051041666,62,59,0,0,58,5.745312,22.0
5.5921874,0.24479167,41,46,0,0,59,5.58802,21.0
5.8359375,0.045833334,60,41,0,0,60,5.745312,22.0
5.896354,0.041666668,59,56,0,0,61,5.745312,22.0
5.9953127,0.038541667,55,44,0,0,62,5.9125,23.0
5.9286456,0.11354167,43,36,0,0,63,5.9125,23.0
6.0859375,0.030208332,56,47,0,0,64,5.9125,23.0
6.1630206,0.036458332,57,53,0,0,65,6.085938,24.0
6.244271,0.033333335,58,63,0,0,66,6.244271,25.0
6.3276043,0.07083333,67,61,0,0,67,6.244271,25.0
6.3901043,0.059375,56,56,0,0,68,6.244271,25.0
