xml_id	midi_id	track	channel	pitch	onset
n17	11	0	0	35	1.6119107812500002
n14	5	0	0	37	0.6383540625
n13	2	0	0	39	0.52751015625
n16	7	0	0	39	1.5050732812499998
n19	14	0	0	39	2.4091856249999997
n18	10	0	0	47	1.59855609375
n15	3	0	0	49	0.62366390625
n2	0	0	0	51	0.50881359375
n5	6	0	0	51	1.4970604687499998
n8	12	0	0	51	2.3985018749999996
n7	9	0	0	59	1.59855609375
n4	4	0	0	61	0.6116446875
n3	1	0	0	63	0.507478125
n6	8	0	0	63	1.4930540624999997
n9	13	0	0	63	2.3944954687499997
n20	17	0	0	34	2.5227004687499996
n22	20	0	0	35	3.33733640625
n21	15	0	0	46	2.5093457812499995
n11	18	0	0	47	3.33333
n10	16	0	0	58	2.4999974999999997
n12	19	0	0	59	3.33733640625
n29	21	0	0	32	3.46821234375
n31	25	0	0	40	4.610038124999999
n30	23	0	0	44	3.4575285937499998
n25	24	0	0	52	4.603360781249999
n24	22	0	0	56	3.445509375
n26	26	0	0	64	4.59534796875
n32	27	0	0	40	4.81436484375
n27	28	0	0	52	4.8103584375
n28	31	0	0	64	4.7996746875
n49	32	0	0	31	9.380332500000002
n50	34	0	0	43	9.3509521875
n34	30	0	0	55	9.409712812500002
n35	29	0	0	60	9.312223593750002
n40	deletion
n37	33	0	0	53	10.626324843750009
n41	36	0	0	55	11.339465156250014
n38	deletion
n42	37	0	0	60	11.307413906250014
n39	35	0	0	62	10.534177500000009
n51	39	0	0	43	11.451644531250016
n52	38	0	0	50	11.669325937500016
n43	40	0	0	59	11.643952031250016
n44	41	0	0	65	11.590533281250016
n53	45	0	0	42	12.71499796875002
n55	47	0	0	42	13.517614687500027
n54	44	0	0	51	12.682946718750019
n56	48	0	0	52	13.526962968750027
n47	46	0	0	58	13.510937343750026
n45	42	0	0	59	12.684282187500019
n46	43	0	0	66	12.60148312500002
n48	49	0	0	70	13.470873281250025
n66	50	0	0	42	13.736631562500028
n58	54	0	0	58	13.891545937500029
n59	55	0	0	64	13.818095156250028
n60	53	0	0	73	13.795392187500028
n68	52	0	0	30	15.00933328125003
n69	59	0	0	35	16.737429843750036
n67	57	0	0	42	16.717397812500035
n61	56	0	0	59	16.721404218750035
n62	58	0	0	63	16.681340156250034
n63	60	0	0	71	16.662643593750033
n64	61	0	0	66	18.71659453125005
n65	62	0	0	75	19.83838828125005
n71	71	0	0	75	20.10548203125005
n76	63	0	0	35	20.189616562500053
n78	64	0	0	54	21.048322968750053
n81	68	0	0	54	21.26199796875005
n79	65	0	0	59	21.050993906250053
n82	69	0	0	59	21.302062031250053
n80	66	0	0	63	21.009594375000052
n83	67	0	0	63	21.24330140625005
n85	70	0	0	42	21.932403281250053
n86	72	0	0	35	22.28363156250005
n88	75	0	0	54	22.943353125000055
n89	76	0	0	59	22.951365937500054
n90	74	0	0	63	22.919314687500055
n72	73	0	0	71	22.19682609375005
n73	77	0	0	73	22.899282656250055
n95	82	0	0	42	23.89420687500005
n91	80	0	0	54	23.162370000000053
n92	78	0	0	59	23.17171828125005
n93	79	0	0	63	23.154357187500054
n74	81	0	0	75	23.116964062500053
n75	83	0	0	76	23.85147187500005
n106	84	0	0	34	24.24810609375005
n108	86	0	0	54	25.01466515625005
n109	85	0	0	61	25.00665234375005
n110	87	0	0	64	24.99062671875005
n97	89	0	0	75	24.17064890625005
n115	92	0	0	42	25.860016875000063
n111	91	0	0	54	25.272410625000052
n112	90	0	0	61	25.285765312500054
n113	88	0	0	64	25.272410625000052
n98	93	0	0	73	25.23501750000005
n99	94	0	0	75	25.861352343750063
n116	95	0	0	37	26.18052937500007
n118	99	0	0	54	26.809535156250075
n119	98	0	0	58	26.793509531250074
n120	100	0	0	64	26.753445468750076
n103	102	0	0	75	26.91904359375008
n100	96	0	0	76	26.12043328125007
n102	101	0	0	76	26.784161250000075
n101	97	0	0	78	26.645272500000075
n125	106	0	0	42	28.09425609375008
n121	104	0	0	54	27.17011171875008
n122	deletion
n123	103	0	0	64	27.15275062500008
n104	105	0	0	76	27.13939593750008
n105	107	0	0	78	28.035495468750078
n131	108	0	0	35	28.49756765625008
n133	109	0	0	54	29.448421406250088
n134	110	0	0	59	29.456434218750086
n135	111	0	0	63	29.421712031250088
n127	116	0	0	75	28.51759968750008
n140	115	0	0	41	30.368559375000082
n136	113	0	0	54	29.688805781250085
n137	112	0	0	59	29.692812187500085
n138	114	0	0	63	29.675451093750084
n141	117	0	0	34	30.673046250000088
n143	119	0	0	53	31.33276781250009
n144	118	0	0	58	31.28202000000009
n145	120	0	0	61	31.275342656250093
n128	121	0	0	73	30.611614687500087
n150	125	0	0	39	32.3477240625001
n146	124	0	0	51	31.587842343750093
n147	123	0	0	55	31.557126562500095
n148	122	0	0	61	31.526410781250092
n130	126	0	0	70	32.3143373437501
n129	127	0	0	75	31.594519687500092
n158	128	0	0	32	32.637520781250096
n160	deletion
n161	129	0	0	54	33.323951718750045
n162	130	0	0	59	33.30926156250005
n152	131	0	0	71	32.584102031250104
n167	136	0	0	37	34.39633312499999
n163	134	0	0	49	33.65781890625003
n164	133	0	0	53	33.66048984375003
n165	132	0	0	59	33.60440015625004
n153	135	0	0	70	33.57501984375004
n154	137	0	0	71	34.34024343749999
n168	138	0	0	30	34.692807187499994
n170	139	0	0	55	35.49943031249996
n171	140	0	0	59	35.50744312499996
n172	141	0	0	64	35.48607562499996
n155	142	0	0	73	34.644730312499995
n177	147	0	0	42	36.92838187499993
n173	145	0	0	54	35.934793124999956
n174	144	0	0	58	35.91476109374996
n175	143	0	0	64	35.86534874999996
n156	148	0	0	66	35.81593640624996
n157	146	0	0	75	36.88164046874993
n185	149	0	0	35	37.28228109374993
n187	151	0	0	54	38.249160468749906
n188	150	0	0	59	38.22912843749991
n189	154	0	0	63	38.18639343749991
n179	156	0	0	75	37.19547562499993
n194	155	0	0	42	39.166627499999905
n190	152	0	0	54	38.441467968749905
n191	153	0	0	59	38.46550640624991
n199	159	0	0	63	40.13083593749988
n202	163	0	0	63	40.39258781249988
n192	deletion
n195	157	0	0	35	39.480462656249905
n197	160	0	0	54	40.160216249999884
n198	161	0	0	59	40.16422265624988
n180	158	0	0	71	39.433721249999905
n181	162	0	0	73	40.113474843749884
n204	167	0	0	42	40.96817484374986
n200	165	0	0	54	40.384574999999884
n201	164	0	0	59	40.39659421874988
n182	166	0	0	75	40.36454296874989
n184	169	0	0	76	41.076347812499854
n183	168	0	0	78	41.018922656249856
n215	170	0	0	34	41.36747999999985
n217	173	0	0	54	42.27693421874983
n218	171	0	0	61	42.26625046874983
n219	172	0	0	64	42.25957312499983
n206	174	0	0	75	41.483665781249854
n224	179	0	0	42	43.16902734374979
n220	177	0	0	54	42.54536343749982
n221	176	0	0	61	42.56405999999982
n222	175	0	0	64	42.54669890624982
n207	178	0	0	73	42.49862203124982
n208	180	0	0	75	43.15300171874979
n225	181	0	0	37	43.517584687499784
n227	185	0	0	54	44.12388749999977
n228	184	0	0	58	44.137242187499766
n229	187	0	0	64	44.11453921874977
n212	188	0	0	75	44.181312656249766
n209	182	0	0	76	43.44146296874979
n211	186	0	0	76	44.053107656249765
n210	183	0	0	78	43.911547968749765
n234	193	0	0	42	45.18825609374974
n230	191	0	0	54	44.38964578124976
n231	190	0	0	58	44.38697484374976
n232	189	0	0	64	44.373620156249764
n213	192	0	0	76	44.35225265624977
n214	194	0	0	78	45.18558515624974
n245	195	0	0	36	45.57020015624975
n247	197	0	0	56	46.606523906249734
n248	196	0	0	63	46.598511093749735
n249	198	0	0	66	46.58515640624974
n236	203	0	0	75	45.64899281249975
n254	202	0	0	36	47.54936484374973
n250	201	0	0	56	46.85358562499973
n251	199	0	0	63	46.85892749999973
n252	200	0	0	66	46.81752796874973
n255	204	0	0	37	47.90860593749973
n257	206	0	0	58	48.66448124999972
n258	205	0	0	61	48.684513281249714
n259	210	0	0	66	48.65646843749972
n238	207	0	0	73	48.222441093749715
n239	208	0	0	78	48.44145796874972
n240	209	0	0	80	48.633765468749715
n264	216	0	0	25	49.53787781249969
n260	212	0	0	58	48.89818828124971
n261	211	0	0	61	48.87147890624971
n271	221	0	0	61	50.77185093749961
n274	deletion
n262	deletion
n244	215	0	0	75	49.511168437499684
n243	213	0	0	78	49.30951265624969
n242	214	0	0	82	49.08648937499969
n241	217	0	0	83	48.88216265624971
n268	218	0	0	37	49.930505624999654
n270	219	0	0	56	50.75048343749961
n272	220	0	0	65	50.730451406249614
n266	225	0	0	71	49.858390312499665
n277	224	0	0	37	51.73873031249955
n273	223	0	0	56	51.01891265624957
n275	222	0	0	65	51.00021609374957
n278	226	0	0	42	52.20347343749955
n280	227	0	0	58	53.06885718749953
n281	229	0	0	61	53.07553453124953
n282	228	0	0	66	53.03947687499953
n267	233	0	0	70	52.13669999999955
n287	234	0	0	30	54.313514062499536
n283	231	0	0	58	53.36132484374953
n284	230	0	0	61	53.338621874999525
n285	232	0	0	66	53.32393171874953
n295	235	0	0	42	54.890436562499524
n297	236	0	0	54	55.929431249999496
n302	241	0	0	56	56.26196296874951
n310	246	0	0	56	57.972698437499425
n314	252	0	0	56	58.24246312499942
n298	deletion
n303	238	0	0	60	56.26463390624951
n299	deletion
n300	237	0	0	63	55.90138640624949
n289	244	0	0	68	54.79561828124954
n306	242	0	0	42	57.008489999999505
n301	239	0	0	54	56.24460187499951
n304	240	0	0	63	56.22056343749951
n290	249	0	0	80	56.188512187499505
n307	243	0	0	40	57.284932031249504
n313	253	0	0	52	58.24246312499942
n309	deletion
n311	248	0	0	61	57.98471765624942
n312	245	0	0	64	57.962014687499426
n292	247	0	0	73	57.94331812499943
n318	255	0	0	40	58.90352015624939
n315	251	0	0	61	58.23177937499942
n316	250	0	0	64	58.23712124999942
n293	254	0	0	75	58.18637343749942
n294	256	0	0	76	58.88081718749939
n326	257	0	0	39	59.18663953124938
n328	deletion
n329	259	0	0	56	59.86372218749936
n330	258	0	0	60	59.843690156249366
n331	260	0	0	66	59.83701281249937
n321	261	0	0	72	59.800955156249366
n320	262	0	0	78	59.126543437499386
