xml_id	midi_id	track	channel	pitch	onset
n17	10	0	0	35	2.6054995312499996
n14	5	0	0	37	0.6303412500000002
n13	1	0	0	39	0.5101490625
n16	7	0	0	39	2.473288125
n19	12	0	0	39	4.54192921875
n18	11	0	0	47	2.5974867187499995
n15	4	0	0	49	0.6249993750000001
n2	0	0	0	51	0.5261746875000001
n5	6	0	0	51	2.4799654687499997
n8	14	0	0	51	4.5512775
n7	9	0	0	59	2.5934803124999997
n4	3	0	0	61	0.6303412500000002
n3	2	0	0	63	0.52350375
n6	8	0	0	63	2.473288125
n9	13	0	0	63	4.54727109375
n20	17	0	0	34	4.67013421875
n22	20	0	0	35	6.48370078125
n21	16	0	0	46	4.667463281250001
n11	18	0	0	47	6.47568796875
n10	15	0	0	58	4.67013421875
n12	19	0	0	59	6.4743525
n29	21	0	0	32	6.630602343749999
n31	26	0	0	40	8.9236021875
n30	23	0	0	44	6.615912187499999
n25	25	0	0	52	8.92226671875
n24	22	0	0	56	6.618583124999999
n26	24	0	0	64	8.916924843750001
n32	29	0	0	40	9.280172343750001
n27	27	0	0	52	9.277501406250002
n28	28	0	0	64	9.2601403125
n49	34	0	0	31	15.463392656250063
n50	35	0	0	43	15.470070000000062
n34	30	0	0	55	15.467399062500062
n35	31	0	0	60	15.480753750000062
n40	37	0	0	52	18.755323125000075
n37	32	0	0	53	17.29164937500007
n38	33	0	0	55	17.29699125000007
n41	38	0	0	55	18.766006875000073
n42	39	0	0	60	18.740632968750074
n39	36	0	0	62	17.26360453125007
n51	43	0	0	43	19.38699984375008
n52	40	0	0	50	19.395012656250078
n43	42	0	0	59	19.395012656250078
n44	41	0	0	65	19.338922968750076
n53	47	0	0	42	21.117767343750078
n55	50	0	0	42	22.71899437500009
n54	46	0	0	51	21.088387031250075
n56	51	0	0	52	22.688278593750088
n47	48	0	0	58	22.66023375000009
n45	44	0	0	59	21.073696875000078
n46	45	0	0	66	21.05767125000008
n48	49	0	0	70	22.63753078125009
n66	52	0	0	42	23.15435718750009
n58	53	0	0	58	23.13031875000009
n59	54	0	0	64	23.139667031250088
n60	55	0	0	73	23.112957656250092
n68	56	0	0	30	24.7475714062501
