onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
0.51014906,0.25908095,51,91,0,0,0,-10.0,-10.0
0.5114845,0.25774547,63,90,0,0,1,-10.0,-10.0
0.5088136,0.26041642,39,82,0,0,2,-10.0,-10.0
0.70245653,0.06677344,48,40,0,0,3,0.645031,-3.0
0.64236045,1.5317826,37,83,0,0,4,-10.0,-10.0
0.64903784,1.5251054,49,93,0,0,5,0.645031,-3.0
0.6450314,1.5291117,61,91,0,0,6,0.645031,-3.0
1.9137267,0.26041642,51,89,0,0,7,0.645031,-3.0
1.9110558,0.26308733,63,100,0,0,8,0.645031,-3.0
1.9150622,0.25908095,39,87,0,0,9,0.645031,-3.0
2.045938,1.4463127,47,89,0,0,10,2.045938,-2.0
2.053951,1.4382999,35,84,0,0,11,2.045938,-2.0
2.0419316,1.450319,59,89,0,0,12,0.645031,-3.0
3.2572083,0.2350425,39,88,0,0,13,2.045938,-2.0
3.2638857,0.22836515,51,87,0,0,14,2.045938,-2.0
3.2491956,0.24305531,63,95,0,0,15,2.045938,-2.0
3.3894198,1.6479684,46,90,0,0,16,2.045938,-2.0
3.3894198,1.6479684,58,96,0,0,17,2.045938,-2.0
4.6901665,0.34722188,47,84,0,0,18,3.38942,-1.0
4.675476,0.36191204,35,72,0,0,19,3.38942,-1.0
3.401439,1.6359493,34,80,0,0,20,3.38942,-1.0
4.680818,0.35657015,59,90,0,0,21,3.38942,-1.0
4.839739,1.792199,44,81,0,0,22,4.839739,0.0
4.845081,1.7868571,32,76,0,0,23,4.839739,0.0
4.8370676,1.79487,56,93,0,0,24,3.38942,-1.0
6.5624933,0.75053346,40,76,0,0,25,4.839739,0.0
6.557152,0.7558753,52,82,0,0,26,4.839739,0.0
6.5491385,0.7638881,64,92,0,0,27,4.839739,0.0
6.971147,5.0053368,52,77,0,0,28,6.955121,1.0
6.955121,5.0213623,40,74,0,0,29,6.955121,1.0
11.678674,1.9324232,60,31,0,0,30,11.677339,4.0
6.955121,6.6559763,64,90,0,0,31,6.955121,1.0
11.690694,1.9204041,55,28,0,0,32,11.677339,4.0
11.676003,3.5189602,31,30,0,0,33,10.103266,3.0
13.409442,1.7855217,55,33,0,0,34,13.401429,5.0
13.401429,1.7935345,53,33,0,0,35,13.401429,5.0
11.663984,3.5309794,43,23,0,0,36,10.103266,3.0
13.356023,1.8389405,62,43,0,0,37,11.677339,4.0
14.556609,0.63835406,52,39,0,0,38,13.401429,5.0
14.524558,0.6704053,60,50,0,0,39,13.401429,5.0
14.873116,1.6973808,43,36,0,0,40,14.873115,6.0
14.873116,1.6973808,50,43,0,0,41,14.873115,6.0
14.889141,1.6813551,59,49,0,0,42,14.873115,6.0
14.867774,1.7027227,65,56,0,0,43,13.401429,5.0
16.348808,1.4209387,42,37,0,0,44,14.873115,6.0
16.396885,1.3728619,59,45,0,0,45,16.362831,7.0
16.351479,1.4182678,51,36,0,0,46,14.873115,6.0
16.374182,1.3955648,66,60,0,0,47,16.362831,7.0
17.781767,0.16025625,58,53,0,0,48,16.362831,7.0
17.658903,4.3963633,52,35,0,0,49,16.362831,7.0
17.656233,4.399034,42,40,0,0,50,16.362831,7.0
17.747044,4.3082223,70,76,0,0,51,16.362831,7.0
18.082247,3.9730196,58,52,0,0,52,16.362831,7.0
18.229149,3.826118,64,63,0,0,53,16.362831,7.0
18.616434,3.438832,73,77,0,0,54,18.34066,8.0
18.452171,3.6030946,42,47,0,0,55,18.34066,8.0
19.959915,2.0953505,30,38,0,0,56,19.959915,9.0
21.713387,1.837605,59,33,0,0,57,21.683338,10.0
21.678665,1.8723272,63,39,0,0,58,19.959915,9.0
21.666645,1.8843464,71,42,0,0,59,19.959915,9.0
21.688013,1.8629789,35,32,0,0,60,21.683338,10.0
26.049654,5.1255293,75,54,0,0,61,24.569954,11.0
24.569954,6.6052284,66,35,0,0,62,24.569954,11.0
26.278019,4.897164,35,27,0,0,63,24.569954,11.0
27.26493,3.9102526,59,37,0,0,64,26.358147,12.0
27.275614,3.8995688,54,34,0,0,65,26.358147,12.0
27.247568,3.9276135,63,41,0,0,66,26.358147,12.0
27.532024,3.6431587,63,36,0,0,67,27.524012,13.0
27.511992,3.6631908,54,35,0,0,68,26.358147,12.0
27.524012,3.6511714,59,27,0,0,69,27.524012,13.0
28.380047,2.795136,42,30,0,0,70,27.524012,13.0
28.631115,2.5440679,35,27,0,0,71,27.524012,13.0
26.438274,4.7369075,75,64,0,0,72,26.358147,12.0
29.50451,1.6706715,54,33,0,0,73,28.67385,14.0
29.493828,1.6813551,63,38,0,0,74,28.67385,14.0
29.519201,1.6559813,59,30,0,0,75,28.67385,14.0
28.716585,2.458598,71,52,0,0,76,28.67385,14.0
29.760921,1.4142615,59,33,0,0,77,29.754911,15.0
29.748901,1.4262806,63,38,0,0,78,28.67385,14.0
29.764927,1.410255,54,24,0,0,79,29.754911,15.0
29.495163,1.6800197,73,68,0,0,80,28.67385,14.0
29.746231,1.4289516,75,81,0,0,81,28.67385,14.0
30.634317,0.5408648,42,39,0,0,82,29.754911,15.0
30.619627,0.63034123,76,63,0,0,83,29.754911,15.0
30.956165,2.5734482,34,40,0,0,84,29.754911,15.0
31.931057,1.598556,61,33,0,0,85,31.000237,16.0
31.932394,1.5972207,54,33,0,0,86,31.000237,16.0
31.884315,1.6452975,64,39,0,0,87,31.000237,16.0
32.194145,1.3354688,64,30,0,0,88,32.174114,17.0
32.16076,1.3688555,61,24,0,0,89,31.000237,16.0
32.171444,1.3581717,54,34,0,0,90,31.000237,16.0
31.044306,2.4853075,75,64,0,0,91,31.000237,16.0
32.176785,1.3528298,73,56,0,0,92,32.174114,17.0
33.0208,0.5088136,42,38,0,0,93,32.174114,17.0
32.983406,0.5462067,75,70,0,0,94,32.174114,17.0
33.285225,1.5024023,37,40,0,0,95,32.174114,17.0
33.373363,1.4142615,76,64,0,0,96,33.329292,18.0
34.045105,0.74252063,78,60,0,0,97,33.329292,18.0
34.23207,0.555555,76,67,0,0,98,33.329292,18.0
34.419037,0.36858937,54,33,0,0,99,33.329292,18.0
34.427048,0.36057657,58,29,0,0,100,33.329292,18.0
34.386986,0.40064064,64,44,0,0,101,33.329292,18.0
34.40301,0.384615,75,80,0,0,102,33.329292,18.0
34.623363,1.5504792,64,35,0,0,103,33.329292,18.0
34.66476,1.5090797,58,32,0,0,104,34.640057,19.0
34.65675,1.5170925,54,32,0,0,105,34.640057,19.0
34.61268,1.561163,76,76,0,0,106,33.329292,18.0
35.649002,0.5248392,42,38,0,0,107,34.640057,19.0
35.636982,0.59829,78,75,0,0,108,34.640057,19.0
36.000233,2.4519205,35,40,0,0,109,34.640057,19.0
36.924374,1.5277762,54,46,0,0,110,36.043633,20.0
36.919033,1.5331181,59,45,0,0,111,36.043633,20.0
36.916363,1.535789,63,51,0,0,112,36.043633,20.0
37.174107,1.2780436,59,51,0,0,113,37.1701,21.0
37.1701,1.28205,63,57,0,0,114,37.1701,21.0
37.1701,1.28205,54,45,0,0,115,37.1701,21.0
38.003433,0.4487175,41,52,0,0,116,37.1701,21.0
36.087036,2.4599335,75,72,0,0,117,36.043633,20.0
38.24382,1.2873919,34,43,0,0,118,37.1701,21.0
39.102524,0.42868546,61,43,0,0,119,38.28188,22.0
39.109203,0.42200813,53,42,0,0,120,38.28188,22.0
39.10119,0.43002093,58,48,0,0,121,38.28188,22.0
38.31994,1.2673599,73,71,0,0,122,38.28188,22.0
39.36294,1.3461525,55,43,0,0,123,38.28188,22.0
39.382973,1.3261205,61,35,0,0,124,39.376965,23.0
39.370953,1.3381397,51,40,0,0,125,38.28188,22.0
39.392323,1.3167722,75,72,0,0,126,39.376965,23.0
40.320473,0.38862142,39,42,0,0,127,39.376965,23.0
40.34184,0.40731797,70,65,0,0,128,39.376965,23.0
40.555515,1.4022422,32,39,0,0,129,40.555515,24.0
