idx,matchtype,partid,ppartid
0,0,n5,0
1,0,n6,1
2,0,n7,5
3,0,n1,2
4,0,n8,6
5,0,n2,3
6,0,n3,4
7,0,n4,7
8,0,n13,9
9,0,n14,8
10,0,n9,11
11,0,n10,10
12,0,n15,12
13,0,n16,13
14,0,n11,15
15,0,n12,14
16,0,n23,17
17,0,n24,19
18,0,n17,16
19,0,n18,18
20,0,n19,20
21,0,n25,22
22,0,n26,24
23,0,n20,21
24,0,n21,23
25,0,n22,25
26,0,n33,27
27,0,n34,26
28,0,n27,30
29,0,n28,29
30,0,n29,28
31,0,n35,32
32,0,n36,31
33,0,n30,33
34,0,n31,34
35,0,n32,35
36,0,n43,36
37,0,n44,38
38,0,n37,37
39,0,n38,39
40,0,n39,40
41,0,n45,41
42,0,n46,42
43,0,n40,43
44,0,n41,44
45,0,n42,45
46,0,n53,50
47,0,n54,52
48,0,n55,49
49,0,n56,47
50,0,n47,51
51,0,n48,53
52,0,n49,48
53,0,n57,54
54,0,n58,55
55,0,n50,58
56,0,n51,56
57,0,n52,57
58,0,n67,59
59,0,n68,61
60,0,n59,60
61,0,n60,63
62,0,n61,62
63,0,n62,64
64,0,n69,67
65,0,n70,68
66,0,n71,66
67,0,n63,65
68,0,n64,70
69,0,n65,69
70,0,n66,71
71,0,n78,77
72,0,n79,76
73,0,n80,75
74,0,n72,74
75,0,n73,78
76,0,n74,73
77,0,n81,80
78,0,n82,81
79,0,n83,79
80,0,n75,83
81,0,n76,84
82,0,n77,82
83,0,n90,88
84,0,n84,90
85,0,n93,96
86,0,n92,87
87,0,n91,85
88,0,n85,86
89,0,n86,89
90,0,n87,93
91,0,n102,99
92,0,n95,94
93,0,n94,91
94,0,n88,92
95,0,n89,95
96,0,n96,100
97,0,n105,106
98,0,n104,101
99,0,n103,97
100,0,n97,98
101,0,n98,102
102,0,n99,105
103,0,n118,113
104,0,n107,107
105,0,n106,103
106,0,n100,104
107,0,n101,108
108,0,n108,109
109,0,n121,123
110,0,n120,115
111,0,n119,112
112,0,n109,110
113,0,n110,111
114,0,n111,114
115,0,n113,117
116,0,n112,116
117,0,n131,129
118,0,n123,124
119,0,n122,118
120,0,n114,119
121,0,n115,120
122,0,n116,121
123,0,n117,122
124,0,n124,137
125,1,n125,undefined
126,0,n134,133
127,0,n133,128
128,0,n132,125
129,0,n126,126
130,0,n127,127
131,0,n144,140
132,0,n136,134
133,0,n135,130
134,0,n129,131
135,0,n130,132
136,0,n147,145
137,0,n146,139
138,0,n145,135
139,0,n138,136
140,0,n139,138
141,0,n140,141
142,0,n157,151
143,0,n149,147
144,0,n148,144
145,0,n141,143
146,0,n142,142
147,0,n143,146
148,0,n150,150
149,0,n160,157
150,0,n159,153
151,0,n158,149
152,0,n151,148
153,0,n152,152
154,0,n153,158
155,0,n173,165
156,0,n162,159
157,0,n161,155
158,0,n154,156
159,0,n155,154
160,0,n156,160
161,0,n163,161
162,0,n176,172
163,0,n175,167
164,0,n174,164
165,0,n164,162
166,0,n165,163
167,0,n166,166
168,0,n168,169
169,0,n167,168
170,0,n185,180
171,0,n178,176
172,0,n177,171
173,0,n169,170
174,0,n170,173
175,0,n171,174
176,0,n172,175
177,0,n179,188
178,1,n180,undefined
179,0,n188,185
180,0,n187,181
181,0,n186,177
182,0,n181,178
183,0,n182,179
184,0,n200,189
185,1,n190,undefined
186,0,n189,182
187,0,n183,183
188,0,n184,184
189,0,n194,196
190,1,n197,undefined
191,0,n203,193
192,0,n202,191
193,0,n201,187
194,0,n192,190
195,0,n193,192
196,0,n212,200
197,0,n205,197
198,0,n204,194
199,0,n199,199
