xml_id	midi_id	track	channel	pitch	onset
n5	0	0	0	30	0.6661458333333333
n6	1	0	0	42	0.6755208333333333
n7	4	0	0	42	1.2276041666666666
n1	2	0	0	54	0.6848958333333334
n8	5	0	0	54	1.2359375
n2	3	0	0	66	0.6526041666666667
n3	6	0	0	66	1.2432291666666666
n4	7	0	0	78	1.2203125
n13	11	0	0	54	1.6380208333333335
n14	9	0	0	66	1.6338541666666668
n9	10	0	0	78	1.6463541666666668
n10	8	0	0	90	1.6390625
n15	12	0	0	30	2.0588541666666664
n16	13	0	0	42	2.0526041666666663
n11	15	0	0	54	2.0421875
n12	14	0	0	66	2.0317708333333333
n23	18	0	0	31	2.3963541666666663
n24	19	0	0	43	2.3932291666666665
n17	16	0	0	54	2.394270833333333
n18	17	0	0	59	2.4015624999999994
n19	20	0	0	66	2.399479166666666
n25	23	0	0	43	2.7505208333333337
n26	25	0	0	55	2.7442708333333337
n20	22	0	0	66	2.7453125000000003
n21	24	0	0	71	2.772395833333334
n22	26	0	0	78	2.7442708333333337
n33	30	0	0	55	3.0921874999999996
n34	27	0	0	67	3.0901041666666664
n27	31	0	0	78	3.0932291666666663
n28	29	0	0	83	3.0890625
n29	28	0	0	90	3.091145833333333
n35	36	0	0	31	3.4453124999999996
n36	33	0	0	43	3.461979166666666
n30	35	0	0	54	3.446354166666666
n31	32	0	0	59	3.438020833333333
n32	34	0	0	66	3.4453124999999996
n43	37	0	0	32	3.765104166666666
n44	40	0	0	44	3.765104166666666
n37	38	0	0	54	3.781770833333333
n38	39	0	0	60	3.7755208333333328
n39	41	0	0	66	3.771354166666666
n45	43	0	0	44	4.067187499999999
n46	45	0	0	56	4.0692708333333325
n40	42	0	0	66	4.072395833333332
n41	44	0	0	72	4.079687499999999
n42	46	0	0	78	4.0692708333333325
n53	52	0	0	57	4.423437499999997
n54	53	0	0	61	4.4296874999999964
n55	49	0	0	66	4.42239583333333
n56	47	0	0	69	4.418229166666664
n47	50	0	0	78	4.4348958333333295
n48	54	0	0	85	4.4348958333333295
n49	51	0	0	90	4.432812499999996
n57	59	0	0	33	4.816145833333327
n58	56	0	0	45	4.814062499999994
n50	57	0	0	54	4.816145833333327
n51	58	0	0	61	4.823437499999994
n52	55	0	0	66	4.82135416666666
n67	61	0	0	34	5.151562499999993
n68	65	0	0	46	5.1546874999999925
n59	60	0	0	54	5.151562499999993
n60	63	0	0	61	5.159895833333326
n61	62	0	0	64	5.161979166666659
n62	66	0	0	66	5.152604166666659
n69	68	0	0	54	5.481770833333323
n70	deletion
n71	69	0	0	64	5.48281249999999
n63	70	0	0	66	5.475520833333324
n64	67	0	0	73	5.480729166666657
n65	deletion
n66	71	0	0	78	5.47656249999999
n78	73	0	0	64	6.093229166666656
n79	74	0	0	66	6.085937499999989
n80	72	0	0	74	6.075520833333322
n72	75	0	0	86	6.075520833333322
n73	76	0	0	90	6.074479166666656
n74	77	0	0	98	6.070312499999989
n81	84	0	0	64	7.074479166666656
n82	83	0	0	66	7.058854166666656
n83	82	0	0	73	7.054687499999989
n75	80	0	0	85	7.052604166666656
n76	78	0	0	90	7.057812499999989
n77	81	0	0	97	7.055729166666656
n90	90	0	0	35	9.61510416666666
n84	88	0	0	59	9.597395833333326
n93	96	0	0	40	10.224479166666663
n92	86	0	0	42	10.078645833333328
n91	87	0	0	47	9.91197916666666
n85	85	0	0	50	9.879687499999992
n86	89	0	0	54	10.07135416666666
n87	93	0	0	55	10.24114583333333
n102	100	0	0	35	10.72552083333334
n95	94	0	0	43	10.574479166666668
n94	91	0	0	47	10.403645833333334
n88	92	0	0	52	10.408854166666668
n89	95	0	0	58	10.535937500000001
n96	101	0	0	59	10.69739583333334
n105	107	0	0	40	11.178645833333348
n104	99	0	0	42	11.034895833333344
n103	98	0	0	47	10.888020833333341
n97	97	0	0	50	10.848437500000006
n98	102	0	0	54	11.006770833333341
n99	105	0	0	55	11.164062500000014
n118	114	0	0	35	11.610937500000015
n107	106	0	0	43	11.45989583333335
n106	103	0	0	47	11.323437500000017
n100	104	0	0	52	11.318229166666683
n101	108	0	0	58	11.445312500000018
n108	109	0	0	59	11.60572916666668
n121	118	0	0	40	12.010937500000015
n120	115	0	0	42	11.891145833333349
n119	112	0	0	47	11.803645833333348
n109	110	0	0	50	11.732812500000016
n110	111	0	0	54	11.756770833333348
n111	113	0	0	59	11.868229166666682
n113	117	0	0	59	12.029687500000016
n112	116	0	0	61	11.979687500000015
n131	129	0	0	38	12.448437500000022
n123	123	0	0	43	12.280729166666685
n122	121	0	0	47	12.144270833333351
n114	119	0	0	52	12.130729166666683
n115	120	0	0	55	12.133854166666683
n116	122	0	0	58	12.120312500000017
n117	124	0	0	59	12.265104166666685
n124	140	0	0	62	12.433854166666688
n125	deletion
n134	133	0	0	43	12.903645833333357
n133	128	0	0	45	12.755729166666692
n132	125	0	0	50	12.616145833333357
n126	126	0	0	54	12.600520833333357
n127	127	0	0	57	12.747395833333359
n144	139	0	0	38	13.33697916666669
n136	132	0	0	46	13.213020833333358
n135	131	0	0	50	13.078645833333358
n129	130	0	0	55	13.04635416666669
n130	134	0	0	58	13.19635416666669
n147	146	0	0	43	13.785937500000026
n146	137	0	0	45	13.630729166666693
n145	135	0	0	50	13.499479166666692
n138	136	0	0	54	13.48489583333336
n139	138	0	0	57	13.617187500000027
n140	144	0	0	58	13.758854166666694
n157	151	0	0	38	14.178645833333366
n149	145	0	0	46	14.065104166666698
n148	142	0	0	50	13.917187500000027
n141	141	0	0	52	13.940104166666694
n142	143	0	0	55	13.941145833333362
n143	147	0	0	61	14.038020833333366
n150	153	0	0	62	14.208854166666699
n160	159	0	0	43	14.643229166666703
n159	150	0	0	45	14.496354166666702
n158	148	0	0	50	14.353645833333367
n151	149	0	0	54	14.356770833333368
n152	152	0	0	57	14.472395833333367
n153	157	0	0	58	14.626562500000036
n173	165	0	0	38	15.036979166666706
n162	158	0	0	46	14.901562500000038
n161	156	0	0	50	14.767187500000036
n154	154	0	0	52	14.779687500000037
n155	155	0	0	55	14.774479166666703
n156	160	0	0	61	14.883854166666705
n163	161	0	0	62	15.022395833333372
n176	170	0	0	43	15.438020833333379
n175	167	0	0	45	15.299479166666712
n174	163	0	0	50	15.175520833333376
n164	162	0	0	54	15.163020833333375
n165	164	0	0	57	15.172395833333375
n166	166	0	0	62	15.286979166666711
n168	169	0	0	62	15.43177083333338
n167	168	0	0	64	15.41927083333338
n185	182	0	0	42	15.869270833333383
n178	176	0	0	47	15.692187500000047
n177	173	0	0	50	15.55989583333338
n169	171	0	0	55	15.55677083333338
n170	172	0	0	59	15.53489583333338
n171	174	0	0	61	15.55989583333338
n172	177	0	0	62	15.693229166666715
n179	190	0	0	66	15.872395833333384
n180	deletion
n188	187	0	0	47	16.29947916666672
n187	181	0	0	49	16.175520833333383
n186	179	0	0	54	16.04531250000005
n181	178	0	0	58	16.046354166666717
n182	180	0	0	61	16.20781250000005
n200	191	0	0	42	16.71822916666672
n190	deletion
n189	184	0	0	54	16.47864583333339
n183	183	0	0	59	16.46614583333339
n184	186	0	0	62	16.607812500000055
n194	195	0	0	62	17.144270833333383
n197	deletion
n203	194	0	0	47	17.158854166666718
n202	192	0	0	49	17.009895833333385
n201	188	0	0	54	16.89635416666672
n192	189	0	0	58	16.87447916666672
n193	193	0	0	61	17.000520833333386
n212	201	0	0	40	17.650520833333385
n205	200	0	0	47	17.45781250000005
n204	196	0	0	54	17.31093750000005
n199	198	0	0	57	17.304687500000053
n195	197	0	0	59	17.309895833333385
n196	199	0	0	63	17.44531250000005
n198	deletion
n206	205	0	0	64	17.644270833333383
n215	206	0	0	45	18.086979166666723
n214	204	0	0	47	17.972395833333387
n213	202	0	0	52	17.816145833333387
n211	203	0	0	56	17.93697916666672
n226	211	0	0	38	18.474479166666722
n217	209	0	0	49	18.338020833333392
n216	207	0	0	55	18.233854166666724
n222	212	0	0	62	18.486979166666725
n209	210	0	0	64	18.32656250000006
n208	208	0	0	66	18.249479166666724
n229	216	0	0	43	18.923437500000063
n228	215	0	0	45	18.795312500000062
n227	213	0	0	54	18.649479166666726
n224	218	0	0	59	18.907812500000063
n223	214	0	0	61	18.761979166666727
n240	221	0	0	42	19.395312500000063
n231	220	0	0	47	19.22760416666673
n230	217	0	0	53	19.06510416666673
n232	224	0	0	54	19.38072916666673
n225	219	0	0	61	19.220312500000063
n243	225	0	0	35	19.885937500000068
n242	223	0	0	46	19.715104166666734
n241	222	0	0	52	19.55885416666673
n237	226	0	0	62	19.888020833333403
