xml_id	midi_id	track	channel	pitch	onset
n22	5	1	0	37	0.9231770833333333
n23	6	1	0	44	0.91015625
n2	2	1	0	54	1.4427083333333333
n3	1	1	0	58	1.4231770833333333
n8	8	1	0	58	2.2434895833333335
n5	4	1	0	60	1.7890625
n4	0	1	0	61	1.4153645833333333
n9	10	1	0	61	2.2395833333333335
n10	11	1	0	63	2.2239583333333335
n6	7	1	0	65	1.8020833333333333
n7	3	1	0	68	1.8125
n12	12	1	0	66	3.1328125
n21	31	1	0	68	2.75
n13	13	1	0	70	3.1731770833333335
n14	14	1	0	73	3.1484375
n18	18	1	0	70	3.852864583333333
n15	15	1	0	72	3.48828125
n19	19	1	0	73	3.864583333333333
n20	20	1	0	75	3.8580729166666665
n16	17	1	0	77	3.5260416666666665
n17	16	1	0	80	3.5221354166666665
n46	35	1	0	65	4.240885416666667
n54	49	1	0	65	7.886718749999998
n40	deletion
n24	22	1	0	78	4.302083333333333
n30	27	1	0	82	4.953124999999997
n25	deletion
n27	23	1	0	84	4.604166666666665
n26	21	1	0	85	4.294270833333333
n28	25	1	0	89	4.610677083333332
n29	24	1	0	92	4.632812499999998
n33	32	1	0	72	5.341145833333331
n34	30	1	0	77	5.322916666666664
n35	29	1	0	80	5.294270833333331
n31	28	1	0	85	4.972656249999997
n32	26	1	0	87	4.932291666666664
n39	39	1	0	60	6.143229166666663
n47	37	1	0	63	5.735677083333331
n41	38	1	0	68	6.13802083333333
n36	36	1	0	70	5.772135416666664
n37	34	1	0	73	5.792968749999997
n38	33	1	0	75	5.751302083333331
n48	51	1	0	44	6.776041666666664
n45	45	1	0	54	6.778645833333331
n44	42	1	0	58	6.499999999999997
n42	43	1	0	61	6.499999999999997
n43	44	1	0	63	6.526041666666664
n71	50	1	0	37	7.247395833333332
n50	46	1	0	53	7.555989583333332
n51	47	1	0	56	7.545572916666665
n52	48	1	0	63	7.545572916666665
n56	54	1	0	60	8.205729166666664
n53	52	1	0	61	7.889322916666665
n57	55	1	0	63	8.22005208333333
n58	56	1	0	65	8.195312499999998
n55	53	1	0	70	7.865885416666665
n59	61	1	0	58	8.53645833333333
n60	63	1	0	61	8.53255208333333
n61	57	1	0	65	8.52473958333333
n62	deletion
n63	58	1	0	68	8.82161458333333
n64	59	1	0	75	8.819010416666664
n68	deletion
n65	62	1	0	73	9.13151041666666
n69	deletion
n70	66	1	0	75	9.45963541666666
n66	60	1	0	77	9.128906249999995
n67	64	1	0	82	9.126302083333329
n97	85	1	0	70	9.755208333333327
n74	84	1	0	73	9.755208333333327
n99	deletion
n75	68	1	0	77	9.743489583333327
