xml_id	midi_id	track	channel	pitch	onset
n4	2	1	0	47	2.3544314062500002
n6	4	1	0	47	3.0061401562500008
n5	3	1	0	50	2.6896340625000006
n1	0	1	0	59	2.0058740625
n8	8	1	0	46	3.632475000000001
n2	6	1	0	66	3.3346654687500004
n10	10	1	0	42	4.2601453125000015
n9	9	1	0	49	3.9423037500000007
n19	15	1	0	43	4.913189531250007
n11	13	1	0	71	4.664792343750005
n21	18	1	0	40	5.547537187500008
n20	16	1	0	42	5.212334531250009
n12	19	1	0	73	5.547537187500008
n13	20	1	0	74	5.876062500000007
n22	21	1	0	38	6.009609375000007
n14	22	1	0	71	5.9855709375000075
n15	23	1	0	78	6.5731771875000105
n16	24	1	0	78	6.935089218750012
n17	25	1	0	78	7.267620937500013
n32	26	1	0	58	7.975419375000013
n33	27	1	0	61	7.955387343750013
n24	28	1	0	78	7.577449687500013
n34	31	1	0	58	8.323976718750014
n36	35	1	0	58	8.61243796875001
n35	29	1	0	61	8.294596406250013
n37	36	1	0	61	8.61243796875001
n26	38	1	0	76	8.851486875000012
insertion	33	1	0	76	8.470878281250014
n25	37	1	0	79	8.584393125000013
n39	40	1	0	59	9.284178750000018
n40	41	1	0	66	9.276165937500018
n27	39	1	0	76	8.939627812500014
n41	46	1	0	59	9.607362187500017
n43	50	1	0	62	9.96660328125002
n42	47	1	0	66	9.594007500000018
n30	49	1	0	71	10.11751125000002
n28	43	1	0	74	9.639413437500018
n29	48	1	0	78	9.94122937500002
n55	57	1	0	62	10.67707265625002
n54	53	1	0	64	10.292457656250022
n45	56	1	0	71	10.65971156250002
n44	52	1	0	73	10.340534531250023
n56	60	1	0	64	11.067029531250027
n57	63	1	0	66	11.447638125000031
n49	62	1	0	70	11.670661406250034
n48	61	1	0	71	11.443631718750032
n47	59	1	0	73	11.24331140625003
n46	58	1	0	74	11.045662031250027
n58	64	1	0	67	11.957787187500038
n50	65	1	0	71	11.939090625000038
n53	67	1	0	79	13.904900625000067
n52	66	1	0	83	13.723276875000067
n62	70	1	0	75	14.40436593750007
n61	69	1	0	76	14.24277421875007
n63	71	1	0	76	14.557944843750073
n65	73	1	0	76	14.898489375000075
n60	68	1	0	78	14.078511562500067
n67	75	1	0	76	15.229685625000078
n64	72	1	0	78	14.735562187500074
n66	74	1	0	79	15.068093906250075
n73	76	1	0	64	15.48075375000008
n74	78	1	0	67	15.48476015625008
n68	77	1	0	70	15.431341406250079
n75	80	1	0	62	16.245977343750088
n76	81	1	0	66	16.23796453125009
n69	79	1	0	71	16.21259062500009
n71	83	1	0	79	16.8509446875001
n70	82	1	0	83	16.686682031250093
n80	86	1	0	75	17.3450681250001
n79	85	1	0	76	17.1914892187501
n81	87	1	0	76	17.505324375000104
n78	84	1	0	78	17.020549218750098
n83	89	1	0	76	17.857888125000102
n85	91	1	0	76	18.189084375000107
n82	88	1	0	78	17.689619062500103
n84	90	1	0	79	18.026157187500104
n91	92	1	0	64	18.478881093750108
n92	96	1	0	67	18.484222968750107
n86	93	1	0	70	18.40543031250011
n93	95	1	0	62	19.19869875000012
n94	97	1	0	66	19.19602781250012
n87	94	1	0	71	19.15195734375012
n89	99	1	0	79	19.77562125000012
n88	98	1	0	83	19.60601671875012
n98	102	1	0	75	20.261731875000123
n97	101	1	0	76	20.105482031250123
n99	103	1	0	76	20.424659062500126
n96	100	1	0	78	19.93721296875012
n101	105	1	0	76	20.762532656250126
n103	107	1	0	76	21.091057968750132
n100	104	1	0	78	20.587586250000125
n102	106	1	0	79	20.921453437500126
n111	109	1	0	64	21.423589687500137
n112	113	1	0	67	21.408899531250135
n104	108	1	0	73	21.378183750000133
n105	110	1	0	82	21.335448750000133
n113	114	1	0	62	22.104678750000136
n115	118	1	0	64	22.426526718750143
n114	115	1	0	66	22.100672343750137
n106	111	1	0	74	22.09132406250014
n108	117	1	0	76	22.426526718750143
n109	119	1	0	79	22.475939062500142
n107	112	1	0	83	22.076633906250137
n126	129	1	0	66	22.781761406250148
n118	126	1	0	73	23.095596562500152
n116	123	1	0	74	22.767071250000146
n119	125	1	0	76	23.07957093750015
n117	124	1	0	78	22.744368281250146
n127	136	1	0	54	23.42412187500015
n122	134	1	0	70	23.879516718750143
n120	131	1	0	71	23.41744453125015
n123	133	1	0	73	23.856813750000143
n121	128	1	0	74	23.45750859375015
n128	139	1	0	47	24.288170156250143
n129	138	1	0	59	24.293512031250142
n124	135	1	0	71	24.258789843750144
n134	143	1	0	47	25.96551890625016
n131	141	1	0	59	25.63966453125016
n136	145	1	0	47	26.598531093750164
n135	144	1	0	50	26.27668312500016
n138	149	1	0	46	27.239556093750164
n132	147	1	0	66	26.939075625000164
n140	151	1	0	42	27.896606718750174
n139	150	1	0	49	27.55472671875017
n151	153	1	0	43	28.55365734375018
n141	155	1	0	71	28.23314484375018
n153	156	1	0	40	29.226733593750183
n152	154	1	0	42	28.883518125000183
n142	157	1	0	73	29.21070796875018
n143	158	1	0	74	29.55659437500018
n154	159	1	0	38	29.70750234375018
n144	160	1	0	71	29.663431875000178
n145	161	1	0	73	30.169574531250184
n146	162	1	0	74	30.440674687500184
n147	163	1	0	71	30.52480921875019
