onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,last_beat,last_beat_ref
-1.0,0.75,-1.0,0.75,0,18,71,1,n1,-1.0,0.959635
-0.25,0.125,-0.25,0.125,18,3,72,1,n2,-1.0,0.959635
-0.125,0.125,-0.125,0.125,21,3,74,1,n3,-1.0,0.959635
0.0,0.5,0.0,0.5,24,12,67,1,n6,0.0,1.468099
0.0,0.5,0.0,0.5,24,12,55,5,n12,0.0,1.468099
0.0,0.5,0.0,0.5,24,12,59,5,n13,0.0,1.468099
0.5,0.5,0.5,0.5,36,12,67,1,n7,0.0,1.468099
0.5,0.5,0.5,0.5,36,12,55,5,n14,0.0,1.468099
0.5,0.5,0.5,0.5,36,12,59,5,n15,0.0,1.468099
1.0,0.375,1.0,0.375,48,9,69,1,n8,1.0,1.97526
1.0,0.5,1.0,0.5,48,12,50,5,n16,1.0,1.97526
1.0,0.5,1.0,0.5,48,12,60,5,n17,1.0,1.97526
1.375,0.125,1.375,0.125,57,3,67,1,n9,1.0,1.97526
1.5,0.375,1.5,0.375,60,9,69,1,n10,1.0,1.97526
1.5,0.5,1.5,0.5,60,12,50,5,n18,1.0,1.97526
1.5,0.5,1.5,0.5,60,12,60,5,n19,1.0,1.97526
1.875,0.125,1.875,0.125,69,3,71,1,n11,1.0,1.97526
2.0,0.5,2.0,0.5,72,12,67,1,n21,2.0,2.640625
2.0,0.5,2.0,0.5,72,12,55,5,n27,2.0,2.640625
2.0,0.5,2.0,0.5,72,12,59,5,n28,2.0,2.640625
3.0,0.25,3.0,0.25,96,6,76,1,n23,3.0,3.23112
3.0,0.5,3.0,0.5,96,12,72,5,n30,3.0,3.23112
3.25,0.125,3.25,0.125,102,3,78,1,n24,3.0,3.23112
3.375,0.125,3.375,0.125,105,3,79,1,n25,3.0,3.23112
3.5,0.5,3.5,0.5,108,12,74,1,n26,3.0,3.23112
3.5,0.5,3.5,0.5,108,12,71,5,n31,3.0,3.23112
4.0,0.25,4.0,0.25,120,6,72,1,n34,4.0,3.7858076
4.0,0.5,4.0,0.5,120,12,69,5,n40,4.0,3.7858076
4.25,0.125,4.25,0.125,126,3,74,1,n35,4.0,3.7858076
4.375,0.125,4.375,0.125,129,3,76,1,n36,4.0,3.7858076
4.5,0.5,4.5,0.5,132,12,71,1,n37,4.0,3.7858076
4.5,0.5,4.5,0.5,132,12,67,5,n41,4.0,3.7858076
5.0,0.5,5.0,0.5,144,12,69,1,n38,5.0,4.332031
5.0,1.0,5.0,1.0,144,24,64,5,n42,5.0,4.332031
5.0,0.5,5.0,0.5,144,12,60,6,n44,5.0,4.332031
5.5,0.5,5.5,0.5,156,12,67,1,n39,5.0,4.332031
5.5,0.5,5.5,0.5,156,12,61,6,n45,5.0,4.332031
