onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
0.31944475,0.7094024,71,75,0,0,0,-10.0,-10.0
0.7318383,1.8621813,64,49,0,0,1,0.588676,0.0
0.4155987,2.1784208,48,56,0,0,2,-10.0,-10.0
0.8119666,1.782053,67,54,0,0,3,0.588676,0.0
0.5886758,2.0053437,55,48,0,0,4,-10.0,-10.0
0.5170945,2.076925,52,47,0,0,5,-10.0,-10.0
0.68376136,1.9102582,60,40,0,0,6,0.588676,0.0
0.9166675,1.6773521,72,73,0,0,7,0.588676,0.0
1.9615403,0.6933767,67,72,0,0,8,0.588676,0.0
2.3707287,1.4786339,79,66,0,0,9,0.588676,0.0
3.1399603,0.7094024,77,61,0,0,10,2.370729,1.0
3.2991483,0.5502142,76,64,0,0,11,2.370729,1.0
2.3803442,1.4690185,60,41,0,0,12,2.370729,1.0
3.4572682,0.3920944,74,73,0,0,13,2.370729,1.0
3.6153882,0.27777803,72,66,0,0,14,2.370729,1.0
2.3707287,1.6335486,64,41,0,0,15,0.588676,0.0
3.8450892,0.9455137,71,52,0,0,16,2.370729,1.0
3.867525,0.9230778,62,32,0,0,17,3.861115,2.0
3.8611147,0.92948806,65,34,0,0,18,2.370729,1.0
5.1634665,0.094017185,67,56,0,0,19,3.861115,2.0
5.278851,0.7094024,72,61,0,0,20,5.278851,3.0
5.822655,0.17414546,67,68,0,0,21,5.278851,3.0
5.9391084,0.77136827,76,70,0,0,22,5.278851,3.0
5.9273562,0.7831204,60,39,0,0,23,5.278851,3.0
5.943382,0.76709473,72,62,0,0,24,5.278851,3.0
6.4754333,0.23504296,67,71,0,0,25,5.278851,3.0
6.612186,0.23931646,59,51,0,0,26,6.612186,4.0
6.607912,0.71688104,77,70,0,0,27,5.278851,3.0
6.6143227,0.71047074,74,69,0,0,28,6.612186,4.0
7.139964,0.18482924,67,62,0,0,29,6.612186,4.0
7.275648,0.77350503,72,51,0,0,30,6.612186,4.0
7.2745795,0.7745734,76,58,0,0,31,6.612186,4.0
7.307699,0.7435905,60,39,0,0,32,6.612186,4.0
7.8098364,0.2660259,67,51,0,0,33,6.612186,4.0
8.017101,1.0106847,74,57,0,0,34,6.612186,4.0
8.027785,1.000001,71,39,0,0,35,8.021375,5.0
8.021375,1.0064112,55,36,0,0,36,8.021375,5.0
9.192316,0.32585502,60,66,0,0,37,8.021375,5.0
9.358983,1.2927363,72,69,0,0,38,9.358983,6.0
10.410266,0.24145322,74,63,0,0,39,9.358983,6.0
9.982916,0.66880405,57,34,0,0,40,9.358983,6.0
10.490395,0.16132493,72,61,0,0,41,9.358983,6.0
10.5940275,0.20619677,55,43,0,0,42,9.358983,6.0
10.596164,0.6100433,71,68,0,0,43,10.595095,7.0
11.025652,0.18055573,72,54,0,0,44,10.595095,7.0
11.089754,0.1164531,71,61,0,0,45,10.595095,7.0
11.192318,0.61859035,69,62,0,0,46,10.595095,7.0
11.606849,0.20406002,71,51,0,0,47,10.595095,7.0
11.19125,0.6196587,53,47,0,0,48,10.595095,7.0
11.683772,0.12713687,69,63,0,0,49,10.595095,7.0
12.137832,0.067307755,72,69,0,0,50,11.80717,8.0
12.436977,0.09615394,76,77,0,0,51,11.80717,8.0
11.810908,0.92948806,52,40,0,0,52,11.80717,8.0
11.80343,1.34295,67,63,0,0,53,10.595095,7.0
12.750012,0.3963679,79,77,0,0,54,11.80717,8.0
12.45514,0.8632487,60,48,0,0,55,11.80717,8.0
13.131423,0.4797013,79,64,0,0,56,13.128752,9.0
13.539543,0.38034225,69,60,0,0,57,13.128752,9.0
13.1260805,0.9497872,53,37,0,0,58,11.80717,8.0
13.857919,0.2927353,77,69,0,0,59,13.128752,9.0
14.151723,0.34188068,74,70,0,0,60,13.128752,9.0
13.889971,0.60363305,62,38,0,0,61,13.128752,9.0
14.529928,1.1217959,72,52,0,0,62,13.128752,9.0
14.535271,1.2500012,64,39,0,0,63,14.53527,10.0
15.332279,0.92094105,72,60,0,0,64,14.53527,10.0
16.50429,0.13461551,77,61,0,0,65,16.147451,11.0
16.659204,0.11217959,76,65,0,0,66,16.147451,11.0
16.301298,1.2318388,71,48,0,0,67,16.147451,11.0
16.80023,0.7329067,77,70,0,0,68,16.147451,11.0
16.147451,1.3856851,65,34,0,0,69,16.147451,11.0
16.942324,0.5908125,74,77,0,0,70,16.147451,11.0
17.099375,0.4337611,72,72,0,0,71,16.147451,11.0
