xml_id	midi_id	track	channel	pitch	onset
n7	2	0	0	56	1.9991967187500004
n9	5	0	0	56	2.4118565625
n11	7	0	0	56	2.7897942187499996
n8	3	0	0	60	1.9965257812500004
n10	4	0	0	60	2.4105210937500003
n12	6	0	0	60	2.77376859375
n1	8	0	0	68	1.6372846875000004
n14	11	0	0	55	3.5283084375
n15	10	0	0	58	3.52163109375
n3	16	0	0	75	3.3119625
n2	9	0	0	77	3.1223259374999994
n16	12	0	0	55	3.8955623437499995
n18	15	0	0	55	4.268158124999999
n17	13	0	0	58	3.9009042187499996
n19	14	0	0	58	4.2614807812499995
n5	17	0	0	73	4.4310853125000005
n27	19	0	0	56	4.930550625
n28	18	0	0	63	4.929215156250001
n20	20	0	0	73	4.604696250000001
n29	23	0	0	56	5.2924626562500015
n31	26	0	0	56	5.641020000000005
n30	22	0	0	63	5.287120781250001
n32	25	0	0	63	5.631671718750004
n21	21	0	0	72	5.253734062500001
n22	28	0	0	73	5.830656562500005
n34	30	0	0	61	6.326115468750008
n35	29	0	0	65	6.323444531250009
n23	31	0	0	72	6.006938437500005
n36	34	0	0	61	6.667995468750011
n38	37	0	0	61	7.0699715625000135
n37	33	0	0	65	6.667995468750011
n39	36	0	0	65	7.0526104687500135
n24	32	0	0	70	6.638615156250011
n25	39	0	0	72	7.264950000000013
n49	41	0	0	60	7.82985328125002
n50	40	0	0	63	7.81649859375002
n40	42	0	0	70	7.462599375000015
n51	45	0	0	60	8.193100781250019
n53	49	0	0	60	8.651166562500023
n52	44	0	0	63	8.18775890625002
n54	50	0	0	63	8.644489218750023
n42	48	0	0	67	8.559019218750022
n41	43	0	0	68	8.16372046875002
n43	51	0	0	68	8.635140937500022
n44	52	0	0	70	9.014414062500023
insertion	46	0	0	70	8.218474687500018
n55	53	0	0	60	9.186689531250023
n56	54	0	0	63	9.197373281250023
n46	55	0	0	68	9.110567812500022
n63	61	0	0	77	11.26868531250004
n62	60	0	0	79	11.173867031250039
n58	56	0	0	80	10.64635687500004
n61	59	0	0	80	11.061687656250038
n60	58	0	0	82	10.946837343750039
n59	57	0	0	84	10.81863234375004
n69	67	0	0	67	11.927071406250041
n68	66	0	0	68	11.824240312500041
n67	65	0	0	70	11.70404812500004
n66	64	0	0	72	11.60255250000004
n65	63	0	0	73	11.49437953125004
n64	62	0	0	75	11.39021296875004
n75	69	0	0	49	12.415852968750041
n76	68	0	0	56	12.40784015625004
n70	74	0	0	65	12.06863109375004
n77	71	0	0	49	12.755062031250043
n79	73	0	0	49	13.154367187500048
n78	70	0	0	56	12.748384687500042
n80	72	0	0	58	13.147689843750047
n72	75	0	0	67	13.32263625000005
n93	77	0	0	48	13.834120781250052
n94	76	0	0	51	13.824772500000051
n81	78	0	0	67	13.513608281250052
n95	80	0	0	48	14.185349062500052
n97	83	0	0	49	14.583318750000055
n96	79	0	0	51	14.178671718750051
n98	84	0	0	53	14.579312343750056
n87	88	0	0	65	14.806342031250056
n86	87	0	0	67	14.712859218750056
n82	81	0	0	68	14.162646093750052
n85	86	0	0	68	14.604686250000055
n84	85	0	0	70	14.471139375000053
n83	82	0	0	72	14.346940781250053
n100	90	0	0	51	15.271085156250056
n101	89	0	0	60	15.260401406250056
n89	92	0	0	60	15.412644843750055
n90	93	0	0	61	15.539514375000056
n88	91	0	0	63	14.930540625000056
n102	95	0	0	51	15.616971562500055
n104	101	0	0	51	15.901426406250055
n103	94	0	0	58	15.619642500000054
n105	100	0	0	58	15.900090937500055
n91	97	0	0	61	15.709118906250055
n118	107	0	0	44	16.768145625000066
n119	106	0	0	56	16.758797343750068
n106	108	0	0	58	16.422259218750064
n107	109	0	0	61	16.408904531250066
n120	111	0	0	44	17.27428828125007
n122	114	0	0	44	17.666916093750075
n121	110	0	0	51	17.27161734375007
n123	115	0	0	51	17.681606250000076
n108	112	0	0	56	17.24757890625007
n109	113	0	0	60	17.23155328125007
n125	116	0	0	49	18.506925937500085
n126	deletion
n110	120	0	0	65	18.151691250000084
n127	119	0	0	49	18.855483281250084
n129	123	0	0	49	19.19469234375008
n130	124	0	0	51	19.20136968750008
n128	deletion
n112	121	0	0	67	19.00772671875008
n114	125	0	0	67	19.22807906250008
n113	122	0	0	68	19.10655140625008
n115	126	0	0	68	19.31755546875008
n116	127	0	0	70	19.43507671875008
n155	130	0	0	48	19.52321765625008
