onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
1.5077442,0.04139953,68,62,0,0,0,-10.0,-10.0
1.5771886,0.08547,67,66,0,0,1,-10.0,-10.0
1.9991968,0.057425156,56,51,0,0,2,1.637285,0.0
1.9965258,0.0641025,60,48,0,0,3,1.637285,0.0
2.410521,0.37793764,60,49,0,0,4,1.637285,0.0
2.4118567,0.37660217,56,49,0,0,5,2.411189,1.0
2.7737687,0.06677344,60,48,0,0,6,2.411189,1.0
2.7897942,0.06276703,56,44,0,0,7,2.411189,1.0
1.6372846,1.6880325,68,74,0,0,8,-10.0,-10.0
3.122326,0.31383514,77,78,0,0,9,3.122326,2.0
3.521631,0.05341875,58,53,0,0,10,3.122326,2.0
3.5283084,0.048076876,55,45,0,0,11,3.122326,2.0
3.8955624,0.45806578,55,45,0,0,12,3.122326,2.0
3.9009042,0.45272392,58,51,0,0,13,3.898233,3.0
4.261481,0.09214734,58,57,0,0,14,3.898233,3.0
4.268158,0.08547,55,49,0,0,15,3.898233,3.0
3.3119626,1.1164519,75,71,0,0,16,3.122326,2.0
4.431085,0.056089688,73,65,0,0,17,3.898233,3.0
4.929215,0.060096093,63,56,0,0,18,4.604696,4.0
4.9305506,0.0641025,56,51,0,0,19,4.604696,4.0
4.6046963,0.6249994,73,76,0,0,20,4.604696,4.0
5.253734,0.06143156,72,65,0,0,21,4.604696,4.0
5.287121,0.046741407,63,50,0,0,22,5.287121,5.0
5.292463,0.05074781,56,52,0,0,23,5.287121,5.0
5.3325267,0.10016016,73,59,0,0,24,5.287121,5.0
5.631672,0.05208328,63,55,0,0,25,5.287121,5.0
5.64102,0.05341875,56,47,0,0,26,5.287121,5.0
5.4086485,0.41933718,72,58,0,0,27,5.287121,5.0
5.8306565,0.1068375,73,70,0,0,28,5.287121,5.0
6.3234444,0.05208328,65,56,0,0,29,6.006938,6.0
6.3261156,0.05341875,61,57,0,0,30,6.006938,6.0
6.0069385,0.5956191,72,74,0,0,31,6.006938,6.0
6.638615,0.05341875,70,63,0,0,32,6.006938,6.0
6.6679955,0.05475422,65,51,0,0,33,6.667995,7.0
6.6679955,0.057425156,61,54,0,0,34,6.667995,7.0
6.712066,0.080128126,72,53,0,0,35,6.667995,7.0
7.0526104,0.05208328,65,49,0,0,36,6.667995,7.0
7.0699716,0.046741407,61,44,0,0,37,6.667995,7.0
6.7962003,0.46741405,70,60,0,0,38,6.667995,7.0
7.26495,0.15624985,72,58,0,0,39,6.667995,7.0
7.8164988,0.05074781,63,57,0,0,40,7.462599,8.0
7.829853,0.046741407,60,42,0,0,41,7.462599,8.0
7.4625993,0.6570506,70,57,0,0,42,7.462599,8.0
8.16372,0.03205125,68,54,0,0,43,7.462599,8.0
8.187758,0.048076876,63,47,0,0,44,7.462599,8.0
8.193101,0.04540594,60,47,0,0,45,8.187759,9.0
8.218474,0.05208328,70,49,0,0,46,8.187759,9.0
8.301273,0.21901688,68,59,0,0,47,8.187759,9.0
8.559019,0.084134534,67,55,0,0,48,8.187759,9.0
8.651167,0.044070467,60,43,0,0,49,8.187759,9.0
8.644489,0.05208328,63,48,0,0,50,8.187759,9.0
8.635141,0.33520266,68,55,0,0,51,8.187759,9.0
9.014414,0.044070467,70,46,0,0,52,8.187759,9.0
9.186689,0.72115314,60,34,0,0,53,8.187759,9.0
9.197373,0.71046937,63,23,0,0,54,9.18669,10.0
9.110568,0.7972748,68,49,0,0,55,8.187759,9.0
10.646357,0.13354687,80,55,0,0,56,10.646357,12.0
10.818632,0.18429469,84,60,0,0,57,10.646357,12.0
10.946837,0.17361094,82,66,0,0,58,10.646357,12.0
11.061687,0.12419859,80,67,0,0,59,10.646357,12.0
11.173867,0.065437965,79,62,0,0,60,10.646357,12.0
11.268685,0.080128126,77,64,0,0,61,10.646357,12.0
11.390213,0.110843904,75,69,0,0,62,11.390213,13.0
11.49438,0.078792654,73,68,0,0,63,11.390213,13.0
11.602552,0.10149562,72,62,0,0,64,11.390213,13.0
11.704048,0.20165578,70,70,0,0,65,11.390213,13.0
11.824241,0.1963139,68,73,0,0,66,11.390213,13.0
11.927072,0.1495725,67,71,0,0,67,11.390213,13.0
12.40784,0.04139953,56,53,0,0,68,12.068631,14.0
12.415853,0.05074781,49,49,0,0,69,12.068631,14.0
12.748384,0.07612172,56,55,0,0,70,12.068631,14.0
12.755062,0.08279906,49,50,0,0,71,12.751724,15.0
13.14769,0.058760624,58,59,0,0,72,12.751724,15.0
13.154367,0.057425156,49,57,0,0,73,12.751724,15.0
12.068631,1.3408107,65,70,0,0,74,12.068631,14.0
13.322637,0.10149562,67,70,0,0,75,12.751724,15.0
13.824773,0.065437965,51,62,0,0,76,13.513608,16.0
