idx,matchtype,partid,ppartid
0,0,n7,2
1,0,n9,4
2,0,n11,7
3,0,n8,3
4,0,n10,5
5,0,n12,6
6,0,n1,8
7,0,n14,11
8,0,n15,10
9,0,n3,16
10,0,n2,9
11,0,n16,13
12,0,n18,14
13,0,n17,12
14,0,n19,15
15,0,n5,17
16,0,n27,19
17,0,n28,18
18,0,n20,20
19,0,n29,24
20,0,n31,26
21,0,n30,23
22,0,n32,27
23,0,n21,25
24,0,n22,28
25,0,n34,30
26,0,n35,29
27,0,n23,31
28,0,n36,35
29,0,n38,38
30,0,n37,34
31,0,n39,37
32,0,n24,36
33,0,n25,39
34,0,n49,40
35,0,n50,41
36,0,n40,42
37,0,n51,46
38,0,n53,50
39,0,n52,47
40,0,n54,51
41,0,n42,48
42,0,n41,45
43,0,n43,49
44,0,n44,52
45,0,n55,54
46,0,n56,55
47,0,n46,53
48,0,n63,61
49,0,n62,60
50,0,n58,56
51,0,n61,59
52,0,n60,58
53,0,n59,57
54,0,n69,67
55,0,n68,66
56,0,n67,65
57,0,n66,64
58,0,n65,63
59,0,n64,62
60,0,n75,69
61,0,n76,68
62,0,n70,74
63,0,n77,71
64,0,n79,73
65,0,n78,70
66,0,n80,72
67,0,n72,75
68,0,n93,77
69,0,n94,76
70,0,n81,78
71,0,n95,80
72,0,n97,85
73,0,n96,79
74,0,n98,84
75,0,n87,88
76,0,n86,87
77,0,n82,81
78,0,n85,86
79,0,n84,83
80,0,n83,82
81,0,n100,90
82,0,n101,89
83,0,n89,92
84,0,n90,93
85,0,n88,91
86,0,n102,96
87,0,n104,100
88,0,n103,94
89,0,n105,101
90,0,n91,97
91,0,n118,107
92,0,n119,106
93,0,n106,108
94,0,n107,109
95,0,n120,111
96,0,n122,114
97,0,n121,110
98,0,n123,115
99,0,n108,112
100,0,n109,113
101,0,n125,117
102,1,n126,undefined
103,0,n110,120
104,0,n127,119
105,0,n129,124
106,0,n130,123
107,1,n128,undefined
108,0,n112,121
109,0,n114,125
110,0,n113,122
111,0,n115,126
112,0,n116,127
113,0,n155,134
114,0,n156,136
115,0,n131,128
116,0,n132,129
117,0,n134,131
118,0,n133,130
119,0,n135,132
120,0,n136,133
121,0,n137,135
122,0,n138,137
123,0,n140,139
124,0,n139,138
125,0,n141,140
126,0,n142,141
127,0,n148,147
128,0,n147,146
129,0,n146,145
130,0,n145,144
131,0,n144,143
132,0,n143,142
133,0,n154,153
134,0,n153,152
135,0,n149,148
136,0,n152,151
137,0,n151,150
138,0,n150,149
139,0,n167,154
140,0,n169,157
141,0,n168,155
142,0,n170,156
143,0,n160,159
144,0,n161,160
145,0,n159,158
146,0,n171,163
147,0,n173,169
148,0,n172,161
149,0,n174,167
150,0,n162,164
151,0,n176,174
152,0,n177,173
153,0,n163,176
154,0,n164,175
155,0,n178,178
156,0,n180,181
157,0,n179,177
158,0,n181,182
159,0,n165,179
160,0,n166,180
161,0,n198,184
162,0,n182,183
163,0,n199,185
164,1,n183,undefined
165,1,n184,undefined
166,0,n185,188
167,0,n200,186
168,0,n202,194
169,0,n201,187
170,0,n203,191
171,0,n193,196
172,0,n194,199
173,0,n192,195
174,0,n189,190
175,0,n191,193
176,0,n188,189
177,0,n190,192
178,1,n187,undefined
179,1,n186,undefined
180,0,n205,197
181,0,n206,198
182,0,n207,202
183,0,n209,206
184,0,n208,203
185,0,n210,205
186,0,n195,204
187,0,n196,207
188,0,n227,208
189,0,n228,209
190,0,n211,210
191,0,n229,213
192,0,n231,216
193,0,n230,214
194,0,n232,217
195,0,n213,218
196,0,n212,215
197,0,n233,219
198,1,n215,undefined
199,0,n216,221
200,0,n214,220
201,0,n217,222
202,0,n218,223
203,0,n219,224
204,0,n220,225
205,0,n221,226
206,0,n222,227
207,0,n223,228
208,0,n224,229
209,0,n225,230
210,0,n249,231
211,0,n250,232
212,0,n236,235
213,0,n251,233
214,0,n253,240
215,0,n252,234
216,0,n254,238
217,0,n243,243
218,0,n242,242
219,0,n239,237
220,0,n241,241
221,0,n238,236
222,0,n240,239
223,0,n256,244
224,0,n257,245
225,0,n244,246
226,0,n258,250
227,0,n260,253
228,0,n259,249
229,0,n261,252
230,0,n245,251
231,0,n246,254
232,0,n247,255
233,0,n280,259
234,0,n263,262
235,0,n278,257
236,0,n264,260
237,0,n279,256
238,0,n262,258
239,0,n282,263
240,0,n281,261
241,0,n265,264
242,0,n266,265
243,0,n283,268
244,0,n269,269
245,0,n271,271
246,0,n267,266
247,0,n270,270
248,0,n268,267
249,0,n272,272
250,0,n273,273
251,0,n274,274
252,0,n275,275
253,0,n276,276
254,0,n277,277
255,0,n310,278
256,0,n311,280
257,0,n312,281
258,0,n287,279
259,0,n291,285
260,0,n288,282
261,0,n290,284
262,0,n289,283
263,0,n313,287
264,0,n314,289
265,0,n315,288
266,0,n293,286
267,0,n297,293
268,0,n294,290
269,0,n296,292
270,0,n295,291
271,0,n316,301
272,0,n317,302
273,0,n318,300
274,0,n303,299
275,0,n302,298
276,0,n298,294
277,0,n301,297
278,0,n300,296
279,0,n299,295
280,0,n309,308
281,0,n308,307
282,0,n307,306
283,0,n306,305
284,0,n305,304
285,0,n304,303
286,0,n344,310
287,0,n345,311
288,0,n346,312
289,0,n321,309
290,0,n325,316
291,0,n322,313
292,0,n324,315
293,0,n323,314
294,0,n347,318
295,0,n348,321
296,0,n349,319
297,0,n327,317
298,0,n331,324
299,0,n328,320
300,0,n330,323
301,0,n329,322
302,0,n350,333
303,0,n351,332
304,0,n352,331
305,0,n337,330
306,0,n336,329
307,0,n332,325
308,0,n335,328
309,0,n334,327
310,0,n333,326
311,0,n343,339
312,0,n342,338
313,0,n341,337
314,0,n340,336
315,0,n339,335
316,0,n338,334
317,0,n371,342
318,0,n374,346
319,0,n370,341
320,0,n373,345
321,0,n355,343
322,0,n354,340
323,0,n356,344
324,0,n377,350
325,0,n380,354
326,0,n376,349
327,0,n379,353
328,0,n357,347
329,0,n359,352
330,0,n358,348
331,0,n360,351
332,0,n383,358
333,0,n386,362
334,0,n382,357
335,0,n385,361
336,0,n363,359
337,0,n361,355
338,0,n364,360
339,0,n362,356
340,0,n389,366
341,0,n392,370
342,0,n388,365
343,0,n391,369
344,0,n365,363
345,0,n366,364
346,0,n367,367
347,0,n368,368
348,0,n412,374
349,0,n415,378
350,0,n393,371
351,0,n411,373
352,0,n414,377
353,0,n395,375
