idx,matchtype,partid,ppartid
0,0,n8,7
1,0,n9,8
2,0,n4,3
3,0,n1,0
4,0,n5,2
5,0,n3,4
6,0,n2,1
7,0,n6,5
8,0,n7,6
9,0,n14,12
10,0,n15,13
11,0,n16,11
12,0,n10,9
13,0,n11,10
14,0,n35,30
15,0,n36,32
16,0,n21,17
17,0,n18,14
18,0,n20,16
19,0,n22,18
20,0,n19,15
21,0,n23,19
22,0,n24,20
23,0,n26,22
24,0,n25,21
25,0,n28,24
26,0,n27,23
27,0,n30,26
28,0,n29,25
29,0,n34,31
30,0,n33,29
31,0,n32,28
32,0,n31,27
33,0,n42,38
34,0,n43,37
35,0,n44,36
36,0,n37,33
37,0,n38,34
38,0,n39,35
39,0,n55,47
40,0,n56,46
41,0,n49,42
42,0,n46,39
43,0,n50,41
44,0,n48,43
45,0,n47,40
46,0,n51,44
47,0,n52,45
48,0,n74,62
49,0,n75,66
50,0,n76,61
51,0,n61,51
52,0,n58,48
53,0,n60,50
54,0,n62,52
55,0,n59,49
56,0,n63,53
57,0,n64,54
58,0,n65,55
59,0,n66,56
60,0,n67,57
61,0,n68,58
62,0,n69,59
63,0,n71,63
64,0,n70,60
65,0,n73,65
66,0,n72,64
67,0,n89,70
68,0,n90,69
69,0,n91,68
70,0,n80,73
71,0,n77,67
72,0,n81,72
73,0,n79,74
74,0,n78,71
75,0,n92,76
76,0,n93,77
77,0,n94,75
78,0,n82,78
79,0,n88,83
80,0,n87,82
81,0,n86,81
82,0,n85,80
83,0,n84,79
84,0,n99,85
85,0,n100,84
86,0,n95,86
87,0,n101,89
88,0,n102,88
89,0,n96,87
90,0,n117,92
91,0,n118,94
92,0,n105,90
93,0,n106,91
94,0,n107,93
95,0,n120,98
96,0,n121,97
97,0,n109,96
98,0,n110,95
99,0,n111,99
100,0,n123,104
101,0,n124,102
102,0,n113,101
103,0,n114,100
104,0,n115,103
105,0,n133,112
106,0,n134,110
107,0,n135,109
108,0,n136,107
109,0,n126,105
110,0,n127,106
111,0,n128,108
112,0,n129,111
113,0,n151,113
114,1,n147,undefined
115,1,n148,undefined
116,1,n143,undefined
117,1,n140,undefined
118,1,n144,undefined
119,1,n142,undefined
120,1,n141,undefined
121,1,n145,undefined
122,1,n149,undefined
123,1,n150,undefined
124,1,n146,undefined
125,0,n155,119
126,1,n156,undefined
127,1,n152,undefined
128,0,n157,122
