xml_id	midi_id	track	channel	pitch	onset
n19	5	0	0	39	2.4957240000000005
n14	6	0	0	43	2.4839718750000004
n1	0	0	0	55	2.0491432499999997
n3	2	0	0	56	2.25427125
n2	1	0	0	58	2.157049125
n7	4	0	0	58	2.4743565000000003
n4	3	0	0	60	2.360040375
n21	7	0	0	51	2.991450000000001
n16	8	0	0	55	2.990381625000001
n12	11	0	0	62	3.648500625000001
n11	10	0	0	63	3.558757125000001
n13	12	0	0	65	3.745722750000001
n10	9	0	0	67	3.425210250000001
n35	14	0	0	39	3.8824747500000014
n30	13	0	0	43	3.8717910000000013
n24	15	0	0	63	3.8643123750000012
n37	16	0	0	51	4.367517000000001
n32	17	0	0	55	4.373927250000001
n27	18	0	0	63	4.600422750000002
n28	19	0	0	67	4.808755875000002
n29	20	0	0	70	5.022430875000002
n49	22	0	0	60	5.3194391250000015
n45	23	0	0	63	5.3151656250000014
n40	21	0	0	70	5.294866500000001
n50	26	0	0	58	5.9871735000000035
n46	27	0	0	62	5.9850367500000035
n42	25	0	0	67	5.978626500000003
n41	24	0	0	68	5.762814750000003
n52	33	0	0	55	6.424138875000005
n51	30	0	0	56	6.208327125000004
n48	32	0	0	58	6.416660250000005
n47	29	0	0	60	6.207258750000004
n44	31	0	0	63	6.412386750000005
n43	28	0	0	65	6.190164750000004
n64	34	0	0	53	6.699779625000006
n61	35	0	0	56	6.693369375000006
n53	36	0	0	62	6.679480500000006
n54	37	0	0	65	7.0213605000000054
n55	38	0	0	68	7.131403125000005
n57	39	0	0	58	7.590804375000005
n59	41	0	0	60	7.783111875000006
n58	40	0	0	62	7.6677273750000055
n60	42	0	0	63	7.873923750000006
n79	45	0	0	34	8.003197125000005
n74	43	0	0	38	7.996786875000006
n67	44	0	0	62	7.987171500000006
n81	46	0	0	46	8.520290625000007
n76	47	0	0	50	8.518153875000007
n70	48	0	0	62	9.019221750000007
n72	50	0	0	63	9.205119000000007
n71	49	0	0	65	9.120717375000007
n73	51	0	0	67	9.310888125000007
n95	54	0	0	34	9.423067500000005
n90	53	0	0	38	9.419862375000006
n84	52	0	0	65	9.463665750000006
n97	55	0	0	46	9.943366125000004
n92	56	0	0	50	9.927340500000005
n87	57	0	0	65	10.152767625000005
n88	58	0	0	68	10.365374250000004
n89	59	0	0	72	10.599348375000005
n109	62	0	0	62	10.902766875000006
n105	61	0	0	65	10.904903625000006
n100	60	0	0	72	10.892083125000006
n110	64	0	0	60	11.582253375000002
n106	65	0	0	63	11.582253375000002
n102	66	0	0	68	11.606826000000002
n101	63	0	0	70	11.370715125000002
n112	72	0	0	56	12.02776575
n111	68	0	0	58	11.829048000000002
n108	71	0	0	60	12.030970875
n107	69	0	0	62	11.821569375000003
n104	70	0	0	65	12.01921875
n103	67	0	0	67	11.798065125000003
n128	79	0	0	55	12.269218499999996
n125	80	0	0	58	12.244645874999996
n116	76	0	0	62	12.424132874999996
n117	73	0	0	63	12.232893749999997
n113	75	0	0	63	12.360030374999996
n115	77	0	0	63	12.495713999999996
n114	74	0	0	65	12.293791124999995
n118	78	0	0	67	12.752123999999997
n119	81	0	0	70	12.853619624999997
n122	83	0	0	74	13.409174624999991
n121	82	0	0	75	13.307678999999991
n124	85	0	0	75	13.62284962499999
n123	84	0	0	77	13.52562749999999
n143	99	0	0	43	13.735028999999987
n144	100	0	0	46	13.732892249999987
n145	94	0	0	51	13.740370874999986
n132	87	0	0	77	13.836524624999985
n131	86	0	0	79	13.731823874999987
n134	89	0	0	79	14.038447499999982
n133	88	0	0	80	13.932678374999982
n138	93	0	0	77	14.446566749999985
n137	92	0	0	79	14.351481374999985
n136	91	0	0	80	14.243575499999984
n135	90	0	0	82	14.145284999999983
n142	98	0	0	71	14.847207374999984
n141	97	0	0	72	14.748916874999985
n140	96	0	0	74	14.644216124999984
n139	95	0	0	75	14.544857249999986
n154	103	0	0	44	15.050198624999982
n155	102	0	0	51	15.059813999999982
n146	101	0	0	71	15.023489249999983
n150	107	0	0	71	15.818360249999978
n147	104	0	0	72	15.507463124999981
n151	106	0	0	72	15.755326124999979
n149	108	0	0	72	15.888872999999977
n148	105	0	0	74	15.69549712499998
n152	109	0	0	74	15.971137874999977
n153	110	0	0	75	16.179470999999968
n159	112	0	0	65	16.658102999999958
n158	111	0	0	75	16.41130837499996
n161	114	0	0	60	17.096136749999957
n160	113	0	0	72	16.87711987499996
n166	116	0	0	46	17.272418624999958
n167	115	0	0	53	17.33117924999996
n163	118	0	0	62	17.53417049999996
n162	117	0	0	68	17.33865787499996
n174	120	0	0	51	18.00425549999996
n168	119	0	0	63	17.76280274999996
n176	122	0	0	43	18.45617812499996
n175	121	0	0	46	18.228614249999957
n177	123	0	0	39	18.70831462499996
n172	124	0	0	58	18.94976737499996
n183	125	0	0	51	19.452971999999967
n179	126	0	0	63	19.223271374999964
n185	128	0	0	51	19.951903124999962
n184	127	0	0	55	19.716860624999967
n187	130	0	0	46	20.405962499999955
n186	129	0	0	56	20.17519349999996
n181	131	0	0	62	20.402757374999954
n194	132	0	0	46	20.893141499999953
n188	134	0	0	68	20.665577624999955
n196	135	0	0	46	21.32903849999995
n195	133	0	0	50	21.12070537499995
n198	137	0	0	39	21.81514912499995
n197	138	0	0	51	21.573696374999948
n190	136	0	0	67	21.77775599999995
n205	139	0	0	51	22.275618749999943
n202	140	0	0	67	22.081174499999946
