xml_id	midi_id	track	channel	pitch	onset
n3	1	1	0	67	2.5758471020833325
n1	0	1	0	72	2.049139254166666
n11	3	1	0	48	3.3589644499999993
n5	2	1	0	64	3.099349831249999
n12	4	1	0	36	3.5972116104166663
n8	5	1	0	69	3.844005754166666
n23	7	1	0	48	4.339730787499999
n14	6	1	0	62	4.0918682708333325
n24	8	1	0	36	4.581183066666665
n17	9	1	0	67	4.826908837499999
n27	11	1	0	48	5.334385972916666
n18	10	1	0	60	5.082249964583332
n28	12	1	0	36	5.567291268749998
n21	13	1	0	76	5.825837514583331
n39	15	1	0	48	6.310878818749998
n30	14	1	0	65	6.0619479291666645
n40	16	1	0	36	6.553399470833331
n33	17	1	0	74	6.802330360416664
n43	19	1	0	48	7.278824681249998
n34	18	1	0	64	7.038440774999997
n44	20	1	0	36	7.522413706249998
n37	21	1	0	72	7.760660866666665
n56	24	1	0	48	8.292710579166664
n46	22	1	0	62	7.995702908333332
n47	23	1	0	69	8.241428679166665
n57	25	1	0	36	8.499974924999998
n48	26	1	0	57	8.477539093749998
n49	27	1	0	59	8.727538356249998
n60	30	1	0	48	9.23928898333333
n51	29	1	0	60	9.221126643749995
n50	28	1	0	62	8.967922262499997
n61	31	1	0	36	9.465784041666662
n54	32	1	0	59	9.715783304166662
n53	33	1	0	62	9.705099574999995
n78	38	1	0	48	10.262790237499996
n73	36	1	0	60	10.241422779166662
n72	34	1	0	62	10.010654229166661
n64	37	1	0	64	10.240354406249995
n63	35	1	0	65	9.976466295833328
n79	39	1	0	36	10.478601566666663
n74	40	1	0	62	10.733942693749997
n66	41	1	0	65	10.72646408333333
n82	46	1	0	48	11.238214710416665
n76	43	1	0	64	11.215778879166665
n75	42	1	0	65	10.975394972916666
n68	45	1	0	67	11.218983997916665
n67	44	1	0	69	10.965779616666666
n83	47	1	0	36	11.462573022916665
n70	48	1	0	62	11.694409945833332
n71	49	1	0	71	11.693341572916665
n98	54	1	0	48	12.257442472916667
n87	52	1	0	64	12.241416879166666
n85	50	1	0	65	11.974323649999999
n88	53	1	0	72	12.226459658333333
n86	51	1	0	74	11.960434802083332
n99	55	1	0	36	12.502099870833336
n90	56	1	0	71	12.830090356250002
n91	57	1	0	74	12.812996389583336
n92	58	1	0	74	13.348251220833339
n93	59	1	0	77	13.31940515208334
n94	60	1	0	72	15.228587554166669
n95	61	1	0	76	15.18051077291667
n120	65	1	0	36	16.204012027083333
n121	64	1	0	40	16.20828551875
n122	66	1	0	43	16.22110599375
n123	69	1	0	48	16.270251147916664
n102	62	1	0	72	16.187986433333336
n103	63	1	0	76	16.197601789583334
n104	68	1	0	79	16.223242739583334
n105	67	1	0	84	16.257430672916666
n125	71	1	0	43	16.754224079166665
n126	74	1	0	47	16.744608722916666
n127	75	1	0	50	16.763839435416664
n128	76	1	0	55	16.79909574166666
n107	70	1	0	71	16.7371301125
n108	72	1	0	74	16.74033523125
n109	73	1	0	79	16.788412012499997
n130	80	1	0	48	17.24781236666666
n131	81	1	0	52	17.238197010416663
n132	79	1	0	55	17.285205418749996
n133	83	1	0	60	17.31832497916666
n111	77	1	0	67	17.20721419583333
n112	78	1	0	72	17.24247050208333
n113	82	1	0	76	17.29588914791666
n118	86	1	0	80	18.18798053333333
n117	85	1	0	81	18.108920937499995
n116	84	1	0	83	18.055502291666663
n155	90	1	0	65	18.559774308333335
n148	89	1	0	71	18.565116172916667
n136	88	1	0	74	18.311911791666667
n156	91	1	0	65	18.79695309583333
n149	92	1	0	71	18.811910316666665
n141	95	1	0	78	19.15913151458333
n140	94	1	0	79	19.08541378333333
n139	93	1	0	81	19.041610493749996
n157	98	1	0	64	19.55015600208333
n152	97	1	0	67	19.552292747916663
n143	99	1	0	72	19.294814874999997
n158	101	1	0	64	19.763830585416663
n153	100	1	0	67	19.76169383958333
n146	102	1	0	88	20.00207774583333
n173	104	1	0	61	20.483913931249997
n172	103	1	0	62	20.368529656249997
n174	106	1	0	62	20.58861447708333
n159	105	1	0	77	20.256350499999996
n178	110	1	0	55	21.03305761041666
n177	109	1	0	57	20.91446821666666
n176	108	1	0	59	20.801220687499992
n175	107	1	0	60	20.69331502291666
n162	111	1	0	86	20.924083572916658
n180	112	1	0	60	21.309766195833326
n181	113	1	0	62	21.421945352083327
n182	115	1	0	64	21.509551931249995
n163	114	1	0	76	21.184766564583324
n183	116	1	0	65	21.6217310875
n184	117	1	0	67	21.725363260416664
n185	118	1	0	68	21.849294518749996
n186	119	1	0	69	21.97643089583333
n170	120	1	0	84	21.869593604166663
n201	124	1	0	65	22.105704018749996
n198	121	1	0	74	22.096088662499998
n199	122	1	0	77	22.36425026458333
n188	123	1	0	81	22.352498162499995
n203	126	1	0	67	22.82899248333333
n190	127	1	0	71	22.823650618749998
n200	125	1	0	76	22.61424952708333
n189	132	1	0	79	22.59501881458333
n212	130	1	0	60	23.068308016666663
n213	135	1	0	60	23.307623549999995
n204	128	1	0	64	23.06617127083333
n206	133	1	0	64	23.307623549999995
n205	131	1	0	67	23.176213681249997
n207	136	1	0	67	23.429418062499995
n191	129	1	0	72	23.061897779166664
n192	134	1	0	72	23.307623549999995
n214	138	1	0	60	23.54907582916666
n215	141	1	0	60	23.77770763333333
n208	137	1	0	64	23.538392099999996
n210	140	1	0	64	23.77450251458333
n209	139	1	0	67	23.656981493749996
n211	146	1	0	67	23.871724449999995
n196	144	1	0	78	23.88240817916666
n195	143	1	0	79	23.821510922916662
n197	145	1	0	79	23.947578927083324
n194	142	1	0	81	23.770229022916663
n247	150	1	0	60	24.013818047916658
n249	155	1	0	60	24.276637785416657
n248	148	1	0	62	24.01595479374999
n250	153	1	0	62	24.27556941249999
n231	147	1	0	65	24.008476183333325
n233	152	1	0	65	24.265954056249992
n232	151	1	0	67	24.10569811874999
n234	156	1	0	67	24.38774856874999
n216	149	1	0	71	24.023433404166656
n217	154	1	0	71	24.27236429374999
n251	158	1	0	60	24.51595331874999
n253	163	1	0	60	24.74244837708332
n252	159	1	0	62	24.50954308124999
n254	162	1	0	62	24.73069627499999
n235	157	1	0	65	24.499927724999992
n237	161	1	0	65	24.722149291666657
