onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
1.040625,0.034375,72,77,1,0,0,1.040625,0.0
1.5614583,0.042708334,67,60,1,0,1,1.561458,1.0
2.1,0.0375,64,57,1,0,2,2.1,2.0
2.35,0.041666668,48,40,1,0,3,2.1,2.0
2.6239583,0.055208333,36,35,1,0,4,2.623958,3.0
2.8677084,0.039583333,69,64,1,0,5,2.623958,3.0
3.1322916,0.033333335,62,59,1,0,6,2.623958,3.0
3.378125,0.042708334,48,48,1,0,7,3.132292,4.0
3.6416667,0.042708334,36,43,1,0,8,3.132292,4.0
3.8916667,0.042708334,67,60,1,0,9,3.641667,5.0
4.140625,0.0375,60,57,1,0,10,4.140625,6.0
4.3885417,0.0375,48,48,1,0,11,4.140625,6.0
4.63125,0.0375,36,58,1,0,12,4.63125,7.0
4.890625,0.29479167,76,76,1,0,13,4.63125,7.0
5.1583333,0.059375,65,60,1,0,14,5.158333,8.0
5.4010415,0.24166666,48,40,1,0,15,5.158333,8.0
5.655208,0.044791665,36,41,1,0,16,5.655208,9.0
5.9260416,0.26770833,74,54,1,0,17,5.655208,9.0
6.1822915,0.059375,64,45,1,0,18,5.655208,9.0
6.425,0.24583334,48,36,1,0,19,6.182292,10.0
6.69375,0.053125,36,29,1,0,20,6.69375,11.0
6.922917,0.048958335,72,65,1,0,21,6.69375,11.0
7.165625,0.30416667,62,68,1,0,22,7.165625,12.0
7.405208,0.103125,69,67,1,0,23,7.165625,12.0
7.405208,0.25729167,48,42,1,0,24,7.165625,12.0
7.655208,0.078125,36,41,1,0,25,7.165625,12.0
7.6625,0.26770833,57,78,1,0,26,7.658854,13.0
7.9041667,0.0875,59,70,1,0,27,7.658854,13.0
8.180208,0.36875,62,52,1,0,28,8.180208,14.0
8.447917,0.16041666,60,49,1,0,29,8.180208,14.0
8.43125,0.253125,48,38,1,0,30,8.180208,14.0
8.689584,0.042708334,36,40,1,0,31,8.689583,15.0
8.926042,0.039583333,59,64,1,0,32,8.689583,15.0
8.926042,0.039583333,62,66,1,0,33,8.689583,15.0
9.191667,0.31041667,62,59,1,0,34,9.189063,16.0
9.186459,0.378125,65,63,1,0,35,8.689583,15.0
9.438541,0.19166666,60,50,1,0,36,9.189063,16.0
9.45,0.19479166,64,58,1,0,37,9.189063,16.0
9.429167,0.25520834,48,44,1,0,38,9.189063,16.0
9.671875,0.045833334,36,50,1,0,39,9.671875,17.0
9.9375,0.033333335,62,77,1,0,40,9.671875,17.0
9.933333,0.041666668,65,80,1,0,41,9.671875,17.0
10.179167,0.33229166,65,78,1,0,42,9.671875,17.0
10.184375,0.39479166,69,81,1,0,43,10.181771,18.0
10.45,0.16666667,64,70,1,0,44,10.181771,18.0
10.454166,0.17604166,67,73,1,0,45,10.181771,18.0
10.459375,0.22395833,48,62,1,0,46,10.181771,18.0
10.678125,0.03125,36,68,1,0,47,10.678125,19.0
10.927083,0.035416666,62,89,1,0,48,10.678125,19.0
10.920834,0.058333334,71,92,1,0,49,10.678125,19.0
11.183333,0.34479168,65,84,1,0,50,11.176042,20.0
11.16875,0.41354167,74,96,1,0,51,10.678125,19.0
11.447917,0.15520833,64,77,1,0,52,11.176042,20.0
11.441667,0.19375,72,87,1,0,53,11.176042,20.0
11.447917,0.228125,48,75,1,0,54,11.176042,20.0
