xml_id	midi_id	track	channel	pitch	onset
n19	5	0	0	55	2.74973015625
n21	8	0	0	55	3.52964390625
n20	6	0	0	59	3.1330096875
n3	2	0	0	67	2.22222
n2	1	0	0	71	2.11938890625
n1	0	0	0	74	2.00453859375
n6	4	0	0	74	2.72034984375
n7	7	0	0	74	3.12900328125
n8	9	0	0	74	3.5122828125
n5	3	0	0	79	2.33306390625
n22	13	0	0	57	3.95699390625
n23	15	0	0	60	4.508542499999999
n11	11	0	0	71	4.0411284375
n10	10	0	0	72	3.93562640625
n12	12	0	0	72	4.11992109375
n13	14	0	0	74	4.214739375000001
n9	deletion
n14	16	0	0	76	4.321576875
n24	17	0	0	54	4.732901249999999
n25	20	0	0	66	5.144225625
n16	18	0	0	69	5.144225625
n17	19	0	0	72	5.32718484375
n43	24	0	0	60	5.9001009374999995
n44	26	0	0	62	6.093743906249999
n42	23	0	0	67	5.518156875
n27	22	0	0	71	5.7051225
n26	21	0	0	72	5.518156875
n29	27	0	0	74	6.077718281249999
n28	25	0	0	76	5.8947590624999995
n46	33	0	0	60	6.6492989062499985
n45	29	0	0	64	6.278038593749999
n33	32	0	0	67	6.829587187499999
n32	31	0	0	69	6.635944218749999
n31	30	0	0	71	6.455655937499999
n30	28	0	0	72	6.262012968749999
n48	39	0	0	55	7.44256734375
n47	36	0	0	62	7.075313437499999
n34	34	0	0	66	7.048604062499999
n35	35	0	0	67	7.18081546875
n37	38	0	0	67	7.439896406250001
n36	37	0	0	69	7.280975625
n41	42	0	0	55	8.5122778125
n40	41	0	0	59	8.397427500000001
n39	40	0	0	62	8.27857078125
n64	44	0	0	43	9.01574953125
n65	46	0	0	45	9.305546250000003
n50	43	0	0	67	8.616444375
n51	45	0	0	67	9.00640125
n66	48	0	0	47	9.392351718750003
n67	50	0	0	49	9.788985937500001
n52	47	0	0	67	9.395022656250003
n53	49	0	0	67	9.79299234375
n68	58	0	0	50	10.20298125
n55	52	0	0	64	10.307147812500002
n54	51	0	0	66	10.209658593750001
n56	53	0	0	66	10.395288750000002
n57	54	0	0	67	10.490107031250002
n59	56	0	0	67	10.677072656250003
n58	55	0	0	69	10.578247968750002
n60	57	0	0	69	10.771890937500002
n61	59	0	0	71	10.861367343750002
n70	60	0	0	50	11.274027187500002
n71	61	0	0	52	11.37418734375
n72	63	0	0	54	11.667990468750002
n62	62	0	0	72	10.957521093750001
n94	68	0	0	55	11.800201875
n77	66	0	0	67	12.047263593750001
n76	65	0	0	69	11.916387656250002
n75	64	0	0	71	11.800201875
n80	70	0	0	71	12.405169218750002
n79	69	0	0	72	12.294325312500002
n78	67	0	0	74	12.170126718750002
n101	75	0	0	62	12.883267031250003
n96	74	0	0	67	12.883267031250003
n86	78	0	0	71	13.124986875000003
n85	77	0	0	72	13.014142968750003
n84	76	0	0	74	12.891279843750004
n83	73	0	0	76	12.769752187500004
n82	72	0	0	78	12.657572812500003
n81	71	0	0	79	12.530703281250002
n102	84	0	0	62	13.350681093750003
n98	86	0	0	66	14.009067187500007
n97	83	0	0	67	13.360029375000003
n88	85	0	0	69	13.969003125000006
n87	80	0	0	71	13.416119062500004
n90	87	0	0	78	14.865102656250006
n92	90	0	0	78	15.165583125000007
n91	88	0	0	81	14.861096250000006
n93	89	0	0	81	15.152228437500007
n138	97	0	0	62	15.969535312500005
n139	106	0	0	62	16.085721093750003
n128	98	0	0	69	15.970870781250005
n129	100	0	0	69	16.084385625000003
n108	95	0	0	74	15.663712968750007
n106	93	0	0	76	15.568894687500006
n104	91	0	0	78	15.267078750000007
n109	96	0	0	78	15.657035625000006
n110	99	0	0	78	15.965528906250006
n111	101	0	0	78	16.063018125000003
n107	94	0	0	79	15.563552812500006
n105	92	0	0	81	15.261736875000008
n131	108	0	0	66	16.474342500000002
n130	103	0	0	67	16.382195156250003
n113	104	0	0	74	16.474342500000002
n112	102	0	0	76	16.38753703125
n114	105	0	0	78	16.78016484375
n115	107	0	0	81	16.7761584375
n141	116	0	0	62	17.572097812499994
n133	115	0	0	69	17.568091406249994
n120	113	0	0	74	17.284972031249996
n118	111	0	0	76	17.188818281249997
n116	109	0	0	78	16.885666875
n121	114	0	0	78	17.284972031249996
n122	117	0	0	78	17.584117031249995
n119	112	0	0	79	17.17813453125
n117	110	0	0	81	16.88433140625
n142	123	0	0	62	17.688283593749997
n136	124	0	0	66	18.100943437499996
n135	121	0	0	67	17.998112343749995
n134	118	0	0	69	17.692289999999996
n125	122	0	0	74	18.086253281249995
n126	125	0	0	74	18.3680371875
n124	120	0	0	76	18.012802499999996
n123	119	0	0	78	17.676264374999995
n163	128	0	0	61	18.50024859375
n165	132	0	0	61	18.931604999999998
n164	126	0	0	67	18.50024859375
n166	133	0	0	67	18.934275937499997
n143	127	0	0	75	18.4828875
n144	129	0	0	76	18.70323984375
n145	130	0	0	76	18.89955375
n146	131	0	0	76	19.089190312499998
n167	134	0	0	61	19.318890937499997
n169	137	0	0	61	19.734221718749996
n168	135	0	0	67	19.328239218749996
n170	138	0	0	67	19.748911874999997
n147	136	0	0	76	19.305536249999996
n148	140	0	0	61	20.192287499999996
n149	141	0	0	64	20.237693437499995
n150	139	0	0	67	20.295118593749997
n151	142	0	0	69	20.311144218749998
n152	143	0	0	73	20.381924062499998
n153	144	0	0	76	20.430000937499997
n154	145	0	0	79	20.488761562499995
n172	146	0	0	57	21.23929499999999
n173	150	0	0	61	21.611890781249986
n162	154	0	0	67	21.91904859374998
n161	153	0	0	69	21.820223906249982
n178	156	0	0	69	22.120704374999978
n160	152	0	0	71	21.716057343749984
n159	151	0	0	73	21.621239062499985
n158	149	0	0	74	21.537104531249987
n157	148	0	0	76	21.43961531249999
n156	147	0	0	78	21.350138906249992
n194	159	0	0	62	22.00986046874998
n177	155	0	0	66	22.02054421874998
n179	157	0	0	71	22.20750984374998
n180	158	0	0	73	22.287637968749976
n181	160	0	0	74	22.386462656249975
n182	161	0	0	76	22.469261718749976
n183	162	0	0	78	22.562744531249976
n184	163	0	0	79	22.649549999999977
n196	165	0	0	42	23.193085781249977
n197	164	0	0	54	23.179731093749975
n185	166	0	0	81	22.755052031249978
n198	168	0	0	43	23.627113124999976
n199	170	0	0	55	23.617764843749978
n187	167	0	0	82	23.943619218749976
n188	169	0	0	83	24.031760156249977
n189	171	0	0	85	24.340253437499978
n201	176	0	0	44	24.869099062499973
n202	175	0	0	56	24.869099062499973
n191	173	0	0	74	24.754248749999974
n192	174	0	0	78	24.853073437499972
n193	177	0	0	81	25.188276093749973
n190	172	0	0	86	24.427058906249975
n222	183	0	0	45	25.681064062499974
n221	182	0	0	57	25.299119999999974
n206	180	0	0	76	25.474066406249975
n208	184	0	0	76	25.667709374999973
n205	179	0	0	78	25.385925468749974
n207	181	0	0	78	25.558200937499972
n204	178	0	0	79	25.285765312499972
n224	185	0	0	57	26.33811468749997
n227	190	0	0	57	26.694684843749968
n225	186	0	0	59	26.423584687499968
n226	187	0	0	61	26.48902265624997
n210	189	0	0	69	26.696020312499968
n209	188	0	0	81	26.104407656249972
n229	199	0	0	52	27.321019687499966
n228	194	0	0	64	26.935069218749966
n212	192	0	0	66	27.029887499999965
n211	191	0	0	68	26.925720937499968
n213	193	0	0	68	27.122034843749965
n214	195	0	0	69	27.21284671874996
n216	197	0	0	69	27.401147812499968
n215	196	0	0	71	27.309000468749964
n217	198	0	0	71	27.489288749999968
n218	200	0	0	73	27.57475874999997
n231	201	0	0	52	27.90061312499997
n234	205	0	0	52	28.26118968749997
n232	202	0	0	54	27.99142499999997
n233	203	0	0	56	28.06621124999997
n220	206	0	0	62	28.258518749999972
n219	204	0	0	74	27.668241562499972
n253	215	0	0	45	28.85547328124997
n252	210	0	0	57	28.482877499999972
n237	208	0	0	59	28.575024843749972
n236	207	0	0	61	28.473529218749974
n238	209	0	0	61	28.664501249999972
n239	211	0	0	62	28.753977656249972
n241	213	0	0	62	28.956968906249973
n240	212	0	0	64	28.86215062499997
n242	214	0	0	64	29.045109843749973
n243	216	0	0	66	29.131915312499974
n255	217	0	0	45	29.433731249999973
n258	221	0	0	45	29.814339843749973
n256	218	0	0	47	29.516530312499974
n257	219	0	0	49	29.608677656249974
n245	222	0	0	55	29.821017187499972
n244	220	0	0	67	29.220056249999974
n260	227	0	0	38	30.539499374999977
n259	224	0	0	50	30.066743437499976
n246	223	0	0	54	30.050717812499975
n247	deletion
n248	226	0	0	62	30.717116718749978
n261	229	0	0	40	30.932127187499976
n262	232	0	0	52	31.35814171874998
n249	228	0	0	55	30.928120781249977
n250	230	0	0	61	31.145802187499978
n251	231	0	0	62	31.53175265624998
n275	236	0	0	42	32.16209390624998
n274	234	0	0	54	31.73741484374998
n263	233	0	0	57	31.73474390624998
n264	235	0	0	61	31.95108984374998
n265	237	0	0	62	32.35707234374998
n277	244	0	0	52	32.95536234374996
n276	240	0	0	55	32.56139906249997
n266	238	0	0	59	32.548044374999975
n267	239	0	0	64	32.78709328124997
n270	243	0	0	64	33.14099249999993
n268	241	0	0	66	32.85386671874996
n269	242	0	0	67	32.92731749999996
n279	248	0	0	45	33.88084218749982
n278	245	0	0	57	33.40942171874989
n272	247	0	0	61	33.85012640624983
n271	246	0	0	62	33.382712343749894
n280	250	0	0	57	34.43372624999978
n282	255	0	0	57	34.70215546874975
n284	261	0	0	57	34.90781765624976
n286	266	0	0	57	35.094783281249754
n281	251	0	0	61	34.42037156249978
n283	256	0	0	61	34.71551015624975
n285	259	0	0	61	34.90114031249976
n287	265	0	0	61	35.07742218749976
n273	deletion
n292	269	0	0	57	35.31246468749975
n294	274	0	0	57	35.55017812499974
n296	279	0	0	57	35.72645999999973
n298	283	0	0	57	35.88404531249973
n293	270	0	0	62	35.325819374999746
n295	275	0	0	62	35.54216531249974
n297	280	0	0	62	35.72512453124973
n299	284	0	0	62	35.88404531249973
n288	deletion
n300	288	0	0	57	36.12309421874971
n302	293	0	0	57	36.331427343749695
n304	297	0	0	57	36.50236734374968
n306	303	0	0	57	36.673307343749684
n301	289	0	0	64	36.116416874999715
n303	292	0	0	64	36.328756406249695
n305	298	0	0	64	36.51305109374968
n307	302	0	0	64	36.68132015624968
n289	deletion
n308	307	0	0	57	36.91102078124967
n310	312	0	0	57	37.14072140624964
n312	318	0	0	57	37.33302890624964
n314	321	0	0	57	37.49729156249964
n309	308	0	0	62	36.91369171874967
n311	313	0	0	62	37.14339234374964
n313	317	0	0	62	37.32902249999964
n315	322	0	0	62	37.50663984374964
n290	deletion
n316	326	0	0	56	37.72699218749962
n318	332	0	0	56	37.98340218749961
n320	335	0	0	56	38.157013124999594
n322	341	0	0	56	38.360004374999576
n317	328	0	0	62	37.72699218749962
n319	330	0	0	62	37.96069921874961
n321	336	0	0	62	38.17303874999959
n323	342	0	0	62	38.361339843749576
n291	deletion
n332	345	0	0	57	38.62709812499957
n334	347	0	0	57	38.84611499999954
n336	350	0	0	57	39.00503578124954
n338	353	0	0	57	39.19066593749954
n333	344	0	0	61	38.61107249999957
n335	346	0	0	61	38.834095781249545
n337	349	0	0	61	39.00236484374954
n339	352	0	0	61	39.19200140624954
n324	deletion
n340	355	0	0	56	39.42570843749954
n342	360	0	0	56	39.68879578124952
n344	365	0	0	56	39.883774218749515
n346	369	0	0	56	40.09744921874951
n341	357	0	0	62	39.447075937499534
n343	361	0	0	62	39.67009921874952
n345	366	0	0	62	39.91849640624952
n347	371	0	0	62	40.10946843749951
n326	deletion
n348	375	0	0	57	40.462032187499474
n349	376	0	0	61	40.43665828124948
n329	377	0	0	74	41.175172499999434
n327	deletion
n351	379	0	0	54	41.29937109374942
n354	385	0	0	55	41.71870828124939
n352	380	0	0	57	41.444937187499406
n355	387	0	0	59	41.84824874999938
n353	382	0	0	62	41.557116562499395
n356	392	0	0	62	41.95508624999938
n330	378	0	0	69	41.282009999999424
n331	381	0	0	71	41.6799796874994
n377	395	0	0	54	42.20748984374937
n357	391	0	0	69	42.146058281249374
n362	399	0	0	74	42.84317296874935
n361	398	0	0	76	42.718974374999355
n360	397	0	0	78	42.592104843749354
n359	396	0	0	79	42.47324812499936
n358	394	0	0	81	42.35305593749936
n378	401	0	0	54	42.99140999999935
n381	407	0	0	55	43.39872796874933
n379	402	0	0	57	43.12762781249934
n382	410	0	0	59	43.528268437499314
n380	404	0	0	62	43.249155468749336
n383	413	0	0	62	43.660479843749314
n363	400	0	0	69	42.97805531249935
n384	416	0	0	54	43.834090781249316
n365	414	0	0	69	43.82874890624932
n370	420	0	0	74	44.487134999999306
n369	419	0	0	76	44.36827828124931
n368	418	0	0	78	44.24942156249931
n367	417	0	0	79	44.129229374999305
n366	415	0	0	81	43.993011562499305
n386	425	0	0	43	44.6420493749993
n387	427	0	0	55	44.628694687499305
n371	421	0	0	71	44.627359218749305
n376	428	0	0	76	45.29909999999931
n375	426	0	0	78	45.170894999999305
n374	424	0	0	79	45.05203828124931
n373	423	0	0	81	44.92516874999931
n372	422	0	0	83	44.78494453124931
n402	434	0	0	47	45.86533874999931
n403	433	0	0	59	45.85999687499931
n392	432	0	0	74	45.83462296874931
n394	436	0	0	76	46.115071406249314
n389	429	0	0	78	45.43264687499931
n390	430	0	0	79	45.56352281249931
n393	435	0	0	79	45.978853593749314
n391	431	0	0	81	45.710424374999306
n404	440	0	0	43	46.27265671874931
n406	447	0	0	45	46.701342187499286
n405	439	0	0	55	46.26998578124931
n407	445	0	0	57	46.72404515624928
n395	438	0	0	76	46.348778437499305
n409	455	0	0	38	47.621480156249234
n408	453	0	0	50	47.19413015624927
n396	454	0	0	74	47.16608531249927
n410	456	0	0	61	48.174364218749204
n413	459	0	0	61	48.652462031249165
n411	457	0	0	64	48.41207765624917
n414	462	0	0	64	48.80604093749916
n412	458	0	0	69	48.53627624999916
n415	464	0	0	69	48.93291046874916
n400	465	0	0	76	48.944929687499155
n399	463	0	0	77	48.86079515624916
n416	467	0	0	77	49.08916031249914
n398	461	0	0	79	48.795357187499164
n397	460	0	0	81	48.14498390624921
n431	476	0	0	61	49.437717656249106
n428	469	0	0	62	49.04108343749914
n432	477	0	0	64	49.577941874999105
n429	471	0	0	65	49.20935249999912
n430	474	0	0	69	49.34557031249911
n433	478	0	0	69	49.70080499999911
n417	475	0	0	76	49.42302749999911
n434	479	0	0	61	49.87575140624911
n437	482	0	0	61	50.27906296874907
n435	480	0	0	64	50.052033281249095
n438	484	0	0	64	50.42462906249907
n436	481	0	0	69	50.16020624999908
n439	488	0	0	69	50.564853281249064
n421	487	0	0	76	50.57553703124906
n420	486	0	0	77	50.50475718749907
n419	485	0	0	79	50.44466109374907
n418	483	0	0	81	49.849042031249105
n443	499	0	0	61	51.09636984374901
n440	492	0	0	62	50.67703265624905
n444	500	0	0	64	51.231252187498995
n441	494	0	0	65	50.85598546874903
n442	497	0	0	69	50.97217124999902
n445	501	0	0	69	51.35812171874899
n423	498	0	0	76	51.064318593749014
n422	490	0	0	77	50.727780468749046
n446	502	0	0	61	51.51036515624899
n449	506	0	0	61	51.94172156249895
n447	503	0	0	64	51.68798249999897
n450	508	0	0	64	52.11399703124895
n448	504	0	0	69	51.814852031248954
n451	511	0	0	69	52.27158234374894
n427	510	0	0	76	52.231518281248945
n426	509	0	0	77	52.16875124999895
n425	507	0	0	79	52.11266156249895
n424	505	0	0	81	51.47697843749899
n464	512	0	0	62	52.35705234374894
n467	516	0	0	62	52.752351093748906
n465	513	0	0	65	52.51196671874892
n468	517	0	0	65	52.9353103124989
n466	515	0	0	69	52.62281062499892
n469	519	0	0	69	53.0541670312489
n453	518	0	0	74	52.74433828124891
n454	520	0	0	76	53.0675217187489
n452	514	0	0	77	52.32900749999894
n470	521	0	0	62	53.1703528124989
n473	526	0	0	62	53.58568359374888
n471	522	0	0	65	53.33995734374889
n474	527	0	0	65	53.74193343749888
n472	524	0	0	69	53.44545937499889
n475	530	0	0	69	53.88883499999888
n456	525	0	0	76	53.46014953124889
n455	523	0	0	77	53.1583335937489
n457	528	0	0	77	53.574999843748884
n458	deletion
n476	532	0	0	57	54.10250999999888
n461	533	0	0	74	54.78626999999885
n459	531	0	0	81	54.04241390624888
n478	535	0	0	54	54.922487812498844
n481	541	0	0	55	55.308438281248826
n479	536	0	0	57	55.04401546874883
n482	543	0	0	59	55.41928218749881
n480	537	0	0	62	55.16020124999883
n483	546	0	0	62	55.532797031248805
n462	534	0	0	69	54.89577843749884
n463	538	0	0	71	55.29908999999883
n504	549	0	0	54	55.733117343748795
n484	547	0	0	69	55.733117343748795
n489	553	0	0	74	56.40752906249879
n488	552	0	0	76	56.28199499999879
n487	551	0	0	78	56.157796406248785
n486	550	0	0	79	56.04027515624879
n485	548	0	0	81	55.90005093749879
n505	555	0	0	54	56.55710156249879
n508	561	0	0	55	56.95640671874877
n506	556	0	0	57	56.69331937499877
n509	563	0	0	59	57.07926984374876
n507	557	0	0	62	56.80816968749877
n510	566	0	0	62	57.16206890624875
n490	554	0	0	69	56.53706953124879
n511	570	0	0	54	57.377079374998736
n492	568	0	0	69	57.381085781248736
n497	574	0	0	74	58.05549749999873
n496	573	0	0	76	57.931298906248735
n495	572	0	0	78	57.80977124999873
n494	571	0	0	79	57.67755984374873
n493	569	0	0	81	57.53600015624873
n513	581	0	0	43	58.20774093749873
n514	579	0	0	55	58.19705718749873
n498	575	0	0	71	58.19305078124873
n503	582	0	0	76	58.86212062499872
n502	580	0	0	78	58.727238281248724
n501	578	0	0	79	58.59769781249872
n500	577	0	0	81	58.46949281249872
n499	576	0	0	83	58.33728140624872
n526	588	0	0	35	59.39630812499872
n527	587	0	0	47	59.38695984374872
n519	586	0	0	74	59.38963078124872
n521	590	0	0	76	59.63802796874871
n516	583	0	0	78	58.99566749999872
n520	589	0	0	79	59.51917124999871
n517	584	0	0	81	59.12520796874872
n518	585	0	0	86	59.25608390624872
n528	593	0	0	31	59.8169807812487
n530	601	0	0	33	60.259020937498676
n529	595	0	0	43	59.8169807812487
n531	602	0	0	45	60.255014531248676
n522	592	0	0	76	59.8650576562487
n533	608	0	0	45	61.11906281249861
n532	607	0	0	50	60.68503546874866
n523	609	0	0	74	60.66366796874866
n534	610	0	0	38	61.63054734374857
n537	611	0	0	74	62.108645156248556
n536	605	0	0	78	60.48605062499867
n535	deletion
n553	deletion
n540	deletion
n539	deletion
n555	deletion
n554	deletion
