xml_id	midi_id	track	channel	pitch	onset
n2	deletion
n4	1	1	0	35	1.6796875
n5	2	1	0	36	1.9622395833333335
n6	3	1	0	37	2.1158854166666665
n7	4	1	0	38	2.231770833333333
n8	5	1	0	39	2.313802083333333
n9	6	1	0	40	2.395833333333333
n15	11	1	0	40	2.941406250000001
n10	7	1	0	41	2.4869791666666665
n14	deletion
n11	8	1	0	42	2.5872395833333335
n13	10	1	0	42	2.736979166666667
n12	9	1	0	43	2.6575520833333335
n21	17	1	0	30	3.6484375000000018
n20	16	1	0	35	3.4817708333333353
n23	18	1	0	35	3.8476562500000018
n19	15	1	0	36	3.3606770833333353
n24	19	1	0	36	3.9700520833333353
n18	14	1	0	37	3.2421875000000013
n25	20	1	0	37	4.072916666666669
n17	13	1	0	38	3.157552083333335
n16	12	1	0	39	3.035156250000001
n26	21	1	0	38	4.180989583333335
n27	22	1	0	39	4.242187500000002
n28	23	1	0	40	4.334635416666669
n34	28	1	0	40	4.891927083333336
n29	24	1	0	41	4.428385416666669
n33	deletion
n30	25	1	0	42	4.510416666666669
n32	27	1	0	42	4.669270833333336
n31	26	1	0	43	4.589843750000002
n40	34	1	0	30	5.742187500000002
n39	33	1	0	35	5.446614583333335
n48	35	1	0	35	5.928385416666669
n38	32	1	0	36	5.346354166666669
n49	36	1	0	36	6.329427083333336
n37	31	1	0	37	5.213541666666669
n50	37	1	0	37	6.427083333333336
n36	30	1	0	38	5.122395833333335
n35	29	1	0	39	4.984375000000002
n47	53	1	0	54	6.083333333333336
n51	38	1	0	38	6.527343750000002
n52	39	1	0	39	6.587239583333335
n53	40	1	0	40	6.678385416666669
n59	48	1	0	40	7.203125000000001
n54	41	1	0	41	6.740885416666669
n58	46	1	0	41	7.160156250000001
n55	42	1	0	42	6.845052083333335
n57	44	1	0	42	6.985677083333335
n56	43	1	0	43	6.923177083333335
n41	47	1	0	47	6.740885416666669
n42	45	1	0	50	6.742187500000002
n65	55	1	0	30	8.027343749999998
n74	57	1	0	35	8.235677083333332
n64	deletion
n63	52	1	0	36	7.610677083333334
n75	58	1	0	36	8.479166666666666
n62	51	1	0	37	7.479166666666667
n76	59	1	0	37	8.575520833333332
n61	50	1	0	38	7.404947916666667
n60	49	1	0	39	7.291666666666667
n45	56	1	0	47	7.798177083333332
n46	54	1	0	50	7.783854166666666
n72	70	1	0	55	8.264322916666666
n77	60	1	0	38	8.670572916666666
n78	61	1	0	39	8.731770833333334
n79	62	1	0	40	8.8203125
n85	71	1	0	40	9.393229166666666
n80	65	1	0	41	8.876302083333332
n84	69	1	0	41	9.316406249999998
n81	66	1	0	42	8.975260416666664
n83	68	1	0	42	9.16536458333333
n82	67	1	0	43	9.06380208333333
n66	63	1	0	47	8.869791666666666
n67	64	1	0	50	8.856770833333334
n73	79	1	0	57	9.186197916666664
n91	80	1	0	30	10.299479166666663
n90	78	1	0	35	10.011718749999996
n99	81	1	0	35	10.466145833333329
n89	75	1	0	36	9.830729166666666
n100	82	1	0	36	10.777343749999996
n88	74	1	0	37	9.69140625
n101	83	1	0	37	10.873697916666664
n87	73	1	0	38	9.609375
n86	72	1	0	39	9.48828125
n70	76	1	0	47	9.925781249999998
n71	77	1	0	50	9.919270833333332
n98	103	1	0	59	10.557291666666663
n102	84	1	0	38	10.97395833333333
n103	85	1	0	39	11.03255208333333
n104	86	1	0	40	11.13411458333333
n110	94	1	0	40	11.651041666666668
n105	87	1	0	41	11.200520833333332
n109	93	1	0	41	11.601562500000002
n106	88	1	0	42	11.291666666666666
n108	92	1	0	42	11.451822916666668
n107	89	1	0	43	11.3828125
n92	90	1	0	47	11.184895833333332
n93	91	1	0	50	11.178385416666664
n116	100	1	0	30	12.470052083333334
n115	99	1	0	35	12.248697916666668
n127	101	1	0	35	12.64453125
n114	98	1	0	36	12.036458333333336
n128	102	1	0	36	12.744791666666668
n113	97	1	0	37	11.925781250000002
n129	104	1	0	37	12.861979166666668
n112	96	1	0	38	11.832031250000002
n111	95	1	0	39	11.740885416666668
n96	106	1	0	47	12.218750000000002
n97	105	1	0	50	12.210937500000002
n130	107	1	0	38	12.960937500000002
n131	108	1	0	39	13.019531250000002
n132	109	1	0	40	13.115885416666668
n138	115	1	0	40	13.825520833333334
n133	110	1	0	41	13.2109375
n137	114	1	0	41	13.725260416666664
n134	111	1	0	42	13.33203125
