idx,matchtype,partid,ppartid
0,0,n6,4
1,0,n13,11
2,0,n5,3
3,0,n8,6
4,0,n12,10
5,0,n15,13
6,0,n19,17
7,0,n4,2
8,0,n7,5
9,0,n11,8
10,0,n14,12
11,0,n18,15
12,0,n2,1
13,0,n9,9
14,0,n16,16
15,0,n3,0
16,0,n10,7
17,0,n17,14
18,0,n20,18
19,0,n22,21
20,0,n26,24
21,0,n21,19
22,0,n25,22
23,0,n23,23
24,0,n24,20
25,0,n57,35
26,0,n28,25
27,0,n30,27
28,0,n34,30
29,0,n29,26
30,0,n33,29
31,0,n31,28
32,0,n32,34
33,0,n39,40
34,0,n58,41
35,0,n35,31
36,0,n37,33
37,0,n41,38
38,0,n44,43
39,0,n36,32
40,0,n40,36
41,0,n43,42
42,0,n38,37
43,0,n59,44
44,0,n60,50
45,0,n42,39
46,0,n48,48
47,0,n47,46
48,0,n45,47
49,0,n46,45
50,0,n62,58
51,0,n61,53
52,0,n49,49
53,0,n51,52
54,0,n55,57
55,0,n50,51
56,0,n54,56
57,0,n52,55
58,0,n53,54
59,0,n91,62
60,0,n92,67
61,0,n63,59
62,0,n65,61
63,0,n69,66
64,0,n64,60
65,0,n68,65
66,0,n66,64
67,0,n67,63
68,0,n94,77
69,0,n93,73
70,0,n70,69
71,0,n72,71
72,0,n76,76
73,0,n71,70
74,0,n75,75
75,0,n73,74
76,0,n74,72
77,0,n95,81
78,0,n96,86
79,0,n77,78
80,0,n79,80
81,0,n83,85
82,0,n78,79
83,0,n82,84
84,0,n80,83
85,0,n81,82
86,0,n98,96
87,0,n97,91
88,0,n84,88
89,0,n86,90
90,0,n90,95
91,0,n85,89
92,0,n89,94
93,0,n87,93
94,0,n88,92
95,0,n127,101
96,0,n128,106
97,0,n99,98
98,0,n101,100
99,0,n105,105
100,0,n100,99
101,0,n104,104
102,0,n102,103
103,0,n103,102
104,0,n129,110
105,0,n130,116
106,0,n106,107
107,0,n108,109
108,0,n112,114
109,0,n107,108
110,0,n111,113
111,0,n109,112
112,0,n110,111
113,0,n131,119
114,0,n113,115
115,0,n115,118
116,0,n119,123
117,0,n114,117
118,0,n118,122
119,0,n116,121
120,0,n117,120
121,0,n133,132
122,0,n132,127
123,0,n120,124
124,0,n122,125
125,0,n126,131
126,0,n121,126
127,0,n125,130
128,0,n123,129
129,0,n124,128
130,0,n163,142
131,0,n162,141
132,0,n134,134
133,0,n136,136
134,0,n140,140
135,0,n135,135
136,0,n139,139
137,0,n137,138
138,0,n138,137
139,0,n164,147
140,0,n165,152
141,0,n141,144
142,0,n143,146
143,0,n147,151
144,0,n142,145
145,0,n146,150
146,0,n144,149
147,0,n145,148
148,0,n166,159
149,0,n150,154
150,0,n154,158
151,0,n149,153
152,0,n153,157
153,0,n151,156
154,0,n152,155
155,0,n167,160
156,0,n157,162
157,0,n161,166
158,0,n156,161
159,0,n160,165
160,0,n158,164
161,0,n159,163
162,0,n198,178
163,0,n169,167
164,0,n171,169
165,0,n175,173
166,0,n170,168
167,0,n174,172
168,0,n172,171
169,0,n173,170
170,0,n199,183
171,0,n176,174
172,0,n178,176
173,0,n182,181
174,0,n185,187
175,0,n177,175
176,0,n181,180
177,0,n184,186
178,0,n179,179
179,0,n180,177
180,0,n200,185
181,0,n202,194
182,0,n201,189
183,0,n183,184
184,0,n189,192
185,0,n188,191
186,0,n186,190
187,0,n187,188
188,0,n204,204
189,0,n203,197
190,0,n190,193
191,0,n192,196
192,0,n196,201
193,0,n191,195
194,0,n195,200
195,0,n193,199
196,0,n194,198
197,0,n233,205
198,0,n235,213
199,0,n234,208
200,0,n205,203
201,0,n207,207
202,0,n211,211
203,0,n206,206
204,0,n210,210
205,0,n208,209
206,0,n209,212
207,0,n216,222
208,2,undefined,202
209,0,n237,221
210,0,n236,217
211,0,n212,214
212,0,n214,216
213,0,n218,220
214,0,n213,215
215,0,n217,219
216,0,n215,218
217,0,n238,224
218,0,n240,232
219,0,n239,228
220,0,n219,223
221,0,n221,226
222,0,n225,231
223,0,n220,225
224,0,n224,230
225,0,n222,229
226,0,n223,227
227,0,n242,241
228,0,n241,236
229,0,n226,233
230,0,n228,235
231,0,n232,240
232,0,n227,234
233,0,n231,239
234,0,n229,238
235,0,n230,237
236,0,n271,247
237,0,n272,250
238,0,n243,242
239,0,n245,244
240,0,n249,249
241,0,n244,243
242,0,n248,248
243,0,n246,246
244,0,n247,245
245,0,n273,254
246,0,n274,259
247,0,n250,251
248,0,n252,253
249,0,n256,258
250,0,n251,252
251,0,n255,257
252,0,n253,256
253,0,n254,255
254,0,n275,263
255,0,n257,260
256,0,n259,262
257,0,n263,267
258,0,n258,261
259,0,n262,266
260,0,n260,265
261,0,n261,264
262,0,n277,277
263,0,n276,272
264,0,n264,269
265,0,n266,271
266,0,n270,276
267,0,n265,270
268,0,n269,275
269,0,n267,274
270,0,n268,273
271,0,n307,287
272,0,n306,283
273,0,n278,279
274,0,n280,281
275,0,n284,286
276,0,n279,280
277,0,n283,285
278,0,n281,284
279,0,n282,282
280,0,n308,290
281,0,n309,295
282,0,n285,288
283,0,n287,291
284,0,n291,294
285,0,n286,289
286,0,n290,293
287,0,n288,296
288,0,n289,292
289,0,n310,303
290,0,n294,298
291,0,n298,302
292,0,n293,297
293,0,n297,301
294,0,n295,300
295,0,n296,299
296,0,n312,309
297,0,n311,304
298,0,n301,307
299,0,n305,312
300,0,n300,306
301,0,n304,310
302,0,n302,311
303,2,undefined,305
304,0,n303,308
305,0,n343,322
306,0,n342,320
307,0,n341,313
308,0,n313,314
309,0,n315,316
310,0,n319,321
311,0,n314,315
312,0,n318,319
313,0,n316,318
314,0,n317,317
315,0,n344,325
316,0,n345,331
317,0,n320,323
318,0,n322,326
319,0,n326,330
320,0,n321,324
321,0,n325,328
322,0,n323,329
323,0,n324,327
324,0,n346,339
325,0,n329,334
326,0,n333,338
327,0,n328,333
328,0,n332,337
329,0,n330,336
330,0,n331,335
331,0,n348,344
332,0,n347,340
333,0,n336,343
334,0,n340,349
335,0,n335,342
336,0,n339,347
337,0,n337,346
338,2,undefined,341
339,0,n338,345
340,0,n379,356
