onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,last_beat,last_beat_ref
1.0,1.0,0.5,0.5,12,12,61,5,n12,-10.0,-10.0
1.0,0.0,0.5,0.0,12,0,62,5,n11,-10.0,-10.0
2.0,1.0,1.0,0.5,24,12,65,1,n4,-10.0,-10.0
2.0,0.0,1.0,0.0,24,0,66,1,n3,-10.0,-10.0
3.0,1.0,1.5,0.5,36,12,68,1,n6,3.0,1.360677
3.0,0.0,1.5,0.0,36,0,69,1,n5,3.0,1.360677
4.0,1.0,2.0,0.5,48,12,68,5,n16,3.0,1.360677
4.0,0.0,2.0,0.0,48,0,69,5,n15,3.0,1.360677
5.0,1.0,2.5,0.5,60,12,71,1,n9,3.0,1.360677
5.0,0.0,2.5,0.0,60,0,73,1,n8,3.0,1.360677
6.0,1.0,3.0,0.5,72,12,73,1,n19,6.0,1.768229
6.0,0.0,3.0,0.0,72,0,74,1,n18,6.0,1.768229
7.0,1.0,3.5,0.5,84,12,73,5,n30,6.0,1.768229
7.0,0.0,3.5,0.0,84,0,74,5,n29,6.0,1.768229
8.0,1.0,4.0,0.5,96,12,77,1,n22,6.0,1.768229
8.0,0.0,4.0,0.0,96,0,78,1,n21,6.0,1.768229
9.0,1.0,4.5,0.5,108,12,80,1,n24,9.0,2.210938
9.0,0.0,4.5,0.0,108,0,81,1,n23,9.0,2.210938
10.0,1.0,5.0,0.5,120,12,80,5,n34,9.0,2.210938
10.0,0.0,5.0,0.0,120,0,81,5,n33,9.0,2.210938
11.0,1.0,5.5,0.5,132,12,83,1,n27,9.0,2.210938
11.0,0.0,5.5,0.0,132,0,85,1,n26,9.0,2.210938
12.0,1.0,6.0,0.5,144,12,85,1,n37,12.0,2.56901
12.0,0.0,6.0,0.0,144,0,86,1,n36,12.0,2.56901
13.0,1.0,6.5,0.5,156,12,83,5,n48,12.0,2.56901
13.0,0.0,6.5,0.0,156,0,80,5,n47,12.0,2.56901
14.0,1.0,7.0,0.5,168,12,83,1,n40,12.0,2.56901
14.0,0.0,7.0,0.0,168,0,85,1,n39,12.0,2.56901
15.0,1.0,7.5,0.5,180,12,85,1,n42,15.0,3.022135
15.0,0.0,7.5,0.0,180,0,86,1,n41,15.0,3.022135
16.0,1.0,8.0,0.5,192,12,80,5,n52,15.0,3.022135
16.0,0.0,8.0,0.0,192,0,77,5,n51,15.0,3.022135
17.0,1.0,8.5,0.5,204,12,83,1,n45,15.0,3.022135
17.0,0.0,8.5,0.0,204,0,85,1,n44,15.0,3.022135
18.0,1.0,9.0,0.5,216,12,85,1,n55,18.0,3.552083
18.0,0.0,9.0,0.0,216,0,86,1,n54,18.0,3.552083
19.0,1.0,9.5,0.5,228,12,83,5,n65,18.0,3.552083
19.0,0.0,9.5,0.0,228,0,80,5,n64,18.0,3.552083
20.0,1.0,10.0,0.5,240,12,83,1,n58,18.0,3.552083
20.0,0.0,10.0,0.0,240,0,85,1,n57,18.0,3.552083
21.0,1.0,10.5,0.5,252,12,85,1,n60,21.0,4.277344
21.0,0.0,10.5,0.0,252,0,86,1,n59,21.0,4.277344
22.0,1.0,11.0,0.5,264,12,80,5,n69,21.0,4.277344
22.0,0.0,11.0,0.0,264,0,77,5,n68,21.0,4.277344
23.0,1.0,11.5,0.5,276,12,73,1,n62,21.0,4.277344
24.0,1.0,12.0,0.5,288,12,85,1,n73,24.0,5.07487
24.0,0.0,12.0,0.0,288,0,78,1,n71,24.0,5.07487
24.0,0.0,12.0,0.0,288,0,81,1,n72,24.0,5.07487
25.0,1.0,12.5,0.5,300,12,81,5,n88,24.0,5.07487
25.0,0.0,12.5,0.0,300,0,73,5,n86,24.0,5.07487
25.0,0.0,12.5,0.0,300,0,78,5,n87,24.0,5.07487
26.0,1.0,13.0,0.5,312,12,78,1,n77,24.0,5.07487
26.0,0.0,13.0,0.0,312,0,69,1,n75,24.0,5.07487
26.0,0.0,13.0,0.0,312,0,73,1,n76,24.0,5.07487
27.0,1.0,13.5,0.5,324,12,78,1,n80,27.0,5.482422
27.0,0.0,13.5,0.0,324,0,69,1,n78,27.0,5.482422
27.0,0.0,13.5,0.0,324,0,74,1,n79,27.0,5.482422
28.0,1.0,14.0,0.5,336,12,69,5,n92,27.0,5.482422
28.0,0.0,14.0,0.0,336,0,66,5,n91,27.0,5.482422
29.0,1.0,14.5,0.5,348,12,71,1,n84,27.0,5.482422
29.0,0.0,14.5,0.0,348,0,62,1,n82,27.0,5.482422
29.0,0.0,14.5,0.0,348,0,66,1,n83,27.0,5.482422
30.0,1.0,15.0,0.5,360,12,73,1,n96,30.0,5.722656
30.0,0.0,15.0,0.0,360,0,66,1,n94,30.0,5.722656
30.0,0.0,15.0,0.0,360,0,69,1,n95,30.0,5.722656
31.0,1.0,15.5,0.5,372,12,69,5,n107,30.0,5.722656
31.0,0.0,15.5,0.0,372,0,66,5,n106,30.0,5.722656
32.0,1.0,16.0,0.5,384,12,66,1,n99,30.0,5.722656
32.0,0.0,16.0,0.0,384,0,61,1,n98,30.0,5.722656
33.0,1.0,16.5,0.5,396,12,61,1,n101,33.0,6.227865
33.0,0.0,16.5,0.0,396,0,57,1,n100,33.0,6.227865
34.0,1.0,17.0,0.5,408,12,57,5,n111,33.0,6.227865
