idx,matchtype,partid,ppartid
0,0,n11,4
1,0,n12,5
2,0,n2,7
3,0,n4,8
4,0,n15,10
5,0,n3,6
6,0,n5,9
7,0,n16,11
8,0,n25,12
9,0,n27,14
10,0,n29,17
11,0,n26,13
12,0,n28,15
13,0,n30,16
14,0,n20,19
15,0,n22,20
16,0,n33,22
17,0,n21,18
18,0,n23,21
19,0,n34,23
20,0,n44,24
21,0,n45,25
22,0,n36,26
23,0,n38,28
24,0,n37,27
25,0,n39,29
26,0,n48,30
27,0,n49,31
28,0,n41,32
29,0,n51,35
30,0,n42,33
31,0,n52,34
32,0,n54,36
33,1,n63,undefined
34,0,n55,37
35,0,n56,38
36,0,n58,40
37,1,n64,undefined
38,0,n57,39
39,0,n86,44
40,0,n87,45
41,0,n88,47
42,0,n68,46
43,1,n80,undefined
44,0,n60,42
45,1,n66,undefined
46,1,n65,undefined
47,0,n59,41
48,0,n61,43
49,0,n69,48
50,0,n91,52
51,0,n92,55
52,0,n93,56
53,0,n74,54
54,1,n83,undefined
55,0,n72,51
56,0,n96,63
57,1,n108,undefined
58,1,n82,undefined
59,0,n70,49
60,1,n81,undefined
61,0,n71,50
62,0,n73,53
63,0,n75,57
64,0,n114,62
65,0,n115,65
66,0,n76,58
67,0,n116,64
68,1,n84,undefined
69,0,n78,60
70,1,n85,undefined
71,0,n77,59
72,0,n79,61
73,0,n97,66
74,0,n119,72
75,0,n120,71
76,0,n98,67
77,0,n100,69
78,0,n104,75
79,1,n110,undefined
80,1,n109,undefined
81,0,n102,73
82,1,n111,undefined
83,0,n101,70
84,0,n103,74
85,0,n99,68
86,0,n141,79
87,0,n123,80
88,1,n135,undefined
89,0,n106,77
90,1,n113,undefined
91,1,n112,undefined
92,0,n105,76
93,0,n107,78
94,0,n124,81
95,0,n144,86
96,0,n145,87
97,0,n146,88
98,0,n129,89
99,1,n138,undefined
100,0,n127,84
101,0,n149,96
102,1,n161,undefined
103,1,n137,undefined
104,0,n125,82
105,1,n136,undefined
106,0,n126,83
107,0,n128,85
108,0,n130,90
109,0,n167,97
110,0,n131,91
111,0,n168,95
112,1,n139,undefined
113,0,n133,93
114,1,n140,undefined
115,0,n132,92
116,0,n134,94
117,0,n150,98
118,0,n151,99
119,1,n162,undefined
120,0,n152,100
121,0,n153,101
122,1,n163,undefined
123,0,n154,102
124,0,n155,103
125,0,n157,105
126,1,n164,undefined
127,0,n156,104
128,0,n189,109
129,0,n190,110
130,0,n191,112
131,0,n171,111
132,1,n183,undefined
133,0,n159,107
134,1,n166,undefined
135,1,n165,undefined
136,0,n158,106
137,0,n160,108
138,0,n172,113
139,0,n194,118
140,0,n195,119
141,0,n196,121
142,0,n177,120
143,1,n186,undefined
144,0,n175,116
145,0,n199,128
146,1,n211,undefined
147,1,n185,undefined
148,0,n173,114
149,1,n184,undefined
150,0,n174,115
151,0,n176,117
152,0,n178,122
153,0,n217,127
