idx,matchtype,partid,ppartid
0,0,n11,5
1,0,n12,4
2,0,n2,6
3,0,n4,9
4,0,n15,11
5,0,n3,7
6,0,n5,8
7,0,n16,10
8,0,n25,12
9,0,n27,15
10,0,n29,17
11,0,n26,13
12,0,n28,14
13,0,n30,16
14,0,n20,18
15,0,n22,21
16,0,n33,22
17,0,n21,19
18,0,n23,20
19,0,n34,23
20,1,n44,undefined
21,0,n45,24
22,0,n36,25
23,0,n38,27
24,0,n37,26
25,0,n39,28
26,0,n48,32
27,0,n49,29
28,0,n41,30
29,0,n51,33
30,0,n42,31
31,0,n52,34
32,0,n54,35
33,1,n63,undefined
34,0,n55,36
35,0,n56,37
36,0,n58,39
37,1,n64,undefined
38,0,n57,38
39,0,n59,40
40,0,n86,42
41,0,n87,44
42,0,n88,46
43,0,n68,45
44,1,n80,undefined
45,0,n60,41
46,1,n66,undefined
47,1,n65,undefined
48,0,n61,43
49,0,n69,47
50,0,n91,51
51,0,n92,53
52,0,n93,55
53,0,n74,54
54,1,n83,undefined
55,0,n72,50
56,0,n96,64
57,1,n108,undefined
58,1,n82,undefined
59,0,n70,48
60,1,n81,undefined
61,0,n71,49
62,0,n73,52
63,0,n75,57
64,0,n114,61
65,0,n115,63
66,0,n76,58
67,0,n116,65
68,1,n84,undefined
69,0,n78,60
70,1,n85,undefined
71,0,n77,59
72,0,n79,62
73,0,n97,66
74,0,n119,73
75,0,n120,72
76,0,n98,67
77,0,n100,69
78,1,n104,undefined
79,1,n109,undefined
80,1,n110,undefined
81,0,n102,71
82,1,n111,undefined
83,0,n101,70
84,0,n103,74
85,0,n99,68
86,0,n141,80
87,0,n123,79
88,0,n125,82
89,1,n135,undefined
90,0,n106,77
91,1,n113,undefined
92,0,n112,75
93,0,n105,76
94,0,n107,78
95,0,n124,81
96,0,n144,85
97,0,n145,87
98,0,n146,89
99,0,n129,88
100,1,n138,undefined
101,0,n127,84
102,0,n149,96
103,1,n161,undefined
104,1,n137,undefined
105,1,n136,undefined
106,0,n126,83
107,1,n128,undefined
108,0,n130,86
109,0,n167,95
110,0,n131,91
111,0,n168,97
112,1,n139,undefined
113,0,n133,93
114,1,n140,undefined
115,0,n132,92
116,0,n134,94
117,0,n150,98
118,0,n151,99
119,1,n162,undefined
120,0,n152,100
121,0,n153,101
122,1,n163,undefined
123,0,n154,102
124,0,n155,103
125,0,n157,105
126,1,n164,undefined
127,0,n156,104
128,0,n189,108
129,0,n190,110
130,0,n191,112
131,0,n171,111
132,1,n183,undefined
133,0,n159,107
134,1,n166,undefined
135,1,n165,undefined
136,0,n158,106
137,0,n160,109
138,0,n172,113
139,0,n194,117
140,0,n195,119
141,0,n196,121
142,0,n177,120
143,1,n186,undefined
144,0,n175,116
145,0,n199,130
146,1,n211,undefined
147,1,n185,undefined
148,0,n173,114
149,1,n184,undefined
150,0,n174,115
151,0,n176,118
152,0,n178,122
153,0,n217,126
154,0,n218,128
155,0,n179,123
156,0,n219,129
157,1,n187,undefined
158,0,n181,125
159,1,n188,undefined
160,0,n180,124
161,0,n200,131
162,1,n182,undefined
163,0,n222,138
164,0,n223,137
165,0,n201,132
166,0,n203,134
167,1,n207,undefined
168,1,n212,undefined
169,1,n213,undefined
170,0,n205,136
171,1,n214,undefined
172,0,n204,135
173,0,n206,139
174,0,n202,133
175,0,n240,145
176,0,n241,144
177,0,n209,142
178,0,n215,140
179,0,n226,146
180,1,n216,undefined
181,1,n236,undefined
182,0,n208,141
183,0,n210,143
184,0,n237,147
185,0,n244,153
186,0,n245,154
187,0,n246,152
188,0,n231,155
189,1,n238,undefined
190,0,n227,148
191,0,n228,149
192,0,n229,150
193,0,n239,156
194,0,n230,151
195,0,n249,161
196,0,n250,162
197,0,n232,157
198,0,n233,158
199,0,n234,159
200,0,n235,160
201,0,n251,163
202,0,n253,165
203,0,n252,164
204,0,n254,166
205,0,n256,168
206,0,n255,167
207,0,n282,175
208,0,n263,174
209,1,n276,undefined
210,0,n260,172
211,0,n262,173
212,0,n258,170
213,0,n257,169
214,0,n259,171
215,0,n264,176
216,0,n286,184
217,0,n283,177
218,0,n284,178
219,0,n270,185
220,1,n279,undefined
221,0,n267,181
222,0,n269,183
223,1,n278,undefined
224,0,n265,179
225,1,n277,undefined
226,0,n266,180
227,0,n268,182
228,0,n271,186
229,0,n311,194
230,0,n287,188
231,0,n288,189
232,0,n272,187
233,0,n290,193
234,1,n280,undefined
235,0,n274,191
236,0,n291,195
237,1,n281,undefined
238,0,n292,196
239,1,n305,undefined
240,0,n273,190
241,0,n275,192
242,0,n293,197
243,0,n312,199
244,0,n313,200
245,0,n315,206
246,0,n316,207
247,0,n294,198
248,0,n296,203
249,1,n301,undefined
250,1,n306,undefined
251,1,n307,undefined
252,0,n299,208
253,1,n308,undefined
254,0,n298,205
255,0,n297,204
256,0,n300,209
257,0,n295,201
258,0,n317,211
259,0,n340,217
260,0,n318,210
261,0,n321,218
262,1,n334,undefined
263,0,n303,214
264,0,n320,216
265,1,n310,undefined
266,0,n309,212
267,0,n302,213
268,0,n304,215
269,0,n322,219
270,0,n343,226
271,0,n344,229
272,0,n345,227
273,0,n341,221
274,0,n328,228
275,1,n337,undefined
276,0,n325,223
277,0,n327,225
278,1,n336,undefined
279,0,n323,220
280,1,n335,undefined
281,0,n324,222
282,0,n326,224
283,0,n329,230
284,0,n368,236
285,0,n346,233
286,1,n347,undefined
287,0,n348,232
288,0,n330,231
289,0,n369,239
290,1,n338,undefined
291,0,n332,235
292,1,n339,undefined
293,0,n350,238
294,1,n362,undefined
295,0,n331,234
296,0,n333,237
297,0,n351,240
298,0,n352,241
299,1,n363,undefined
300,0,n353,242
301,0,n354,243
302,1,n364,undefined
303,0,n355,244
304,0,n356,245
305,0,n358,247
306,1,n365,undefined
307,0,n357,246
308,0,n392,251
309,0,n373,253
310,1,n386,undefined
311,0,n360,249
312,0,n372,252
313,1,n367,undefined
314,1,n366,undefined
315,0,n359,248
316,0,n361,250
317,0,n374,254
318,0,n396,262
319,0,n393,257
320,0,n394,256
321,0,n380,263
322,1,n389,undefined
323,0,n377,259
324,0,n379,261
325,1,n388,undefined
326,0,n375,255
327,1,n387,undefined
328,0,n376,258
329,0,n378,260
330,0,n381,264
331,0,n421,272
332,0,n397,267
333,0,n398,266
334,0,n382,265
335,0,n400,271
336,1,n390,undefined
337,0,n384,269
338,0,n401,273
339,1,n391,undefined
340,0,n402,274
341,1,n415,undefined
342,0,n383,268
343,0,n385,270
344,0,n403,275
345,0,n422,277
346,0,n425,284
347,0,n423,278
348,0,n426,283
349,0,n427,285
350,0,n404,276
351,0,n406,280
352,1,n411,undefined
353,1,n416,undefined
354,1,n417,undefined
355,0,n409,282
356,1,n418,undefined
357,1,n408,undefined
358,0,n407,281
359,0,n410,286
360,0,n405,279
361,0,n428,287
362,0,n448,299
363,0,n431,293
364,0,n429,288
365,0,n432,292
366,0,n449,298
367,0,n430,290
368,0,n433,294
369,0,n450,297
370,0,n413,295
371,1,n420,undefined
372,0,n419,289
373,0,n434,300
374,1,n444,undefined
375,0,n445,301
376,0,n412,291
377,0,n414,296
378,0,n453,306
379,0,n454,307
380,0,n455,308
381,0,n439,309
382,1,n446,undefined
383,0,n435,302
384,0,n436,303
385,0,n437,304
386,0,n447,310
387,0,n438,305
388,0,n458,315
389,0,n459,316
390,0,n440,311
391,0,n441,312
392,0,n442,313
393,0,n443,314
394,0,n460,317
395,0,n461,318
396,0,n462,320
397,0,n463,319
398,0,n464,321
399,0,n465,322
400,0,n466,323
401,0,n477,328
402,0,n474,325
403,0,n478,329
404,0,n475,326
405,0,n473,324
406,0,n476,327
407,0,n483,335
408,0,n480,331
409,0,n484,334
410,0,n481,332
411,0,n492,338
412,0,n479,330
413,0,n482,333
414,0,n491,337
415,0,n493,339
416,0,n490,336
417,0,n509,346
418,0,n507,342
419,0,n508,340
420,1,n510,undefined
421,0,n494,341
422,0,n511,345
423,0,n496,344
424,0,n500,350
425,0,n499,349
426,0,n501,351
427,0,n498,348
428,0,n495,343
429,0,n497,347
430,0,n515,357
431,0,n513,353
432,0,n514,354
433,1,n516,undefined
434,0,n502,352
435,0,n517,358
436,0,n504,356
437,0,n520,363
438,0,n519,362
439,0,n521,364
440,0,n518,361
441,0,n503,355
442,0,n505,360
443,0,n537,365
444,0,n538,367
445,0,n528,373
446,0,n522,366
447,0,n525,371
448,0,n529,374
449,0,n526,370
450,0,n524,369
451,0,n527,372
452,0,n523,368
453,0,n534,380
454,0,n531,376
455,0,n535,379
456,0,n532,377
457,0,n545,383
458,0,n530,375
459,0,n533,378
460,0,n544,382
461,0,n546,384
462,0,n543,381
463,0,n562,390
464,0,n560,387
465,0,n561,385
466,1,n563,undefined
467,0,n547,386
468,0,n564,389
