xml_id	midi_id	track	channel	pitch	onset
n11	0	1	0	45	2.0112159375
n12	2	1	0	52	2.0713120312499997
n13	4	1	0	57	2.12740171875
n14	7	1	0	60	2.1928396874999994
n29	15	1	0	64	3.329323593749999
n1	deletion
n2	1	1	0	69	2.07665390625
n6	8	1	0	69	2.6522409374999993
n7	9	1	0	69	2.7657557812499993
n10	12	1	0	69	3.1396870312499994
n9	11	1	0	71	3.031514062499999
n3	3	1	0	72	2.1314081249999997
n8	10	1	0	72	2.915328281249999
n4	5	1	0	81	2.1768140624999996
n27	13	1	0	52	3.2064604687499996
n28	14	1	0	59	3.2812467187499994
n22	20	1	0	64	3.846149999999999
n30	19	1	0	68	3.460199531249999
n17	deletion
n18	16	1	0	76	3.333329999999999
n19	17	1	0	80	3.358703906249999
n20	18	1	0	88	3.397432499999999
n23	21	1	0	64	3.9663421874999987
n26	24	1	0	64	4.340273437499999
n33	deletion
n25	23	1	0	66	4.252132499999999
n24	22	1	0	68	4.117250156249999
n43	25	1	0	45	4.413724218749999
n44	27	1	0	52	4.507207031249998
n45	29	1	0	57	4.533916406249998
n46	31	1	0	60	4.599354374999999
n34	26	1	0	69	4.508542499999998
n38	32	1	0	69	5.029375312499999
n35	28	1	0	72	4.555283906249998
n36	30	1	0	81	4.595347968749999
n39	33	1	0	69	5.164257656249999
n42	36	1	0	69	5.5528790625
n41	35	1	0	71	5.43802875
n40	34	1	0	72	5.30314640625
n56	37	1	0	52	5.5996204687499995
n57	38	1	0	59	5.675742187499999
n58	39	1	0	64	5.739844687499999
n59	41	1	0	68	5.833327499999999
n49	deletion
n54	45	1	0	76	5.902771875
n50	42	1	0	80	5.773231406249999
n51	44	1	0	88	5.83733390625
n53	46	1	0	64	6.51842296875
n62	deletion
n72	47	1	0	45	6.988507968750002
n73	49	1	0	52	7.068636093750003
n74	51	1	0	57	7.115377500000004
n75	53	1	0	60	7.1621189062500035
n63	48	1	0	69	7.064629687500003
n67	54	1	0	69	7.593475312500005
n64	50	1	0	72	7.0993518750000035
n65	52	1	0	81	7.163454375000003
n68	55	1	0	69	7.712332031250006
n71	58	1	0	69	8.078250468750008
n70	57	1	0	71	7.963400156250008
n69	56	1	0	72	7.847214375000007
n88	59	1	0	52	8.118314531250007
n89	60	1	0	59	8.181081562500008
n90	61	1	0	64	8.25586781250001
n83	67	1	0	64	8.80341000000001
n91	65	1	0	68	8.34400875000001
n78	deletion
n79	62	1	0	76	8.24785500000001
n80	63	1	0	80	8.286583593750011
n81	64	1	0	88	8.34000234375001
n84	68	1	0	64	8.930279531250012
n87	71	1	0	64	9.30020437500001
n94	deletion
n86	70	1	0	66	9.20805703125001
n85	69	1	0	68	9.069168281250011
n104	72	1	0	45	9.35629406250001
n105	73	1	0	52	9.42840937500001
n106	75	1	0	57	9.48316359375001
n107	78	1	0	60	9.536582343750007
n95	74	1	0	69	9.456454218750011
n99	79	1	0	69	9.99865453125001
n96	76	1	0	72	9.495182812500008
n97	77	1	0	81	9.543259687500008
n100	80	1	0	69	10.14154968750001
n103	83	1	0	69	10.514145468750007
n102	82	1	0	71	10.412649843750009
n101	81	1	0	72	10.273761093750009
n117	84	1	0	52	10.550203125000007
n118	85	1	0	59	10.619647500000005
n119	86	1	0	64	10.690427343750004
n120	89	1	0	68	10.781239218750002
n110	deletion
n115	87	1	0	76	10.653034218750005
n111	88	1	0	80	10.729155937500003
n112	90	1	0	88	10.767884531250003
n114	92	1	0	64	11.4503090625
n133	94	1	0	45	11.844272343750001
n134	97	1	0	52	11.91638765625
n150	107	1	0	57	13.054207031250007
n135	deletion
n136	99	1	0	61	11.98583203125
n123	95	1	0	76	11.850949687500002
n124	96	1	0	81	11.912381250000001
n128	101	1	0	81	12.45324609375
n125	98	1	0	85	11.939090625
n126	100	1	0	93	11.9871675
n132	105	1	0	79	12.943363125000005
n129	102	1	0	81	12.57878015625
n131	104	1	0	81	12.829848281250003
n130	103	1	0	82	12.69630140625
n149	106	1	0	50	12.943363125000005
n151	110	1	0	62	13.150360781250006
n152	113	1	0	65	13.178405625000007
n139	deletion
n144	115	1	0	74	13.636471406250005
n140	108	1	0	77	13.082251875000006
n141	112	1	0	81	13.141012500000006
n142	114	1	0	89	13.195766718750006
n145	116	1	0	74	13.755328125000005
n148	119	1	0	74	14.129259375000006
n155	deletion
n147	118	1	0	76	14.018415468750005
n146	117	1	0	77	13.884868593750006
n165	120	1	0	43	14.151962343750006
n166	121	1	0	50	14.218735781250007
n167	122	1	0	55	14.282838281250008
n168	125	1	0	59	14.361630937500006
n156	123	1	0	79	14.285509218750008
n160	129	1	0	79	14.838393281250006
n157	124	1	0	83	14.336257031250007
n158	126	1	0	91	14.372314687500005
n164	133	1	0	77	15.355219687500009
n161	130	1	0	79	14.966598281250008
n163	132	1	0	79	15.235027500000008
n162	131	1	0	81	15.100145156250008
n181	134	1	0	48	15.37525171875001
n182	135	1	0	55	15.43134140625001
n183	136	1	0	60	15.50879859375001
n184	139	1	0	64	15.586255781250008
n171	deletion
n176	141	1	0	72	16.04832796875001
n172	137	1	0	76	15.512805000000009
n173	138	1	0	79	15.52215328125001
n174	140	1	0	88	15.602281406250007
n177	142	1	0	72	16.19122312500001
n180	145	1	0	72	16.570496250000012
n179	144	1	0	74	16.46499421875001
n178	143	1	0	76	16.33144734375001
n197	146	1	0	50	16.591863750000012
n198	147	1	0	53	16.64928890625001
n199	148	1	0	59	16.684011093750012
n200	150	1	0	65	16.806874218750014
n187	153	1	0	71	16.903027968750006
n192	154	1	0	71	17.34239718750001
n188	149	1	0	77	16.770816562500013
n189	151	1	0	83	16.82289984375001
n190	152	1	0	89	16.872312187500007
n193	155	1	0	71	17.47594406250001
n196	158	1	0	71	17.82183046875001
n195	157	1	0	72	17.73636046875001
n194	156	1	0	74	17.61483281250001
n213	159	1	0	52	17.84453343750001
n214	160	1	0	60	17.943358125000014
n215	162	1	0	64	18.022150781250012
n203	165	1	0	69	18.143678437500007
n208	166	1	0	69	18.58705406250001
n204	161	1	0	76	18.036840937500013
n205	163	1	0	81	18.064885781250013
n206	164	1	0	88	18.13299468750001
n209	167	1	0	69	18.719265468750013
n212	170	1	0	69	19.157299218750016
n211	169	1	0	71	19.002384843750015
n210	168	1	0	72	18.858154218750016
n226	174	1	0	53	19.348271250000018
n232	deletion
n227	175	1	0	57	19.788975937500016
n228	172	1	0	63	19.778292187500018
n218	171	1	0	65	19.324232812500018
n224	deletion
n219	173	1	0	75	19.778292187500018
n229	179	1	0	52	19.934542031250018
n233	deletion
n230	180	1	0	56	20.38726593750002
n231	182	1	0	62	20.40863343750002
n220	176	1	0	64	19.95590953125002
n234	deletion
n225	deletion
n223	181	1	0	71	20.40729796875002
n222	178	1	0	74	20.257725468750017
n221	177	1	0	76	20.11483031250002
n239	189	1	0	57	20.631656718750016
n240	187	1	0	60	20.653024218750016
n235	183	1	0	69	20.623643906250017
n241	184	1	0	64	21.38886750000002
n242	186	1	0	69	21.39821578125002
