idx,matchtype,partid,ppartid
0,0,n4,0
1,0,n5,1
2,0,n6,2
3,0,n7,3
4,0,n9,4
5,0,n10,5
6,0,n11,6
7,0,n13,7
8,0,n14,8
9,0,n15,9
10,0,n16,10
11,0,n18,11
12,0,n19,12
13,0,n20,13
14,0,n21,14
15,0,n24,17
16,0,n23,15
17,0,n25,16
18,0,n26,18
19,0,n27,19
20,0,n28,21
21,0,n29,20
22,0,n31,23
23,0,n32,22
24,0,n33,25
25,0,n34,24
26,0,n35,27
27,0,n36,26
28,0,n39,29
29,0,n38,28
30,0,n40,30
31,0,n41,32
32,0,n42,31
33,0,n43,33
34,0,n44,34
35,0,n47,36
36,0,n46,35
37,0,n48,37
38,0,n49,39
39,0,n50,38
40,0,n51,40
41,0,n52,41
42,0,n57,43
43,0,n58,44
44,0,n53,42
45,0,n54,45
46,0,n59,46
47,0,n60,47
48,0,n55,48
49,0,n61,50
50,0,n62,49
51,0,n56,51
52,0,n66,54
53,0,n67,52
54,0,n63,53
55,0,n68,57
56,0,n69,55
57,0,n64,56
58,0,n70,60
59,0,n71,58
60,0,n65,59
61,0,n79,63
62,0,n80,61
63,0,n72,62
64,0,n73,64
65,0,n74,65
66,0,n81,67
67,0,n82,68
68,0,n75,69
69,0,n76,70
70,0,n83,73
71,0,n84,74
72,0,n77,71
73,0,n78,72
74,0,n91,77
75,0,n92,78
76,0,n85,75
77,0,n86,76
78,0,n93,81
79,0,n94,82
80,0,n87,79
81,0,n88,80
82,0,n95,85
83,0,n96,86
84,0,n89,83
85,0,n90,84
86,0,n104,91
87,0,n105,92
88,0,n106,90
89,0,n97,87
90,0,n98,88
91,0,n99,89
92,0,n107,96
93,0,n108,97
94,0,n109,95
95,0,n100,94
96,0,n101,93
97,0,n110,101
98,0,n111,102
99,0,n112,98
100,0,n102,99
101,0,n103,100
102,0,n119,105
103,0,n120,107
104,0,n121,103
105,0,n113,106
106,0,n114,104
107,0,n122,109
108,0,n123,112
109,0,n124,108
110,0,n115,110
111,0,n116,111
112,0,n125,115
113,0,n126,117
114,0,n127,113
115,0,n117,116
116,0,n118,114
117,0,n135,118
118,0,n136,122
119,0,n137,119
120,0,n128,121
121,0,n129,120
122,0,n130,123
123,0,n138,125
124,0,n139,128
125,0,n140,124
126,0,n131,127
127,0,n132,126
128,0,n141,129
129,0,n142,132
130,0,n143,130
131,0,n133,133
132,0,n134,131
133,0,n149,135
134,0,n150,137
135,0,n151,134
136,0,n144,136
137,0,n145,138
138,0,n152,139
139,0,n153,141
140,0,n154,140
141,0,n146,142
142,0,n155,146
143,0,n156,147
144,0,n157,144
145,0,n147,145
146,0,n148,143
147,0,n163,150
148,0,n164,151
149,0,n165,152
150,0,n158,149
151,0,n159,148
152,0,n160,156
153,0,n166,155
154,0,n167,154
155,0,n168,153
156,0,n169,160
157,0,n170,161
158,0,n171,158
159,0,n161,159
160,0,n162,157
161,0,n176,162
162,0,n177,163
163,0,n178,164
164,0,n179,165
165,0,n180,168
166,0,n181,166
167,0,n173,167
168,1,n174,undefined
169,0,n182,171
170,0,n183,172
171,0,n184,170
172,0,n175,169
173,0,n190,176
174,0,n191,177
175,0,n192,175
176,0,n185,173
177,0,n186,174
178,0,n187,181
179,0,n193,180
180,0,n194,179
181,0,n195,178
182,1,n196,undefined
183,0,n197,185
184,0,n198,184
185,0,n188,183
186,0,n189,182
187,0,n204,189
188,0,n205,190
189,0,n206,188
190,0,n199,186
191,0,n200,187
192,0,n201,194
193,0,n207,192
194,0,n208,193
195,0,n209,191
196,0,n210,198
197,0,n211,199
198,0,n212,197
199,0,n202,195
200,0,n203,196
201,0,n218,203
202,0,n219,204
203,0,n220,202
204,0,n213,200
205,0,n214,201
206,0,n215,208
207,0,n221,205
208,0,n222,207
209,0,n223,206
210,0,n224,211
211,0,n225,212
212,0,n226,210
213,0,n216,213
214,0,n217,209
215,0,n231,214
216,0,n232,216
217,0,n233,215
218,0,n227,217
219,0,n228,221
220,0,n234,218
221,0,n235,220
222,0,n236,219
223,0,n237,224
224,0,n238,225
225,0,n229,226
226,0,n230,222
227,0,n243,228
228,0,n244,229
229,0,n245,227
230,0,n239,230
231,0,n240,234
232,0,n246,232
233,0,n247,233
234,0,n248,231
235,0,n249,236
236,0,n250,239
237,0,n241,237
238,0,n242,238
239,0,n255,241
240,0,n256,242
241,0,n257,240
242,0,n254,247
243,1,n251,undefined
244,0,n252,246
245,0,n258,245
246,0,n259,244
247,0,n260,243
248,0,n261,249
249,0,n262,248
250,0,n253,250
251,0,n266,253
252,0,n267,254
253,0,n263,251
254,0,n264,252
255,0,n268,256
256,0,n269,255
257,0,n270,257
258,0,n271,258
259,0,n275,260
260,0,n276,262
261,0,n272,261
262,0,n273,259
263,0,n280,264
264,0,n281,265
265,0,n278,263
266,0,n292,266
267,0,n293,268
268,0,n294,270
269,0,n287,267
270,0,n288,269
271,0,n289,271
272,0,n301,274
273,0,n295,273
274,0,n296,272
275,0,n303,275
276,0,n304,277
277,0,n305,279
278,0,n298,276
279,0,n299,278
280,0,n300,280
281,0,n312,283
282,0,n316,288
283,0,n306,282
284,0,n307,281
285,0,n314,284
286,0,n315,286
287,0,n309,285
288,0,n310,287
289,0,n311,290
290,0,n323,291
291,0,n317,292
292,0,n318,289
293,0,n325,293
294,0,n326,295
295,0,n327,297
296,0,n320,294
297,0,n321,296
298,0,n322,298
299,0,n332,299
300,0,n328,301
301,0,n329,300
302,0,n336,302
303,0,n337,303
304,0,n338,304
305,0,n339,305
306,0,n341,306
307,0,n342,307
308,0,n343,308
309,1,n346,undefined
310,0,n345,309
311,0,n347,311
312,0,n348,312
313,1,n351,undefined
314,0,n350,313
315,0,n352,315
316,0,n353,316
317,1,n356,undefined
318,0,n355,317
319,0,n357,319
320,0,n358,320
321,0,n359,321
322,0,n360,322
323,0,n361,323
324,0,n363,324
325,0,n364,325
326,0,n365,327
327,0,n366,326
328,0,n367,329
329,1,n371,undefined
330,0,n368,328
331,1,n372,undefined
332,0,n370,330
333,0,n373,334
334,0,n374,333
335,0,n375,335
336,0,n376,336
337,0,n379,338
338,0,n378,337
339,0,n380,339
340,0,n381,341
341,0,n382,340
342,0,n383,342
343,0,n389,348
344,0,n384,344
345,0,n390,346
346,0,n385,347
347,0,n386,349
348,0,n391,353
349,0,n392,352
350,0,n387,351
351,0,n393,357
352,0,n394,355
353,0,n388,356
354,0,n398,360
355,0,n399,359
356,0,n395,358
357,0,n400,363
358,0,n401,362
359,0,n396,361
360,0,n402,364
361,0,n403,365
362,0,n397,366
363,0,n411,368
364,0,n412,369
365,0,n404,367
366,0,n405,370
