xml_id	midi_id	track	channel	pitch	onset
n4	0	1	0	39	2.049139254166666
n5	1	1	0	40	2.0779853229166663
n6	2	1	0	40	2.2425147520833333
n7	3	1	0	40	2.3803348583333332
n9	4	1	0	40	2.5149498458333333
n10	5	1	0	40	2.65704344375
n11	6	1	0	40	2.8226412458333336
n13	7	1	0	39	2.9658032166666666
n14	8	1	0	40	2.9679399625
n15	9	1	0	40	3.1281959
n16	10	1	0	40	3.286315091666667
n18	12	1	0	39	3.4540496395833333
n19	11	1	0	40	3.4412291645833335
n20	13	1	0	40	3.600416729166666
n21	14	1	0	40	3.751057310416666
n24	17	1	0	40	3.9155867395833326
n23	15	1	0	46	3.896356027083333
n25	16	1	0	47	3.9006295187499993
n26	18	1	0	40	4.074774304166666
n27	19	1	0	47	4.080116168749999
n28	20	1	0	40	4.200842308333333
n29	21	1	0	47	4.194432070833333
n31	23	1	0	40	4.366440110416667
n32	22	1	0	47	4.36857685625
n33	25	1	0	40	4.498918352083333
n34	24	1	0	47	4.498918352083333
n35	27	1	0	40	4.642080322916666
n36	26	1	0	47	4.631396593749999
n39	28	1	0	40	4.785242293749998
n38	30	1	0	46	4.786310666666664
n40	29	1	0	47	4.7713534458333315
n41	31	1	0	40	4.927335891666664
n42	32	1	0	47	4.9476349770833306
n43	33	1	0	40	5.070497862499997
n44	34	1	0	47	5.1239165083333305
n47	35	1	0	40	5.241437529166664
n46	37	1	0	46	5.251052885416664
n48	36	1	0	47	5.231822172916663
n49	39	1	0	40	5.393146483333331
n50	38	1	0	47	5.391009737499998
n51	41	1	0	40	5.555539166666664
n52	40	1	0	47	5.5544707937499975
n57	43	1	0	40	5.713658358333331
n58	42	1	0	47	5.707248120833331
n53	45	1	0	53	5.696564391666664
n54	44	1	0	54	5.70404300208333
n59	47	1	0	40	5.876051041666664
n60	48	1	0	47	5.873914295833331
n55	46	1	0	54	5.8568203291666645
n61	51	1	0	40	6.007460910416664
n62	50	1	0	47	6.018144639583331
n56	49	1	0	54	5.986093452083331
n66	54	1	0	40	6.160238237499997
n67	53	1	0	47	6.141007524999997
n63	52	1	0	54	6.134597287499997
n68	57	1	0	40	6.31622068333333
n69	56	1	0	47	6.28416949583333
n64	55	1	0	54	6.269212274999997
n70	60	1	0	40	6.46365614583333
n81	64	1	0	40	6.585450658333328
n79	deletion
n71	58	1	0	47	6.429468212499996
n65	59	1	0	54	6.423057974999996
n80	61	1	0	47	6.567288318749995
n72	63	1	0	53	6.555536216666662
n73	62	1	0	54	6.563014827083329
n74	65	1	0	61	6.564083199999995
n82	66	1	0	47	6.728612629166661
n84	71	1	0	47	6.848270395833327
n75	67	1	0	54	6.721134018749995
n76	69	1	0	61	6.715792154166661
n83	68	1	0	40	6.722202391666661
n77	70	1	0	54	6.847202022916661
n78	72	1	0	61	6.853612260416661
n88	76	1	0	61	7.00104772291666
n86	deletion
n91	73	1	0	40	6.8642959895833275
n92	75	1	0	47	6.997842604166659
n94	80	1	0	47	7.124978981249992
n105	85	1	0	47	7.278824681249991
n96	deletion
n85	74	1	0	54	6.991432366666659
n93	77	1	0	40	7.00104772291666
n87	78	1	0	54	7.111090133333326
n95	81	1	0	40	7.145278066666658
n106	83	1	0	54	7.273482816666657
n89	deletion
n98	82	1	0	61	7.276687935416658
n90	deletion
n104	84	1	0	40	7.300192139583324
n97	86	1	0	60	7.414508041666656
n99	deletion
n107	87	1	0	40	7.435875499999989
n108	92	1	0	47	7.432670381249989
n109	88	1	0	54	7.438012245833322
n100	89	1	0	61	7.414508041666656
n101	91	1	0	69	7.417713160416656
n110	93	1	0	40	7.583310962499989
n111	97	1	0	47	7.565148622916656
n112	96	1	0	54	7.576900724999989
n102	94	1	0	61	7.571558860416656
n103	95	1	0	69	7.570490487499989
n119	100	1	0	40	7.723267814583322
n120	102	1	0	47	7.716857577083322
n121	101	1	0	54	7.712584085416655
n113	98	1	0	61	7.692284999999988
n114	99	1	0	69	7.718994322916655
n122	106	1	0	40	7.865361412499988
n123	107	1	0	47	7.852540937499988
n124	105	1	0	54	7.840788835416655
n115	103	1	0	61	7.845062327083322
n116	104	1	0	69	7.8311734791666545
n125	110	1	0	40	7.999976399999987
n126	112	1	0	47	7.990361043749988
n127	111	1	0	54	7.991429416666654
n117	109	1	0	61	7.964720093749987
n118	108	1	0	69	7.979677314583321
n135	116	1	0	40	8.136728133333321
n136	117	1	0	47	8.112155556249988
n137	115	1	0	54	8.110018810416655
n128	114	1	0	61	8.096129962499989
n131	121	1	0	62	8.262796137499988
n133	126	1	0	62	8.423052074999985
n129	deletion
n130	113	1	0	69	8.110018810416655
n138	119	1	0	40	8.278821731249987
n139	123	1	0	47	8.270274747916654
n140	120	1	0	54	8.267069629166654
n132	122	1	0	69	8.254249154166656
n141	124	1	0	40	8.423052074999985
n142	128	1	0	47	8.407026481249986
n143	125	1	0	54	8.411299972916652
n134	127	1	0	69	8.435872549999985
n149	131	1	0	40	8.55873543541665
n150	133	1	0	47	8.554461943749985
n151	130	1	0	54	8.546983333333317
n144	129	1	0	62	8.544846587499984
n145	132	1	0	69	8.543778214583318
n152	140	1	0	40	8.84505937708332
n153	143	1	0	47	8.826897037499986
n154	142	1	0	54	8.819418427083319
n146	141	1	0	62	8.820486799999985
n147	deletion
n155	145	1	0	40	8.972195754166654
n156	147	1	0	47	8.958306906249987
n157	146	1	0	54	8.959375279166654
n148	144	1	0	69	8.954033414583321
n163	151	1	0	40	9.14954565833332
n164	152	1	0	47	9.138861929166653
n165	149	1	0	54	9.142067047916653
n161	157	1	0	62	9.456168685416653
n158	deletion
n159	148	1	0	69	9.122836335416654
n160	150	1	0	76	9.126041454166653
n166	155	1	0	40	9.37390397083332
n167	156	1	0	47	9.358946749999987
n168	154	1	0	54	9.340784410416653
n169	160	1	0	40	9.517065941666653
n170	161	1	0	47	9.497835229166654
n171	159	1	0	54	9.48608312708332
n162	158	1	0	69	9.45082682083332
n176	162	1	0	40	9.629245097916652
n177	164	1	0	47	9.62390323333332
n178	163	1	0	54	9.613219504166652
n179	167	1	0	40	9.752107983333321
n180	168	1	0	47	9.753176356249988
n181	165	1	0	54	9.746766118749989
n173	166	1	0	62	9.738219135416655
n182	169	1	0	40	9.884586224999989
n183	172	1	0	47	9.884586224999989
n184	170	1	0	54	9.885654597916655
n185	173	1	0	62	9.998902127083321
n174	deletion
n175	171	1	0	69	9.866423885416655
n190	175	1	0	40	10.029884941666655
n191	176	1	0	47	10.020269585416655
n192	177	1	0	54	10.009585856249988
n186	174	1	0	69	10.009585856249988
n187	178	1	0	76	10.012790974999987
n193	180	1	0	40	10.18479901458332
n194	181	1	0	47	10.189072506249985
n195	179	1	0	54	10.188004133333319
n196	185	1	0	40	10.387789868749985
n197	deletion
n198	183	1	0	54	10.319414002083318
n188	182	1	0	62	10.327960985416652
n189	184	1	0	69	10.331166104166652
n204	189	1	0	40	10.491422041666649
n205	191	1	0	47	10.476464820833316
n206	190	1	0	54	10.464712718749984
n199	186	1	0	62	10.449755497916652
n200	187	1	0	69	10.470054583333317
n201	193	1	0	76	10.474328074999983
n207	194	1	0	40	10.646336114583315
n208	195	1	0	47	10.646336114583315
n209	192	1	0	54	10.638857504166648
n210	201	1	0	40	10.799113441666647
n211	200	1	0	47	10.799113441666647
n212	199	1	0	54	10.76919899999998
n202	197	1	0	62	10.770267372916647
n203	198	1	0	69	10.76919899999998
n218	206	1	0	40	10.96791636249998
n219	205	1	0	47	10.924113072916645
n220	204	1	0	54	10.921976327083312
n213	202	1	0	62	10.89740374999998
n214	203	1	0	69	10.917702835416646
n215	207	1	0	76	10.911292597916646
n221	210	1	0	40	11.111078333333314
n222	209	1	0	47	11.091847620833313
n223	208	1	0	54	11.07689039999998
n224	215	1	0	40	11.268129152083315
n225	214	1	0	47	11.239283083333316
n226	213	1	0	54	11.232872845833315
n216	212	1	0	62	11.210437014583315
n217	211	1	0	69	11.231804472916648
n231	216	1	0	40	11.41663298749998
n232	217	1	0	47	11.401675766666648
n233	218	1	0	54	11.369624579166647
n227	219	1	0	62	11.388855291666648
n228	220	1	0	69	11.361077595833313
n234	222	1	0	40	11.551247974999981
