idx,matchtype,partid,ppartid
0,0,n4,1
1,0,n5,0
2,0,n6,2
3,0,n7,3
4,0,n9,4
5,0,n10,5
6,0,n11,6
7,0,n13,7
8,0,n14,8
9,0,n15,9
10,0,n16,10
11,0,n18,11
12,0,n19,12
13,0,n20,13
14,0,n21,14
15,0,n24,16
16,0,n23,17
17,0,n25,15
18,0,n26,18
19,0,n27,19
20,0,n28,20
21,0,n29,21
22,0,n31,23
23,0,n32,22
24,0,n33,25
25,0,n34,24
26,0,n35,27
27,0,n36,26
28,0,n39,30
29,0,n38,29
30,0,n40,28
31,0,n41,31
32,0,n42,32
33,0,n43,33
34,0,n44,34
35,0,n47,36
36,0,n46,37
37,0,n48,35
38,0,n49,38
39,0,n50,39
40,0,n51,41
41,0,n52,40
42,0,n57,43
43,0,n58,42
44,0,n53,44
45,0,n54,45
46,0,n59,46
47,0,n60,48
48,0,n55,47
49,0,n61,51
50,1,n66,undefined
51,0,n62,50
52,0,n56,49
53,0,n67,53
54,0,n63,52
55,0,n68,55
56,0,n69,56
57,0,n64,54
58,0,n70,59
59,0,n71,58
60,0,n65,57
61,0,n79,63
62,0,n80,60
63,0,n72,61
64,0,n73,62
65,0,n74,64
66,0,n81,65
67,0,n82,66
68,0,n75,68
69,0,n76,67
70,0,n83,72
71,0,n84,70
72,0,n77,69
73,0,n78,71
74,0,n91,76
75,0,n92,74
76,0,n85,75
77,0,n86,73
78,0,n93,79
79,0,n95,83
80,1,n104,undefined
81,0,n94,77
82,0,n87,78
83,0,n88,80
84,0,n96,84
85,0,n89,82
86,0,n90,81
87,0,n105,89
88,0,n106,86
89,0,n97,87
90,0,n98,85
91,0,n99,88
92,1,n107,undefined
93,0,n108,94
94,0,n109,91
95,0,n100,93
96,0,n101,92
97,0,n110,99
98,1,n119,undefined
99,0,n111,98
100,0,n112,95
101,0,n102,96
102,0,n103,97
103,0,n120,103
104,0,n121,101
105,0,n113,100
106,0,n114,102
107,1,n122,undefined
108,0,n123,107
109,0,n124,106
110,0,n115,104
111,0,n116,105
112,1,n125,undefined
113,0,n126,111
114,0,n127,110
115,0,n117,108
116,0,n118,109
117,1,n135,undefined
118,0,n136,115
119,0,n137,113
120,0,n128,112
121,0,n129,114
122,0,n130,116
123,1,n138,undefined
124,0,n139,121
125,0,n140,118
126,0,n131,120
127,0,n132,119
128,1,n141,undefined
129,0,n142,126
130,0,n143,123
131,0,n133,127
132,0,n134,124
133,1,n149,undefined
134,0,n150,131
135,0,n151,130
136,0,n144,129
137,0,n146,134
138,1,n147,undefined
139,0,n145,128
140,1,n152,undefined
141,0,n153,133
142,0,n154,132
143,1,n155,undefined
144,0,n156,137
145,0,n157,136
146,0,n148,135
147,1,n163,undefined
148,0,n164,140
149,0,n165,139
150,0,n158,142
151,0,n159,141
152,0,n160,146
153,1,n166,undefined
154,0,n167,145
155,0,n168,144
156,1,n169,undefined
157,0,n170,150
158,0,n171,149
159,0,n161,147
160,0,n162,148
161,1,n176,undefined
162,0,n177,154
163,0,n178,153
164,1,n179,undefined
165,0,n180,156
166,0,n181,155
167,0,n173,157
168,1,n182,undefined
169,0,n183,161
170,0,n184,158
171,0,n174,160
172,0,n175,159
173,1,n190,undefined
174,0,n191,162
175,0,n192,163
176,0,n185,164
177,0,n186,165
178,0,n187,168
179,1,n193,undefined
180,0,n194,166
181,0,n195,167
182,1,n196,undefined
183,0,n197,172
184,0,n198,170
185,0,n188,169
186,0,n189,171
187,1,n204,undefined
188,0,n205,175
189,0,n206,174
190,0,n199,177
191,0,n200,179
192,0,n201,184
193,1,n207,undefined
194,0,n208,182
195,0,n209,181
196,1,n210,undefined
197,0,n211,187
198,0,n212,185
199,0,n213,189
200,1,n202,undefined
201,0,n203,186
202,1,n218,undefined
203,0,n219,190
204,0,n220,188
205,0,n214,191
206,0,n215,195
207,1,n221,undefined
208,0,n222,194
209,0,n223,193
210,1,n224,undefined
211,0,n225,197
212,0,n226,196
213,0,n216,199
214,0,n217,198
215,1,n231,undefined
216,0,n232,201
217,0,n233,200
218,0,n227,203
219,0,n228,202
220,1,n234,undefined
221,0,n235,205
222,0,n236,204
223,0,n237,209
224,0,n238,206
225,0,n229,207
226,0,n230,208
227,1,n243,undefined
228,0,n244,211
229,0,n245,210
230,0,n239,215
231,0,n240,217
232,1,n246,undefined
233,0,n247,214
234,0,n248,212
235,0,n249,220
236,0,n250,216
237,0,n241,219
238,0,n242,218
239,1,n255,undefined
240,0,n256,222
241,0,n257,221
242,1,n260,undefined
243,0,n251,224
244,0,n252,226
245,0,n261,227
246,0,n266,231
247,1,n258,undefined
248,0,n259,225
249,0,n262,228
250,0,n253,230
251,0,n254,229
252,0,n267,232
253,0,n263,234
254,0,n264,233
255,0,n268,236
256,0,n269,235
257,0,n270,238
258,0,n271,237
259,0,n275,242
260,0,n276,239
261,0,n272,241
262,0,n273,240
263,1,n280,undefined
264,0,n281,244
265,0,n278,243
266,0,n292,246
267,0,n293,248
268,0,n294,250
269,0,n287,245
270,0,n288,247
271,0,n289,249
272,0,n301,251
273,1,n295,undefined
274,0,n296,252
275,0,n303,254
276,0,n304,260
277,0,n305,257
278,0,n298,253
279,0,n299,255
280,0,n300,256
281,0,n312,259
282,1,n306,undefined
283,0,n307,258
284,0,n314,262
285,0,n315,264
286,0,n316,266
287,0,n309,261
288,0,n310,263
289,0,n311,265
