onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
0.9927083,2.3291667,72,37,1,0,0,-10.0,-10.0
0.996875,2.325,77,42,1,0,1,-10.0,-10.0
1.0041667,2.3177083,68,33,1,0,2,-10.0,-10.0
1.2322917,2.0895834,79,44,1,0,3,-10.0,-10.0
1.2458333,2.0760417,73,37,1,0,4,-10.0,-10.0
1.2416667,2.0802083,70,49,1,0,5,-10.0,-10.0
1.3729167,1.9489583,77,50,1,0,6,-10.0,-10.0
1.3854166,1.9364583,72,47,1,0,7,-10.0,-10.0
1.3770833,1.9447917,68,41,1,0,8,-10.0,-10.0
1.496875,1.825,75,56,1,0,9,-10.0,-10.0
1.5166667,1.8052083,67,48,1,0,10,1.514583,1.0
1.5145833,1.8072916,70,51,1,0,11,1.514583,1.0
1.603125,1.71875,77,56,1,0,12,1.514583,1.0
1.615625,1.70625,68,39,1,0,13,1.514583,1.0
1.6979166,1.6239583,75,57,1,0,14,1.514583,1.0
1.7052083,1.6166667,70,56,1,0,15,1.514583,1.0
1.7208333,1.6010417,67,33,1,0,16,1.514583,1.0
1.8229166,1.4989583,73,49,1,0,17,1.514583,1.0
1.809375,1.5125,68,54,1,0,18,1.514583,1.0
1.8458333,1.4760417,65,34,1,0,19,1.514583,1.0
1.8895833,1.4322916,75,57,1,0,20,1.514583,1.0
1.8885417,1.4333333,70,57,1,0,21,1.514583,1.0
1.8885417,1.4333333,67,49,1,0,22,1.514583,1.0
1.9895834,1.3322917,73,58,1,0,23,1.514583,1.0
1.9989583,1.3229166,65,48,1,0,24,1.514583,1.0
1.9958333,1.3260417,68,53,1,0,25,1.514583,1.0
2.1010416,1.2208333,67,48,1,0,26,1.514583,1.0
2.11875,1.203125,63,62,1,0,27,2.101042,2.0
2.1010416,1.2208333,72,59,1,0,28,1.514583,1.0
2.1729167,1.1489583,65,54,1,0,29,2.101042,2.0
2.1697917,1.1520833,68,61,1,0,30,2.101042,2.0
2.1895833,1.1322917,73,43,1,0,31,2.101042,2.0
2.2875,1.034375,67,51,1,0,32,2.101042,2.0
2.2791667,1.0427083,72,57,1,0,33,2.101042,2.0
2.2583334,1.0635417,63,65,1,0,34,2.101042,2.0
2.365625,0.95625,61,66,1,0,35,2.101042,2.0
2.3885417,0.93333334,70,54,1,0,36,2.101042,2.0
2.3833334,0.93854165,65,51,1,0,37,2.101042,2.0
2.4489584,0.87291664,72,62,1,0,38,2.101042,2.0
2.4645834,0.85729164,67,53,1,0,39,2.101042,2.0
2.4875,0.834375,63,60,1,0,40,2.101042,2.0
2.5760417,0.74583334,61,53,1,0,41,2.101042,2.0
2.559375,0.7625,70,60,1,0,42,2.101042,2.0
2.5614583,0.7604167,65,67,1,0,43,2.101042,2.0
2.6416667,0.6802083,63,62,1,0,44,2.101042,2.0
2.653125,0.66875,60,63,1,0,45,2.644792,3.0
2.6447916,0.6770833,68,70,1,0,46,2.101042,2.0
2.746875,0.575,65,45,1,0,47,2.644792,3.0
2.7520833,0.5697917,70,56,1,0,48,2.644792,3.0
2.7541666,0.5677083,61,40,1,0,49,2.644792,3.0
2.8260417,0.49583334,60,64,1,0,50,2.644792,3.0
2.83125,0.490625,63,68,1,0,51,2.644792,3.0
2.8197916,0.50208336,68,71,1,0,52,2.644792,3.0
2.9270833,0.39479166,61,53,1,0,53,2.644792,3.0
2.934375,0.3875,67,61,1,0,54,2.644792,3.0
3.0177083,0.30416667,60,64,1,0,55,2.644792,3.0
3.0083334,0.31354168,63,66,1,0,56,2.644792,3.0
3.0,0.321875,68,75,1,0,57,2.644792,3.0
3.0958333,0.22604166,67,61,1,0,58,2.644792,3.0
3.090625,0.23125,61,61,1,0,59,2.644792,3.0
3.1145833,0.20729166,58,61,1,0,60,2.644792,3.0
3.353125,0.709375,65,46,1,0,61,2.644792,3.0
3.4895833,0.5729167,60,40,1,0,62,3.3833334,4.0
3.7229166,0.33958334,59,52,1,0,63,3.3833334,4.0
3.7114584,0.35104167,71,60,1,0,64,3.3833334,4.0
3.4135416,0.6489583,56,32,1,0,65,3.3833334,4.0
3.5916667,0.47083333,53,40,1,0,66,3.3833334,4.0
3.8385417,0.22395833,68,49,1,0,67,3.3833334,4.0
4.0052085,0.06458333,60,59,1,0,68,3.3833334,4.0
3.9958334,0.083333336,72,54,1,0,69,3.3833334,4.0
3.8375,0.28125,65,35,1,0,70,3.3833334,4.0
4.1052084,0.79895836,55,45,1,0,71,3.3833334,4.0
4.117708,0.7864583,64,40,1,0,72,4.111458,5.0
4.235417,0.66875,58,43,1,0,73,4.111458,5.0
4.3125,0.59166664,53,40,1,0,74,4.111458,5.0
4.4270835,0.47708333,73,55,1,0,75,4.111458,5.0
4.438542,0.465625,61,51,1,0,76,4.111458,5.0
4.795833,0.108333334,60,42,1,0,77,4.111458,5.0
4.7864585,0.12291667,72,50,1,0,78,4.111458,5.0
4.586458,0.34270832,67,37,1,0,79,4.111458,5.0
4.633333,0.30208334,64,28,1,0,80,4.111458,5.0
4.965625,0.93645835,65,30,1,0,81,4.9614587,6.0
5.1052084,0.796875,60,24,1,0,82,4.9614587,6.0
5.280208,0.621875,53,26,1,0,83,4.9614587,6.0
4.9572916,0.9447917,56,37,1,0,84,4.111458,5.0
5.89375,0.12083333,68,27,1,0,85,4.9614587,6.0
5.8625,0.175,77,46,1,0,86,4.9614587,6.0
5.8885417,0.75416666,72,32,1,0,87,4.9614587,6.0
6.110417,0.53229165,70,49,1,0,88,4.9614587,6.0
6.086458,0.55625,79,50,1,0,89,4.9614587,6.0
6.116667,0.5260417,73,34,1,0,90,4.9614587,6.0
6.215625,0.42708334,77,53,1,0,91,4.9614587,6.0
6.209375,0.43333334,72,42,1,0,92,4.9614587,6.0
6.211458,0.43125,68,46,1,0,93,4.9614587,6.0
6.3375,0.30520833,70,51,1,0,94,6.3375,7.0
6.3375,0.30520833,75,59,1,0,95,6.3375,7.0
6.3625,0.28020832,67,37,1,0,96,6.3375,7.0
6.43125,0.21145834,77,55,1,0,97,6.3375,7.0
6.428125,0.21458334,68,55,1,0,98,6.3375,7.0
6.51875,0.123958334,70,59,1,0,99,6.3375,7.0
6.528125,0.114583336,67,49,1,0,100,6.3375,7.0
6.515625,0.12708333,75,61,1,0,101,6.3375,7.0
6.6145835,0.044791665,73,58,1,0,102,6.3375,7.0
6.60625,0.060416665,68,59,1,0,103,6.3375,7.0
6.6385417,0.034375,65,43,1,0,104,6.3375,7.0
6.690625,0.5260417,70,63,1,0,105,6.3375,7.0
6.70625,0.5104167,75,45,1,0,106,6.3375,7.0
6.703125,0.51354164,67,47,1,0,107,6.3375,7.0
6.7864585,0.43020833,73,63,1,0,108,6.3375,7.0
6.784375,0.43229166,65,55,1,0,109,6.3375,7.0
6.789583,0.42708334,68,61,1,0,110,6.3375,7.0
6.90625,0.31041667,63,60,1,0,111,6.894792,8.0
6.8885417,0.328125,67,53,1,0,112,6.3375,7.0
6.8947916,0.321875,72,65,1,0,113,6.3375,7.0
6.9572916,0.259375,68,58,1,0,114,6.894792,8.0
6.971875,0.24479167,65,48,1,0,115,6.894792,8.0
6.9739585,0.24270834,73,42,1,0,116,6.894792,8.0
7.05625,0.16041666,67,56,1,0,117,6.894792,8.0
7.0572915,0.159375,72,58,1,0,118,6.894792,8.0
7.054167,0.1625,63,70,1,0,119,6.894792,8.0
7.1447916,0.071875,61,64,1,0,120,6.894792,8.0
7.1458335,0.07083333,70,74,1,0,121,6.894792,8.0
7.139583,0.096875,65,48,1,0,122,6.894792,8.0
7.2375,0.061458334,72,62,1,0,123,6.894792,8.0
7.2677083,0.047916666,63,63,1,0,124,6.894792,8.0
7.2520833,0.07395833,67,63,1,0,125,6.894792,8.0
7.375,0.86875,61,52,1,0,126,6.894792,8.0
7.346875,0.896875,70,72,1,0,127,6.894792,8.0
7.35625,0.8875,65,60,1,0,128,6.894792,8.0
7.452083,0.7916667,63,65,1,0,129,7.448958,9.0
7.4489584,0.79479164,60,65,1,0,130,7.448958,9.0
7.438542,0.8052083,68,71,1,0,131,6.894792,8.0
7.561458,0.6822917,70,63,1,0,132,7.448958,9.0
7.5760417,0.66770834,65,25,1,0,133,7.448958,9.0
7.56875,0.675,61,37,1,0,134,7.448958,9.0
7.625,0.61875,60,61,1,0,135,7.448958,9.0
7.6229167,0.62083334,63,66,1,0,136,7.448958,9.0
7.621875,0.621875,68,68,1,0,137,7.448958,9.0
7.7708335,0.47291666,61,41,1,0,138,7.448958,9.0
7.757292,0.48645833,67,59,1,0,139,7.448958,9.0
7.8541665,0.38958332,60,54,1,0,140,7.448958,9.0
7.8385415,0.40520832,63,60,1,0,141,7.448958,9.0
7.835417,0.40833333,68,71,1,0,142,7.448958,9.0
7.9375,0.30625,67,47,1,0,143,7.448958,9.0
7.934375,0.309375,61,56,1,0,144,7.448958,9.0
7.960417,0.28333333,58,46,1,0,145,7.448958,9.0
8.217709,0.72083336,65,46,1,0,146,7.448958,9.0
8.560416,0.378125,59,55,1,0,147,8.233333,10.0
8.538542,0.4,71,65,1,0,148,8.233333,10.0
8.248959,0.68958336,56,37,1,0,149,8.233333,10.0
8.344791,0.59375,60,36,1,0,150,8.233333,10.0
8.683333,0.25520834,68,40,1,0,151,8.233333,10.0
8.439584,0.49895832,53,42,1,0,152,8.233333,10.0
8.822917,0.115625,72,56,1,0,153,8.233333,10.0
8.836458,0.10208333,60,54,1,0,154,8.233333,10.0
8.68125,0.28020832,65,35,1,0,155,8.233333,10.0
8.9375,0.7604167,55,43,1,0,156,8.233333,10.0
9.055208,0.64270836,58,45,1,0,157,8.940625,11.0
9.155209,0.54270834,53,46,1,0,158,8.940625,11.0
9.270833,0.42708334,61,49,1,0,159,8.940625,11.0
9.25,0.44791666,73,58,1,0,160,8.940625,11.0
9.416667,0.28125,67,35,1,0,161,8.940625,11.0
9.605208,0.092708334,60,36,1,0,162,8.940625,11.0
8.94375,0.75416666,64,41,1,0,163,8.940625,11.0
9.602083,0.09583333,72,48,1,0,164,8.940625,11.0
9.697917,0.159375,65,47,1,0,165,8.940625,11.0
9.811459,0.48645833,60,41,1,0,166,9.703646,12.0
9.709375,0.5885417,56,48,1,0,167,9.703646,12.0
9.896875,0.40104166,53,53,1,0,168,9.703646,12.0
9.982291,0.315625,59,72,1,0,169,9.703646,12.0
9.979167,0.31875,71,71,1,0,170,9.703646,12.0
10.221875,0.07604167,61,69,1,0,171,9.703646,12.0
10.115625,0.18229167,68,60,1,0,172,9.703646,12.0
10.214583,0.083333336,73,72,1,0,173,9.703646,12.0
10.147917,0.15104167,65,41,1,0,174,9.703646,12.0
10.361459,0.088541664,60,70,1,0,175,10.361458,13.0
