xml_id	midi_id	track	channel	pitch	onset
n40	34	1	0	61	1.9895833333333328
n46	40	1	0	61	2.161458333333333
n31	25	1	0	63	1.7617187499999998
n37	30	1	0	63	1.8841145833333328
n43	36	1	0	63	2.0546874999999996
n27	24	1	0	65	1.6627604166666665
n34	deletion
n41	35	1	0	65	1.990885416666666
n47	41	1	0	65	2.1484374999999996
n21	deletion
n12	9	1	0	67	1.2539062499999998
n18	15	1	0	67	1.403645833333333
n24	19	1	0	67	1.5729166666666665
n32	26	1	0	67	1.755208333333333
n38	32	1	0	67	1.885416666666666
n44	37	1	0	67	2.0468749999999996
n3	2	1	0	68	0.9609375
n9	7	1	0	68	1.1809895833333328
n15	13	1	0	68	1.348958333333333
n22	22	1	0	68	1.563802083333333
n35	29	1	0	68	1.8242187499999996
n51	44	1	0	68	2.2148437499999996
n28	deletion
n6	5	1	0	70	1.1093749999999996
n13	10	1	0	70	1.2760416666666665
n19	16	1	0	70	1.4010416666666663
n25	21	1	0	70	1.5807291666666665
n42	33	1	0	70	1.975260416666666
n48	39	1	0	70	2.153645833333333
n4	1	1	0	72	0.95703125
n10	8	1	0	72	1.1953124999999996
n16	14	1	0	72	1.3619791666666663
n33	27	1	0	72	1.7421874999999998
n39	31	1	0	72	1.8828124999999996
n45	38	1	0	72	2.041666666666666
n71	67	1	0	72	3.378906250000001
n7	3	1	0	73	1.0820312499999996
n23	18	1	0	73	1.5143229166666665
n29	23	1	0	73	1.6588541666666665
n36	28	1	0	73	1.8164062499999998
n14	11	1	0	75	1.2578124999999998
n20	17	1	0	75	1.4062499999999998
n26	20	1	0	75	1.5703124999999998
n5	0	1	0	77	0.9479166666666666
n11	6	1	0	77	1.1692708333333328
n17	12	1	0	77	1.3437499999999998
n8	4	1	0	79	1.0820312499999996
n58	53	1	0	58	2.4882812500000004
n64	70	1	0	58	3.583333333333334
n49	43	1	0	60	2.2109374999999996
n55	49	1	0	60	2.3815104166666665
n61	54	1	0	60	2.532552083333334
n79	60	1	0	60	2.9440104166666674
n70	66	1	0	60	3.3763020833333344
n84	deletion
n52	46	1	0	61	2.3203124999999996
n59	52	1	0	61	2.463541666666667
n65	58	1	0	61	2.6093750000000004
n50	42	1	0	63	2.2070312499999996
n56	48	1	0	63	2.3736979166666665
n62	55	1	0	63	2.540364583333334
n53	47	1	0	65	2.325520833333333
n60	51	1	0	67	2.4570312500000004
n66	57	1	0	67	2.5976562500000004
n57	50	1	0	68	2.372395833333333
n63	56	1	0	68	2.5585937500000004
n54	45	1	0	70	2.2890624999999996
n80	61	1	0	53	3.0611979166666674
n77	deletion
n68	62	1	0	59	3.167968750000001
n81	deletion
n78	59	1	0	65	2.803385416666667
n82	64	1	0	65	3.2395833333333344
n93	deletion
n83	65	1	0	68	3.268229166666668
n69	63	1	0	71	3.1236979166666674
n88	69	1	0	53	3.6718750000000004
n85	71	1	0	55	3.4921875000000004
n87	deletion
n75	76	1	0	60	4.013020833333333
n92	deletion
n73	72	1	0	61	3.786458333333334
n89	deletion
n86	68	1	0	64	3.4596354166666674
n90	75	1	0	64	3.9088541666666674
n94	deletion
n91	73	1	0	67	3.888020833333334
n76	77	1	0	72	4.01171875
n74	74	1	0	73	3.7890625000000004
n99	81	1	0	53	4.377604166666666
n97	79	1	0	56	4.19140625
n98	80	1	0	60	4.260416666666666
n146	126	1	0	60	5.880208333333328
n152	133	1	0	60	6.040364583333328
n158	138	1	0	60	6.209635416666661
n175	146	1	0	60	6.593749999999995
n167	152	1	0	60	7.00651041666666
n180	deletion
n95	78	1	0	65	4.149739583333333
n100	82	1	0	68	4.696614583333331
n106	89	1	0	68	4.88020833333333
n103	87	1	0	70	4.789062499999997
n101	83	1	0	72	4.682291666666664
n107	90	1	0	72	4.889322916666663
n104	85	1	0	73	4.777343749999997
n102	84	1	0	77	4.680989583333331
n108	88	1	0	77	4.86067708333333
n105	86	1	0	79	4.777343749999997
n124	107	1	0	65	5.373697916666662
n131	112	1	0	65	5.507812499999996
n118	deletion
n109	91	1	0	67	4.93489583333333
n115	98	1	0	67	5.1041666666666625
n121	103	1	0	67	5.251302083333329
n129	108	1	0	67	5.434895833333329
n112	95	1	0	68	5.026041666666663
n119	101	1	0	68	5.183593749999996
n125	106	1	0	68	5.377604166666662
n132	113	1	0	68	5.496093749999996
n110	92	1	0	70	4.959635416666663
n116	97	1	0	70	5.0872395833333295
n122	102	1	0	70	5.257812499999996
n139	118	1	0	70	5.673177083333329
n113	96	1	0	72	5.03645833333333
n120	100	1	0	73	5.184895833333329
n126	105	1	0	73	5.356770833333329
n133	111	1	0	73	5.4986979166666625
n111	93	1	0	75	4.947916666666663
n117	99	1	0	75	5.0989583333333295
n123	104	1	0	75	5.243489583333329
n114	94	1	0	77	5.0117187499999964
n143	124	1	0	61	5.824218749999995
n137	deletion
n128	109	1	0	63	5.444010416666662
n134	114	1	0	63	5.588541666666662
