xml_id	midi_id	track	channel	pitch	onset
n2	0	1	0	65	2.049139254166666
n4	2	1	0	65	2.2350361416666655
n3	1	1	0	66	2.1442244437499993
n5	3	1	0	67	2.293796652083332
n6	4	1	0	68	2.3653776374999986
n8	6	1	0	68	2.5138814729166654
n7	5	1	0	69	2.4529842166666653
n9	7	1	0	70	2.583325712499999
n10	8	1	0	71	2.6463597145833324
n12	10	1	0	71	2.7873849395833323
n11	9	1	0	72	2.7318295479166657
n13	11	1	0	73	2.868581281249999
n15	12	1	0	74	2.956187860416666
n17	14	1	0	74	3.0897344749999993
n16	13	1	0	75	3.0288372187499992
n18	15	1	0	76	3.186956410416666
n19	16	1	0	77	3.269221124999999
n21	18	1	0	77	3.408109604166666
n20	17	1	0	78	3.339733737499999
n22	19	1	0	79	3.497852929166666
n31	49	1	0	53	3.459391504166666
n32	26	1	0	59	3.509605031249999
n33	24	1	0	62	3.5576818124999994
n34	31	1	0	68	3.6004167291666658
n23	20	1	0	80	3.5662287958333327
n25	22	1	0	80	3.729689852083333
n24	21	1	0	81	3.6591772395833324
n26	23	1	0	82	3.8098178208333326
n27	25	1	0	83	3.880330433333332
n29	28	1	0	83	4.050201727083333
n28	27	1	0	84	3.9754156229166657
n30	29	1	0	86	4.141013424999999
n51	deletion
n52	37	1	0	60	4.223278139583332
n53	35	1	0	63	4.215799529166666
n55	51	1	0	67	4.560883981249999
n54	deletion
n35	30	1	0	84	4.2307567499999985
n37	33	1	0	84	4.391012687499998
n36	32	1	0	85	4.307679599999998
n38	34	1	0	86	4.451909943749999
n39	36	1	0	87	4.544858387499999
n41	39	1	0	87	4.69763571458333
n40	38	1	0	89	4.618576118749997
n42	40	1	0	90	4.773490191666663
n57	50	1	0	60	5.184813764583326
n56	48	1	0	63	4.868575381249995
n43	41	1	0	91	4.853618160416662
n45	43	1	0	91	5.008532233333327
n44	42	1	0	92	4.939087993749994
n46	44	1	0	95	5.0940020666666594
n47	45	1	0	96	5.188018883333326
n49	47	1	0	96	5.344001329166657
n48	46	1	0	97	5.262804987499992
n50	52	1	0	98	5.4134455687499905
n65	60	1	0	94	5.962589247916657
n63	58	1	0	95	5.810880293749991
n62	57	1	0	96	5.7446411729166575
n64	59	1	0	96	5.884598024999991
n61	56	1	0	97	5.671991814583324
n59	54	1	0	98	5.53203496249999
n58	53	1	0	99	5.472206079166657
n60	55	1	0	99	5.591863845833324
n73	68	1	0	88	6.558741335416656
n71	66	1	0	89	6.4123742458333215
n70	65	1	0	90	6.339724887499989
n72	67	1	0	90	6.485023604166655
n69	64	1	0	91	6.25639179999999
n67	62	1	0	92	6.113229829166657
n66	61	1	0	93	6.04805908124999
n68	63	1	0	93	6.183742441666656
n82	76	1	0	82	7.17946599999999
n80	74	1	0	83	7.003184468749989
n79	73	1	0	84	6.934808602083323
n81	75	1	0	84	7.09933803124999
n78	72	1	0	85	6.85574900624999
n76	70	1	0	86	6.723270764583322
n75	69	1	0	87	6.643142795833323
n77	71	1	0	87	6.786304766666657
n91	105	1	0	53	7.1036115229166565
n92	84	1	0	57	7.139936202083323
n93	81	1	0	60	7.178397627083323
n94	82	1	0	63	7.2382265104166565
n95	89	1	0	66	7.26920932499999
n90	87	1	0	75	7.824763241666655
n88	85	1	0	77	7.669849168749988
n87	83	1	0	78	7.588652827083322
n89	86	1	0	78	7.745703645833322
n86	80	1	0	79	7.488225772916656
n84	78	1	0	80	7.34292705624999
n83	77	1	0	81	7.260662341666657
n85	79	1	0	81	7.417713160416657
n112	deletion
n113	99	1	0	58	7.900617718749989
n114	93	1	0	62	7.8974125999999885
n118	98	1	0	65	8.260659391666657
n104	100	1	0	67	8.591854995833325
n117	deletion
n103	97	1	0	68	8.504248416666657
n101	95	1	0	69	8.339718987499989
n100	94	1	0	70	8.261727764583323
n102	96	1	0	70	8.429462312499991
n99	92	1	0	72	8.165574202083322
n97	90	1	0	73	8.009591756249987
n96	88	1	0	74	7.91343819374999
n98	91	1	0	74	8.097198335416655
n120	106	1	0	58	8.931597583333327
n119	103	1	0	61	8.577966147916658
n107	104	1	0	65	8.857879852083327
n111	110	1	0	65	9.294844374999993
n105	101	1	0	66	8.680529947916659
n106	102	1	0	67	8.777751883333327
n110	109	1	0	67	9.179460099999993
n109	108	1	0	70	9.088648402083326
n108	107	1	0	73	8.970059008333324
n131	113	1	0	53	9.480741262499997
n132	111	1	0	55	9.485014754166663
n133	114	1	0	58	9.48287800833333
n134	115	1	0	61	9.489288245833329
n121	112	1	0	64	9.480741262499997
n142	129	1	0	75	10.804455306249997
n143	130	1	0	78	10.799113441666664
n146	138	1	0	78	11.105736468749997
n138	121	1	0	81	10.511721127083334
n130	131	1	0	81	10.85146371458333
n140	124	1	0	82	10.659156589583333
n139	120	1	0	84	10.495695533333334
n129	128	1	0	84	10.789498085416664
n141	125	1	0	85	10.661293335416666
n126	123	1	0	87	10.57368675625
n136	116	1	0	88	10.3268926125
n128	127	1	0	88	10.725395710416665
n125	122	1	0	90	10.498900652083334
n137	117	1	0	91	10.333302849999999
n127	126	1	0	91	10.653814725
n124	119	1	0	94	10.424114547916668
n123	118	1	0	97	10.331166104166666
n164	145	1	0	63	11.3909920375
n165	146	1	0	66	11.389923664583334
n154	153	1	0	66	11.694409945833334
n160	137	1	0	69	11.105736468749997
n151	147	1	0	69	11.454026039583333
n162	141	1	0	70	11.25317193125
n161	136	1	0	72	11.101462977083331
n150	144	1	0	72	11.3909920375
n163	140	1	0	73	11.25637705
n147	139	1	0	75	11.17518070833333
n158	133	1	0	76	10.941207039583329
n149	143	1	0	76	11.324752916666666
n173	164	1	0	76	12.742483777083333
n175	168	1	0	76	12.976457445833331
n177	179	1	0	76	13.186926910416664
n159	132	1	0	79	10.935865174999996
n148	142	1	0	79	11.245693320833333
n145	135	1	0	82	11.021335008333331
n144	134	1	0	85	10.949754022916663
n168	152	1	0	57	11.697615064583333
n170	159	1	0	58	11.885648697916668
n169	154	1	0	60	11.71791415
n171	157	1	0	61	11.882443579166669
n155	155	1	0	63	11.769196050000001
n166	148	1	0	64	11.539495872916666
n156	158	1	0	64	11.880306833333336
n167	149	1	0	67	11.545906110416666
n157	156	1	0	67	11.869623104166669
n153	151	1	0	70	11.619623841666668
n152	150	1	0	73	11.55445309375
n192	160	1	0	41	12.316202983333334
n193	165	1	0	53	12.700817233333334
n197	170	1	0	53	12.97966256458333
n201	175	1	0	53	13.173038062499996
n194	163	1	0	58	12.716842827083333
n198	174	1	0	58	12.977525818749998
n202	178	1	0	58	13.180516672916664
n195	161	1	0	61	12.71470608125
n199	173	1	0	61	12.975389072916665
n203	180	1	0	61	13.187995283333331
n196	162	1	0	67	12.70829584375
n200	171	1	0	67	12.963636970833331
n204	177	1	0	67	13.190132029166664
n172	166	1	0	73	12.722184691666666
n174	169	1	0	73	12.971115581249999
n176	176	1	0	73	13.19120040208333
n186	181	1	0	83	13.174106435416663
n185	172	1	0	84	12.962568597916665
n184	167	1	0	85	12.705090725
n205	183	1	0	53	13.358934949999998
n209	193	1	0	53	13.557652312499998
n213	202	1	0	53	13.840771135416661
n206	185	1	0	58	13.371755424999998
n210	194	1	0	58	13.556583939583332
n214	204	1	0	58	13.852523237499994
n207	186	1	0	61	13.371755424999998
n211	195	1	0	61	13.559789058333331
n215	203	1	0	61	13.851454864583328
n208	182	1	0	67	13.3653451875
n212	190	1	0	67	13.556583939583332
n216	196	1	0	67	13.811925066666662
insertion	205	1	0	67	13.918762358333328
n178	184	1	0	73	13.370687052083332
n180	191	1	0	73	13.56299417708333
n182	197	1	0	73	13.870685577083329
n179	188	1	0	76	13.396328002083331
n181	192	1	0	76	13.558720685416665
n183	199	1	0	76	13.839702762499995
n187	187	1	0	82	13.355729831249999
n191	201	1	0	82	14.067266193749996
n190	200	1	0	83	13.927309341666662
n189	198	1	0	84	13.816198558333328
n188	189	1	0	85	13.546968583333332
n233	212	1	0	83	15.06726324375
n234	209	1	0	86	15.027733445833334
n221	213	1	0	89	15.116408397916665
n231	206	1	0	90	14.873887745833333
n220	211	1	0	92	15.018118089583334
n232	207	1	0	93	14.896323577083333
n219	210	1	0	96	14.959357579166667
n218	208	1	0	99	14.876024491666666
n241	226	1	0	71	15.638842754166657
n246	237	1	0	71	15.993542562499988
n242	225	1	0	74	15.636706008333324
n245	234	1	0	74	15.929440187499988
n229	229	1	0	77	15.70187675624999
n237	deletion
n239	223	1	0	78	15.486065427083327
n238	218	1	0	80	15.338629964583326
n228	228	1	0	80	15.646321364583324
n240	222	1	0	81	15.470039833333328
n243	232	1	0	81	15.777731233333322
n266	252	1	0	81	17.711486212499967
n268	258	1	0	81	17.960417102083294
n270	264	1	0	81	18.182638668749956
n225	221	1	0	83	15.410210949999994
n235	215	1	0	84	15.193331247916664
n227	227	1	0	84	15.585424108333324
n224	219	1	0	86	15.33756159166666
n236	214	1	0	87	15.19760473958333
n226	224	1	0	87	15.489270545833326
n223	220	1	0	90	15.277732708333328
n222	216	1	0	93	15.190126129166664
n260	242	1	0	59	16.246746943749983
n261	243	1	0	62	16.25636229999998
n256	235	1	0	65	15.952944391666655
n250	245	1	0	65	16.304439081249978
n258	239	1	0	66	16.096106362499984
n257	236	1	0	68	15.940123916666655
n249	244	1	0	68	16.257430672916648
n259	238	1	0	69	16.08862775208332
n254	231	1	0	72	15.778799606249988
n248	241	1	0	72	16.169824093749984
n255	230	1	0	75	15.785209843749989
n247	240	1	0	75	16.09183287083332
n244	233	1	0	78	15.859995947916655
n262	249	1	0	60	16.47217362916664
n263	248	1	0	63	16.46362664583331
n251	247	1	0	66	16.461489899999975
