xml_id	midi_id	track	channel	pitch	onset
n2	0	1	0	65	0.9856770833333335
n4	2	1	0	65	1.1549479166666667
n3	1	1	0	66	1.0794270833333335
n5	3	1	0	67	1.2486979166666667
n6	4	1	0	68	1.328125
n8	6	1	0	68	1.5052083333333333
n7	5	1	0	69	1.4518229166666667
n9	7	1	0	70	1.6080729166666665
n10	8	1	0	71	1.6783854166666667
n12	10	1	0	71	1.8268229166666665
n11	9	1	0	72	1.7526041666666665
n13	11	1	0	73	1.9010416666666665
n15	12	1	0	74	1.985677083333333
n17	14	1	0	74	2.165364583333333
n16	13	1	0	75	2.07421875
n18	15	1	0	76	2.236979166666666
n19	16	1	0	77	2.3085937499999996
n21	18	1	0	77	2.4908854166666665
n20	17	1	0	78	2.4127604166666665
n22	19	1	0	79	2.5690104166666665
n31	43	1	0	53	2.5078125
n32	22	1	0	59	2.52734375
n33	21	1	0	62	2.578125
n34	31	1	0	68	2.6497395833333335
n23	20	1	0	80	2.65234375
n25	24	1	0	80	2.830729166666667
n24	23	1	0	81	2.76953125
n26	25	1	0	82	2.9140625000000004
n27	26	1	0	83	2.998697916666667
n29	28	1	0	83	3.145833333333334
n28	27	1	0	84	3.071614583333334
n30	29	1	0	86	3.2408854166666674
n51	deletion
n52	37	1	0	60	3.302083333333334
n53	35	1	0	63	3.3125000000000004
n55	47	1	0	67	3.671875000000001
n54	deletion
n35	30	1	0	84	3.3242187500000004
n37	33	1	0	84	3.511718750000001
n36	32	1	0	85	3.4283854166666674
n38	34	1	0	86	3.5833333333333344
n39	36	1	0	87	3.671875000000001
n41	39	1	0	87	3.832031250000001
n40	38	1	0	89	3.757812500000001
n42	40	1	0	90	3.917968750000001
n57	49	1	0	60	4.31640625
n56	45	1	0	63	3.9895833333333335
n43	41	1	0	91	4.00390625
n45	44	1	0	91	4.156250000000001
n44	42	1	0	92	4.083333333333334
n46	46	1	0	95	4.244791666666667
n47	48	1	0	96	4.31640625
n49	51	1	0	96	4.486979166666666
n48	50	1	0	97	4.415364583333333
n50	52	1	0	98	4.571614583333332
n65	60	1	0	94	5.220052083333332
n63	58	1	0	95	5.059895833333332
n62	57	1	0	96	4.981770833333332
n64	59	1	0	96	5.135416666666665
n61	56	1	0	97	4.889322916666666
n59	54	1	0	98	4.744791666666666
n58	53	1	0	99	4.648437499999999
n60	55	1	0	99	4.800781249999999
n73	68	1	0	88	5.8867187499999964
n71	66	1	0	89	5.725260416666663
n70	65	1	0	90	5.632812499999997
n72	67	1	0	90	5.791666666666663
n69	64	1	0	91	5.561197916666664
n67	62	1	0	92	5.394531249999998
n66	61	1	0	93	5.308593749999999
n68	63	1	0	93	5.470052083333331
n82	76	1	0	82	6.545572916666663
n80	74	1	0	83	6.369791666666663
n79	73	1	0	84	6.281249999999997
n81	75	1	0	84	6.4453124999999964
n78	72	1	0	85	6.20052083333333
n76	70	1	0	86	6.05208333333333
n75	69	1	0	87	5.951822916666663
n77	71	1	0	87	6.11067708333333
n91	82	1	0	53	6.4075520833333295
n92	86	1	0	57	6.4270833333333295
n93	78	1	0	60	6.4687499999999964
n94	79	1	0	63	6.5429687499999964
n95	89	1	0	66	6.580729166666663
n90	88	1	0	75	7.214843749999998
n88	85	1	0	77	7.059895833333331
n87	84	1	0	78	6.979166666666664
