idx,matchtype,partid,ppartid
0,0,n2,0
1,0,n4,2
2,0,n3,1
3,0,n5,3
4,0,n6,4
5,0,n8,6
6,0,n7,5
7,0,n9,7
8,0,n10,8
9,0,n12,10
10,0,n11,9
11,0,n13,11
12,0,n15,12
13,1,n17,undefined
14,0,n16,13
15,0,n18,14
16,0,n19,15
17,0,n21,18
18,0,n20,16
19,0,n22,19
20,0,n31,17
21,0,n32,25
22,0,n33,23
23,0,n34,32
24,0,n23,20
25,0,n25,22
26,0,n24,21
27,0,n26,24
28,0,n27,26
29,0,n29,28
30,0,n28,27
31,0,n30,29
32,1,n51,undefined
33,0,n52,41
34,0,n53,35
35,0,n55,40
36,1,n54,undefined
37,0,n35,30
38,0,n37,33
39,0,n36,31
40,0,n38,34
41,0,n39,36
42,0,n41,38
43,0,n40,37
44,0,n42,39
45,0,n57,51
46,0,n56,46
47,0,n43,42
48,0,n45,44
49,0,n44,43
50,0,n46,45
51,0,n47,47
52,0,n49,49
53,0,n48,48
54,0,n50,50
55,0,n65,59
56,0,n63,57
57,0,n62,56
58,0,n64,58
59,0,n61,55
60,0,n59,53
61,0,n58,52
62,0,n60,54
63,0,n73,67
64,0,n71,65
65,0,n70,64
66,0,n72,66
67,0,n69,63
68,0,n67,61
69,0,n66,60
70,0,n68,62
71,0,n82,76
72,0,n80,74
73,0,n79,72
74,0,n81,75
75,0,n78,71
76,0,n76,69
77,0,n75,68
78,0,n77,70
79,0,n91,73
80,0,n92,89
81,0,n93,80
82,0,n94,81
83,0,n95,90
84,0,n90,86
85,0,n88,84
86,0,n87,83
87,0,n89,85
88,0,n86,82
89,0,n84,78
90,0,n83,77
91,0,n85,79
92,1,n112,undefined
93,0,n113,99
94,0,n114,93
95,0,n118,98
96,0,n104,100
97,1,n117,undefined
98,0,n103,97
99,0,n101,95
100,0,n100,94
101,0,n102,96
102,0,n99,92
103,0,n97,88
104,0,n96,87
105,0,n98,91
106,0,n120,105
107,0,n119,104
108,0,n107,103
109,0,n111,109
110,0,n105,101
111,0,n106,102
112,0,n110,108
113,0,n109,107
114,0,n108,106
115,1,n131,undefined
116,0,n132,110
117,0,n133,111
118,0,n134,113
119,0,n121,112
120,0,n142,126
121,0,n147,138
122,0,n143,127
123,0,n146,137
124,0,n138,119
125,0,n130,129
126,0,n140,123
127,0,n145,134
128,0,n139,118
129,0,n129,128
130,2,undefined,133
131,0,n141,122
132,0,n144,132
133,0,n126,121
134,0,n136,115
135,0,n128,125
136,0,n125,120
137,0,n137,114
138,0,n127,124
139,0,n124,117
140,0,n123,116
141,0,n164,145
142,0,n165,143
143,0,n160,135
144,0,n151,146
145,0,n162,140
146,0,n161,136
147,0,n150,144
148,0,n163,139
149,0,n158,131
150,0,n149,142
151,1,n173,undefined
152,0,n159,130
153,0,n148,141
154,0,n168,151
155,0,n170,154
156,1,n169,undefined
157,0,n171,155
158,0,n155,153
159,0,n166,148
160,0,n156,156
161,0,n154,152
162,0,n167,147
163,0,n157,157
164,1,n196,undefined
165,0,n153,150
166,0,n152,149
167,0,n174,163
168,0,n176,166
169,0,n178,171
170,1,n172,undefined
171,0,n192,158
172,0,n193,162
173,0,n197,170
174,0,n201,176
175,0,n194,160
176,0,n198,167
177,0,n202,174
178,0,n195,161
179,0,n199,168
180,0,n203,173
181,1,n200,undefined
182,1,n204,undefined
183,0,n175,159
184,0,n177,165
185,0,n186,175
186,0,n185,169
187,0,n184,164
188,0,n205,181
189,0,n209,185
190,0,n213,187
191,0,n206,177
192,0,n210,184
193,1,n214,undefined
194,0,n207,179
195,0,n211,183
196,0,n215,188
197,0,n216,186
198,1,n208,undefined
199,1,n212,undefined
200,0,n180,178
201,1,n182,undefined
202,1,n179,undefined
203,1,n181,undefined
204,1,n183,undefined
205,0,n187,180
206,0,n191,191
207,0,n190,190
208,0,n189,189
209,0,n188,182
210,0,n233,196
211,0,n234,197
212,0,n221,199
213,0,n231,193
214,0,n220,198
215,0,n232,192
216,0,n219,195
217,0,n218,194
218,0,n241,212
219,0,n246,223
