xml_id	midi_id	track	channel	pitch	onset
n2	0	1	0	65	0.8687499999999998
n4	2	1	0	65	1.0822916666666667
n3	1	1	0	66	1.0145833333333332
n5	3	1	0	67	1.1916666666666667
n6	4	1	0	68	1.2656249999999998
n8	6	1	0	68	1.4406249999999996
n7	5	1	0	69	1.3624999999999998
n9	7	1	0	70	1.5135416666666661
n10	8	1	0	71	1.5999999999999994
n12	10	1	0	71	1.7874999999999992
n11	9	1	0	72	1.704166666666666
n13	11	1	0	73	1.8468749999999992
n15	12	1	0	74	1.9489583333333322
n17	14	1	0	74	2.0937499999999987
n16	13	1	0	75	2.0156249999999987
n18	15	1	0	76	2.187499999999999
n19	16	1	0	77	2.2718749999999996
n21	19	1	0	77	2.43125
n20	17	1	0	78	2.3572916666666663
n22	20	1	0	79	2.533333333333333
n31	18	1	0	53	2.3625
n32	28	1	0	59	2.502083333333333
n33	27	1	0	62	2.558333333333333
n34	29	1	0	68	2.7656249999999996
n23	21	1	0	80	2.634375
n25	23	1	0	80	2.8666666666666667
n24	22	1	0	81	2.7479166666666663
n26	24	1	0	82	2.9416666666666664
n27	25	1	0	83	3.011458333333333
n29	30	1	0	83	3.1791666666666663
n28	26	1	0	84	3.1249999999999996
n30	31	1	0	86	3.253125
n51	deletion
n52	43	1	0	60	3.3833333333333333
n53	38	1	0	63	3.432291666666667
n55	45	1	0	67	3.7656250000000004
n54	deletion
n35	32	1	0	84	3.390625
n37	34	1	0	84	3.5614583333333334
n36	33	1	0	85	3.529166666666667
n38	35	1	0	86	3.6406250000000004
n39	36	1	0	87	3.7166666666666672
n41	39	1	0	87	3.8906250000000004
n40	37	1	0	89	3.7916666666666674
n42	40	1	0	90	3.968750000000001
n57	68	1	0	60	4.421874999999997
n56	48	1	0	63	4.092708333333333
n43	41	1	0	91	4.073958333333334
n45	44	1	0	91	4.231249999999998
n44	42	1	0	92	4.174999999999999
n46	46	1	0	95	4.326041666666665
n47	49	1	0	96	4.414583333333331
n49	52	1	0	96	4.562499999999997
n48	50	1	0	97	4.477083333333331
n50	51	1	0	98	4.6531249999999975
n65	60	1	0	94	5.193749999999998
n63	58	1	0	95	5.091666666666664
n62	57	1	0	96	4.978124999999997
n64	59	1	0	96	5.119791666666664
n61	56	1	0	97	4.921874999999997
n59	54	1	0	98	4.77083333333333
n58	53	1	0	99	4.703124999999997
n60	55	1	0	99	4.828124999999997
n73	69	1	0	88	5.782291666666665
n71	66	1	0	89	5.652083333333331
n70	65	1	0	90	5.573958333333331
n72	67	1	0	90	5.696874999999998
n69	64	1	0	91	5.505208333333331
n67	62	1	0	92	5.341666666666664
n66	61	1	0	93	5.265624999999997
n68	63	1	0	93	5.451041666666664
n82	76	1	0	82	6.410416666666661
n80	75	1	0	83	6.243749999999995
n79	74	1	0	84	6.139583333333329
n81	deletion
n78	73	1	0	85	6.068749999999997
n76	71	1	0	86	5.945833333333332
n75	70	1	0	87	5.859374999999998
