onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
0.86875,2.609375,65,38,1,0,0,-10.0,-10.0
1.0145833,2.4635417,66,40,1,0,1,-10.0,-10.0
1.0822917,2.3958333,65,49,1,0,2,-10.0,-10.0
1.1916667,2.2864583,67,46,1,0,3,-10.0,-10.0
1.265625,2.2125,68,59,1,0,4,1.265625,1.0
1.3625,2.115625,69,55,1,0,5,1.265625,1.0
1.440625,2.0375,68,55,1,0,6,1.265625,1.0
1.5135417,1.9645833,70,60,1,0,7,1.265625,1.0
1.6,1.878125,71,65,1,0,8,1.265625,1.0
1.7041667,1.7739583,72,59,1,0,9,1.265625,1.0
1.7875,1.690625,71,40,1,0,10,1.265625,1.0
1.846875,1.63125,73,64,1,0,11,1.265625,1.0
1.9489583,1.5291667,74,67,1,0,12,1.948958,2.0
2.015625,1.4625,75,70,1,0,13,1.948958,2.0
2.09375,1.384375,74,64,1,0,14,1.948958,2.0
2.1875,1.290625,76,66,1,0,15,1.948958,2.0
2.271875,1.20625,77,72,1,0,16,1.948958,2.0
2.3572917,1.1208333,78,58,1,0,17,1.948958,2.0
2.3625,1.115625,53,54,1,0,18,1.948958,2.0
2.43125,1.046875,77,66,1,0,19,1.948958,2.0
2.5333333,0.9447917,79,68,1,0,20,2.4984374,3.0
2.634375,0.84375,80,63,1,0,21,2.4984374,3.0
2.7479167,0.73020834,81,63,1,0,22,2.4984374,3.0
2.8666666,0.61145836,80,44,1,0,23,2.4984374,3.0
2.9416666,0.5364583,82,48,1,0,24,2.4984374,3.0
3.0114584,0.46666667,83,65,1,0,25,2.4984374,3.0
3.125,0.353125,84,52,1,0,26,2.4984374,3.0
2.5583334,0.91979164,62,40,1,0,27,2.4984374,3.0
2.5020833,0.9760417,59,54,1,0,28,2.4984374,3.0
2.765625,0.7125,68,75,1,0,29,2.4984374,3.0
3.1791666,0.29895833,83,53,1,0,30,2.4984374,3.0
3.253125,0.225,86,52,1,0,31,2.4984374,3.0
3.390625,0.0875,84,42,1,0,32,3.390625,4.0
3.5291667,3.25,85,19,1,0,33,3.390625,4.0
3.5614583,3.2177083,84,51,1,0,34,3.390625,4.0
3.640625,3.1385417,86,63,1,0,35,3.390625,4.0
3.7166667,3.0625,87,64,1,0,36,3.390625,4.0
3.7916667,2.9875,89,71,1,0,37,3.390625,4.0
3.4322917,3.346875,63,45,1,0,38,3.390625,4.0
3.890625,2.8885417,87,65,1,0,39,3.390625,4.0
3.96875,2.8104167,90,66,1,0,40,3.390625,4.0
4.0739584,2.7052083,91,74,1,0,41,3.390625,4.0
4.175,2.6041667,92,66,1,0,42,4.083333,5.0
3.3833334,3.3958333,60,46,1,0,43,2.4984374,3.0
4.23125,2.5479167,91,74,1,0,44,4.083333,5.0
3.765625,3.0135417,67,70,1,0,45,3.390625,4.0
4.3260417,2.453125,95,75,1,0,46,4.083333,5.0
4.430208,2.3489583,95,63,1,0,47,4.083333,5.0
4.092708,2.6864583,63,74,1,0,48,4.083333,5.0
4.414583,2.3645833,96,78,1,0,49,4.083333,5.0
4.477083,2.3020833,97,86,1,0,50,4.083333,5.0
4.653125,2.1260417,98,81,1,0,51,4.083333,5.0
4.5625,2.2166667,96,87,1,0,52,4.083333,5.0
4.703125,2.0760417,99,82,1,0,53,4.703125,6.0
4.7708335,2.0083334,98,65,1,0,54,4.703125,6.0
4.828125,1.9510417,99,74,1,0,55,4.703125,6.0
4.921875,1.8572917,97,77,1,0,56,4.703125,6.0
4.978125,1.8010417,96,79,1,0,57,4.703125,6.0
5.0916667,1.6875,95,34,1,0,58,4.703125,6.0
5.1197915,1.659375,96,57,1,0,59,4.703125,6.0
5.19375,1.5854167,94,68,1,0,60,4.703125,6.0
5.265625,1.5135417,93,67,1,0,61,5.265625,7.0
5.3416667,1.4375,92,69,1,0,62,5.265625,7.0
5.4510417,1.328125,93,35,1,0,63,5.265625,7.0
5.5052085,1.2739583,91,53,1,0,64,5.265625,7.0
5.5739584,1.2052083,90,67,1,0,65,5.265625,7.0
5.6520834,1.1270833,89,62,1,0,66,5.265625,7.0
5.696875,1.0822917,90,77,1,0,67,5.265625,7.0
4.421875,2.3572917,60,72,1,0,68,4.083333,5.0
5.782292,0.996875,88,64,1,0,69,5.265625,7.0
5.859375,0.91979164,87,64,1,0,70,5.859375,8.0
5.945833,0.8333333,86,38,1,0,71,5.859375,8.0
5.9864583,0.79270834,87,62,1,0,72,5.859375,8.0
6.06875,0.7104167,85,61,1,0,73,5.859375,8.0
6.139583,0.63958335,84,62,1,0,74,5.859375,8.0
6.24375,0.53541666,83,48,1,0,75,5.859375,8.0
6.4104166,0.36875,82,59,1,0,76,5.859375,8.0
6.7,0.079166666,81,44,1,0,77,6.478125,9.0
6.8,0.044791665,80,53,1,0,78,6.478125,9.0
6.875,0.62395835,81,53,1,0,79,6.478125,9.0
6.96875,0.53020835,79,54,1,0,80,6.478125,9.0
6.4354167,1.0635417,60,52,1,0,81,5.859375,8.0
6.5125,0.98645836,63,57,1,0,82,6.478125,9.0
7.070833,0.428125,78,52,1,0,83,6.478125,9.0
6.680208,0.81875,66,76,1,0,84,6.478125,9.0
7.1458335,0.353125,77,49,1,0,85,6.478125,9.0
6.25625,1.2427083,53,49,1,0,86,5.859375,8.0
6.290625,1.2083334,57,34,1,0,87,5.859375,8.0
7.2145834,0.284375,78,63,1,0,88,6.478125,9.0
7.3177085,0.18125,75,60,1,0,89,6.478125,9.0
7.445833,0.053125,74,21,1,0,90,7.383333,10.0
7.4947915,0.046875,73,51,1,0,91,7.383333,10.0
7.578125,0.27291667,74,38,1,0,92,7.383333,10.0
7.64375,0.20729166,72,55,1,0,93,7.383333,10.0
7.7854166,0.065625,70,49,1,0,94,7.383333,10.0
7.4177084,0.79375,62,52,1,0,95,7.383333,10.0
7.3479166,0.86354166,58,53,1,0,96,6.478125,9.0
7.9885416,0.22291666,70,55,1,0,97,7.383333,10.0
8.123959,0.0875,68,50,1,0,98,7.383333,10.0
8.238542,0.04375,67,43,1,0,99,8.2213545,11.0
7.790625,0.825,65,65,1,0,100,7.383333,10.0
8.325,0.290625,66,51,1,0,101,8.2213545,11.0
8.401042,0.21458334,67,58,1,0,102,8.2213545,11.0
8.5125,0.103125,65,52,1,0,103,8.2213545,11.0
8.204166,0.46979168,61,62,1,0,104,7.383333,10.0
8.613542,0.675,73,55,1,0,105,8.2213545,11.0
8.566667,0.721875,58,53,1,0,106,8.2213545,11.0
8.763541,0.525,70,55,1,0,107,8.2213545,11.0
8.886458,0.40208334,67,43,1,0,108,8.2213545,11.0
7.320833,1.9677083,53,31,1,0,109,6.478125,9.0
9.007292,0.28125,65,44,1,0,110,8.2213545,11.0
9.160417,0.16458334,53,45,1,0,111,8.2213545,11.0
9.208333,0.16770834,55,47,1,0,112,8.2213545,11.0
9.264584,0.134375,58,39,1,0,113,9.235937,12.0
9.29375,0.10729167,61,46,1,0,114,9.235937,12.0
9.311459,0.13541667,64,50,1,0,115,9.235937,12.0
10.260417,0.035416666,88,79,1,0,116,10.245833,13.0
10.23125,0.175,97,93,1,0,117,9.235937,12.0
10.409375,0.026041666,84,52,1,0,118,10.245833,13.0
10.334375,0.10104167,94,80,1,0,119,10.245833,13.0
10.402083,0.05,90,65,1,0,120,10.245833,13.0
10.428125,0.032291666,81,8,1,0,121,10.245833,13.0
10.451041,0.045833334,87,64,1,0,122,10.245833,13.0
10.547916,0.05,85,64,1,0,123,10.245833,13.0
10.559375,0.047916666,82,59,1,0,124,10.245833,13.0
10.553125,0.109375,91,63,1,0,125,10.245833,13.0
10.633333,0.08541667,88,75,1,0,126,10.245833,13.0
10.723958,0.041666668,84,58,1,0,127,10.245833,13.0
10.723958,0.045833334,75,17,1,0,128,10.245833,13.0
10.730208,0.044791665,78,28,1,0,129,10.245833,13.0
10.783334,0.041666668,81,64,1,0,130,10.245833,13.0
10.864583,0.03125,79,56,1,0,131,10.245833,13.0
10.9,0.059375,76,43,1,0,132,10.86875,14.0
10.86875,0.10729167,85,68,1,0,133,10.86875,14.0
10.979167,0.04375,81,36,1,0,134,10.86875,14.0
10.990625,0.052083332,69,50,1,0,135,10.86875,14.0
11.029166,0.028125,72,25,1,0,136,10.86875,14.0
11.027083,0.058333334,78,67,1,0,137,10.86875,14.0
11.090625,0.0375,75,62,1,0,138,10.86875,14.0
11.161458,0.041666668,73,65,1,0,139,10.86875,14.0
11.178125,0.053125,70,58,1,0,140,10.86875,14.0
11.248959,0.036458332,77,38,1,0,141,10.86875,14.0
11.195833,0.09583333,79,64,1,0,142,10.86875,14.0
11.272917,0.08958333,76,74,1,0,143,10.86875,14.0
11.340625,0.052083332,72,71,1,0,144,10.86875,14.0
11.419791,0.058333334,69,65,1,0,145,10.86875,14.0
11.515625,0.035416666,67,45,1,0,146,11.515625,15.0
11.546875,0.044791665,64,36,1,0,147,11.515625,15.0
11.505208,0.09375,73,68,1,0,148,10.86875,14.0
11.595834,0.108333334,70,75,1,0,149,11.515625,15.0
11.704166,0.042708334,66,43,1,0,150,11.515625,15.0
11.759375,0.048958335,63,64,1,0,151,11.515625,15.0
11.908334,0.08125,58,40,1,0,152,11.515625,15.0
11.897917,0.1,61,42,1,0,153,11.515625,15.0
11.938541,0.109375,64,32,1,0,154,11.515625,15.0
11.911458,0.15625,67,50,1,0,155,11.515625,15.0
12.501041,0.821875,41,46,1,0,156,11.515625,15.0
12.869792,0.453125,58,36,1,0,157,12.501042,16.0
12.853125,0.46979168,53,45,1,0,158,12.501042,16.0
12.866667,0.45625,61,39,1,0,159,12.501042,16.0
12.879167,0.44375,73,53,1,0,160,12.501042,16.0
12.84375,0.47916666,85,67,1,0,161,12.501042,16.0
12.890625,0.43229166,76,53,1,0,162,12.501042,16.0
13.0625,0.26041666,58,46,1,0,163,12.501042,16.0
13.059375,0.26354167,53,50,1,0,164,12.501042,16.0
13.084375,0.23854166,61,53,1,0,165,12.501042,16.0
13.059375,0.26354167,84,78,1,0,166,12.501042,16.0
13.082292,0.240625,73,60,1,0,167,12.501042,16.0
13.242708,0.08020833,58,55,1,0,168,12.501042,16.0
13.24375,0.079166666,61,56,1,0,169,12.501042,16.0
