onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,last_beat,last_beat_ref
0.0,1.5,0.0,1.5,0,72,60,1,n1,0.0,1.02474
0.0,1.5,0.0,1.5,0,72,36,3,n7,0.0,1.02474
0.0,1.5,0.0,1.5,0,72,48,3,n8,0.0,1.02474
1.5,0.5,1.5,0.5,72,24,63,1,n2,1.0,2.880209
1.5,0.5,1.5,0.5,72,24,39,3,n9,1.0,2.880209
1.5,0.5,1.5,0.5,72,24,51,3,n10,1.0,2.880209
2.0,0.5,2.0,0.5,96,24,66,1,n3,2.0,4.735677
2.0,0.5,2.0,0.5,96,24,42,3,n11,2.0,4.735677
2.0,0.5,2.0,0.5,96,24,54,3,n12,2.0,4.735677
2.5,0.5,2.5,0.5,120,24,67,1,n4,2.0,4.735677
2.5,0.5,2.5,0.5,120,24,43,3,n13,2.0,4.735677
2.5,0.5,2.5,0.5,120,24,55,3,n14,2.0,4.735677
3.0,0.5,3.0,0.5,144,24,68,1,n5,3.0,6.161458
3.0,0.5,3.0,0.5,144,24,44,3,n15,3.0,6.161458
3.0,0.5,3.0,0.5,144,24,56,3,n16,3.0,6.161458
3.5,0.5,3.5,0.5,168,24,60,1,n6,3.0,6.161458
3.5,0.5,3.5,0.5,168,24,36,3,n17,3.0,6.161458
3.5,0.5,3.5,0.5,168,24,48,3,n18,3.0,6.161458
4.0,0.5,4.0,0.5,192,24,59,1,n19,4.0,8.059896
4.0,0.5,4.0,0.5,192,24,35,3,n32,4.0,8.059896
4.0,0.5,4.0,0.5,192,24,47,3,n33,4.0,8.059896
5.0,0.5,5.0,0.5,240,24,72,1,n20,5.0,10.627604
5.0,0.5,5.0,0.5,240,24,75,1,n21,5.0,10.627604
5.0,0.5,5.0,0.5,240,24,66,2,n28,5.0,10.627604
5.5,0.25,5.5,0.25,264,12,71,1,n22,5.0,10.627604
5.5,0.25,5.5,0.25,264,12,74,1,n23,5.0,10.627604
5.5,0.25,5.5,0.25,264,12,67,2,n29,5.0,10.627604
6.0,0.5,6.0,0.5,288,24,72,1,n24,6.0,12.580729
6.0,0.5,6.0,0.5,288,24,78,1,n25,6.0,12.580729
6.0,0.5,6.0,0.5,288,24,68,2,n30,6.0,12.580729
6.5,0.25,6.5,0.25,312,12,71,1,n26,6.0,12.580729
6.5,0.25,6.5,0.25,312,12,79,1,n27,6.0,12.580729
6.5,0.25,6.5,0.25,312,12,67,2,n31,6.0,12.580729
8.0,1.5,8.0,1.5,384,72,58,1,n35,8.0,18.705729
8.0,1.5,8.0,1.5,384,72,34,3,n41,8.0,18.705729
8.0,1.5,8.0,1.5,384,72,46,3,n42,8.0,18.705729
9.5,0.5,9.5,0.5,456,24,61,1,n36,9.0,20.46875
9.5,0.5,9.5,0.5,456,24,37,3,n43,9.0,20.46875
9.5,0.5,9.5,0.5,456,24,49,3,n44,9.0,20.46875
10.0,0.75,10.0,0.75,480,36,64,1,n37,10.0,22.231771
10.0,0.75,10.0,0.75,480,36,40,3,n45,10.0,22.231771
10.0,0.75,10.0,0.75,480,36,52,3,n46,10.0,22.231771
10.75,0.25,10.75,0.25,516,12,65,1,n38,10.0,22.231771
10.75,0.25,10.75,0.25,516,12,41,3,n47,10.0,22.231771
10.75,0.25,10.75,0.25,516,12,53,3,n48,10.0,22.231771
11.0,0.5,11.0,0.5,528,24,67,1,n39,11.0,23.690104
11.0,0.5,11.0,0.5,528,24,43,3,n49,11.0,23.690104
11.0,0.5,11.0,0.5,528,24,55,3,n50,11.0,23.690104
11.5,0.5,11.5,0.5,552,24,58,1,n40,11.0,23.690104
11.5,0.5,11.5,0.5,552,24,34,3,n51,11.0,23.690104
11.5,0.5,11.5,0.5,552,24,46,3,n52,11.0,23.690104
12.0,0.5,12.0,0.5,576,24,57,1,n53,12.0,25.295572
12.0,0.5,12.0,0.5,576,24,33,3,n66,12.0,25.295572
12.0,0.5,12.0,0.5,576,24,45,3,n67,12.0,25.295572
13.0,0.5,13.0,0.5,624,24,70,1,n54,13.0,27.584635
13.0,0.5,13.0,0.5,624,24,73,1,n55,13.0,27.584635
13.0,0.5,13.0,0.5,624,24,64,2,n62,13.0,27.584635
13.5,0.25,13.5,0.25,648,12,69,1,n56,13.0,27.584635
13.5,0.25,13.5,0.25,648,12,72,1,n57,13.0,27.584635
13.5,0.25,13.5,0.25,648,12,65,2,n63,13.0,27.584635
14.0,0.5,14.0,0.5,672,24,73,1,n58,14.0,29.526043
14.0,0.5,14.0,0.5,672,24,76,1,n59,14.0,29.526043
14.0,0.5,14.0,0.5,672,24,70,2,n64,14.0,29.526043
14.5,0.25,14.5,0.25,696,12,72,1,n60,14.0,29.526043
14.5,0.25,14.5,0.25,696,12,77,1,n61,14.0,29.526043
14.5,0.25,14.5,0.25,696,12,69,2,n65,14.0,29.526043
16.0,1.5,16.0,1.5,768,72,56,1,n69,16.0,35.682293
16.0,1.5,16.0,1.5,768,72,32,3,n75,16.0,35.682293
16.0,1.5,16.0,1.5,768,72,44,3,n76,16.0,35.682293
17.5,0.5,17.5,0.5,840,24,60,1,n70,17.0,37.510418
17.5,0.5,17.5,0.5,840,24,36,3,n77,17.0,37.510418
17.5,0.5,17.5,0.5,840,24,48,3,n78,17.0,37.510418
18.0,0.5,18.0,0.5,864,24,61,1,n71,18.0,39.338543
18.0,0.5,18.0,0.5,864,24,37,3,n79,18.0,39.338543
18.0,0.5,18.0,0.5,864,24,49,3,n80,18.0,39.338543
18.5,0.5,18.5,0.5,888,24,65,1,n72,18.0,39.338543
18.5,0.5,18.5,0.5,888,24,41,3,n81,18.0,39.338543
18.5,0.5,18.5,0.5,888,24,53,3,n82,18.0,39.338543
19.0,0.5,19.0,0.5,912,24,68,1,n73,19.0,40.75651
19.0,0.5,19.0,0.5,912,24,44,3,n83,19.0,40.75651
19.0,0.5,19.0,0.5,912,24,56,3,n84,19.0,40.75651
19.5,0.5,19.5,0.5,936,24,61,1,n74,19.0,40.75651
20.0,1.5,20.0,1.5,960,72,60,1,n86,20.0,42.71745
20.0,0.25,20.0,0.25,960,12,44,3,n92,20.0,42.71745
20.25,0.25,20.25,0.25,972,12,54,3,n93,20.0,42.71745
20.5,0.25,20.5,0.25,984,12,51,3,n94,20.0,42.71745
20.75,0.25,20.75,0.25,996,12,54,3,n95,20.0,42.71745
21.0,0.25,21.0,0.25,1008,12,44,3,n96,21.0,44.192707
21.25,0.25,21.25,0.25,1020,12,54,3,n97,21.0,44.192707
21.5,0.5,21.5,0.5,1032,24,62,1,n87,21.0,44.192707
21.5,0.25,21.5,0.25,1032,12,51,3,n98,21.0,44.192707
21.75,0.25,21.75,0.25,1044,12,54,3,n99,21.0,44.192707
22.0,0.5,22.0,0.5,1056,24,63,1,n88,22.0,45.39453
22.0,0.25,22.0,0.25,1056,12,44,3,n100,22.0,45.39453
22.25,0.25,22.25,0.25,1068,12,54,3,n101,22.0,45.39453
22.5,0.5,22.5,0.5,1080,24,66,1,n89,22.0,45.39453
22.5,0.25,22.5,0.25,1080,12,51,3,n102,22.0,45.39453
22.75,0.25,22.75,0.25,1092,12,54,3,n103,22.0,45.39453
23.0,0.5,23.0,0.5,1104,24,70,1,n90,23.0,46.628254
23.0,0.25,23.0,0.25,1104,12,44,3,n104,23.0,46.628254
23.25,0.25,23.25,0.25,1116,12,54,3,n105,23.0,46.628254
23.5,0.5,23.5,0.5,1128,24,60,1,n91,23.0,46.628254
23.5,0.25,23.5,0.25,1128,12,51,3,n106,23.0,46.628254
23.75,0.25,23.75,0.25,1140,12,54,3,n107,23.0,46.628254
24.0,1.5,24.0,1.5,1152,72,61,1,n108,24.0,48.1263
24.0,0.25,24.0,0.25,1152,12,44,3,n114,24.0,48.1263
24.25,0.25,24.25,0.25,1164,12,53,3,n115,24.0,48.1263
24.5,0.25,24.5,0.25,1176,12,49,3,n116,24.0,48.1263
24.75,0.25,24.75,0.25,1188,12,53,3,n117,24.0,48.1263
25.0,0.25,25.0,0.25,1200,12,44,3,n118,25.0,49.489582
25.25,0.25,25.25,0.25,1212,12,53,3,n119,25.0,49.489582
25.5,0.5,25.5,0.5,1224,24,64,1,n109,25.0,49.489582
25.5,0.25,25.5,0.25,1224,12,49,3,n120,25.0,49.489582
25.75,0.25,25.75,0.25,1236,12,53,3,n121,25.0,49.489582
26.0,0.5,26.0,0.5,1248,24,65,1,n110,26.0,50.75
26.0,0.25,26.0,0.25,1248,12,44,3,n122,26.0,50.75
26.25,0.25,26.25,0.25,1260,12,53,3,n123,26.0,50.75
26.5,0.5,26.5,0.5,1272,24,68,1,n111,26.0,50.75
26.5,0.25,26.5,0.25,1272,12,49,3,n124,26.0,50.75
26.75,0.25,26.75,0.25,1284,12,53,3,n125,26.0,50.75
27.0,0.5,27.0,0.5,1296,24,73,1,n112,27.0,51.95703
