xml_id	midi_id	track	channel	pitch	onset
n3	6	1	0	53	1.0729166666666667
n4	0	1	0	57	1.2427083333333333
n6	2	1	0	57	1.6208333333333333
n5	1	1	0	60	1.4572916666666667
n1	3	1	0	65	1.0375
n8	7	1	0	57	1.9979166666666668
n7	5	1	0	60	1.8145833333333334
n2	4	1	0	69	1.78125
n11	12	1	0	53	2.1875
n12	8	1	0	60	2.3947916666666673
n9	10	1	0	72	2.178125
n14	11	1	0	60	2.7427083333333346
n13	9	1	0	63	2.6125000000000007
n16	15	1	0	60	3.112500000000001
n15	13	1	0	63	2.9562500000000016
n10	14	1	0	69	2.935416666666668
n19	21	1	0	53	3.3395833333333345
n20	16	1	0	58	3.5083333333333346
n17	18	1	0	70	3.2989583333333345
n22	19	1	0	58	3.865625000000002
n21	17	1	0	62	3.679166666666668
n24	23	1	0	58	4.207291666666667
n23	20	1	0	62	4.081250000000002
n18	22	1	0	79	4.010416666666669
n29	30	1	0	53	4.431250000000001
n30	26	1	0	55	4.622916666666667
n26	25	1	0	76	4.604166666666667
n25	24	1	0	77	4.4229166666666675
n32	29	1	0	55	4.976041666666664
n31	27	1	0	58	4.8218749999999995
n27	28	1	0	76	4.781249999999999
n34	32	1	0	55	5.334374999999995
n33	31	1	0	58	5.159374999999995
n38	34	1	0	53	5.595833333333328
n39	35	1	0	57	5.5916666666666615
n35	33	1	0	77	5.566666666666662
n36	36	1	0	69	5.961458333333325
n37	37	1	0	74	6.341666666666658
n42	38	1	0	67	6.724999999999992
n43	39	1	0	72	7.136458333333325
n44	40	1	0	69	7.7333333333333245
n49	41	1	0	53	7.916666666666657
n46	43	1	0	65	7.914583333333324
n50	42	1	0	45	8.306249999999991
n51	44	1	0	50	8.681249999999991
n57	46	1	0	43	9.06041666666666
n56	52	1	0	67	9.03541666666666
n58	50	1	0	48	9.37604166666666
n54	49	1	0	62	9.579166666666664
n53	48	1	0	64	9.383333333333328
n59	53	1	0	45	9.951041666666665
n55	51	1	0	64	9.779166666666663
n64	55	1	0	41	10.171875
n63	60	1	0	65	10.177083333333334
n60	54	1	0	69	10.144791666666666
n65	57	1	0	50	10.525000000000002
n61	56	1	0	70	10.520833333333336
n66	59	1	0	46	10.884375000000007
n62	58	1	0	74	10.87083333333334
n76	62	1	0	45	11.264583333333341
n68	63	1	0	72	11.450000000000006
n67	61	1	0	74	11.272916666666674
n70	65	1	0	69	11.79270833333334
n69	64	1	0	70	11.632291666666674
n78	66	1	0	50	11.981250000000006
n72	68	1	0	65	12.14895833333334
n71	67	1	0	67	11.988541666666674
n85	70	1	0	46	12.37083333333334
n79	69	1	0	67	12.351041666666674
n80	71	1	0	70	12.755208333333341
n87	72	1	0	48	13.158333333333344
n81	73	1	0	58	13.145833333333345
n82	74	1	0	64	13.138541666666677
n95	75	1	0	41	13.577083333333345
n88	76	1	0	57	13.572916666666679
n89	77	1	0	65	13.552083333333345
n99	83	1	0	67	14.647916666666683
n97	79	1	0	69	14.371875000000015
n100	82	1	0	70	14.676041666666682
n98	78	1	0	72	14.368750000000015
n92	81	1	0	82	14.638541666666683
n91	80	1	0	84	14.343750000000014
n107	85	1	0	65	14.733333333333348
n108	84	1	0	69	14.742708333333349
n101	86	1	0	81	14.729166666666682
n109	88	1	0	65	15.127083333333347
n110	87	1	0	69	15.134375000000015
n102	89	1	0	81	15.114583333333348
n113	95	1	0	60	15.796875000000016
n111	92	1	0	65	15.550000000000015
n114	93	1	0	67	15.816666666666684
n112	90	1	0	69	15.506250000000016
n104	94	1	0	79	15.80208333333335
n103	91	1	0	81	15.514583333333348
n118	97	1	0	57	15.888541666666683
n119	96	1	0	65	15.897916666666683
n115	98	1	0	77	15.879166666666682
n120	100	1	0	57	16.30000000000002
n121	99	1	0	65	16.28958333333335
n116	101	1	0	77	16.272916666666685
n122	103	1	0	57	16.69375000000002
n123	102	1	0	65	16.68125000000002
n117	104	1	0	77	16.669791666666686
n130	106	1	0	60	17.062500000000018
n131	105	1	0	67	17.07708333333335
n124	107	1	0	76	17.07708333333335
n125	108	1	0	79	17.066666666666684
n132	109	1	0	60	17.473958333333343
n133	110	1	0	67	17.485416666666676
n126	112	1	0	76	17.488541666666677
