xml_id	midi_id	track	channel	pitch	onset
n10	1	0	0	38	5.157046125000006
n13	5	0	0	38	5.440165500000007
n16	7	0	0	38	5.702985750000007
n19	11	0	0	38	5.981831625000008
n1	0	0	0	50	5.033114625000006
n11	2	0	0	50	5.185892250000006
n3	3	0	0	50	5.2905930000000065
n14	4	0	0	50	5.438028750000007
n5	6	0	0	50	5.572644000000007
n17	8	0	0	50	5.720079750000007
n7	9	0	0	50	5.8514898750000075
n20	10	0	0	50	5.988241875000008
n30	14	0	0	38	6.239310000000009
n33	16	0	0	38	6.530976375000009
n21	12	0	0	50	6.122857125000008
n31	13	0	0	50	6.254267250000009
n23	15	0	0	50	6.396361125000008
n34	17	0	0	50	6.535249875000009
n36	19	0	0	38	6.806617125000009
n39	23	0	0	38	7.097215125000009
n25	18	0	0	50	6.677343750000008
n37	20	0	0	50	6.815164125000009
n27	21	0	0	50	6.958326375000008
n40	22	0	0	50	7.086531375000009
n50	26	0	0	38	7.358967000000009
n53	28	0	0	38	7.621787250000009
n41	24	0	0	50	7.219009875000008
n51	25	0	0	50	7.352556750000009
n43	27	0	0	50	7.487172000000008
n54	29	0	0	50	7.629265875000009
n56	31	0	0	38	7.885675875000008
n59	35	0	0	38	8.151701250000007
n45	30	0	0	50	7.762812750000008
n57	32	0	0	50	7.8974280000000086
n47	33	0	0	50	8.027769750000008
n60	34	0	0	50	8.159179875000007
n70	38	0	0	38	8.417726625000007
n73	40	0	0	38	8.688025500000009
n61	36	0	0	50	8.291658375000006
n71	37	0	0	50	8.422000125000007
n63	39	0	0	50	8.567299125000009
n74	41	0	0	50	8.69657250000001
n76	43	0	0	38	8.95725600000001
n79	46	0	0	38	9.21259762500001
n65	42	0	0	50	8.84293987500001
n77	44	0	0	50	8.96366625000001
n67	45	0	0	50	9.09828150000001
n80	47	0	0	50	9.220076250000009
n94	50	0	0	38	9.487170000000008
n97	54	0	0	38	9.761742375000008
n81	48	0	0	48	9.355759875000007
n84	52	0	0	48	9.642084375000008
n95	51	0	0	50	9.475417875000009
n98	55	0	0	50	9.748921875000008
n82	49	0	0	52	9.355759875000007
n85	53	0	0	52	9.64101600000001
n100	59	0	0	38	10.041656625000009
n103	63	0	0	38	10.325844375000006
n87	56	0	0	48	9.91131487500001
