idx,matchtype,partid,ppartid
0,0,n3,0
1,0,n4,1
2,0,n8,5
3,0,n5,2
4,0,n7,4
5,0,n6,3
6,0,n10,7
7,0,n9,6
8,0,n11,8
9,0,n14,9
10,0,n15,10
11,0,n16,11
12,0,n18,13
13,0,n19,14
14,0,n17,12
15,0,n21,16
16,0,n20,15
17,0,n22,17
18,0,n27,18
19,0,n28,19
20,0,n23,23
21,0,n31,22
22,0,n30,21
23,0,n29,20
24,0,n36,27
25,0,n33,26
26,0,n24,28
27,0,n34,25
28,0,n35,24
29,0,n41,29
30,0,n42,30
31,0,n37,34
32,0,n45,33
33,0,n44,32
34,0,n43,31
35,0,n49,37
36,0,n38,38
37,0,n47,36
38,0,n48,35
39,0,n56,39
40,0,n57,40
41,0,n50,42
42,0,n61,45
43,0,n51,46
44,1,n60,undefined
45,0,n58,43
46,0,n59,41
47,0,n65,49
48,0,n63,48
49,0,n52,50
50,0,n53,51
51,0,n64,47
52,0,n70,52
53,0,n71,53
54,0,n66,54
55,0,n75,58
56,1,n74,undefined
57,0,n72,55
58,0,n73,56
59,0,n80,62
60,0,n77,59
61,0,n67,63
62,0,n78,61
63,0,n79,60
64,0,n88,64
65,0,n83,65
66,0,n89,66
67,0,n81,69
68,0,n92,70
69,0,n91,68
70,0,n90,67
71,0,n94,71
72,0,n95,72
73,0,n82,73
74,0,n103,75
75,0,n98,74
76,0,n104,76
77,0,n96,77
78,0,n107,80
79,0,n106,79
80,0,n105,78
81,0,n110,82
82,0,n109,81
83,0,n97,83
84,0,n119,86
85,0,n115,84
86,0,n120,87
87,0,n116,85
88,0,n121,89
89,0,n111,88
90,0,n124,92
91,0,n123,91
92,0,n122,90
93,0,n126,93
94,0,n117,95
95,0,n127,94
96,0,n113,98
97,0,n112,96
98,0,n114,99
99,0,n128,97
100,0,n137,102
101,0,n131,100
102,0,n138,103
103,0,n132,101
104,0,n129,104
105,0,n141,107
106,0,n140,106
107,0,n139,105
108,0,n143,110
109,0,n144,111
110,0,n133,109
111,0,n134,108
112,0,n130,112
113,1,n153,undefined
114,0,n154,118
115,0,n147,117
116,0,n155,119
117,0,n148,113
118,0,n156,120
119,0,n149,114
120,0,n145,123
121,0,n159,124
122,0,n158,122
123,0,n157,121
124,0,n161,126
125,0,n150,127
126,0,n151,125
127,0,n146,129
128,0,n162,128
129,0,n173,133
130,0,n174,134
131,0,n167,132
132,0,n175,135
133,0,n168,130
134,0,n176,136
135,0,n169,131
136,0,n163,140
137,0,n179,139
138,0,n178,138
139,0,n177,137
140,0,n182,146
141,0,n181,144
142,0,n170,143
143,0,n171,142
144,0,n166,145
145,1,n165,undefined
146,0,n191,148
147,0,n185,147
148,0,n192,150
149,0,n195,153
150,0,n186,149
151,0,n183,154
152,0,n194,152
153,0,n193,151
154,0,n198,157
155,0,n187,156
156,0,n188,158
157,0,n184,159
158,0,n197,155
159,0,n207,160
160,0,n202,161
161,0,n208,163
162,0,n203,162
163,0,n199,167
164,0,n211,166
165,0,n210,165
166,0,n209,164
167,0,n213,171
168,0,n212,168
169,0,n204,170
170,0,n200,169
171,0,n201,172
172,0,n224,173
173,0,n219,174
174,0,n225,177
175,0,n220,175
176,0,n215,176
177,0,n228,180
178,0,n227,179
179,0,n226,178
180,0,n216,182
181,0,n229,181
182,0,n232,188
183,0,n231,186
184,0,n230,183
185,0,n221,185
186,0,n217,184
187,0,n218,187
188,0,n242,190
189,0,n243,193
190,0,n244,195
191,0,n233,192
192,0,n234,191
193,0,n245,196
194,0,n235,194
195,0,n236,198
196,0,n248,200
197,0,n247,199
198,0,n246,197
199,0,n250,207
200,0,n249,203
201,0,n237,201
202,0,n238,202
203,0,n251,206
204,0,n239,205
205,0,n240,204
206,0,n258,208
207,0,n259,209
208,0,n253,210
209,0,n254,212
210,0,n255,211
211,0,n252,213
212,0,n260,214
213,0,n261,215
214,0,n262,216
215,0,n265,219
216,0,n264,218
217,0,n263,217
218,0,n275,222
219,0,n274,221
