xml_id	midi_id	track	channel	pitch	onset
n3	0	0	0	38	1.2152765625
n4	1	0	0	57	1.93776515625
n8	5	0	0	57	3.3293235937500008
n5	2	0	0	62	2.3838117187499996
n7	4	0	0	62	3.0048046875
n6	3	0	0	69	2.73103359375
n10	6	0	0	45	4.109237343750001
n9	8	0	0	54	3.724622343750001
n11	7	0	0	62	4.544600156250001
n14	9	0	0	38	5.048071875000002
n15	10	0	0	57	5.523498750000003
n16	11	0	0	62	5.856030468750003
n19	14	0	0	57	6.766820156250002
n18	13	0	0	62	6.440965781250002
n17	12	0	0	69	6.1591818750000025
n21	15	0	0	45	7.536050156250002
n20	17	0	0	54	7.166125312500002
n22	16	0	0	62	7.972748437500002
n27	18	0	0	38	9.109232343750005
n28	19	0	0	57	9.396358125000004
n23	23	0	0	66	8.663185781250002
n31	22	0	0	57	10.272425625000002
n30	21	0	0	62	9.997319062500003
n29	20	0	0	69	9.731560781250003
n36	26	0	0	57	11.364839062500007
n33	27	0	0	61	11.000256093750007
n24	28	0	0	64	10.685085468750003
n34	24	0	0	67	11.018952656250006
n35	25	0	0	69	11.013610781250007
n41	29	0	0	50	12.207519843750012
n42	30	0	0	57	12.532038750000012
n37	34	0	0	66	11.856291562500006
n45	33	0	0	57	13.365371250000011
n44	32	0	0	62	13.115638593750012
n43	31	0	0	69	12.845873906250011
n49	37	0	0	57	14.378992031250016
n38	38	0	0	59	13.770018281250012
n47	36	0	0	62	14.083853437500016
n48	35	0	0	69	14.075840625000016
n56	39	0	0	38	15.206982656250021
n57	40	0	0	57	15.56889468750002
n50	45	0	0	61	14.851747968750017
n61	44	0	0	57	16.47968437500002
n51	46	0	0	62	16.82289984375002
n60	deletion
n58	42	0	0	67	15.87605250000002
n59	41	0	0	69	15.87738796875002
n65	48	0	0	57	17.407835156250016
n63	50	0	0	59	17.126051250000017
n52	49	0	0	61	17.259598125000018
n53	51	0	0	62	17.510666250000014
n64	47	0	0	69	17.11803843750002
n70	52	0	0	50	18.08091140625002
n71	53	0	0	57	18.36135984375002
n66	58	0	0	64	17.821830468750015
n75	56	0	0	57	19.166647500000018
n91	68	0	0	62	22.310340937500023
n74	deletion
n72	54	0	0	67	18.641808281250018
n73	55	0	0	69	18.63513093750002
n80	62	0	0	50	20.396614218750017
n77	59	0	0	60	19.715525156250017
n67	63	0	0	66	19.521882187500015
n78	61	0	0	69	19.799659687500018
n79	60	0	0	74	19.915845468750017
n88	65	0	0	38	21.411570468750025
n83	64	0	0	59	20.97353671875002
