xml_id	midi_id	track	channel	pitch	onset
n3	0	1	0	38	0.4583333333333333
n4	1	1	0	57	1.003125
n8	5	1	0	57	2.2739583333333333
n5	2	1	0	62	1.3822916666666667
n7	4	1	0	62	1.9697916666666668
n6	3	1	0	69	1.675
n10	8	1	0	45	2.985416666666667
n9	6	1	0	54	2.572916666666667
n11	7	1	0	62	3.405208333333334
n14	9	1	0	38	3.866666666666667
n15	11	1	0	57	4.3135416666666675
n16	10	1	0	62	4.6937500000000005
n18	12	1	0	62	5.2875000000000005
n19	13	1	0	57	5.5947916666666675
n17	14	1	0	69	4.984375000000001
n21	16	1	0	45	6.351041666666667
n20	15	1	0	54	5.915625
n22	17	1	0	62	6.794791666666667
n27	18	1	0	38	8.125
n28	20	1	0	57	8.660416666666666
n23	21	1	0	66	7.4989583333333325
n31	23	1	0	57	9.588541666666668
n30	22	1	0	62	9.304166666666667
n29	19	1	0	69	9.001041666666666
n36	27	1	0	57	10.602083333333338
n33	26	1	0	61	10.235416666666671
n24	28	1	0	64	9.908333333333333
n34	24	1	0	67	10.27291666666667
n35	25	1	0	69	10.251041666666671
n41	29	1	0	50	11.502083333333339
n42	30	1	0	57	11.886458333333344
n37	31	1	0	66	11.03541666666667
n45	34	1	0	57	12.793750000000014
n44	33	1	0	62	12.514583333333347
n43	32	1	0	69	12.22604166666668
n49	37	1	0	57	13.687500000000014
n38	38	1	0	59	13.090625000000014
n47	35	1	0	62	13.431250000000015
n48	36	1	0	69	13.414583333333347
n56	39	1	0	38	14.465625000000014
n57	41	1	0	57	14.941666666666682
n50	40	1	0	61	14.06354166666668
n61	45	1	0	57	15.846875000000017
n51	48	1	0	62	16.17708333333335
n60	deletion
n58	44	1	0	67	15.266666666666683
n59	42	1	0	69	15.283333333333351
n65	49	1	0	57	17.006250000000012
n63	47	1	0	59	16.60208333333335
n52	50	1	0	61	16.848958333333346
n53	51	1	0	62	17.14375000000001
n64	46	1	0	69	16.551041666666684
n70	52	1	0	50	17.998958333333352
n71	53	1	0	57	18.338541666666682
n66	55	1	0	64	17.565625000000015
n75	62	1	0	57	19.20833333333334
n74	deletion
n72	56	1	0	67	18.639583333333345
n73	54	1	0	69	18.618750000000013
n80	63	1	0	50	20.30833333333334
n77	58	1	0	60	19.796875000000004
n67	61	1	0	66	19.521875000000005
n78	59	1	0	69	19.905208333333338
n79	60	1	0	74	20.00833333333334
n88	65	1	0	38	21.241666666666674
n83	64	1	0	59	20.786458333333343
n89	67	1	0	59	21.66562500000001
n81	69	1	0	67	20.755208333333343
n92	70	1	0	59	22.583333333333343
n91	68	1	0	62	22.272916666666674
n90	66	1	0	74	21.99895833333334
n94	71	1	0	58	23.230208333333344
n95	72	1	0	62	23.573958333333344
n82	73	1	0	66	22.897916666666674
n103	75	1	0	50	24.467708333333352
n98	74	1	0	59	24.000000000000014
n104	76	1	0	59	24.79270833333335
n96	80	1	0	67	23.990625000000016
n107	79	1	0	59	25.700000000000017
