idx,matchtype,partid,ppartid
0,0,n11,0
1,0,n12,1
2,1,n13,undefined
3,0,n14,3
4,0,n15,4
5,0,n17,7
6,0,n16,5
7,0,n18,6
8,0,n19,8
9,0,n20,11
10,0,n3,9
11,0,n9,10
12,0,n4,13
13,0,n22,14
14,0,n21,12
15,0,n23,17
16,0,n24,18
17,0,n5,15
18,0,n6,16
19,0,n38,21
20,0,n39,25
21,0,n37,20
22,0,n36,19
23,0,n25,23
24,0,n32,30
25,0,n33,24
26,0,n26,22
27,0,n40,26
28,0,n41,27
29,0,n42,28
30,0,n43,29
31,0,n47,36
32,0,n46,34
33,0,n45,32
34,0,n28,33
35,0,n44,31
36,0,n35,35
37,0,n29,37
38,0,n51,43
39,0,n48,38
40,0,n50,40
41,0,n49,39
42,0,n30,41
43,0,n31,42
44,0,n73,51
45,0,n72,48
46,0,n74,52
47,0,n71,45
48,0,n52,44
49,0,n54,49
50,1,n66,undefined
51,0,n67,46
52,0,n53,47
53,0,n55,50
54,0,n78,58
55,0,n77,56
56,0,n76,54
57,0,n75,53
58,0,n56,55
59,0,n68,59
60,0,n69,57
61,0,n57,61
62,0,n79,60
63,0,n80,62
64,0,n81,63
65,0,n82,65
66,0,n83,67
67,0,n60,64
68,0,n61,66
69,0,n84,69
70,0,n85,72
71,0,n86,75
72,0,n62,68
73,0,n64,73
74,0,n70,71
75,0,n63,70
76,0,n65,74
77,0,n114,76
78,0,n115,78
79,0,n116,82
80,0,n117,88
81,0,n118,87
82,0,n91,86
83,0,n87,77
84,0,n88,81
85,0,n92,83
86,0,n93,84
87,0,n89,80
88,0,n94,85
89,0,n90,79
90,0,n132,97
91,0,n121,98
92,0,n122,100
93,0,n120,94
94,0,n119,92
95,0,n99,95
96,0,n95,93
97,0,n100,106
98,0,n96,89
99,0,n101,99
100,0,n97,90
101,0,n102,96
102,0,n98,91
103,0,n134,105
104,0,n126,111
105,0,n125,108
106,0,n124,104
107,0,n123,101
108,0,n105,109
109,0,n103,102
110,0,n106,107
111,0,n104,103
112,0,n130,118
113,0,n129,116
114,0,n128,113
115,1,n136,undefined
116,0,n109,115
117,0,n107,112
118,0,n113,117
119,0,n110,114
120,0,n108,110
121,0,n162,122
122,0,n163,123
123,0,n164,124
124,0,n161,121
125,0,n149,120
126,0,n150,119
127,0,n137,126
128,0,n146,128
129,0,n138,125
130,0,n165,127
131,0,n166,129
132,0,n167,130
133,0,n152,133
134,1,n168,undefined
135,0,n153,132
136,0,n154,136
137,0,n155,138
138,0,n140,134
139,0,n148,135
140,0,n141,137
141,0,n157,142
142,0,n156,140
143,0,n158,145
144,0,n159,146
145,0,n142,139
146,0,n144,143
147,0,n143,141
148,0,n145,144
149,0,n185,149
150,0,n186,152
151,0,n184,148
152,0,n183,147
153,0,n170,150
154,0,n179,158
155,0,n180,153
156,0,n171,151
157,0,n187,154
158,0,n188,155
159,0,n189,156
160,0,n190,157
161,0,n194,165
162,0,n193,163
163,0,n192,160
164,0,n173,162
165,0,n191,159
166,0,n182,161
167,0,n174,164
168,0,n198,174
169,0,n195,166
170,0,n197,171
171,0,n196,169
172,0,n175,167
173,0,n177,173
174,0,n176,168
175,0,n178,172
176,0,n220,183
177,0,n219,180
178,0,n221,184
179,0,n218,176
180,0,n199,175
181,0,n201,181
182,0,n213,178
183,0,n214,177
184,0,n200,179
185,0,n202,182
186,0,n225,190
187,0,n224,188
188,0,n223,186
189,0,n222,185
190,0,n203,187
191,0,n215,191
192,0,n216,189
193,0,n204,192
194,0,n226,193
195,0,n227,194
196,0,n228,195
197,0,n229,197
198,0,n230,199
199,0,n207,196
200,0,n208,198
201,0,n231,201
202,0,n232,204
203,0,n233,206
204,0,n209,200
205,0,n211,207
206,0,n217,202
207,0,n210,203
208,0,n212,205
209,0,n260,208
210,0,n261,209
211,0,n262,210
212,0,n263,212
213,0,n264,216
214,0,n265,221
215,0,n266,220
216,0,n238,219
217,0,n234,215
218,0,n235,214
219,0,n239,217
220,0,n236,211
221,0,n240,218
222,0,n237,213
223,0,n268,226
224,0,n269,227
225,0,n270,229
226,0,n267,223
227,0,n245,233
228,1,n258,undefined
229,0,n241,225
230,0,n242,228
231,0,n243,224
232,0,n247,231
233,0,n244,222
234,0,n271,230
235,0,n272,232
236,0,n276,242
237,0,n275,238
238,0,n274,235
239,0,n273,234
240,0,n250,236
241,0,n257,239
242,0,n251,237
243,0,n280,248
244,0,n279,246
245,0,n278,243
246,0,n300,261
247,0,n252,241
248,0,n254,247
249,0,n259,245
250,0,n253,240
251,0,n255,244
252,0,n292,249
253,0,n293,250
254,0,n294,251
255,1,n295,undefined
256,0,n281,253
257,0,n288,259
258,0,n289,258
259,0,n282,257
260,0,n296,254
261,0,n297,255
262,0,n298,256
263,0,n299,260
264,0,n301,262
265,0,n302,263
266,0,n303,266
267,0,n284,264
268,0,n291,268
269,0,n285,265
270,0,n305,269
271,0,n304,267
272,0,n306,272
273,1,n307,undefined
274,0,n286,270
275,0,n287,271
276,0,n321,277
277,0,n322,279
278,0,n320,275
279,0,n319,274
280,0,n308,276
281,0,n315,282
282,0,n316,281
283,0,n309,278
284,0,n323,280
285,0,n324,283
286,0,n325,284
287,0,n326,285
288,0,n330,291
289,0,n329,288
290,0,n328,287
291,0,n311,289
292,0,n327,286
293,0,n318,293
294,0,n312,290
295,0,n334,298
296,0,n331,292
297,0,n333,297
298,0,n332,294
299,0,n313,295
300,0,n314,296
301,0,n359,305
302,0,n358,304
303,0,n360,308
304,0,n357,300
305,0,n335,299
306,0,n337,307
307,0,n351,303
308,0,n352,301
309,0,n336,302
310,0,n338,306
311,0,n364,315
312,0,n363,313
313,0,n362,312
314,0,n361,310
315,0,n339,309
316,0,n341,314
317,0,n353,319
318,0,n340,311
319,0,n342,316
320,0,n365,317
