xml_id	midi_id	track	channel	pitch	onset
n7	3	0	0	55	1.6426265625000003
n13	10	0	0	55	2.7751040625
n8	0	0	0	59	1.6372846875000002
n10	9	0	0	59	2.5974867187500004
n33	16	0	0	59	3.48423796875
n11	6	0	0	62	2.601493125
n34	14	0	0	62	3.466876875
n9	2	0	0	64	1.6720068750000003
n15	8	0	0	64	2.80314890625
n35	12	0	0	66	3.4909153125
n32	22	0	0	66	4.8317259375
n12	deletion
n1	4	0	0	71	1.5745176562500003
n5	15	0	0	71	2.783116875
n3	5	0	0	74	2.61351234375
n17	17	0	0	74	3.42013546875
n2	1	0	0	76	1.5104151562500003
n6	11	0	0	76	2.7564075000000003
n4	7	0	0	78	2.5574226562500004
n18	13	0	0	78	3.4188
n50	19	0	0	47	4.93989890625
n51	18	0	0	54	4.89449296875
n30	20	0	0	59	4.88113828125
n31	21	0	0	62	4.83573234375
n40	25	0	0	64	6.983166093750001
n22	23	0	0	67	6.948443906250001
n23	24	0	0	76	6.876328593750002
n41	30	0	0	54	7.513347187500005
n46	39	0	0	54	8.326647656250014
n44	36	0	0	59	8.155707656250012
n43	28	0	0	62	7.494650625000006
n48	37	0	0	62	8.310622031250015
n45	34	0	0	64	8.154372187500012
n26	32	0	0	67	8.143688437500012
n24	26	0	0	71	7.477289531250005
n28	44	0	0	71	8.368047187500014
n25	27	0	0	74	7.4332190625000045
n29	38	0	0	74	8.262545156250015
n27	33	0	0	76	8.111637187500012
n69	42	0	0	59	8.872854375000017
n70	41	0	0	64	8.875525312500017
n52	43	0	0	67	8.842138593750017
n54	40	0	0	76	8.798068125000016
n88	46	0	0	40	10.28043843750002
n89	47	0	0	47	10.28043843750002
n90	50	0	0	52	10.27242562500002
n66	45	0	0	55	10.27242562500002
n67	48	0	0	59	10.23636796875002
n68	49	0	0	64	10.21500046875002
n73	55	0	0	55	12.279635156250022
n74	57	0	0	59	12.271622343750021
n75	51	0	0	62	12.267615937500022
n58	52	0	0	71	12.203513437500021
n59	53	0	0	74	12.15410109375002
n76	56	0	0	52	12.864570468750022
n83	64	0	0	52	13.663180781250032
n80	66	0	0	55	13.497582656250033
n81	67	0	0	59	13.498918125000033
n108	70	0	0	59	14.276160937500041
n98	78	0	0	59	15.412644843750046
n85	deletion
n79	54	0	0	61	12.863235000000023
n86	65	0	0	61	13.783372968750035
insertion	63	0	0	61	13.696567500000034
n109	69	0	0	62	14.277496406250041
n99	79	0	0	62	15.404632031250046
n112	80	0	0	62	16.66665000000006
n82	deletion
n118	deletion
n60	59	0	0	67	12.823170937500024
n64	72	0	0	67	13.748650781250035
insertion	62	0	0	67	13.675200000000032
n62	60	0	0	71	13.521621093750033
n61	58	0	0	73	12.796461562500024
n65	68	0	0	73	13.636471406250033
n63	61	0	0	74	13.469537812500032
