idx,matchtype,partid,ppartid
0,0,n6,4
1,0,n11,9
2,0,n2,2
3,0,n12,13
4,1,n22,undefined
5,0,n7,8
6,0,n17,18
7,1,n23,undefined
8,0,n3,0
9,0,n5,3
10,0,n8,5
11,0,n10,7
12,0,n4,1
13,0,n9,6
14,0,n16,14
15,1,n24,undefined
16,0,n13,10
17,0,n15,12
18,0,n14,11
19,0,n21,19
20,1,n25,undefined
21,0,n18,15
22,0,n20,17
23,0,n19,16
24,0,n35,24
25,0,n31,23
26,1,n51,undefined
27,0,n32,20
28,0,n34,22
29,0,n37,25
30,0,n33,21
31,0,n40,29
32,0,n36,28
33,1,n52,undefined
34,0,n39,27
35,0,n38,26
36,0,n45,34
37,0,n41,32
38,1,n53,undefined
39,0,n42,30
40,0,n44,33
41,0,n43,31
42,0,n28,36
43,0,n50,42
44,0,n46,35
45,0,n54,41
46,0,n65,54
47,0,n75,65
48,1,n81,undefined
49,0,n47,37
50,0,n49,40
51,0,n48,38
52,0,n30,43
53,0,n29,39
54,0,n64,50
55,0,n60,48
56,0,n70,59
57,0,n90,71
58,1,n80,undefined
59,1,n110,undefined
60,0,n61,45
61,0,n63,47
62,0,n62,46
63,0,n55,44
64,0,n56,49
65,0,n69,55
66,0,n66,51
67,0,n68,53
68,0,n67,52
69,0,n57,61
70,0,n74,60
71,1,n82,undefined
72,0,n71,56
73,0,n73,58
74,0,n72,57
75,0,n79,66
76,1,n83,undefined
77,0,n76,62
78,0,n78,64
79,0,n77,63
80,0,n59,67
81,0,n94,73
82,0,n121,93
83,0,n136,116
84,1,n141,undefined
85,0,n91,68
86,0,n93,70
87,0,n92,69
88,0,n84,72
89,0,n85,74
90,0,n99,79
91,2,undefined,98
92,0,n95,78
93,0,n111,86
94,0,n105,100
95,0,n113,104
96,0,n160,115
97,0,n176,127
98,0,n96,87
99,0,n108,94
100,0,n106,106
101,2,undefined,75
102,2,undefined,108
103,0,n98,77
104,2,undefined,96
105,0,n97,95
106,2,undefined,76
107,0,n86,80
108,2,undefined,99
109,0,n104,105
110,0,n100,84
111,2,undefined,97
112,2,undefined,109
113,1,n112,undefined
114,0,n101,101
115,2,undefined,81
116,0,n103,83
117,2,undefined,103
118,0,n102,102
119,2,undefined,82
120,0,n88,88
121,0,n109,89
122,2,undefined,110
123,0,n107,107
124,2,undefined,85
125,0,n89,90
126,0,n119,91
127,0,n120,92
128,1,n126,undefined
129,1,n131,undefined
130,0,n159,122
131,1,n122,undefined
132,1,n142,undefined
133,1,n132,undefined
134,1,n144,undefined
135,0,n155,121
136,0,n165,132
137,1,n175,undefined
138,1,n127,undefined
139,1,n143,undefined
140,1,n137,undefined
141,1,n145,undefined
142,0,n123,111
143,1,n138,undefined
144,0,n130,114
145,1,n140,undefined
146,1,n125,undefined
147,1,n128,undefined
148,1,n133,undefined
149,1,n135,undefined
150,0,n156,118
151,0,n158,120
152,0,n124,112
153,1,n139,undefined
154,1,n129,undefined
155,1,n134,undefined
156,1,n157,undefined
157,0,n118,117
158,1,n116,undefined
159,0,n146,119
160,0,n147,123
161,1,n115,undefined
162,0,n164,128
163,0,n161,124
164,0,n163,126
165,0,n162,125
166,0,n148,136
167,0,n169,133
168,1,n177,undefined
169,0,n166,129
170,0,n168,131
171,0,n167,130
172,0,n174,144
173,0,n170,137
174,0,n207,154
175,0,n210,159
176,1,n178,undefined
177,0,n171,134
178,0,n173,139
179,0,n172,135
180,0,n150,138
181,0,n153,143
182,0,n152,142
183,0,n154,145
184,0,n151,141
185,0,n208,157
186,0,n206,152
187,0,n203,146
188,0,n204,147
189,0,n205,149
190,0,n180,150
191,0,n183,155
192,0,n185,160
193,0,n179,148
194,0,n182,153
195,0,n184,156
196,0,n181,151
197,0,n214,169
198,0,n212,164
199,0,n209,158
200,0,n213,165
201,0,n211,161
202,0,n186,162
203,0,n189,167
204,0,n191,172
205,0,n188,166
206,0,n190,168
207,0,n187,163
208,0,n220,180
209,0,n215,170
210,0,n218,176
211,0,n216,171
212,0,n219,177
213,0,n217,173
214,0,n192,174
215,0,n195,179
216,0,n194,178
217,0,n196,181
218,0,n193,175
219,0,n226,192
220,0,n221,182
221,0,n224,189
222,0,n222,183
223,0,n225,188
224,0,n223,185
225,0,n198,186
226,0,n197,184
227,0,n201,191
228,0,n200,190
229,0,n202,193
230,0,n199,187
231,0,n255,204
232,0,n253,200
233,0,n250,194
234,0,n254,202
235,0,n251,195
236,0,n252,197
237,0,n228,198
238,0,n231,203
239,0,n227,196
240,0,n230,201
241,0,n232,205
242,0,n229,199
243,0,n261,217
244,0,n259,213
245,0,n256,206
246,0,n260,212
247,0,n257,207
248,0,n258,209
249,0,n234,210
250,0,n237,215
251,0,n233,208
252,0,n236,214
253,0,n238,216
254,0,n235,211
255,0,n267,228
256,0,n265,223
257,0,n262,218
258,0,n272,235
259,0,n281,243
260,1,n306,undefined
261,0,n266,225
262,0,n263,219
263,0,n264,220
264,0,n240,222
265,0,n242,226
266,0,n239,221
267,0,n241,224
268,0,n243,227
269,0,n273,238
270,0,n271,236
271,0,n268,229
272,0,n269,230
273,0,n245,233
274,0,n270,231
275,0,n248,239
276,0,n244,232
277,0,n247,237
278,0,n249,240
279,0,n246,234
280,0,n304,241
281,0,n305,242
282,0,n285,248
283,0,n282,245
284,0,n284,247
285,0,n274,244
286,0,n283,246
287,0,n276,254
288,0,n290,253
289,0,n286,251
290,0,n296,267
291,1,n301,undefined
292,0,n287,249
293,0,n289,252
294,0,n288,250
295,0,n277,260
296,0,n295,259
297,0,n291,258
298,0,n314,274
299,0,n324,284
300,1,n334,undefined
301,1,n302,undefined
302,0,n292,255
303,0,n294,257
304,0,n293,256
305,0,n280,266
306,0,n279,264
307,0,n278,262
308,0,n300,268
309,0,n319,279
310,0,n329,291
311,1,n303,undefined
312,1,n337,undefined
313,0,n297,261
314,0,n299,265
315,0,n298,263
316,0,n312,271
317,0,n313,273
318,0,n318,275
319,0,n315,269
320,0,n317,272
321,0,n316,270
322,0,n323,280
323,1,n335,undefined
324,0,n320,276
325,0,n322,278
326,0,n321,277
