xml_id	midi_id	track	channel	pitch	onset
n13	0	0	0	62	3.2788428750000045
n14	3	0	0	62	3.754269750000004
n2	2	0	0	63	3.5395263750000043
n6	5	0	0	63	3.961534500000004
n7	4	0	0	66	3.960466125000004
n3	deletion
n4	1	0	0	74	3.5331161250000043
n8	6	0	0	74	3.956192625000004
n16	7	0	0	62	4.189098375000005
n31	12	0	0	62	4.605764625000005
n17	11	0	0	65	4.403841750000005
n10	9	0	0	66	4.400636625000005
n11	10	0	0	69	4.403841750000005
n12	8	0	0	77	4.391021250000005
n33	17	0	0	57	5.241447750000007
n32	16	0	0	62	5.045935125000007
n20	15	0	0	63	4.840807125000007
n21	14	0	0	66	4.837602000000007
n22	13	0	0	74	4.8279866250000065
n35	23	0	0	55	5.6698661250000075
n28	22	0	0	56	5.6698661250000075
n29	24	0	0	59	5.684823375000008
n34	20	0	0	60	5.469011625000007
n25	19	0	0	61	5.472216750000007
n49	27	0	0	62	5.885677875000008
n26	deletion
n30	25	0	0	67	5.682686625000008
n27	18	0	0	72	5.469011625000007
n50	31	0	0	62	6.305549250000009
n38	30	0	0	63	6.099352875000009
n42	32	0	0	63	6.512814000000009
n39	29	0	0	66	6.101489625000009
n43	33	0	0	66	6.5160191250000095
n40	28	0	0	74	6.097216125000009
n44	34	0	0	74	6.5149507500000094
n52	35	0	0	62	6.745719750000011
n67	40	0	0	62	7.173069750000012
n53	39	0	0	65	6.960463125000012
n46	37	0	0	66	6.956189625000012
n47	38	0	0	69	6.964736625000012
n48	36	0	0	77	6.947642625000012
n69	45	0	0	57	7.806616125000017
n68	44	0	0	62	7.6089667500000155
n56	43	0	0	63	7.385676375000013
n57	42	0	0	66	7.3910182500000134
n58	41	0	0	74	7.381402875000013
n71	52	0	0	55	8.230761000000014
n64	53	0	0	56	8.226487500000013
n65	51	0	0	59	8.235034500000014
n70	49	0	0	60	8.025633000000015
n61	48	0	0	61	8.023496250000015
n85	54	0	0	62	8.439094125000013
n62	deletion
n66	50	0	0	67	8.219008875000014
n63	47	0	0	72	8.020291125000016
n86	58	0	0	62	8.865375750000005
n74	55	0	0	63	8.647427250000009
n78	59	0	0	63	9.064093500000006
n75	57	0	0	66	8.660247750000007
n79	61	0	0	66	9.079050750000004
n76	56	0	0	74	8.659179375000008
n80	60	0	0	74	9.067298625000005
n88	62	0	0	62	9.282042000000004
n82	63	0	0	63	9.483964875000003
n83	65	0	0	66	9.508537500000003
n91	66	0	0	69	9.700845
n84	64	0	0	74	9.489306750000003
n100	76	0	0	63	10.299134999999989
n99	75	0	0	65	10.132468499999993
n92	67	0	0	67	9.9102465
n97	73	0	0	67	10.030972874999996
n93	68	0	0	69	9.904904625
n98	72	0	0	69	10.023494249999997
n94	70	0	0	73	9.94229775
n95	71	0	0	75	9.967938749999998
n96	69	0	0	81	9.971143874999997
n107	83	0	0	38	10.944433499999988
n108	82	0	0	45	10.949775374999987
n105	81	0	0	60	10.735031999999988
n101	77	0	0	62	10.48610062499999
n102	78	0	0	66	10.52883562499999
n103	79	0	0	68	10.543792874999989
n104	80	0	0	75	10.565160374999989
n109	84	0	0	50	11.158108499999981
n111	87	0	0	50	11.358962999999976
n110	85	0	0	57	11.16986062499998
n112	86	0	0	57	11.361099749999976
n113	88	0	0	62	11.569432874999972
n114	89	0	0	69	11.565159374999972
n115	90	0	0	62	11.78417624999997
n116	91	0	0	69	11.77990274999997
n117	92	0	0	69	11.970073499999964
n121	95	0	0	69	12.174133124999964
n118	93	0	0	74	11.978620499999964
n119	94	0	0	81	11.970073499999964
n130	105	0	0	63	12.813021374999954
n129	104	0	0	65	12.623918999999955
n122	97	0	0	67	12.401696999999961
n127	102	0	0	67	12.526696874999958
n123	98	0	0	69	12.397423499999961
n128	103	0	0	69	12.51387637499996
n124	100	0	0	73	12.438021749999962
n125	101	0	0	75	12.45725249999996
n126	99	0	0	81	12.46366274999996
n137	112	0	0	38	13.40703787499995
n138	111	0	0	45	13.405969499999951
n135	110	0	0	60	13.201909874999952
n131	106	0	0	62	12.941226374999953
n132	107	0	0	66	12.986098124999954
n133	108	0	0	68	13.013875874999952
n134	109	0	0	75	13.038448499999951
n139	113	0	0	50	13.626054749999941
n141	115	0	0	50	13.829045999999941
n140	114	0	0	57	13.628191499999941
n142	116	0	0	57	13.841866499999941
n143	118	0	0	62	14.03844749999994
n144	119	0	0	69	14.03417399999994
n151	126	0	0	38	14.657036624999934
n152	125	0	0	45	14.655968249999935
n145	121	0	0	62	14.256395999999938
n146	120	0	0	69	14.24464387499994
n147	123	0	0	69	14.441224874999937
n148	deletion
n149	124	0	0	81	14.443361624999937
n155	129	0	0	38	15.07477124999993
n156	130	0	0	45	15.07583962499993
n153	128	0	0	50	14.879258624999931
n157	132	0	0	50	15.28951462499993
n154	127	0	0	57	14.870711624999931
n158	131	0	0	57	15.290582999999929
n159	134	0	0	38	15.491437499999929
n170	138	0	0	38	15.923060999999928
n160	133	0	0	45	15.48823237499993
n171	137	0	0	45	15.913445624999929
n161	136	0	0	50	15.716864624999928
n162	135	0	0	57	15.70083899999993
n174	142	0	0	38	16.334385374999925
n175	141	0	0	45	16.332248624999927
n172	140	0	0	50	16.135667624999925
n176	143	0	0	50	16.544855249999923
n173	139	0	0	57	16.129257374999927
n177	144	0	0	57	16.55126549999992
n178	147	0	0	38	16.76387212499992
n179	149	0	0	45	16.78523962499992
n199	154	0	0	48	17.329042499999918
n180	150	0	0	50	17.048059874999918
n200	155	0	0	55	17.408102249999917
n164	145	0	0	62	16.801265249999922
n165	146	0	0	69	16.913444624999922
n166	148	0	0	74	16.97006849999992
n167	151	0	0	74	17.110025624999917
n168	152	0	0	75	17.18908537499992
n190	deletion
n169	153	0	0	82	17.26493999999992
n191	deletion
n182	156	0	0	86	17.413444124999916
n192	162	0	0	63	17.848272749999914
n193	163	0	0	67	17.861093249999914
n195	166	0	0	70	18.016007624999904
n194	160	0	0	74	17.837588999999912
n196	164	0	0	75	18.017075999999904
n187	165	0	0	81	18.010665749999905
n186	161	0	0	82	17.816221499999916
n183	157	0	0	84	17.665580624999915
n185	159	0	0	84	17.802332624999917
n184	158	0	0	86	17.725409624999916
n222	176	0	0	48	18.61536599999989
n223	173	0	0	55	18.610024124999892
n202	168	0	0	60	18.397417499999904
n203	170	0	0	67	18.399554249999902
n197	172	0	0	70	18.421990124999898
n198	171	0	0	75	18.4198533749999
n213	174	0	0	75	18.62284462499989
n188	167	0	0	78	18.213656999999905
n189	169	0	0	79	18.4059644999999
n214	177	0	0	82	18.641006999999888
n205	175	0	0	86	18.61643437499989
n215	183	0	0	63	18.982886999999877
n216	184	0	0	67	18.998912624999875
n218	185	0	0	70	19.177331249999874
n217	181	0	0	74	18.974339999999877
n219	186	0	0	75	19.166647499999875
n210	187	0	0	81	19.161305624999876
n209	182	0	0	82	18.97220324999988
n206	178	0	0	84	18.83117774999988
n208	180	0	0	84	18.951904124999878
n207	179	0	0	86	18.90275887499988
n245	195	0	0	43	19.78737337499986
n246	194	0	0	50	19.78630499999986
n225	190	0	0	60	19.545920624999862
n226	189	0	0	67	19.532031749999863
n220	193	0	0	70	19.58117699999986
n221	192	0	0	75	19.575835124999863
n211	188	0	0	78	19.365365249999865
n212	191	0	0	79	19.549125749999863
n228	196	0	0	82	19.825834874999856
n234	198	0	0	58	20.098270499999852
n238	205	0	0	58	20.488227374999845
n235	199	0	0	65	20.111090999999853
n239	204	0	0	65	20.494637624999843
n240	203	0	0	69	20.486090624999846
n236	deletion
n237	202	0	0	70	20.298056624999848
n232	210	0	0	77	20.26493699999985
n229	197	0	0	81	20.079039749999854
n231	201	0	0	81	20.20403962499985
n230	200	0	0	82	20.12604824999985
n242	208	0	0	58	20.887799624999843
n243	209	0	0	65	20.900620124999843
n244	207	0	0	69	20.891004749999844
n241	206	0	0	70	20.701902374999843
n251	211	0	0	70	21.09292762499984
n252	214	0	0	58	21.32797012499984
n257	219	0	0	58	21.71472187499983
n255	216	0	0	62	21.508525499999834
n253	213	0	0	65	21.32690174999984
n258	218	0	0	65	21.72326887499983
n254	212	0	0	69	21.32903849999984
n259	217	0	0	69	21.704038124999833
n256	215	0	0	70	21.499978499999834
n249	224	0	0	74	21.304465874999842
n282	227	0	0	48	22.329037499999824
n283	226	0	0	55	22.334379374999823
n262	223	0	0	58	22.110020624999827
n260	220	0	0	62	21.91450799999983
n274	228	0	0	63	22.364293874999824
